Date,Open,High,Low,Close,Volume,OpenInt
20000103,8.9305,9.1992,8.9305,8.9756,9805,0
20000112,9.647,9.657,9.647,9.657,2673,0
20000114,9.873,10.322,9.873,10.213,32981,0
20000117,9.98,10.322,9.98,10.322,12478,0
20000119,10.546,10.546,10.546,10.546,2673,0
20000121,10.546,10.546,10.546,10.546,4457,0
20000125,10.662,10.662,10.322,10.322,6907,0
20000131,9.226,9.226,9.226,9.226,223,0
20000203,9.98,9.98,9.98,9.98,669,0
20000204,9.765,9.765,9.647,9.711,13371,0
20000207,10.878,10.878,9.98,9.98,1784,0
20000208,10.77,10.878,10.77,10.878,4901,0
20000209,11.129,11.561,11.129,11.443,43900,0
20000210,11.443,11.666,11.443,11.666,17827,0
20000214,10.77,10.77,10.77,10.77,87131,0
20000215,10.322,10.322,10.294,10.294,6239,0
20000216,10.294,10.294,10.294,10.294,2673,0
20000218,9.873,9.873,9.647,9.647,890,0
20000222,9.873,9.873,9.873,9.873,2007,0
20000224,9.873,9.873,9.873,9.873,7131,0
20000228,10.322,10.322,10.322,10.322,890,0
20000229,9.98,10.006,9.98,10.006,8914,0
20000301,10.322,10.322,10.322,10.322,6239,0
20000302,10.322,10.322,10.213,10.213,19611,0
20000303,10.366,10.429,10.322,10.412,10696,0
20000306,10.322,10.349,10.322,10.349,35654,0
20000307,10.322,10.322,10.322,10.322,6239,0
20000309,10.096,10.096,10.096,10.096,1784,0
20000310,10.322,10.322,9.1992,9.1992,21393,0
20000313,9.1992,9.532,9.1992,9.532,17827,0
20000314,9.647,9.647,9.647,9.647,26741,0
20000315,9.1992,9.424,9.1992,9.424,13371,0
20000316,9.0827,9.0827,9.0827,9.0827,4457,0
20000320,9.873,9.98,9.873,9.98,8914,0
20000321,9.873,9.873,9.873,9.873,2673,0
20000324,9.3153,9.647,9.1992,9.647,24068,0
20000327,8.984,8.984,8.984,8.984,223,0
20000328,9.873,9.873,9.873,9.873,4457,0
20000403,9.873,9.873,9.873,9.873,890,0
20000404,9.424,9.424,9.424,9.424,1784,0
20000405,9.4676,9.4676,9.4676,9.4676,2673,0
20000406,9.4676,9.4676,9.424,9.424,2673,0
20000410,9.765,9.765,9.765,9.765,1784,0
20000412,9.846,9.846,9.846,9.846,1784,0
20000413,9.783,9.783,9.765,9.765,68634,0
20000414,9.783,9.873,9.783,9.873,15153,0
20000417,9.873,9.873,9.873,9.873,4457,0
20000418,9.424,9.424,9.424,9.424,22284,0
20000419,10.267,10.267,9.1992,9.1992,5349,0
20000420,9.1992,9.424,9.1992,9.424,8914,0
20000425,9.424,9.424,9.424,9.424,445,0
20000428,9.1992,9.1992,9.1814,9.1814,4680,0
20000502,9.0827,9.0911,9.0019,9.0019,20501,0
20000503,8.9756,8.9756,8.9756,8.9756,5349,0
20000508,8.9483,8.9756,8.9483,8.9756,11588,0
20000510,9.3153,9.3153,9.3153,9.3153,3121,0
20000511,9.1551,9.647,9.1551,9.647,4457,0
20000515,9.424,9.647,9.424,9.424,6239,0
20000516,9.647,9.846,9.647,9.846,71309,0
20000517,9.647,9.647,9.424,9.424,6239,0
20000518,9.3153,9.3153,9.3153,9.3153,1784,0
20000519,9.424,9.846,9.424,9.846,3565,0
20000522,9.4327,9.873,9.4327,9.873,27632,0
20000523,9.873,9.9,9.873,9.873,26295,0
20000524,9.846,9.846,9.846,9.846,3565,0
20000529,9.81,9.81,9.81,9.81,890,0
20000530,9.325,9.325,9.325,9.325,445,0
20000531,9.674,9.846,9.674,9.846,2673,0
20000601,9.846,9.873,9.846,9.873,53481,0
20000602,9.873,9.873,9.873,9.873,29415,0
20000605,10.096,10.096,9.917,10.088,1784,0
20000606,10.096,10.322,10.096,10.322,28523,0
20000607,10.322,10.429,10.322,10.322,20055,0
20000608,9.98,10.213,9.98,10.213,10696,0
20000609,10.213,10.322,10.213,10.322,50585,0
20000612,10.322,10.322,10.322,10.322,4457,0
20000613,10.322,10.322,10.322,10.322,28523,0
20000614,10.322,10.322,10.213,10.213,14262,0
20000615,10.322,10.322,10.213,10.213,17160,0
20000619,10.322,10.322,10.322,10.322,4457,0
20000620,10.096,10.277,10.096,10.277,2007,0
20000621,10.213,10.322,10.132,10.213,195209,0
20000622,10.294,10.294,10.294,10.294,8914,0
20000623,10.096,10.096,10.096,10.096,669,0
20000626,10.294,10.294,10.294,10.294,13371,0
20000627,9.765,9.765,9.3784,9.3784,22284,0
20000628,9.532,9.532,9.0197,9.0197,90474,0
20000629,8.9756,9.1992,8.8673,9.1992,90474,0
20000630,9.424,9.424,9.424,9.424,223,0
20000703,9.765,9.765,9.3153,9.3153,4457,0
20000704,9.647,9.765,9.532,9.532,19611,0
20000706,9.765,9.765,9.765,9.765,37215,0
20000710,9.827,9.827,9.827,9.827,4457,0
20000711,9.424,9.424,9.3153,9.424,17827,0
20000712,9.424,9.603,9.424,9.505,124791,0
20000717,10.096,10.322,9.765,10.322,86241,0
20000718,10.322,10.322,10.322,10.322,63286,0
20000719,10.322,10.322,10.322,10.322,95599,0
20000720,10.322,10.349,10.322,10.322,41003,0
20000721,9.873,10.322,9.873,10.322,170028,0
20000724,10.322,10.322,10.213,10.322,94930,0
20000725,10.322,10.322,10.232,10.322,18718,0
20000726,10.322,10.322,10.213,10.213,4457,0
20000727,9.873,10.322,9.873,10.322,4680,0
20000728,10.124,10.124,10.124,10.124,4457,0
20000731,10.429,10.429,10.124,10.124,43900,0
20000801,10.322,10.322,10.213,10.322,84680,0
20000802,10.213,10.322,10.213,10.277,13371,0
20000803,10.322,10.322,10.213,10.322,50808,0
20000804,10.322,10.322,10.322,10.322,16936,0
20000807,10.322,10.366,10.322,10.349,62619,0
20000814,10.186,10.186,10.186,10.186,4457,0
20000815,10.159,10.213,10.096,10.096,38329,0
20000816,10.096,10.213,10.07,10.07,95376,0
20000817,10.096,10.096,10.096,10.096,38329,0
20000818,10.213,10.213,10.132,10.132,17827,0
20000821,10.213,10.322,10.142,10.322,48357,0
20000822,10.429,10.519,10.33,10.402,117660,0
20000823,10.501,10.77,10.33,10.77,86462,0
20000824,10.77,10.77,10.366,10.483,88245,0
20000825,10.743,10.743,10.412,10.429,57048,0
20000828,10.546,10.546,10.546,10.546,22284,0
20000829,10.546,10.716,10.546,10.609,76657,0
20000830,10.546,10.546,10.384,10.384,89138,0
20000831,10.537,10.761,10.429,10.761,22284,0
20000901,10.806,11.218,10.806,11.218,91812,0
20000904,11.11,11.443,11.11,11.218,62395,0
20000905,11.416,11.416,11.218,11.228,3343,0
20000906,11.218,11.443,11.218,11.443,37882,0
20000907,11.443,11.533,11.381,11.533,13817,0
20000911,11.218,11.218,11.218,11.218,890,0
20000912,11.443,11.443,11.443,11.443,6239,0
20000914,11.666,11.775,11.666,11.666,27632,0
20000915,11.784,11.784,11.784,11.784,445,0
20000918,12.673,12.673,12.117,12.117,51030,0
20000919,12.395,12.395,11.775,11.775,7355,0
20000920,12.009,12.009,11.666,11.666,85125,0
20000921,11.666,11.666,11.453,11.524,54374,0
20000922,11.47,11.47,11.218,11.327,75766,0
20000925,11.64,11.666,11.64,11.64,22284,0
20000926,11.561,11.561,11.561,11.561,8914,0
20000927,11.561,11.64,11.487,11.561,33426,0
20000928,11.666,11.946,11.577,11.893,85570,0
20000929,11.92,11.92,11.893,11.893,13371,0
20001002,11.893,12.565,11.893,12.565,52592,0
20001004,13.237,13.237,12.224,12.385,20055,0
20001005,12.341,12.565,12.341,12.565,13371,0
20001006,12.907,13.014,12.79,13.014,40558,0
20001010,13.014,13.014,12.565,12.565,5794,0
20001011,12.79,13.014,12.79,12.79,19388,0
20001012,12.907,12.907,12.907,12.907,2673,0
20001023,14.702,15.034,14.702,15.034,53481,0
20001025,14.808,14.808,13.912,14.36,65292,0
20001026,14.136,14.324,14.019,14.136,125683,0
20001027,14.136,14.36,14.136,14.136,5349,0
20001030,14.378,14.378,14.36,14.36,3565,0
20001101,14.189,14.251,13.965,13.965,4901,0
20001102,14.198,14.468,14.198,14.36,6907,0
20001103,14.808,14.808,14.63,14.709,56155,0
20001106,14.719,14.808,14.378,14.378,73092,0
20001107,14.36,14.36,14.127,14.136,22284,0
20001108,14.181,14.808,13.912,13.912,45237,0
20001109,14.567,14.702,14.567,14.584,26517,0
20001110,14.702,14.702,13.912,14.198,5571,0
20001113,14.019,14.019,14.019,14.019,2673,0
20001115,13.939,14.019,13.939,14.019,18049,0
20001116,14.136,14.136,14.136,14.136,6239,0
20001117,14.136,14.136,13.939,13.939,15153,0
20001120,14.808,14.808,14.405,14.495,9805,0
20001121,14.584,15.096,14.584,14.97,82451,0
20001122,15.257,15.706,14.808,14.808,78440,0
20001123,14.808,15.034,14.808,14.808,30306,0
20001124,14.584,14.808,14.584,14.584,51030,0
