Date,Open,High,Low,Close,Volume,OpenInt
20070716,65.184,65.567,65.081,65.32,36,0
20070717,64.89,65.32,64.699,65.121,0,0
20070718,64.882,65.121,64.292,64.531,0,0
20070719,63.854,64.531,63.789,64.531,0,0
20070720,64.531,65.049,63.759,65.049,0,0
20070723,65.049,65.049,63.581,64.801,0,0
20070724,64.801,64.801,63.789,64.053,0,0
20070725,64.053,64.308,63.581,64.212,0,0
20070726,64.212,64.212,62.021,63.789,0,0
20070727,63.789,63.789,62.865,63.255,25,0
20070730,63.255,63.336,62.794,63.336,0,0
20070731,63.336,65.528,62.794,65.528,19,0
20070801,65.32,65.32,63.663,65.224,0,0
20070802,62.689,63.822,62.689,63.375,0,0
20070803,62.052,63.375,62.052,62.458,314,0
20070806,61.343,62.458,61.279,62.339,0,0
20070807,60.441,61.949,60.377,61.023,0,0
20070808,60.474,62.498,60.409,62.299,0,0
20070809,62.299,62.817,59.948,60.162,314,0
20070810,59.852,60.385,58.368,60.322,0,0
20070813,59.852,59.852,58.592,58.99,0,0
20070814,58.99,60.593,58.743,59.924,10,0
20070815,59.876,60.529,58.975,59.516,0,0
20070816,59.516,59.804,58.887,59.126,0,0
20070817,59.126,59.126,56.678,57.237,0,0
20070820,58.131,58.131,57.15,57.82,0,0
20070821,57.245,57.82,57.117,57.117,0,0
20070822,55.611,59.588,55.555,59.588,11,0
20070823,57.532,60.027,57.532,60.027,0,0
20070824,60.027,60.027,58.87,60.027,5,0
20070827,60.027,60.027,59.38,59.748,0,0
20070828,59.986,60.171,59.588,60.171,0,0
20070829,60.171,60.171,58.87,59.333,0,0
20070830,59.333,60.506,59.135,60.506,5,0
20070831,59.995,62.084,59.93,62.084,0,0
20070903,62.084,62.674,59.93,61.98,0,0
20070904,62.665,62.665,60.896,62.26,0,0
20070905,62.243,62.243,61.047,61.646,0,0
20070906,61.104,62.021,61.04,62.021,0,0
20070907,61.221,62.021,61.158,61.798,0,0
20070910,59.748,61.798,59.748,60.648,0,0
20070911,59.669,60.712,59.611,60.251,0,0
20070912,60.234,60.345,59.675,60.345,0,0
20070913,60.345,60.345,59.23,59.468,0,0
20070914,59.588,59.724,58.879,59.118,0,0
20070917,59.118,59.533,57.915,57.915,0,0
20070918,57.993,58.911,57.643,58.87,0,0
20070919,58.926,59.557,58.815,59.557,0,0
20070920,59.557,59.557,58.313,58.552,0,0
20070921,58.552,59.261,57.579,57.882,0,0
20070924,58.552,58.552,57.596,57.835,0,0
20070925,57.835,57.835,57.157,57.397,0,0
20070926,57.397,57.618,56.407,56.879,0,0
20070927,57.381,57.381,56.041,56.041,0,0
20070928,56.146,56.759,55.954,56.759,139,0
20071001,56.759,56.759,56.248,56.559,0,0
20071002,56.559,57.356,56.263,57.356,0,0
20071003,56.432,57.356,56.432,57.277,0,0
20071004,56.6,57.277,56.543,57.237,0,0
20071005,57.237,57.237,56.296,56.623,5,0
20071008,56.623,56.72,55.65,56.16,0,0
20071009,56.16,56.72,55.866,56.72,0,0
20071010,56.72,56.838,56.152,56.838,0,0
20071011,56.854,57.483,56.663,57.483,0,0
20071012,57.453,57.453,56.663,56.918,0,0
20071015,57.293,57.293,56.336,56.782,0,0
20071016,56.782,56.862,56.201,56.862,24,0
20071017,56.487,56.862,56.168,56.559,0,0
20071018,56.559,56.559,55.985,56.057,126,0
