Date,Open,High,Low,Close,Volume,OpenInt
20000103,9.567,9.567,9.567,9.567,514,0
20000104,9.568,9.568,9.4899,9.4899,3600,0
20000105,9.568,9.568,9.4126,9.4899,3985,0
20000110,9.643,9.915,9.643,9.72,1157,0
20000112,9.797,9.797,9.797,9.797,515,0
20000113,9.793,10.104,9.793,10.104,6176,0
20000114,10.383,10.383,10.383,10.383,128,0
20000117,10.305,10.305,10.305,10.305,771,0
20000118,10.267,10.267,10.267,10.267,514,0
20000119,10.182,10.182,10.104,10.104,2316,0
20000120,10.027,10.027,10.027,10.027,515,0
20000125,9.95,10.027,9.95,10.027,772,0
20000126,9.951,9.951,9.951,9.951,2058,0
20000127,9.797,9.797,9.797,9.797,515,0
20000128,9.954,9.954,9.72,9.72,771,0
20000131,9.718,9.912,9.718,9.912,643,0
20000201,9.797,9.797,9.797,9.797,643,0
20000202,9.798,9.798,9.72,9.72,2700,0
20000204,9.682,9.682,9.682,9.682,128,0
20000209,9.724,9.724,9.4899,9.4899,1156,0
20000210,9.4899,9.4899,9.4899,9.4899,257,0
20000211,9.4899,9.4899,9.4899,9.4899,128,0
20000214,9.3274,9.3274,9.3274,9.3274,772,0
20000216,9.3274,9.3274,9.3274,9.3274,643,0
20000217,9.3274,9.3274,9.3274,9.3274,128,0
20000221,9.521,9.521,9.3274,9.3274,257,0
20000222,9.3274,9.3274,9.3274,9.3274,2058,0
20000223,9.2502,9.2502,9.2502,9.2502,128,0
20000224,9.2118,9.2118,9.2118,9.2118,515,0
20000225,9.2142,9.2142,9.0199,9.0199,1286,0
20000229,8.9431,8.9431,8.9431,8.9431,257,0
20000301,8.8663,8.8663,8.8663,8.8663,385,0
20000302,8.8663,8.8663,8.8663,8.8663,128,0
20000303,8.8587,8.8587,8.7032,8.7032,6563,0
20000306,8.7123,8.7512,8.7123,8.7512,1286,0
20000307,8.5516,8.5516,8.3961,8.3961,3087,0
20000308,8.477,8.477,8.1659,8.1659,4243,0
20000309,8.1659,8.1659,8.0882,8.1659,5015,0
20000310,8.167,8.2058,8.0891,8.0891,2571,0
20000314,8.0901,8.1678,8.0124,8.0124,2314,0
20000315,8.0124,8.0124,8.0124,8.0124,1156,0
20000316,8.0113,8.0891,8.0113,8.0891,2315,0
20000317,8.1649,8.2815,8.1649,8.2426,2572,0
20000320,8.3948,8.5114,8.3948,8.5114,2058,0
20000321,8.7488,8.9431,8.7488,8.9431,643,0
20000322,9.016,9.3274,9.016,9.3274,3731,0
20000323,9.3274,9.56,9.2885,9.2885,5018,0
20000324,9.4126,9.4899,9.4126,9.4899,2442,0
20000327,9.564,9.797,9.564,9.797,3987,0
20000328,9.599,9.599,9.3274,9.3274,1415,0
20000329,9.3274,9.3274,9.3274,9.3274,515,0
20000331,9.1734,9.1734,9.1734,9.1734,1157,0
20000405,9.177,9.488,9.177,9.1926,3728,0
20000406,9.4038,9.4811,9.4038,9.4038,2059,0
20000407,9.566,9.644,9.566,9.644,900,0
20000410,9.643,9.643,9.557,9.557,385,0
20000411,9.644,9.644,9.644,9.644,515,0
20000413,9.643,9.72,9.643,9.72,2443,0
20000414,9.72,9.72,9.72,9.72,385,0
20000417,9.505,9.715,9.4038,9.4038,1030,0
20000418,9.567,9.567,9.567,9.567,128,0
20000420,9.3274,9.3274,9.3274,9.3274,1287,0
20000426,9.557,9.557,9.557,9.557,128,0
20000502,9.644,9.644,9.644,9.644,515,0
20000503,9.72,9.759,9.72,9.759,1929,0
20000504,9.72,9.72,9.72,9.72,257,0
20000511,9.4889,9.567,9.4889,9.567,1414,0
20000512,9.4899,9.4899,9.4899,9.4899,1156,0
20000516,9.644,9.722,9.605,9.605,3086,0
20000517,9.4899,9.4899,9.4899,9.4899,2442,0
20000518,9.567,9.567,9.567,9.567,771,0
20000519,9.4899,9.4899,9.4899,9.4899,514,0
20000522,9.567,9.567,9.567,9.567,1156,0
20000523,9.4899,9.4899,9.4899,9.4899,1156,0
20000526,9.638,10.104,9.638,10.104,3088,0
20000529,9.874,10.029,9.874,9.874,6045,0
20000530,9.797,9.914,9.797,9.797,4243,0
20000531,9.72,9.72,9.72,9.72,1157,0
20000602,9.646,9.646,9.4899,9.4899,771,0
20000605,9.4899,9.4899,9.4899,9.4899,128,0
20000606,9.4899,9.4899,9.4899,9.4899,385,0
20000608,9.4899,9.4899,9.4899,9.4899,514,0
20000615,9.4811,9.4811,9.4038,9.4038,1415,0
20000616,9.4038,9.4038,9.4038,9.4038,385,0
20000623,9.56,9.56,9.3274,9.3274,643,0
20000626,9.3274,9.3274,9.3274,9.3274,257,0
20000628,9.4047,9.4047,9.3274,9.3274,385,0
20000629,9.3274,9.3274,8.5497,8.5497,9907,0
20000703,8.1649,8.2426,7.7761,8.2426,11189,0
20000704,8.2426,8.2426,8.2426,8.2426,1414,0
20000705,8.2447,8.2447,8.0891,8.0891,514,0
20000706,8.2043,8.2043,8.2043,8.2043,643,0
20000710,8.2447,8.2447,8.0891,8.0891,900,0
20000712,8.167,8.167,8.0891,8.0891,3086,0
20000719,8.0075,8.3961,8.0075,8.3961,2186,0
20000720,8.1659,8.1659,8.1659,8.1659,900,0
20000726,8.3578,8.3578,8.3578,8.3578,2572,0
20000731,8.3982,8.3982,8.2426,8.2426,2443,0
20000803,8.2426,8.2426,8.2426,8.2426,1157,0
20000810,8.1659,8.1659,8.1659,8.1659,128,0
20000811,8.3194,8.3194,8.3194,8.3194,643,0
20000814,8.1659,8.1659,8.1659,8.1659,2572,0
20000815,8.1659,8.1659,8.1659,8.1659,1286,0
20000816,8.1659,8.1659,8.1659,8.1659,257,0
