Date,Open,High,Low,Close,Volume,OpenInt
19910405,13.922,13.98,13.865,13.98,74758,0
19910408,13.816,13.943,13.779,13.886,74758,0
19910409,13.922,14.207,13.922,14.099,251586,0
19910410,14.029,14.099,13.886,13.957,108688,0
19910411,14.029,14.063,13.98,14.029,129102,0
19910412,14.078,14.12,14.043,14.063,135859,0
19910415,14.099,14.383,14.099,14.348,271857,0
19910416,14.397,14.526,14.313,14.397,346757,0
19910417,14.595,14.668,14.477,14.512,292273,0
19910418,14.561,14.575,14.17,14.242,203859,0
19910419,14.17,14.17,13.922,13.922,169929,0
19910422,13.744,13.886,13.744,13.816,108688,0
19910423,13.85,14.014,13.816,14.014,183585,0
19910424,13.992,14.029,13.957,14.014,115585,0
19910425,14.063,14.242,14.063,14.063,197100,0
19910426,14.043,14.17,14.029,14.043,95170,0
19910429,14.135,14.242,14.063,14.099,135859,0
19910430,14.099,14.099,13.943,13.98,81514,0
19910502,14.029,14.135,13.992,14.12,149515,0
19910503,14.135,14.242,14.135,14.17,183585,0
19910506,14.156,14.277,14.099,14.242,373928,0
19910507,14.348,14.434,14.299,14.299,401100,0
19910508,14.242,14.299,14.207,14.221,169929,0
19910510,14.333,14.348,14.277,14.299,115585,0
19910513,14.207,14.242,14.135,14.242,115585,0
19910514,14.192,14.192,14.029,14.029,129102,0
19910515,14.029,14.029,13.957,14.029,108688,0
19910516,14.029,14.078,13.992,14.078,101929,0
19910517,14.099,14.099,14.029,14.029,47587,0
19910521,14.078,14.135,14.078,14.135,122343,0
19910522,14.192,14.313,14.192,14.242,203859,0
19910523,14.313,14.489,14.313,14.477,367168,0
19910524,14.455,14.739,14.455,14.668,407857,0
19910527,14.632,14.689,14.595,14.632,129102,0
19910528,14.653,14.704,14.561,14.704,251586,0
19910529,14.689,14.881,14.689,14.725,251586,0
19910531,14.845,15.08,14.845,14.987,346757,0
19910603,14.952,15.08,14.845,14.902,285514,0
19910604,14.845,14.952,14.788,14.788,169929,0
19910605,14.845,15.058,14.845,15.009,292273,0
19910606,14.987,15.08,14.704,14.845,305928,0
19910607,14.881,14.965,14.775,14.788,169929,0
