Date,Open,High,Low,Close,Volume,OpenInt
20090406,44.623,46.426,44.278,44.762,117208,0
20090407,44.874,45.942,44.874,45.087,84566,0
20090408,45.366,46.668,44.614,46.575,86049,0
20090409,46.575,47.477,46.575,47.29,85697,0
20090414,46.575,48.712,46.575,47.876,112439,0
20090415,47.876,47.988,46.584,47.458,217279,0
20090416,47.597,48.908,46.974,48.908,125565,0
20090417,48.908,49.094,47.69,48.75,183488,0
20090420,48.87,50.572,47.644,48.387,142183,0
20090421,48.452,49.736,47.365,49.131,157338,0
20090422,48.526,48.712,47.226,47.876,201771,0
20090423,43.786,44.874,42.828,43.506,176074,0
20090424,43.655,44.297,43.33,43.535,90695,0
20090427,43.645,43.879,42.773,42.865,75200,0
20090428,42.977,42.977,42.28,42.568,109192,0
20090429,42.67,43.693,42.4,43.227,84233,0
20090430,43.227,44.306,43.162,43.162,100620,0
20090504,43.693,45.552,43.135,44.799,85103,0
20090505,44.911,46.546,44.65,45.924,152276,0
20090506,46.388,47.226,45.738,46.37,125418,0
20090507,46.481,47.411,46.176,46.305,144574,0
20090508,46.388,47.866,46.091,46.825,118658,0
20090511,47.411,47.783,46.584,47.226,57368,0
20090512,46.481,48.155,46.481,46.5,38072,0
20090513,46.686,47.923,45.84,46.063,83254,0
20090514,46.026,47.132,46.026,46.481,55854,0
20090515,46.296,46.854,46.017,46.668,63938,0
20090518,46.854,46.938,45.524,46.668,61126,0
20090519,46.668,47.597,46.668,47.392,55413,0
20090520,47.43,48.211,47.281,47.44,48640,0
20090521,47.616,47.941,46.481,46.947,27503,0
20090522,46.854,48.239,46.575,47.411,58437,0
20090525,47.783,48.276,46.956,47.597,40691,0
20090526,48.331,48.434,46.947,48.294,67097,0
20090527,48.294,48.452,47.783,48.155,58574,0
20090528,48.331,48.331,47.318,47.81,48400,0
20090529,47.635,48.341,47.132,47.411,61089,0
20090601,47.495,48.573,47.495,47.671,38292,0
20090602,47.858,49.01,47.858,48.387,69982,0
20090603,47.876,48.851,47.346,47.346,49742,0
20090604,47.531,48.155,47.104,47.421,58760,0
20090605,47.681,48.071,46.835,47.048,75259,0
20090608,47.866,47.866,46.221,46.305,54950,0
20090609,46.248,47.95,38.477,47.132,86633,0
20090610,46.481,48.341,46.481,47.337,44332,0
20090611,46.481,47.876,46.481,47.123,60074,0
20090612,47.308,47.504,46.816,46.974,41283,0
20090615,47.308,47.308,45.032,46.388,107546,0
20090616,46.388,46.426,45.599,45.924,60332,0
20090617,45.738,46.417,45.655,46.212,56642,0
20090618,45.552,46.472,45.357,45.552,97604,0
20090619,45.552,46.723,45.552,46.296,152880,0
20090622,46.017,46.9,44.947,45.245,68796,0
20090623,45.245,46.38,44.678,45.097,65151,0
20090624,45.097,45.934,44.734,45.599,46841,0
20090625,45.738,45.878,44.789,45.068,67231,0
20090626,45.068,45.505,44.083,44.418,76122,0
20090629,43.693,45.292,43.693,44.947,51546,0
20090630,44.994,45.552,44.157,44.176,62566,0
20090701,44.157,45.534,44.157,45.17,80191,0
20090702,44.994,45.31,44.232,44.539,59289,0
20090703,44.539,44.883,43.879,44.25,53382,0
20090706,44.018,44.623,43.767,44.381,49183,0
20090707,44.548,44.623,42.865,43.312,72767,0
20090708,43.693,43.693,42.578,43.227,57328,0
20090709,43.08,43.441,42.763,43.367,43414,0
20090710,43.367,43.693,42.604,42.717,55532,0
20090713,42.633,43.46,42.317,43.209,59368,0
20090714,43.088,44.157,43.088,43.554,67992,0
20090715,43.554,45.552,43.554,45.552,74124,0
20090716,45.552,45.952,44.715,45.366,55581,0
20090717,45.738,45.924,44.938,44.938,45038,0
20090720,45.599,45.988,44.938,45.756,68509,0
20090721,45.691,46.202,45.301,45.515,55881,0
20090722,45.422,45.784,45.292,45.366,107149,0
20090723,45.496,46.091,44.641,45.849,77627,0
20090724,46.091,46.481,44.994,45.357,90417,0
20090727,45.273,46.221,45.087,45.282,85938,0
20090728,45.32,46.128,45.087,45.273,73071,0
20090729,45.301,46.296,45.097,45.561,56095,0
20090730,45.376,46.621,45.376,46.417,163270,0
20090731,46.417,46.9,45.7,46.436,135310,0
20090803,46.436,47.644,46.436,47.048,83293,0
20090804,46.668,47.44,46.481,47.402,65564,0
20090805,47.402,47.737,45.674,46.481,67253,0
20090806,46.481,47.308,46.277,46.76,81105,0
20090807,46.76,47.866,46.63,47.69,59652,0
20090810,47.793,47.969,47.029,47.029,80825,0
20090811,47.188,47.522,46.481,46.872,65205,0
20090812,46.63,48.564,46.575,48.536,63819,0
20090813,48.322,48.991,47.95,48.899,125583,0
20090814,48.805,49.131,47.988,48.397,99423,0
20090817,48.285,48.341,47.169,47.486,86234,0
20090818,47.281,48.526,47.281,47.895,43404,0
20090819,47.895,49.187,47.644,49.187,59176,0
20090820,49.187,49.968,48.815,49.968,97376,0
20090821,49.968,52.143,49.642,51.037,77574,0
20090824,50.711,52.514,50.711,51.687,97631,0
20090825,52.004,52.329,50.99,51.994,131164,0
20090826,51.594,52.757,51.298,52.524,103006,0
20090827,52.524,53.732,52.079,53.547,91964,0
20090828,53.547,54.384,53.268,53.826,138063,0
20090831,54.105,54.105,52.58,52.859,93718,0
20090901,52.896,53.139,50.831,51.037,97536,0
20090902,51.037,51.11,49.661,50.293,143747,0
20090903,50.2,50.553,49.959,50.06,64865,0
20090904,50.06,50.869,50.015,50.869,59813,0
20090907,51.279,51.279,50.451,51.084,41847,0
20090908,51.084,51.577,50.517,50.692,50573,0
20090909,50.665,51.716,50.432,51.455,87077,0
20090910,51.316,51.966,51.129,51.408,74575,0
20090911,51.8,52.17,50.906,50.925,108561,0
20090914,51.316,51.371,50.275,50.99,57442,0
20090915,51.037,51.473,50.869,51.408,63747,0
20090916,51.408,51.92,50.916,51.92,54697,0
20090917,51.92,52.449,51.668,51.827,84612,0
20090918,51.827,52.412,51.158,51.781,77098,0
20090921,51.781,51.873,50.247,50.572,74251,0
20090922,50.646,52.06,50.637,51.976,65208,0
20090923,51.716,52.367,51.298,51.502,68651,0
20090924,52.514,52.514,51.101,51.101,104438,0
20090925,51.11,51.864,51.11,51.594,77743,0
20090928,52.367,55.768,52.329,53.64,131661,0
20090929,54.439,54.439,52.487,52.636,83316,0
20090930,52.663,53.156,51.697,52.31,96201,0
20091001,53.064,53.072,51.716,51.873,65072,0
20091002,51.242,52.785,51.148,51.818,80203,0
20091005,52.468,52.468,51.185,52.143,95878,0
20091006,52.924,52.924,51.697,52.71,117325,0
20091007,52.106,53.649,52.106,52.961,76117,0
20091008,53.788,53.788,52.403,52.831,51849,0
20091009,51.994,52.98,51.994,52.459,60379,0
20091012,53.203,53.249,52.152,52.989,36904,0
20091013,52.022,53.139,52.022,52.487,77341,0
20091014,53.147,53.147,51.873,52.18,102301,0
20091015,52.961,52.961,50.99,51.577,138113,0
20091016,52.358,52.358,51.129,51.389,65403,0
20091019,52.06,52.06,51.139,51.139,60279,0
20091020,52.273,52.412,51.408,52.226,72724,0
20091021,53.101,53.101,51.687,52.785,115042,0
20091022,53.593,53.593,51.697,52.524,95294,0
20091023,53.305,53.305,52.004,52.199,82807,0
20091026,51.464,52.951,51.464,51.957,59396,0
20091027,52.599,52.599,51.529,51.762,68800,0
20091028,52.645,52.645,50.637,50.758,138131,0
20091029,50.758,51.009,48.899,49.809,272173,0
20091030,50.479,50.479,49.065,49.67,140626,0
20091102,50.339,50.944,49.178,50.088,121500,0
20091103,50.953,50.953,49.029,49.577,59601,0
20091104,48.805,50.051,48.805,49.586,63662,0
20091105,50.238,50.238,48.815,49.503,100011,0
20091106,50.238,50.238,48.582,49.122,71693,0
20091109,50.711,50.711,49.271,50.153,35840,0
20091110,49.401,50.73,49.401,50.414,67271,0
20091111,51.279,51.567,50.637,51.084,62431,0
20091112,50.367,52.013,50.312,50.971,61520,0
20091113,51.223,51.521,50.358,51.455,39976,0
20091116,51.362,51.966,51.139,51.502,61919,0
20091117,50.823,52.06,50.823,51.577,41057,0
20091118,50.692,52.85,50.692,52.71,101506,0
20091119,52.571,52.989,51.864,52.645,73244,0
20091120,51.855,53.249,51.855,52.412,51181,0
20091123,51.687,52.896,51.687,52.645,59848,0
20091124,52.06,52.989,51.957,52.663,64402,0
20091125,51.873,52.887,51.837,52.776,64857,0
20091126,51.985,52.776,51.408,51.706,67385,0
20091127,51.548,52.803,50.721,52.459,115342,0
20091130,51.548,52.989,51.381,52.013,108741,0
20091201,51.334,53.139,51.334,52.841,116605,0
20091202,53.175,53.453,52.719,53.24,92688,0
20091203,53.444,53.863,52.422,53.129,122436,0
20091204,52.329,53.453,52.329,53.175,95453,0
20091207,59.311,59.311,52.618,53.165,65181,0
20091208,52.367,53.584,52.367,53.129,53520,0
