Date,Open,High,Low,Close,Volume,OpenInt
20160919,9.5,9.524,9.29,9.33,365798,0
20160920,9.4,9.482,9.4,9.449,100671,0
20160921,9.465,9.465,9.358,9.386,87362,0
20160922,9.465,9.47,9.37,9.449,129460,0
20160923,9.384,9.455,9.34,9.43,71121,0
20160926,9.459,9.84,9.402,9.79,349483,0
20160927,9.87,10.25,9.87,10.07,258882,0
20160928,10.23,10.39,10.12,10.195,261417,0
20160929,10.28,10.335,9.855,10.1,221300,0
20160930,9.97,10.145,9.75,10.125,184845,0
20161004,10.24,11.06,10.24,10.96,608478,0
20161005,11.035,11.28,10.87,10.935,373216,0
20161006,10.9,11.04,10.675,10.76,320469,0
20161007,10.66,10.745,10.49,10.51,182238,0
20161010,10.65,10.93,10.65,10.77,222056,0
20161011,10.81,10.87,10.54,10.54,206360,0
20161012,10.96,11.215,9.2,9.35,1581207,0
20161013,9.65,9.888,9.42,9.631,492884,0
20161014,9.85,9.85,9.058,9.23,612140,0
20161017,9.2,9.397,9.13,9.352,184038,0
20161018,9.387,9.51,9.262,9.505,368300,0
20161019,9.51,9.749,9.365,9.731,298371,0
20161020,9.73,9.745,9.519,9.696,178278,0
20161021,9.726,9.729,9.5,9.55,111298,0
20161024,9.6,9.605,9.318,9.413,207014,0
20161025,9.4,9.49,9.292,9.35,129738,0
20161026,9.37,9.37,8.9,9.087,313558,0
20161027,9.013,9.081,8.749,8.771,315830,0
20161028,8.75,9.078,8.537,8.995,320066,0
20161031,9.05,9.119,8.832,8.989,200840,0
20161101,9.02,9.09,8.61,8.743,196055,0
20161102,8.668,8.831,8.564,8.624,144616,0
20161103,8.699,8.979,8.673,8.875,151953,0
20161104,8.858,8.912,8.481,8.521,187341,0
20161107,8.6,9.14,8.6,9.134,269345,0
20161108,9.186,9.268,9,9.05,231094,0
20161109,8.9,9.101,8.605,9.101,272270,0
20161110,9.169,9.246,8.9,8.924,112522,0
20161111,8.998,8.998,8.66,8.75,140605,0
20161114,8.843,8.936,8.79,8.79,129261,0
20161115,8.859,9.3,8.823,9.3,220542,0
20161116,9.3,9.398,9.2,9.299,137255,0
20161117,9.3,9.3,9.164,9.239,72127,0
20161118,9.24,9.289,9.144,9.249,87655,0
20161121,9.234,9.373,9.144,9.341,127203,0
20161122,9.416,9.6,9.352,9.426,197509,0
20161123,9.55,9.7,9.5,9.62,218031,0
20161124,9.692,9.883,9.575,9.883,120087,0
20161125,9.884,9.999,9.667,9.715,115833,0
20161128,9.69,9.69,9.5,9.589,104434,0
20161129,9.549,9.579,9.349,9.5,111857,0
20161130,9.51,9.623,9.264,9.477,709361,0
20161201,9.511,9.6,8.999,9.05,198941,0
20161202,9,9,8.73,8.889,179951,0
20161205,8.8,9.05,8.654,8.95,232200,0
20161206,8.98,9.006,8.711,8.751,183450,0
20161207,8.8,8.986,8.701,8.92,236025,0
20161208,8.95,9.073,8.822,9.023,190229,0
20161209,9.052,9.107,8.917,9,68906,0
20161212,8.925,9.031,8.578,8.729,326005,0
20161213,8.766,8.766,8.413,8.54,336441,0
