Date,Open,High,Low,Close,Volume,OpenInt
20100715,20.094,20.387,19.265,19.577,5341085,0
20100716,19.559,19.646,19.217,19.217,890138,0
20100719,19.344,19.344,18.856,18.924,278192,0
20100720,18.987,19.124,18.924,18.924,26376,0
20100721,18.973,19.407,18.973,19.119,158535,0
20100722,18.963,19.475,18.963,19.207,128014,0
20100723,19.237,19.656,19.182,19.314,88455,0
20100726,19.392,19.559,19.247,19.559,66608,0
20100727,19.49,19.646,19.314,19.461,100317,0
20100728,19.392,19.505,19.27,19.295,38569,0
20100729,19.48,19.48,19.032,19.265,64023,0
20100730,19.247,19.265,19.022,19.047,111424,0
20100802,19.159,19.314,19.022,19.052,92775,0
20100803,18.983,19.314,18.983,19.129,23865,0
20100804,19.022,19.314,19.022,19.227,84289,0
20100805,19.187,19.314,19.178,19.314,62714,0
20100806,19.285,19.31,19.115,19.119,54986,0
20100809,19.305,19.305,19.022,19.168,54949,0
20100810,19.042,19.168,18.778,19.168,84263,0
20100811,18.895,19.022,18.437,18.437,73692,0
20100812,18.29,18.758,18.29,18.705,134889,0
20100813,18.71,18.71,18.422,18.534,17782,0
20100816,18.466,18.778,18.29,18.632,23450,0
20100817,18.661,18.778,18.348,18.729,30859,0
20100818,18.368,19.022,18.368,18.729,19577,0
20100819,18.807,19.022,18.583,18.905,15510,0
20100820,18.778,18.915,18.642,18.915,9533,0
20100823,18.725,18.924,18.647,18.827,15888,0
20100824,18.553,18.788,18.553,18.729,24907,0
20100825,18.593,18.778,18.593,18.729,64354,0
20100826,18.68,19.187,18.632,18.973,85641,0
20100827,18.837,19.407,18.837,19.139,25987,0
20100830,19.09,19.704,18.949,19.265,63738,0
20100831,19.256,19.509,19.119,19.339,161664,0
20100901,19.432,19.509,19.07,19.446,55476,0
20100902,19.314,19.509,19.168,19.314,141283,0
20100903,19.334,19.754,18.812,19.534,334293,0
20100906,19.49,20.485,19.451,20.485,61221,0
20100907,20.056,20.481,19.997,20.271,2399,0
20100908,20.041,20.681,20.007,20.485,187903,0
20100909,20.368,20.681,20.002,20.441,44655,0
20100910,20.231,21.071,20.114,20.973,24131,0
20100913,21.011,21.211,20.729,21.021,14495,0
20100914,20.904,21.071,20.876,20.973,42584,0
20100915,20.856,21.802,20.856,21.246,142503,0
20100916,21.061,21.168,20.524,21.119,74637,0
20100917,21.109,21.851,20.485,21.558,96253,0
20100920,21.723,21.948,21.119,21.251,77090,0
20100921,21.026,21.646,20.978,21.129,13810,0
20100922,21.1,21.358,20.485,20.631,67664,0
20100923,20.602,20.968,20.241,20.485,104723,0
20100924,20.173,20.807,19.797,20.485,57627,0
20100927,20.383,20.671,20.383,20.621,5616,0
20100928,20.397,20.709,20.241,20.681,5180,0
20100929,20.387,20.788,20.387,20.631,7425,0
20100930,20.271,21.216,20.271,21.216,40199,0
20101001,21.119,21.348,20.671,21.168,24360,0
20101004,20.885,21.183,20.748,20.748,8574,0
20101005,20.709,20.993,20.494,20.948,38054,0
20101006,20.797,21.256,20.504,20.744,58038,0
20101007,20.573,21.211,20.494,20.876,8313,0
20101008,20.709,21.071,20.671,20.924,24805,0
20101011,20.778,20.983,20.685,20.719,1482,0
20101012,20.407,21.173,20.281,20.973,24410,0
20101013,20.836,21.461,20.592,21.388,9197,0
20101014,21.295,21.705,20.993,21.656,15932,0
20101015,21.548,22.226,21.461,21.851,45744,0
20101018,21.275,22.368,21.275,22.363,7045,0
20101019,22.153,23.314,22.153,22.845,23834,0
20101020,22.427,23.031,22.09,22.655,19790,0
20101021,22.397,22.895,22.231,22.895,23928,0
20101022,22.787,22.924,22.533,22.924,13042,0
20101025,22.758,22.934,22.533,22.68,18807,0
