Date,Open,High,Low,Close,Volume,OpenInt
20000103,9.0874,9.0874,9.0874,9.0874,4794,0
20000104,8.7198,8.9946,8.7198,8.9946,13945,0
20000105,8.7198,8.7198,8.7198,8.7198,2615,0
20000106,8.7198,8.7656,8.7198,8.7656,6972,0
20000107,8.94,8.94,8.94,8.94,2397,0
20000110,9.041,9.041,9.041,9.041,4794,0
20000111,8.9262,8.9262,8.9262,8.9262,4794,0
20000112,8.7656,8.7656,8.7656,8.7656,4794,0
20000113,8.6739,8.8115,8.6739,8.8115,6754,0
20000114,8.4444,8.628,8.4444,8.628,6754,0
20000117,8.3985,8.3985,8.2608,8.3985,6537,0
20000118,8.7198,8.7198,8.7198,8.7198,10894,0
20000120,8.4902,9.0874,8.4902,9.0874,13073,0
20000121,8.7198,8.8574,8.7198,8.8574,6537,0
20000124,8.9033,8.9033,8.9033,8.9033,4357,0
20000125,8.6739,8.9033,8.6739,8.9033,8716,0
20000126,8.9262,8.9262,8.9262,8.9262,6537,0
20000127,9.041,9.041,9.041,9.041,8716,0
20000128,8.9033,9.041,8.9033,9.041,6754,0
20000131,9.041,9.041,9.041,9.041,4357,0
20000202,8.9492,8.9492,8.7656,8.7656,4357,0
20000204,8.7656,8.7656,8.7656,8.7656,2180,0
20000208,8.9946,8.9946,8.9946,8.9946,6754,0
20000209,8.8574,9.1694,8.8574,9.1694,8934,0
20000216,8.5361,8.5361,8.5361,8.5361,2180,0
20000217,8.582,8.7656,8.582,8.7656,6537,0
20000218,8.7198,8.7198,8.7198,8.7198,1742,0
20000225,9.0874,9.0874,9.0874,9.0874,8716,0
20000229,8.7198,8.7198,8.7198,8.7198,4357,0
20000301,8.4902,8.4902,8.4902,8.4902,435,0
20000302,8.6097,8.6097,8.3985,8.3985,5447,0
20000306,8.4214,8.4214,8.4214,8.4214,2180,0
20000307,8.4214,8.4214,8.2608,8.2608,4357,0
20000308,8.4902,8.6739,8.4902,8.6739,4794,0
20000309,8.4902,8.4902,8.2608,8.2608,3487,0
20000313,8.3525,8.7656,8.3067,8.7656,17432,0
20000314,8.8298,8.8298,8.8298,8.8298,6537,0
20000315,9.0637,9.0637,9.0637,9.0637,3268,0
20000316,8.582,8.8711,8.582,8.8711,872,0
20000317,8.7198,8.7198,8.7198,8.7198,435,0
20000320,8.9446,9.0637,8.9446,9.0637,4576,0
20000321,8.7198,8.7198,8.7198,8.7198,872,0
20000322,8.6739,8.9492,8.6739,8.9492,3922,0
20000323,8.894,8.894,8.894,8.894,2397,0
20000324,8.9354,8.9354,8.8758,8.8758,1090,0
20000328,8.5407,8.5407,8.5407,8.5407,1307,0
20000329,8.5407,8.5407,8.3755,8.3755,1090,0
20000331,8.3296,8.3296,8.3296,8.3296,218,0
20000403,8.5361,8.5638,8.3296,8.3296,872,0
20000404,8.3296,8.3939,8.3296,8.3939,6101,0
20000406,8.6509,8.6509,8.6509,8.6509,5883,0
20000410,8.7198,8.7198,8.7198,8.7198,4576,0
20000411,8.6647,8.6647,8.6647,8.6647,4576,0
20000412,8.6647,8.6647,8.6647,8.6647,6972,0
20000413,8.3985,8.3985,8.3985,8.3985,2180,0
20000414,8.4214,8.7198,8.4214,8.7198,9586,0
20000417,8.6097,9.041,8.6097,9.041,4794,0
20000419,9.041,9.041,9.041,9.041,9805,0
20000420,9.0363,9.1791,9.0363,9.1791,10458,0
20000425,8.8115,9.1791,8.8115,9.1791,5229,0
20000426,8.7198,9.1555,8.7198,9.1555,5447,0
20000428,9.1328,9.1328,9.1328,9.1328,4794,0
20000502,9.1791,9.1791,9.1791,9.1791,218,0
20000503,8.9946,9.2939,8.9946,9.2939,11112,0
20000504,9.2023,9.2524,9.2023,9.2524,1090,0
20000508,9.2939,9.4074,9.2708,9.3113,15471,0
20000511,9.4074,9.4547,9.3986,9.3986,7190,0
20000512,9.4547,9.706,9.4547,9.706,15689,0
20000515,9.592,9.706,9.4547,9.706,12856,0
20000516,9.638,9.638,9.546,9.546,3268,0
20000517,9.4547,9.5,9.3392,9.5,6537,0
20000518,9.4035,9.4035,9.1791,9.1791,2397,0
20000523,9.541,9.541,9.541,9.541,218,0
20000529,9.2071,9.2071,9.0637,9.0637,8279,0
20000530,9.0874,9.3621,9.0874,9.3621,4576,0
20000602,9.2708,9.5,9.2708,9.5,9151,0
20000605,9.638,9.638,9.4449,9.5,2397,0
20000606,8.9721,8.9721,8.2608,8.582,48373,0
20000607,8.5132,8.5132,8.3525,8.3525,2615,0
20000608,8.2608,8.3342,7.8477,8.0635,10022,0
20000609,8.0359,8.0359,7.8018,8.0359,10022,0
20000612,7.8018,7.9397,7.8018,7.9397,10894,0
20000613,7.9258,7.9258,7.8018,7.8018,5447,0
20000614,7.8018,7.8018,7.5725,7.5863,3487,0
20000615,7.6091,7.6183,7.6091,7.6183,2615,0
20000616,7.3429,7.5219,7.2557,7.5219,8279,0
20000619,7.5174,7.5265,7.4347,7.5219,10458,0
20000621,7.2511,7.32,7.2511,7.32,2832,0
20000622,7.32,7.4715,7.32,7.4715,2832,0
20000623,7.4347,7.4577,7.4347,7.4577,3050,0
20000626,7.7468,7.7468,7.5265,7.5725,8716,0
20000627,7.5495,7.5495,7.5495,7.5495,2180,0
20000628,7.8248,7.8891,7.8248,7.8891,8061,0
20000629,7.8936,8.0405,7.8936,8.0405,2832,0
20000630,7.9854,8.0772,7.9854,8.0772,655,0
20000703,8.1829,8.2608,8.1691,8.1691,49462,0
20000704,8.1691,8.4214,8.1232,8.4214,20047,0
20000705,8.2608,8.3204,8.2608,8.3204,1525,0
20000706,8.0772,8.3067,8.0313,8.0543,14164,0
20000710,8.1782,8.1782,7.8936,7.9028,4139,0
20000712,7.9397,8.0865,7.9397,8.0865,2180,0
20000717,7.9397,8.2608,7.7561,8.2608,19829,0
20000718,7.6413,7.9762,7.5725,7.7561,26366,0
20000719,7.8018,7.8018,7.7102,7.8018,1742,0
20000720,7.5725,7.6183,7.5725,7.6183,3487,0
20000721,7.6642,7.6642,7.6642,7.6642,3922,0
20000724,7.8018,7.8018,7.8018,7.8018,872,0
20000725,7.7973,7.8983,7.4898,7.4898,4794,0
20000728,7.8018,7.8018,7.8018,7.8018,655,0
20000804,7.8983,7.8983,7.8983,7.8983,1090,0
20000807,7.8936,7.8936,7.8936,7.8936,2180,0
20000808,7.6367,7.8248,7.6367,7.8018,3922,0
20000809,7.6825,7.6825,7.6367,7.6367,7844,0
20000810,7.7331,7.7331,7.7148,7.7148,10022,0
20000814,7.7835,7.7835,7.7835,7.7835,435,0
20000815,7.6,7.8018,7.5725,7.8018,25058,0
20000816,7.7561,7.7561,7.7561,7.7561,2180,0
20000818,7.8018,7.8018,7.7789,7.7789,2615,0
20000821,7.7331,7.7331,7.7331,7.7331,1090,0
20000822,7.6596,7.6596,7.5725,7.5725,37695,0
20000823,7.6642,7.8522,7.5725,7.8522,380229,0
20000824,7.8294,7.99,7.6505,7.99,6537,0
20000825,7.99,8.0682,7.9854,8.0682,28980,0
20000828,8.0772,8.1598,8.0682,8.1598,22661,0
20000829,8.1782,8.2241,8.1232,8.215,100668,0
