Date,Open,High,Low,Close,Volume,OpenInt
20060628,13.851,14.155,13.584,13.708,33984,0
20060629,13.924,13.984,13.671,13.809,10524,0
20060630,13.93,14.131,13.737,13.936,23182,0
20060703,14.01,14.834,13.936,14.776,34351,0
20060704,14.779,14.935,14.131,14.578,42772,0
20060705,14.477,14.508,14.149,14.246,17288,0
20060706,14.149,14.306,13.819,14.1,15314,0
20060707,14.065,14.382,13.906,14.172,4262,0
20060710,14.16,14.172,13.671,14.007,7721,0
20060711,13.816,14.007,13.816,13.913,11888,0
20060712,13.959,14.056,13.913,14.056,10075,0
20060713,13.819,14.152,13.629,13.74,13163,0
20060714,13.34,13.785,12.681,13.228,48386,0
20060717,13.283,13.283,13.067,13.098,15549,0
20060718,13.182,13.204,12.779,12.852,23296,0
20060719,12.72,12.98,12.72,12.865,16951,0
20060720,13.124,14.036,12.969,13.873,26609,0
20060721,13.816,14.074,13.397,13.909,18131,0
20060724,13.909,14.376,13.527,14.102,11100,0
20060725,14.203,14.203,13.749,13.9,6071,0
20060726,13.806,14.125,13.762,14.125,9244,0
20060727,14.039,15.111,14.039,14.879,73107,0
20060728,14.73,16.624,14.73,16.404,188960,0
20060731,16.028,16.924,15.519,16.457,91907,0
20060801,16.373,17.061,15.122,15.26,54174,0
20060802,15.855,16.614,14.83,16.466,36891,0
20060803,16.424,18.001,16.373,17.441,74482,0
20060804,17.579,18.588,16.544,16.811,99698,0
20060807,16.899,17.234,15.959,17.148,32498,0
20060808,17.183,17.397,16.82,17.148,25258,0
20060809,17.234,17.268,15.512,16.304,43977,0
20060810,16.328,16.355,14.864,16.115,47628,0
20060811,16.19,16.19,15.434,15.803,34032,0
20060814,15.855,16.286,15.175,15.554,34225,0
20060815,15.475,15.605,14.95,15.338,37873,0
20060816,15.33,16.373,15.079,16.338,35154,0
20060817,16.328,16.484,15.977,16.373,27108,0
20060818,16.355,16.442,15.863,16.028,19760,0
20060821,16.115,16.217,15.527,15.692,21115,0
20060822,15.725,16.373,15.519,16.028,21896,0
20060823,15.991,16.373,15.977,16.01,10048,0
20060824,16.001,16.115,15.725,15.931,10676,0
20060825,15.931,16.373,15.855,16.19,12070,0
20060828,16.328,16.373,15.77,16.268,13182,0
20060829,16.217,16.829,15.812,16.656,20335,0
20060830,16.632,17.173,16.115,16.855,91955,0
20060831,16.968,17.321,16.803,17.122,43037,0
20060901,17.157,17.303,16.803,16.95,35461,0
20060904,17.019,17.234,16.889,17.053,34137,0
20060905,17.13,17.234,16.717,17.01,19870,0
20060906,16.924,17.148,16.803,16.931,16640,0
20060907,16.811,17.621,15.855,16.208,105366,0
20060908,16.32,16.717,16.019,16.484,24606,0
20060911,16.76,17.276,16.457,16.717,46700,0
20060912,16.803,17.561,16.717,17.535,31084,0
20060913,17.561,17.561,16.985,17.208,37223,0
20060914,17.191,17.234,16.847,17.01,25268,0
20060915,17.148,17.225,16.751,17.208,19611,0
20060918,17.191,17.475,17.061,17.389,25173,0
20060919,17.336,17.837,17.252,17.63,95182,0
20060920,17.907,18.009,17.329,17.863,48000,0
20060921,17.923,18.009,17.579,17.683,19554,0
20060922,17.673,17.837,17.363,17.613,17109,0
20060925,17.751,17.88,17.406,17.673,21983,0
20060926,17.579,17.777,17.381,17.665,21419,0
20060927,17.708,18.053,17.621,17.888,30040,0
20060928,18.001,18.001,16.838,17.139,56981,0
20060929,17.276,17.57,16.632,16.871,31084,0
20061002,16.976,17.234,16.674,17.113,15139,0
20061003,17.113,17.397,16.82,16.968,11976,0
