Date,Open,High,Low,Close,Volume,OpenInt
20090408,6.86,6.99,6.71,6.99,40,0
20090417,6.71,6.86,6.57,6.71,10,0
20090422,6.86,6.95,6.71,6.95,5,0
20090507,6.78,6.78,6.63,6.63,300,0
20090511,6.8,6.8,6.66,6.66,100,0
20090512,6.52,6.67,6.25,6.25,300,0
20090529,6.37,6.51,6.23,6.51,100,0
20090603,6.51,6.65,6.37,6.65,50,0
20090612,6.55,6.55,6.41,6.5,200,0
20090616,6.55,6.55,6.27,6.27,250,0
20090625,6.59,6.59,6.5,6.5,1000,0
20090708,6.5,6.5,6.36,6.36,20,0
20090714,6.37,6.37,6,6,200,0
20090715,6.37,6.37,5.97,5.97,390,0
20090720,5.4,6.2,5,5,100,0
20090722,4.5,6.2,4,4.15,200,0
20090723,4.15,4.15,3.5,3.5,1696,0
20090724,2.9,3.74,2.83,2.89,2760,0
20090727,2.8,2.9,2.7,2.75,590,0
20090728,2.75,2.81,2.69,2.75,400,0
20090729,2.81,2.81,2.75,2.75,40,0
20090731,2.78,2.96,2.75,2.96,1000,0
20090803,2.97,3.09,2.85,3.09,1094,0
20090804,3.09,3.27,3,3.27,461,0
20090805,3.28,4,3.19,3.48,280,0
20090806,3.73,3.87,3.65,3.87,1147,0
20090807,3.98,3.98,3.87,3.87,550,0
20090812,3.82,4.2,3.76,4.08,1251,0
20090813,4.09,6,3.98,5.83,2203,0
20090814,5.84,5.84,5.66,5.67,47,0
20090818,5.69,5.69,4.8,5.13,1200,0
20090819,5.13,5.13,4.7,4.91,296,0
20090824,4.83,4.83,4.5,4.6,754,0
20090825,4.6,4.7,4.5,4.6,100,0
20090828,4.6,4.8,4.5,4.8,167,0
20090831,4.81,4.95,4.71,4.95,93,0
20090901,4.95,5.09,3.8,4.05,1592,0
20090902,4.06,4.12,3.84,4.12,1160,0
20090903,4,4.24,4,4.24,50,0
20090908,5.15,6.7,5,6.7,900,0
20090909,6.51,6.51,5.83,5.83,1500,0
20090910,5.92,5.92,5.2,5.2,800,0
20090914,5.05,5.35,5.05,5.35,200,0
20090915,5.36,5.36,4.8,5.11,1100,0
20090917,5.5,5.94,5.3,5.76,3402,0
20090918,5.68,5.89,5.68,5.89,900,0
20090924,5.84,5.84,5.72,5.74,300,0
20090925,5.62,6.15,5.62,6.05,6200,0
20090928,6.1,6.15,6.02,6.15,200,0
20090929,6.1,6.1,6.02,6.02,400,0
20090930,6.02,6.09,6.02,6.02,1400,0
20091002,6,7.5,6,7.5,923,0
20091005,6.5,6.6,6,6,1025,0
20091006,6.02,6.15,5.9,6.02,235,0
20091008,5.9,6.16,5.9,6,220,0
20091009,5.9,6.15,5.9,6.02,180,0
20091012,6.03,7.02,5.9,6.23,1845,0
20091013,6.24,6.24,6.1,6.11,45,0
20091014,5.98,6.11,5.98,5.98,150,0
20091020,6.03,6.03,5.9,5.9,1000,0
20091023,5.91,5.91,5.78,5.78,100,0
20091028,5.68,6.3,5.68,6.15,1940,0
20091105,6.21,6.35,6.08,6.1,150,0
20091110,5.93,5.93,5.8,5.8,110,0
20091111,5.81,5.81,5.69,5.69,101,0
20091112,5.7,6,5.58,6,415,0
20091207,5.78,5.92,5.78,5.92,2,0
20091208,5.96,5.96,5.92,5.93,2,0
20091211,5.96,5.96,5.92,5.92,330,0
20091215,5.67,5.67,5.55,5.55,200,0
20091216,5.43,5.55,5.32,5.55,226,0
20091217,5.43,6,5.32,6,796,0
20091223,5.52,5.52,5.4,5.4,400,0
20091228,5.4,5.4,5,5.29,298,0
20091229,5.18,5.18,5.07,5.07,100,0
20100114,3.838,3.838,3.5,3.836,3347,0
