Date,Open,High,Low,Close,Volume,OpenInt
20000103,2.9396,3.0017,2.9292,2.981,334763,0
20000104,2.9582,2.9602,2.8774,2.9292,131876,0
20000105,2.9085,2.9085,2.8466,2.8567,68111,0
20000106,2.8877,2.8982,2.8567,2.8877,57969,0
20000107,2.8982,2.9602,2.8608,2.9602,368579,0
20000110,2.981,2.981,2.8982,2.9292,205302,0
20000111,2.9085,2.9085,2.8774,2.8774,32365,0
20000112,2.8526,2.9396,2.8526,2.9396,95648,0
20000113,2.9602,2.9665,2.9209,2.9292,170039,0
20000114,2.9602,2.9602,2.8982,2.9085,138156,0
20000117,2.9188,2.9188,2.8671,2.8671,87918,0
20000118,2.9188,2.9188,2.7843,2.7947,113521,0
20000119,2.7718,2.7739,2.7077,2.7428,193226,0
20000120,2.7843,2.8029,2.7325,2.7325,173420,0
20000121,2.7553,2.7553,2.6394,2.6394,427512,0
20000124,2.6704,2.7533,2.6704,2.7533,135740,0
20000125,2.6911,2.7119,2.6809,2.6911,145401,0
20000126,2.6911,2.7221,2.6394,2.6498,114002,0
20000127,2.6891,2.7739,2.6498,2.7739,142504,0
20000128,2.7739,2.8072,2.7325,2.7553,81154,0
20000131,2.7325,2.9396,2.7325,2.8982,287906,0
20000201,2.8774,2.9788,2.8774,2.95,346841,0
20000202,2.9788,2.9788,2.8774,2.9188,126080,0
20000203,2.8982,2.8982,2.7947,2.8361,228489,0
20000204,2.8091,2.8567,2.7968,2.8154,136225,0
20000207,2.8257,2.863,2.7843,2.805,135740,0
20000208,2.8361,3.0431,2.8361,3.0431,302398,0
20000209,3.0224,3.0264,2.9602,3.0017,224624,0
20000210,2.9396,3.0327,2.8982,3.0327,141053,0
20000211,2.9706,3.0637,2.95,2.981,412053,0
20000214,2.981,2.981,2.9437,2.9706,103858,0
20000215,2.9852,2.9852,2.7947,2.8671,244430,0
20000216,2.8963,2.8963,2.8567,2.8963,130912,0
20000217,2.8982,2.9396,2.8671,2.8671,82120,0
20000218,2.8671,2.9085,2.805,2.8567,166174,0
20000221,2.8257,2.8567,2.7781,2.7947,227039,0
