Date,Open,High,Low,Close,Volume,OpenInt
20070725,16.704,16.704,16.704,16.704,0,0
20070726,16.483,17.055,15.965,16.07,1255178,0
20070727,16.175,16.308,15.895,16.115,120082,0
20070730,16.001,16.115,15.604,15.903,191698,0
20070731,15.903,15.912,15.385,15.789,108927,0
20070801,15.428,15.825,15.218,15.798,9595,0
20070802,15.762,15.815,15.472,15.639,47754,0
20070803,15.517,15.517,15.131,15.367,36977,0
20070806,15.121,15.297,14.972,15.121,48247,0
20070807,15.472,15.472,14.805,14.954,41768,0
20070808,14.945,14.945,14.769,14.92,27845,0
20070809,14.769,14.92,14.066,14.355,62051,0
20070810,14.066,14.558,14.066,14.277,27456,0
20070813,14.101,15.42,14.066,15.42,17265,0
20070814,15.42,15.472,14.532,15.305,12977,0
20070815,15.226,15.226,14.418,14.734,19354,0
20070816,14.285,14.329,14.066,14.241,25472,0
20070817,14.241,14.285,14.066,14.285,746,0
20070820,14.198,14.506,14.189,14.408,6471,0
20070821,14.285,14.769,14.066,14.691,30036,0
20070822,14.682,15.27,14.364,14.514,31272,0
20070823,15.104,15.244,14.857,14.98,18758,0
20070824,14.98,14.98,14.585,14.734,27515,0
20070827,14.91,14.954,14.725,14.954,534,0
20070828,14.769,14.945,14.629,14.778,1198,0
20070829,14.778,14.841,14.434,14.576,1187,0
20070830,14.576,14.593,14.128,14.285,2048,0
20070831,14.285,14.285,12.791,13.636,8269,0
20070903,13.636,14.093,13.513,13.767,1176,0
20070904,13.767,13.767,13.503,13.723,0,0
20070905,13.723,13.759,13.319,13.529,3158,0
20070906,13.407,13.767,13.407,13.767,338,0
20070907,13.759,13.785,13.407,13.785,18691,0
20070910,13.627,13.846,13.169,13.38,19330,0
20070911,13.714,13.846,13.608,13.828,3270,0
20070912,14.04,14.04,13.407,13.617,6905,0
20070913,13.617,13.617,13.187,13.548,25034,0
20070914,13.274,13.538,12.984,13.195,15522,0
20070917,13.195,13.274,12.984,13.195,2977,0
20070918,13.195,13.195,12.984,13.195,305,0
20070919,13.195,13.636,12.984,13.636,6693,0
20070920,13.592,13.592,13.09,13.548,544,0
20070921,13.548,13.548,12.967,13.187,9041,0
20070924,13.187,13.187,12.791,13.09,6911,0
