Date,Open,High,Low,Close,Volume,OpenInt
20020717,8.15,8.15,8.05,8.13,4300,0
20020718,8.1,8.1,8,8,6300,0
20020719,8,8.04,8,8,10600,0
20020722,8.05,8.05,8.05,8.05,1300,0
20020723,8.05,8.1,8.05,8.1,2500,0
20020724,8.1,8.1,8.01,8.01,200,0
20020725,8.05,8.1,7.95,7.95,2200,0
20020726,8,8,8,8,1400,0
20020731,7.95,8.13,7.95,8.13,1500,0
20020801,8,8,8,8,8100,0
20020802,8,8,7.95,7.95,3200,0
20020805,7.95,7.95,7.8,7.8,4300,0
20020806,7.75,7.75,7.75,7.75,1000,0
20020807,7.7,7.7,7.7,7.7,1300,0
20020808,7.4,7.5,7.04,7.2,3000,0
20020809,7.2,7.55,7.2,7.55,500,0
20020812,7.55,7.55,7.55,7.55,100,0
20020815,7.5,7.5,7.5,7.5,600,0
20020816,7.55,7.55,7.5,7.5,700,0
20020820,7.45,7.45,7.45,7.45,200,0
20020822,7.5,7.5,7.35,7.35,2400,0
20020829,7.25,7.4,7.25,7.4,600,0
20020902,7.45,7.45,7.45,7.45,300,0
20020903,7.2,7.2,7.2,7.2,1400,0
20020904,7.2,7.2,7.2,7.2,1100,0
20020905,7.2,7.2,7.1,7.2,2500,0
20020906,7.25,7.25,7.08,7.08,2500,0
20020909,7.2,7.2,7.15,7.15,1600,0
20020910,7.2,7.2,6.66,6.66,2900,0
20020911,7,7,7,7,2800,0
20020918,6.8,6.8,6.7,6.8,26100,0
20020919,6.7,6.7,6.65,6.65,100,0
20020924,6.58,6.6,6.58,6.6,2000,0
20020925,6.5,6.5,6.5,6.5,200,0
20020926,6.5,6.5,6.4,6.4,500,0
20020927,6.4,6.4,6.4,6.4,2500,0
20020930,6.1,6.1,3.34,3.45,34300,0
20021001,3.5,3.5,3.07,3.07,26900,0
20021002,3.39,3.4,3.3,3.38,8900,0
20021003,3.38,3.4,3.38,3.4,1100,0
20021004,3.05,3.15,3,3,2500,0
20021007,3,3,2.95,3,1100,0
20021008,2.95,2.95,2.9,2.9,4300,0
20021009,2.7,2.7,2.35,2.35,9000,0
20021010,2.3,2.32,2.3,2.32,3100,0
20021011,2.3,2.3,2.02,2.1,11000,0
20021014,2.15,2.27,2.15,2.25,4000,0
20021015,2.35,2.75,2.35,2.71,6000,0
20021016,2.9,2.9,2.7,2.8,3200,0
20021017,2.9,2.9,2.7,2.85,3300,0
20021018,2.89,2.89,2.88,2.88,2000,0
20021021,2.9,2.9,2.88,2.9,1400,0
20021022,2.9,2.9,2.88,2.88,800,0
20021023,2.95,3,2.95,2.96,5000,0
20021024,2.85,2.85,2.85,2.85,300,0
20021025,2.9,2.95,2.7,2.7,3800,0
20021029,2.95,2.95,2.95,2.95,1000,0
20021101,2.95,2.95,2.95,2.95,100,0
20021104,2.95,2.95,2.95,2.95,400,0
20021107,3,3,3,3,1200,0
20021108,3,3,3,3,700,0
20021111,3,3,3,3,800,0
20021113,3,3,2.88,2.88,3900,0
20021114,2.75,2.75,2.7,2.7,2500,0
20021115,2.6,2.6,2.55,2.55,2200,0
20021118,2.5,2.5,2.5,2.5,800,0
20021119,2.55,2.55,2.36,2.36,900,0
20021121,2.35,2.35,2.25,2.25,4000,0
20021122,2.2,2.2,1.9,1.9,6000,0
