Date,Open,High,Low,Close,Volume,OpenInt
20000103,65.095,67.807,65.095,66.081,10748,0
20000104,67.067,67.659,64.256,64.256,7705,0
20000105,64.493,64.868,63.122,64.108,13080,0
20000106,63.517,64.01,62.432,63.221,16426,0
20000107,64.108,65.095,63.418,64.108,20177,0
20000110,63.615,65.538,63.615,65.538,3448,0
20000111,64.848,65.39,64.207,65.39,21597,0
20000112,65.39,65.39,62.432,63.27,9226,0
20000113,62.629,62.629,61.643,62.086,18453,0
20000114,61.741,62.136,60.854,61.465,7199,0
20000117,62.136,62.136,61.268,61.268,6591,0
20000118,61.268,61.268,59.029,59.029,25449,0
20000119,59.029,59.818,57.204,57.895,25247,0
20000120,57.747,57.747,55.528,56.415,28086,0
20000121,56.978,59.562,56.218,59.276,16426,0
20000124,58.782,59.562,58.191,59.226,22103,0
20000125,59.177,59.818,56.711,57.796,25145,0
20000126,57.224,57.697,56.81,57.55,10849,0
20000127,58.122,66.821,57.204,66.574,52724,0
20000128,69.04,79.889,69.04,75.944,556434,0
20000131,75.944,76.24,71.012,71.407,46235,0
20000201,73.478,82.848,73.478,76.437,158272,0
20000202,76.93,76.93,73.281,73.971,28491,0
20000203,74.464,76.24,72.492,73.577,94800,0
20000204,73.971,76.486,73.251,74.859,56779,0
20000207,74.07,79.889,74.07,79.396,145192,0
20000208,78.903,86.053,78.903,86.053,267773,0
20000209,85.806,88.026,84.82,85.806,149349,0
20000210,84.919,85.609,83.341,84.82,111124,0
20000211,84.82,84.82,81.861,83.834,58300,0
20000214,86.3,86.3,82.512,82.848,71380,0
20000215,83.469,83.666,75.944,79.889,105142,0
20000216,81.072,83.834,81.072,82.256,76550,0
20000217,83.045,85.511,82.946,84.327,166484,0
20000218,83.538,84.524,82.552,83.834,148740,0
20000221,83.341,84.327,83.341,84.327,16933,0
20000222,82.009,83.735,81.861,83.637,15919,0
20000223,83.735,87.286,83.735,86.793,93989,0
20000224,86.793,101.09,85.442,94.683,400393,0
20000225,95.62,101.6,95.62,98.628,150363,0
20000228,98.628,99.121,97.642,98.234,74624,0
20000229,98.135,99.91,97.741,99.121,150261,0
20000301,98.727,102.08,98.628,101.44,39746,0
20000302,99.447,116.54,99.121,113.27,105346,0
20000303,114.4,114.4,96.281,99.81,107171,0
20000306,99.61,103.17,99.61,101.59,36298,0
20000307,100.6,102.57,98.036,98.727,56779,0
20000308,98.628,101.49,98.628,101.09,19467,0
20000309,100.7,103.56,99.81,100.4,23218,0
20000310,101.4,102.57,98.135,98.628,47046,0
