Date,Open,High,Low,Close,Volume,OpenInt
20161007,1,1.1,1,1.1,120,0
20161019,1,1.1,1,1.1,32,0
20161026,1,1.05,1,1.05,85,0
20161028,0.955,0.955,0.955,0.955,16,0
20161101,0.91,0.91,0.91,0.91,2,0
20161103,0.875,1,0.875,1,500,0
20161110,0.909,1.03,0.909,1.03,150,0
20161114,0.936,0.98,0.936,0.98,948,0
20161121,0.891,0.891,0.891,0.891,400,0
20161122,0.875,0.9,0.875,0.875,20,0
20161124,0.875,0.88,0.875,0.875,10,0
20161209,0.875,0.9,0.875,0.9,170,0
20161214,0.901,0.91,0.901,0.901,3,0
20161216,0.901,0.902,0.901,0.901,10,0
20161222,0.901,0.901,0.875,0.9,8163,0
20170102,0.83,0.835,0.83,0.835,20,0
20170106,0.84,1.1,0.84,1.1,1888,0
20170109,1.3,1.55,1.3,1.355,6387,0
20170110,1.232,1.55,1.232,1.52,6694,0
20170111,1.333,1.48,1.298,1.298,1111,0
20170112,1.139,1.18,1.139,1.18,5,0
20170113,1.035,1.15,1.035,1.15,6,0
20170116,1.009,1.009,1.009,1.009,700,0
20170118,0.93,1.01,0.93,1.01,300,0
20170119,0.93,0.93,0.93,0.93,600,0
20170120,0.93,0.93,0.93,0.93,555,0
20170123,0.93,1.56,0.93,1.5,4956,0
20170124,1.277,1.48,1.277,1.48,1344,0
20170127,1.26,1.26,1.26,1.26,120,0
20170131,1.088,1.1,1.088,1.1,100,0
20170206,1.05,1.25,1.05,1.25,250,0
20170215,1.064,1.15,1.064,1.09,23,0
20170222,0.954,1.14,0.954,1.14,200,0
20170228,1.061,1.061,1.061,1.061,3470,0
20170313,1.151,1.151,1.15,1.15,753,0
20170314,1.1,1.25,1.1,1.25,380,0
20170317,1.109,1.11,1.109,1.11,100,0
20170323,1.1,1.15,1.1,1.15,10,0
