Date,Open,High,Low,Close,Volume,OpenInt
20151013,12.698,12.698,12.207,12.438,1727301,0
20151014,12.476,12.621,12.284,12.322,342208,0
20151015,12.467,12.467,12.043,12.091,996964,0
20151016,12.274,12.284,11.802,11.802,3913000,0
20151019,11.821,11.869,11.368,11.465,1605405,0
20151020,11.556,11.821,11.417,11.561,1119332,0
20151021,11.672,11.85,11.566,11.845,342554,0
20151022,11.927,12.39,11.802,12.39,503496,0
20151023,12.467,13.382,12.433,13.189,1161876,0
20151026,13.295,13.295,13.05,13.122,178038,0
20151027,13.199,13.199,12.602,12.91,205105,0
20151028,13.103,13.103,12.611,12.91,191232,0
20151029,13.054,13.059,12.621,13.059,97655,0
20151030,13.059,13.059,12.664,12.814,131821,0
20151102,12.91,12.997,12.765,12.833,76735,0
20151103,12.862,12.929,12.582,12.828,73670,0
20151104,12.727,12.939,12.496,12.895,84956,0
20151105,12.997,12.997,12.529,12.563,120249,0
20151106,12.544,12.679,12.433,12.486,166956,0
20151109,12.52,12.655,11.946,12.235,143544,0
20151110,12.284,12.284,12.043,12.139,102887,0
20151111,12.091,12.322,12.091,12.293,29594,0
20151112,12.26,12.5,12.26,12.428,71112,0
20151113,12.505,12.703,12.428,12.693,158755,0
20151116,12.525,12.785,12.525,12.756,198716,0
20151117,12.785,13.127,12.712,13.064,129592,0
20151118,13.483,13.507,13.083,13.136,650245,0
20151119,13.411,14.153,13.271,13.97,637586,0
20151120,14.153,14.726,14.076,14.533,716478,0
20151123,14.644,14.745,14.355,14.673,433570,0
20151124,14.74,15.01,14.307,14.885,318259,0
20151125,15.034,15.434,14.914,15.318,384794,0
20151126,15.444,16.157,15.396,16.031,487910,0
20151127,16.282,16.32,15.66,15.993,393635,0
20151130,16.176,16.195,15.752,15.993,250793,0
20151201,16.186,16.186,15.877,16.104,378165,0
20151202,16.186,16.503,16.002,16.475,293756,0
20151203,16.475,16.826,15.945,16.031,319868,0
20151204,16.137,16.21,15.8,16.041,416333,0
20151207,16.33,16.33,15.887,15.906,342732,0
20151208,16.027,16.027,15.261,15.434,477134,0
20151209,15.598,15.733,15.371,15.497,381928,0
20151210,15.506,15.819,15.463,15.819,105768,0
20151211,15.896,16.128,15.463,15.607,223557,0
20151214,15.738,15.762,15.371,15.511,140026,0
20151215,15.665,15.93,15.468,15.656,153211,0
20151216,15.766,15.896,15.598,15.781,218744,0
20151217,16.369,16.369,15.511,15.593,334470,0
20151218,15.463,15.651,15.357,15.569,438812,0
20151221,15.67,16.027,15.516,15.839,120320,0
20151222,15.853,15.978,15.67,15.766,96898,0
20151223,15.906,15.964,15.762,15.762,70953,0
20151228,15.8,15.844,15.622,15.704,67158,0
20151229,15.694,15.699,15.396,15.559,83590,0
20151230,15.53,15.704,15.53,15.656,133507,0
20160104,15.415,15.607,15.131,15.347,180921,0
20160105,15.468,15.704,15.347,15.352,176781,0
20160106,15.415,15.415,14.798,15.126,194365,0
20160107,14.567,14.885,14.307,14.572,212617,0
20160108,14.543,15.116,14.49,14.601,210533,0
20160111,14.61,15.169,14.606,14.687,256234,0
20160112,14.692,14.933,14.504,14.832,227420,0
20160113,15.039,15.169,14.182,14.182,251713,0
20160114,14.249,14.249,13.17,13.806,465115,0
20160115,14.047,14.133,13.396,13.488,303580,0
20160118,13.488,13.719,13.343,13.526,76831,0
20160119,13.873,13.994,13.526,13.921,167159,0
20160120,13.782,14.162,13.729,13.835,171409,0
20160121,13.873,14.235,13.7,14.047,210495,0
20160122,14.23,14.687,14.066,14.384,67566,0
20160125,14.432,14.625,13.97,14.162,125792,0
20160126,14.09,14.721,13.974,14.658,103579,0
20160127,14.548,15.188,14.451,15.068,230841,0
20160128,15.068,15.078,14.105,14.557,242536,0
20160129,14.61,14.644,13.787,14.085,354685,0
20160201,14.206,14.206,13.637,13.637,120812,0
20160202,13.734,13.941,13.16,13.941,270903,0
20160203,13.815,14.162,13.714,13.902,220932,0
20160204,14.023,14.023,13.478,13.695,139331,0
20160205,13.71,13.71,13.406,13.56,55338,0
20160208,13.502,13.565,12.833,12.92,126226,0
20160209,12.814,13.392,12.11,12.525,407237,0
20160210,12.621,13.006,12.024,12.669,268264,0
20160211,12.558,12.592,12.091,12.163,227013,0
20160212,12.187,12.284,11.759,11.802,344210,0
20160215,12.245,12.467,12.072,12.438,174046,0
20160216,12.534,12.635,12.096,12.264,178356,0
20160217,12.284,13.035,12.105,12.997,260586,0
20160218,13.151,13.584,13.016,13.445,260738,0
20160219,13.324,13.473,12.997,13.295,215710,0
20160222,13.411,13.608,13.146,13.608,133455,0
20160223,13.488,13.517,13.223,13.305,152901,0
20160224,13.382,13.382,12.842,13.252,162051,0
20160225,13.257,13.295,12.987,13.156,135232,0
20160226,13.271,13.652,13.194,13.464,149918,0
20160229,13.488,14.114,13.334,13.883,277776,0
20160301,13.758,14.649,13.758,14.649,190353,0
20160302,14.649,14.914,14.442,14.495,193605,0
