Date,Open,High,Low,Close,Volume,OpenInt
20070410,1.3906,1.3906,1.3906,1.3906,2848,0
20070411,1.3221,1.3221,1.3221,1.3221,477,0
20070418,1.4102,1.4102,1.4102,1.4102,7148,0
20070423,1.4298,1.4298,1.4298,1.4298,952,0
20070427,1.4298,1.4298,1.4298,1.4298,8561,0
20070607,1.4298,1.4298,1.4298,1.4298,1427,0
20070621,1.469,1.469,1.469,1.469,4289,0
20070724,1.7432,1.7432,1.7432,1.7432,953,0
20070730,1.5179,1.5179,1.5179,1.5179,8538,0
20070815,1.469,1.469,1.469,1.469,8577,0
20070816,1.5179,1.5179,1.5179,1.5179,2846,0
20070820,1.6354,1.6354,1.6354,1.6354,1905,0
20070822,1.4984,1.4984,1.4984,1.4984,1430,0
20070823,1.5081,1.5081,1.5081,1.5081,5215,0
20070824,1.5012,1.5012,1.4697,1.4886,80018,0
20070827,1.4984,1.4984,1.4372,1.4984,2369,0
20070828,1.4277,1.4592,1.4277,1.4592,55727,0
20070829,1.4109,1.4298,1.4087,1.4298,52791,0
20070830,1.4102,1.4102,1.4102,1.4102,14274,0
20070831,1.42,1.42,1.42,1.42,1429,0
20070903,1.4786,1.5375,1.4786,1.5375,16143,0
20070904,1.5752,1.7852,1.5752,1.7432,171887,0
20070905,1.7864,1.8727,1.7464,1.8411,142102,0
20070906,1.8388,2.0783,1.8388,2.0174,128482,0
20070907,1.9741,1.995,1.8901,1.8901,184278,0
20070910,1.9321,2.0355,1.9194,1.9194,271656,0
20070911,1.9207,2.0384,1.9207,2.0174,63291,0
20070912,2.0174,2.0489,2.0174,2.0174,48538,0
20070913,2.056,2.2036,2.0348,2.0369,207240,0
20070914,2.1447,2.1447,2.1447,2.1447,3805,0
20070917,2.1462,2.1672,2.1251,2.1251,26140,0
20070918,2.1661,2.2818,2.1661,2.2818,7608,0
20070919,2.3161,2.5266,2.3161,2.5266,34670,0
20070920,2.448,2.448,2.1265,2.1643,48542,0
20070921,2.2554,2.2554,2.2133,2.2133,4744,0
20070924,2.266,2.266,2.2133,2.2133,8540,0
20070925,2.2133,2.2133,2.1731,2.2133,13757,0
20070926,2.1507,2.1907,2.0664,2.0664,82997,0
20070927,2.0511,2.0511,1.9038,2.0174,41832,0
20070928,1.9579,1.9978,1.9262,1.9978,10926,0
20071003,2.0076,2.0076,2.0076,2.0076,5708,0
20071004,1.9747,2.0272,1.9747,2.0272,5237,0
20071008,2.0076,2.0076,2.0076,2.0076,476,0
20071009,2.0159,2.1838,2.0159,2.1838,39050,0
20071010,2.2245,2.2245,2.2035,2.2035,11856,0
20071012,2.2426,2.2426,2.2426,2.2426,1429,0
20071015,2.2406,2.2426,2.2406,2.2426,9048,0
20071016,2.2048,2.2048,2.1838,2.1838,3334,0
20071017,2.2141,2.2141,2.2035,2.2035,5691,0
20071018,2.2474,2.5462,2.2474,2.5462,172027,0
20071019,2.5466,2.5466,2.3678,2.3993,67469,0
20071022,2.3993,2.4204,2.3993,2.3993,44188,0
20071023,2.3982,2.556,2.3982,2.556,47060,0
20071024,2.5554,2.5658,2.5554,2.5658,32333,0
20071025,2.6319,2.9478,2.6319,2.9478,52718,0
20071026,3.0207,3.0207,2.8733,2.9576,32304,0
20071029,3.014,3.0456,3.0014,3.0456,32285,0
20071030,3.0419,3.3786,3.0419,3.3786,73156,0
20071031,3.4286,3.5758,3.2709,3.2709,59425,0
20071101,3.1436,3.1436,3.1436,3.1436,11414,0
20071102,3.0703,3.0703,2.9547,2.9967,25678,0
20071105,2.996,3.0065,2.996,3.0065,10464,0
20071106,2.9975,2.9975,2.9175,2.9576,29950,0
20071107,2.9597,2.9597,2.8754,2.9281,57914,0
20071108,2.8792,2.8792,2.8792,2.8792,1428,0
20071109,2.8574,2.889,2.8574,2.889,7615,0
20071112,2.8814,2.8814,2.8498,2.8498,9985,0
20071113,2.8365,2.889,2.8259,2.889,20465,0
20071114,2.9057,2.9478,2.9057,2.9478,4274,0
20071115,2.9057,2.9478,2.9057,2.9478,2375,0
20071116,2.9478,2.9478,2.9478,2.9478,9023,0
20071119,2.9004,2.9004,2.7323,2.7323,62329,0
20071121,2.6427,2.6427,2.6343,2.6343,31317,0
20071122,2.6329,2.6539,2.6329,2.6539,25638,0
20071123,2.7081,2.7081,2.6343,2.6343,5220,0
20071126,2.5689,2.6848,2.5479,2.6637,40366,0
20071127,2.6468,2.7812,2.6468,2.7812,29039,0
20071128,2.7273,2.938,2.7273,2.938,7597,0
20071129,2.8813,2.997,2.8792,2.8792,10460,0
20071130,2.8827,3.0849,2.8827,3.0849,16147,0
20071203,3.1042,3.1042,2.938,2.938,25659,0
20071204,2.9009,2.9009,2.8694,2.8694,1902,0
20071205,2.8498,2.9024,2.8498,2.8498,2853,0
20071206,2.8205,2.8205,2.8205,2.8205,2853,0
20071207,2.8952,2.9478,2.8952,2.9478,23272,0
20071210,2.891,2.891,2.8679,2.889,14754,0
20071211,2.9183,2.9183,2.9183,2.9183,4746,0
20071212,2.9415,2.9415,2.8596,2.8596,9043,0
20071213,2.84,2.84,2.84,2.84,11425,0
20071217,2.8208,2.8396,2.6188,2.7029,84624,0
20071218,2.6754,2.9281,2.6754,2.9281,28482,0
20071219,2.922,2.9429,2.8694,2.8694,23310,0
20071220,2.933,2.9478,2.933,2.9478,1899,0
20071221,2.889,2.889,2.889,2.889,476,0
20071227,2.9301,2.9869,2.9239,2.9869,14738,0
20071228,2.9869,2.9869,2.9869,2.9869,6656,0
20080102,2.9539,3.017,2.9434,3.0065,3805,0
20080103,2.9373,2.9478,2.9373,2.9478,1424,0
20080104,2.9333,3.1436,2.9333,3.1436,19974,0
20080107,3.1227,3.4486,3.1227,3.4276,37093,0
20080108,3.408,3.408,3.408,3.408,21391,0
20080109,3.4508,3.4508,3.3982,3.3982,12357,0
20080110,3.4101,3.4373,3.4101,3.4373,1902,0
20080111,3.4073,3.4178,3.4073,3.4178,2853,0
20080114,3.3765,3.408,3.3659,3.408,28046,0
20080115,3.3982,3.3982,3.3982,3.3982,1426,0
20080116,3.4052,3.4472,3.3843,3.4178,36157,0
20080117,3.4081,3.4081,3.3786,3.3786,3801,0
20080118,3.3793,3.3982,3.3793,3.3982,24698,0
20080121,3.4013,3.4118,2.938,2.938,141023,0
20080122,2.7127,2.7338,1.9999,2.7127,256316,0
20080123,2.8309,2.9994,2.8205,2.8205,60339,0
20080124,2.9057,2.9478,2.8214,2.9478,28971,0
20080125,2.9478,2.9478,2.9478,2.9478,1424,0
20080128,2.9869,2.9869,2.9869,2.9869,2852,0
20080129,2.9869,2.9869,2.9869,2.9869,4279,0
20080130,3.0497,3.1338,3.0497,3.1338,14264,0
20080131,3.0947,3.0947,3.0947,3.0947,7125,0
20080201,3.0554,3.0554,3.0554,3.0554,474,0
20080204,3.0462,3.1827,3.0462,3.1827,30465,0
20080205,3.3426,3.7,3.3426,3.5549,44714,0
20080206,3.4766,3.4766,3.4766,3.4766,474,0
20080207,3.5733,3.5733,3.4472,3.4472,7137,0
20080208,3.4497,3.5549,3.4497,3.5549,1427,0
20080211,3.6361,3.7097,3.5752,3.5941,10944,0
20080212,3.684,3.7997,3.684,3.7997,27077,0
20080213,3.9982,4.1033,3.9982,4.1033,22336,0
20080214,4.099,4.7087,4.099,4.593,67078,0
20080215,4.9446,5.681,4.7888,4.7888,69389,0
20080218,5.1853,5.2589,5.059,5.2589,39932,0
20080219,5.3622,5.3727,5.0468,5.1414,54688,0
20080220,5.0525,5.1578,5.0525,5.0631,12351,0
20080221,5.0449,5.171,4.9397,5.0239,43291,0
20080222,4.9441,4.9651,4.881,4.9651,6655,0
20080225,4.8006,4.8006,4.1058,4.6321,93563,0
20080226,4.6165,4.6165,4.2169,4.4167,39464,0
20080227,4.2067,4.2698,4.2067,4.2698,23772,0
20080228,4.2121,4.4226,4.2121,4.3384,15669,0
20080229,4.3089,4.351,4.2774,4.3089,11418,0
20080303,4.2106,4.358,4.2106,4.358,9975,0
20080304,4.3163,4.3163,4.2111,4.2111,12348,0
20080305,4.2074,4.26,4.2074,4.26,4279,0
20080306,4.2111,4.2111,4.2111,4.2111,7599,0
20080307,4.2111,4.2111,4.2111,4.2111,1899,0
20080310,4.2953,4.2953,4.2111,4.2111,35621,0
20080311,4.2059,4.2796,4.2059,4.2796,7133,0
20080312,4.3147,4.704,4.3147,4.5146,15204,0
20080313,4.6542,4.7595,4.6542,4.7595,2849,0
20080314,4.6476,4.9945,4.6476,4.9945,22350,0
20080317,5.0162,5.0162,4.4167,4.4167,38038,0
20080318,4.5822,4.8345,4.5822,4.7399,18079,0
20080319,4.9405,5.0141,4.9405,5.0141,29967,0
20080320,5.0459,5.0459,4.8672,4.8672,14745,0
20080325,5.0298,5.0298,4.8403,4.9456,8553,0
20080326,4.9403,4.9403,4.7301,4.7301,21881,0
20080327,4.6191,4.6191,4.5244,4.5244,5702,0
20080328,4.5328,4.5643,4.4381,4.5244,9509,0
20080401,4.4316,4.4316,4.3369,4.358,11874,0
20080402,4.3089,4.3089,4.2039,4.3089,9515,0
20080403,4.2278,4.5538,4.2278,4.5538,25198,0
20080404,4.569,4.6321,4.569,4.6321,3324,0
20080407,4.6464,4.7158,4.5474,4.5832,9975,0
20080408,4.6517,4.6517,4.6517,4.6517,1426,0
20080409,4.6604,4.6604,4.5342,4.5342,6654,0
20080410,4.4805,4.5225,4.4069,4.4069,8082,0
20080411,4.4271,4.4271,4.4167,4.4167,1427,0
20080414,4.2532,4.2532,4.1374,4.2111,15673,0
20080415,4.0673,4.3089,4.0673,4.3089,19981,0
20080416,4.3013,4.3013,4.2698,4.2698,7132,0
20080417,4.2532,4.3185,4.1585,4.2111,31821,0
20080418,4.2683,4.2894,4.2683,4.2894,3329,0
20080422,4.2695,4.4167,4.1854,4.4167,31381,0
20080423,4.5409,4.7301,4.5409,4.7301,13318,0
20080424,4.836,4.836,4.7098,4.7203,14744,0
20080425,4.7354,4.7986,4.7144,4.7986,4277,0
20080428,4.7159,4.779,4.7159,4.779,950,0
20080429,4.8378,4.8378,4.8378,4.8378,3328,0
20080430,4.835,4.877,4.835,4.877,5708,0
20080502,4.8799,4.943,4.8378,4.8378,14738,0
20080505,4.8766,4.8766,4.5969,4.7105,25679,0
20080506,4.6684,4.7399,4.6684,4.7399,1427,0
20080507,4.7037,4.7037,4.6301,4.6321,11879,0
20080508,4.7173,4.8393,4.7004,4.8183,33269,0
20080509,4.8403,4.9456,4.8403,4.9456,22333,0
20080512,4.9412,5.0043,4.8886,5.0043,13316,0
20080513,5.0111,5.1481,5.0111,5.0532,32771,0
20080514,5.0848,5.1481,5.0532,5.0532,19472,0
20080515,5.0888,5.1414,5.0047,5.1414,12365,0
20080516,5.1395,5.1395,4.9608,5.0239,20456,0
20080519,5.0692,5.1218,5.0271,5.1218,11886,0
20080520,5.1395,5.1395,5.0239,5.0239,3330,0
20080521,5.0743,5.1481,5.0512,5.0532,40370,0
20080522,5.1481,5.1481,5.0532,5.0532,1899,0
20080523,5.1355,5.1374,5.0532,5.0532,28971,0
20080526,5.0069,5.112,5.0069,5.112,26144,0
20080527,5.1127,5.1127,5.1022,5.1022,21863,0
20080528,4.8284,4.8389,4.6516,4.6811,67970,0
20080529,4.7865,4.7865,4.452,4.6224,34697,0
20080530,4.569,4.8533,4.5291,4.6321,65067,0
20080602,4.8159,4.9357,4.8159,4.9357,4280,0
20080603,4.9445,5.1127,4.9445,5.1022,58460,0
20080604,5.1059,5.1164,5.0532,5.0532,16148,0
20080605,5.0482,5.1112,4.8378,4.8378,35180,0
20080606,4.7986,4.7986,4.7986,4.7986,2851,0
20080609,4.7327,4.8378,4.7327,4.8378,4279,0
20080610,4.8378,4.8378,4.8378,4.8378,476,0
20080611,4.7544,4.8281,4.7544,4.8281,3328,0
20080612,4.691,4.691,4.691,4.691,2852,0
20080613,4.8213,4.8634,4.7203,4.7203,5700,0
20080616,4.6615,4.6615,4.6615,4.6615,1426,0
20080617,4.6252,4.7093,4.5202,4.5832,13318,0
20080618,4.5218,4.5429,4.4167,4.4167,12362,0
20080619,4.4559,4.4559,4.4139,4.4559,1903,0
20080620,4.3115,4.4167,4.3115,4.4167,1902,0
20080623,4.2929,4.417,4.2929,4.2991,19017,0
20080624,4.2789,4.2789,4.2453,4.26,23768,0
20080625,4.2527,4.358,4.2484,4.358,9975,0
20080626,4.2484,4.358,4.2484,4.358,4750,0
20080627,4.26,4.26,4.26,4.26,476,0
20080630,4.3126,4.3126,4.26,4.26,951,0
20080701,4.2569,4.2569,3.9858,3.9858,24260,0
20080702,3.9986,3.9986,3.8092,3.9565,31362,0
20080703,3.8923,3.8923,3.741,3.741,49960,0
20080704,3.8076,3.8076,3.7508,3.7508,10458,0
20080707,3.7533,3.8585,3.7533,3.8585,6658,0
20080709,3.9353,3.9353,3.7899,3.7899,950,0
20080710,3.8879,3.8879,3.8879,3.8879,1428,0
20080711,3.8695,3.9956,3.8695,3.9956,3329,0
20080714,3.8292,3.8292,3.787,3.8292,7130,0
20080715,3.8459,3.8879,3.8248,3.8879,12372,0
20080716,3.7899,3.7899,3.6826,3.7899,28971,0
20080717,3.7914,3.7914,3.6651,3.7703,10445,0
20080718,3.7782,3.7782,3.7214,3.7214,10452,0
20080721,3.7879,3.7899,3.7879,3.7899,14256,0
20080722,3.841,3.8725,3.841,3.8683,19956,0
20080723,3.936,4.2411,3.936,4.2307,32783,0
20080724,4.2559,4.2559,4.0983,4.1718,17129,0
20080725,4.1665,4.1665,4.0402,4.1033,5703,0
20080728,4.1683,4.2313,4.1472,4.2209,12351,0
20080818,4.4591,4.5538,4.4171,4.5538,13312,0
20080819,4.5202,4.5832,4.5202,4.5832,18551,0
20080820,4.5622,4.5832,4.5622,4.5832,9037,0
20080821,4.5215,4.5637,4.5215,4.5637,1427,0
20080822,4.5215,4.5637,4.5215,4.5637,5706,0
20080825,4.5637,4.5847,4.5637,4.5637,9986,0
20080826,4.5811,4.5832,4.5622,4.5832,4281,0
20080827,4.5852,4.5852,4.5832,4.5832,7132,0
20080829,4.5911,4.5911,4.5342,4.5342,6172,0
20080902,4.5517,4.5832,4.5517,4.5832,24258,0
20080903,4.5019,4.584,4.5019,4.544,26144,0
20080904,4.5874,4.5874,4.5832,4.5832,15683,0
20080905,4.5477,4.5477,4.4657,4.4657,9974,0
20080908,4.542,4.544,4.4914,4.544,28997,0
20080909,4.5398,4.544,4.5398,4.544,23292,0
20080910,4.5251,4.5251,4.5146,4.5146,9978,0
20080911,4.5464,4.5464,4.4853,4.4853,2849,0
20080912,4.5461,4.5461,4.544,4.544,8552,0
20080915,4.5414,4.5414,4.4362,4.4362,9988,0
20080916,4.416,4.4265,4.2898,4.4265,6182,0
20080917,4.4251,4.4566,4.4251,4.4461,15222,0
20080918,4.2329,4.2329,4.1086,4.2013,21844,0
20080919,4.1323,4.1323,3.9115,3.9956,12840,0
20080922,3.9982,4.1033,3.9982,4.1033,19009,0
20080924,3.9806,4.0543,3.9806,4.0543,2849,0
20080925,4.0016,4.0543,4.0016,4.0543,3323,0
20080926,4.0599,4.186,4.0599,4.1229,23294,0
20080929,4.0642,4.0642,3.9378,4.0642,26593,0
20080930,3.9032,3.9768,3.051,3.4276,240482,0
20081001,3.3311,3.4572,3.31,3.31,27597,0
20081002,3.3171,3.5803,3.3171,3.3297,33238,0
20081003,3.3133,3.408,3.3133,3.408,3803,0
20081006,3.4326,3.4326,3.1589,3.1926,32764,0
20081007,3.1578,3.1578,2.9473,3.0947,50352,0
20081008,2.9478,2.9478,2.5898,2.9478,37995,0
20081009,2.8431,2.9486,2.8431,2.938,17568,0
20081010,2.7391,2.7812,2.539,2.7812,26103,0
20081013,2.8574,3.5508,2.8574,3.4668,94237,0
20081014,3.7794,4.1058,3.7794,3.7899,112561,0
20081015,3.7053,3.8736,3.4633,3.6822,27090,0
20081016,3.3617,3.4668,3.2167,3.4668,29509,0
20081017,3.3659,3.408,3.3659,3.408,1901,0
20081020,3.4736,3.5241,3.4315,3.5157,11875,0
20081021,3.5532,3.7214,3.5532,3.7214,22355,0
20081022,3.7199,3.741,3.7199,3.741,1428,0
20081023,3.7272,3.7272,3.643,3.643,9972,0
20081024,3.5615,3.5615,3.1518,3.3199,34267,0
20081027,3.1827,3.1827,3.1513,3.1534,4759,0
20081028,3.2149,3.3201,3.1519,3.1729,8566,0
20081029,3.2792,3.3002,3.2792,3.3002,6184,0
20081030,3.3513,3.4668,3.2568,3.4668,7140,0
20081031,3.6332,3.6332,3.6332,3.6332,474,0
20081103,3.6271,3.6271,3.4062,3.5745,24730,0
20081104,3.634,3.6445,3.5392,3.6235,10443,0
20081105,3.5325,3.5745,3.5325,3.5745,12366,0
20081106,3.5745,3.5745,3.5745,3.5745,2854,0
20081107,3.2215,3.3794,3.2215,3.3688,31347,0
20081110,3.4265,3.4265,3.2792,3.3002,11417,0
20081111,3.2528,3.3054,3.2213,3.2317,30399,0
20081112,3.222,3.222,3.222,3.222,6178,0
20081113,3.2407,3.2956,3.2407,3.2513,12347,0
20081114,3.2162,3.2709,3.2162,3.2709,2379,0
20081117,3.3096,3.3096,3.1729,3.1729,9994,0
20081118,3.1142,3.2278,3.0091,3.1142,24712,0
20081120,3.0525,3.0947,2.9915,3.0947,15200,0
20081121,3.0435,3.0751,3.0435,3.0751,15193,0
20081124,2.9967,2.9967,2.9967,2.9967,1902,0
20081125,2.9252,2.9673,2.8622,2.9673,10454,0
20081126,2.9437,2.9437,2.8596,2.8596,14743,0
20081127,2.8642,3.0538,2.8642,2.938,14719,0
20081128,2.9554,2.9869,2.9554,2.9869,3328,0
20081201,2.9437,2.9437,2.8596,2.8596,3329,0
20081202,2.8233,2.8971,2.7812,2.7812,15662,0
20081203,2.7812,2.7812,2.7812,2.7812,2848,0
20081204,2.7812,2.7812,2.7812,2.7812,474,0
20081205,2.8147,2.8987,2.8147,2.8987,2856,0
20081208,2.8839,2.9281,2.8839,2.9281,3798,0
20081209,2.9253,2.938,2.9253,2.938,3323,0
20081210,2.8358,2.8987,2.8358,2.8987,4285,0
20081211,2.8987,2.8987,2.8358,2.8987,3809,0
20081212,2.9031,2.9031,2.84,2.84,6180,0
20081215,3.1513,3.1722,3.0462,3.124,69970,0
20081217,3.1609,3.2452,3.0554,3.0554,27525,0
20081218,3.3426,3.3426,3.1534,3.1534,19503,0
20081219,3.1578,3.1578,3.0315,3.0947,17575,0
20081222,2.9471,3.0101,2.9471,2.9576,27078,0
20081223,3.0554,3.0765,3.0344,3.0554,22780,0
20081229,3.1744,3.2164,3.1072,3.1534,14746,0
20081230,3.2198,3.2641,3.1925,3.222,8073,0
20090102,3.2611,3.2611,3.2611,3.2611,951,0
20090105,3.3421,3.4472,3.3421,3.4472,19981,0
20090106,3.3649,3.5647,3.3649,3.5647,3804,0
20090107,3.5488,3.5488,3.4962,3.4962,950,0
20090108,3.5755,3.6387,3.4178,3.4178,6181,0
20090109,3.4483,3.5745,3.4483,3.5745,8561,0
20090113,3.4718,3.4718,3.3982,3.3982,1426,0
20090114,3.5236,3.5236,3.408,3.408,3328,0
20090119,3.3032,3.3032,3.2611,3.2611,2852,0
20090121,3.2085,3.2822,3.2001,3.2611,3327,0
20090123,3.1995,3.2122,3.168,3.2122,14252,0
20090127,3.2092,3.2807,3.2092,3.2807,4280,0
20090128,3.3009,3.3325,3.1664,3.2905,29964,0
20090129,3.4132,3.4132,3.3395,3.3395,7594,0
20090130,3.3452,3.3452,3.2401,3.2611,9031,0
20090202,3.3272,3.3272,3.222,3.222,5699,0
20090203,3.3636,3.3636,3.0693,3.1534,17124,0
20090204,3.1849,3.1849,3.1534,3.1534,8087,0
20090205,3.1513,3.1534,3.1114,3.1534,8087,0
20090206,3.1458,3.1458,3.0511,3.1142,8080,0
20090209,3.1478,3.1542,3.1436,3.1436,4749,0
20090210,3.05,3.05,2.9869,2.9869,13311,0
20090212,3.0751,3.0751,3.0751,3.0751,950,0
20090213,3.0261,3.0261,3.0261,3.0261,476,0
20090217,3.0133,3.0554,3.0133,3.0554,2847,0
20090218,3.0109,3.0109,2.9478,2.9478,16148,0
20090219,2.9576,2.9576,2.9576,2.9576,474,0
20090225,2.8372,2.8792,2.8267,2.8792,13323,0
20090227,2.7972,2.8498,2.7972,2.8498,6181,0
20090302,2.8056,2.8792,2.8056,2.8792,5710,0
20090303,2.7479,2.7479,2.6637,2.6637,14721,0
20090304,2.7225,2.7225,2.7225,2.7225,1427,0
20090305,2.7391,2.7812,2.7391,2.7812,25629,0
20090306,2.7171,2.7171,2.6539,2.6539,4273,0
20090310,2.7812,2.7812,2.7812,2.7812,1898,0
20090311,2.7371,2.9478,2.7371,2.9478,28497,0
20090312,2.9252,2.9673,2.9252,2.9673,12830,0
20090316,2.9606,3.0554,2.9606,3.0554,15661,0
20090318,3.0261,3.0261,3.0261,3.0261,1428,0
20090319,3.0358,3.0358,3.0358,3.0358,2379,0
20090320,3.0436,3.1173,3.0415,3.0456,21365,0
