Date,Open,High,Low,Close,Volume,OpenInt
20090409,293.08,296.04,291,293.08,6,0
20090414,290.15,299.5,290.15,299.5,10,0
20090415,294.06,300,294.06,300,13,0
20090416,294.06,300,294.06,300,20,0
20090417,294.06,300,294.06,300,10,0
20090422,293.08,299,293.08,299,4,0
20090424,299,299,299,299,75,0
20090428,299,300,299,300,10,0
20090512,300,310,300,310,57,0
20090513,300,306,300,306,30,0
20090522,294.06,300,294.06,300,9,0
20090525,295,300,290,290,10,0
20090526,287.1,291,287.1,290,24,0
20090602,290,290.1,290,290.1,7,0
20090603,292,292,292,292,6,0
20090605,290,300,290,300,15,0
20090610,294.06,300,294.06,300,70,0
20090612,294.06,300,294.06,300,54,0
20090616,300,300,300,300,4,0
20090622,297,300,297,300,20,0
20090624,294.06,300,294.06,300,20,0
20090630,292.05,297.95,292.05,297.95,1,0
20090701,294.07,300,294,294,10,0
20090703,294.07,307.52,294,303.49,60,0
20090706,295,303.5,295,303.5,4,0
20090709,303.5,305,298,305,50,0
20090721,298.04,303,298.04,302,31,0
20090723,290,307.21,290,307.21,5,0
20090728,307.21,307.21,307.21,307.21,10,0
20090731,307.21,312.43,307.21,312.43,10,0
20090803,308.21,313.43,308.21,312.43,20,0
20090807,308.21,310,308,308,10,0
20090811,310,313,310,313,27,0
20090813,313,313,313,313,6,0
20090814,313,313,313,313,3,0
20090828,290,311,284.1,311,175,0
20090907,290.02,294.95,290.02,294.95,8,0
20090908,295,299.95,295,299.95,10,0
20090910,299.95,300,298,298,15,0
20090911,298,298,298,298,10,0
20090916,298,303.06,298,303.06,6,0
20090918,303.06,311.2,303.06,306,14,0
20090922,303.5,306,303.5,306,10,0
20090923,303.5,306,303.01,303.01,10,0
20091006,290,290,270,281,55,0
20091021,281.1,286,281,286,10,0
20091022,281.2,290,281,290,3,0
20091030,282,290,282,290,1,0
20091109,290,301,290,301,10,0
20091112,305,310,305,310,20,0
20091116,309,312.99,309,312.99,2,0
20091117,309,309.99,309,309.99,10,0
20091118,309,315.99,309,315.99,35,0
20091119,309,316,309,316,10,0
20091130,309,309,309,309,25,0
20091207,309,309,309,309,1,0
20091214,301,314.49,301,301,20,0
20091216,317,317.4,317,317.4,10,0
20091217,317,317,317,317,50,0
20091228,314,315,314,315,8,0
20100107,314,319.5,295,295,10,0
20100113,314,317,314,317,5,0
20100114,314,317.5,314,317.5,3,0
20100120,314,320,310,320,75,0
20100121,315.05,325,315,325,40,0
20100125,315,326,315,326,16,0
20100126,324.95,326,324.95,326,10,0
20100209,320,320,320,320,20,0
20100224,325,325,325,325,10,0
20100226,325,325,323,323,50,0
20100310,312,320,312,320,15,0
20100316,312,320,312,320,8,0
20100318,315,320,315,320,27,0
20100319,320,320,320,320,23,0
20100324,315,315,315,315,10,0
20100329,317,317,315,317,8,0
20100331,315,317,300,317,13,0
20100407,305,320,305,320,32,0
20100408,305,319.95,305,319.95,1,0
20100409,305,324,305,316,152,0
20100413,305,320,305,319,20,0
20100421,320,320,315,315,75,0
20100426,315.5,319.5,315.5,319,17,0
20100428,315,315,315,315,22,0
20100503,315,319.9,315,319.9,10,0
20100505,315,319.9,315,315,10,0
20100506,315,319,305.5,319,1,0
20100513,305,310,305,309.5,2,0
20100517,305,305.5,305,305.5,8,0
20100518,305,315,305,315,14,0
20100519,305,318,305,318,19,0
20100524,318,319.9,318,319.9,5,0
20100531,318,319.9,318,319.85,10,0
20100602,319,319.95,318,319.95,8,0
20100604,318,318,318,318,31,0
20100608,305,320,305,320,15,0
20100610,305,320,305,319,28,0
20100617,310,326,310,326,4,0
20100623,310,350,310,350,3,0
20100628,360,360,353.5,353.5,8,0
20100630,351,351,350,350,115,0
20100708,346,385,346,370,129,0
