Date,Open,High,Low,Close,Volume,OpenInt
20090420,17.5,18,17.5,18,44,0
20090423,15,17.5,15,16,105,0
20090424,16,17,16,16,40,0
20090428,16.5,17.9,16.5,17.9,2,0
20090519,16.5,16.51,16.5,16.51,1,0
20090520,16.5,16.5,16.5,16.5,153,0
20090527,16.45,16.5,16.45,16.5,847,0
20090529,16.5,16.5,16.5,16.5,163,0
20090609,16,16.5,16,16.5,500,0
20090610,16,16.5,16,16.5,337,0
20090617,16.5,16.5,16.5,16.5,100,0
20090623,16.5,16.5,16.5,16.5,500,0
20090626,16.5,16.8,16.5,16.5,1063,0
20090827,15.9,15.9,15.8,15.8,100,0
20090828,16.5,16.5,15.9,15.9,500,0
20090907,14,15.5,14,14.6,900,0
20090930,14.6,15,14.6,15,900,0
20091008,15,18.9,15,18,1206,0
20091009,16,16,15.24,16,306,0
20091026,16,16,15,15,754,0
20091125,15,16,15,15,1500,0
20091209,14.6,15,14.6,14.61,65,0
20100111,14.51,14.6,14.51,14.51,70,0
20100112,14.51,14.6,13.25,13.25,190,0
20100113,13.24,14.8,13.24,14.8,3490,0
20100114,14.5,15,14.5,14.8,1000,0
20100118,14.79,15,14.6,15,8000,0
20100120,14.93,15,14.6,15,2743,0
20100122,15,15,14.6,14.6,257,0
20100201,14.9,15,14.195,15,10,0
20100203,14.93,15,14.9,15,200,0
20100208,14.9,15,14.9,15,15,0
20100209,15,15,14.9,15,518,0
20100210,14.5,15,14.5,15,1000,0
20100219,15,17.5,15,15.1,1590,0
20100305,15,16.8,15,16.8,100,0
20100310,16.2,17,16,16.99,10,0
20100311,16,17,15,15.8,30,0
20100315,15,17,15,15,530,0
20100503,15,15.5,15,15.2,1000,0
20100602,15.29,15.3,15,15.3,120,0
20100610,15,15.3,15,15.3,880,0
20100615,15.3,15.5,15.3,15.3,150,0
20100730,15.3,15.3,15.3,15.3,200,0
20100901,16.865,16.9,16.75,16.75,30,0
20100906,16.1,16.1,16.1,16.1,100,0
20100907,16.1,16.75,16.1,16.75,970,0
20100921,16.75,16.76,16.75,16.76,5,0
20101011,16.75,16.75,16.75,16.75,530,0
20101015,16.1,16.75,16.1,16.75,175,0
20101020,16.1,16.105,16.1,16.105,14,0
20101102,16.9,16.94,16.1,16.94,5,0
20101108,16.1,16.1,16.1,16.1,55,0
20101117,16.11,16.11,16.1,16.1,583,0
20101122,16.1,16.1,16.1,16.1,100,0
20101206,16.1,16.1,16.1,16.1,130,0
20110117,16.8,16.8,16.8,16.8,45,0
20110222,16.8,17.8,16.8,16.805,10,0
20110316,17,17,16.8,16.8,280,0
20110406,18.5,18.5,17,17.25,2080,0
20110413,17.25,17.25,17.25,17.25,221,0
20110518,16.435,16.5,16.05,16.05,70,0
20110530,16.48,17.36,16.48,17.205,1789,0
20110606,17.075,17.075,16.65,17.075,5,0
20110628,16.755,16.95,16.145,16.755,8,0
20110629,16.145,16.145,16.145,16.145,4,0
20110705,15.75,15.75,15.75,15.75,90,0
20110707,15.75,16.535,15.75,15.75,200,0
20110727,15.75,16.95,15.75,15.75,200,0
20110728,16.95,16.95,16.95,16.95,300,0
20110802,16.19,16.2,16.19,16.19,80,0
20110803,16.19,16.19,16.03,16.03,100,0
20110808,15.5,15.5,14.9,15.035,282,0
20110817,14.19,15.605,14.19,14.19,200,0
20110831,14.9,14.9,14.9,14.9,500,0
20110902,14.2,15.62,14.2,15.62,16,0
20111013,14.875,14.875,14.875,14.875,68,0
20111014,14.17,14.5,14.17,14.5,350,0
20111019,13.9,13.91,13.9,13.91,100,0
20111101,14.12,14.12,14.12,14.12,2,0
20111102,14.12,14.13,14.12,14.13,2,0
20111110,14.12,14.12,14.12,14.12,100,0
20111116,13.4,14,13.4,13.9,1000,0
20111202,13.9,14.595,13.9,14.595,69,0
20111207,14.95,16.471,14.95,16.471,189,0
20111209,15.67,16.45,15.668,16.45,85,0
20111228,15.55,16.05,15.55,16.02,20,0
20120110,15.725,15.725,15.658,15.658,100,0
20120119,15.82,15.82,15.82,15.82,100,0
20120126,15.5,15.99,15.5,15.5,230,0
20120130,15.5,15.5,15.49,15.49,110,0
20120206,15.11,15.112,15.11,15.112,133,0
20120208,14.79,14.79,14.79,14.79,110,0
20120214,14.429,14.43,14.429,14.429,2,0
20120220,14.075,14.78,14.075,14.7,50,0
20120615,14.96,14.96,14.96,14.96,50,0
20120823,14.595,15.19,14.595,15.19,10,0
20120927,14.82,15.56,14.82,15.56,40,0
20121002,14.82,15.2,14.82,15.2,40,0
20121009,14.83,15.57,14.829,15.57,40,0
20121102,15.19,15.19,15.19,15.19,100,0
20121212,14.825,15.94,14.82,15.94,40,0
20121214,15.56,15.56,15.551,15.551,129,0
20121219,14.54,14.9,14.525,14.525,100,0
20130102,14.525,14.8,14.51,14.8,10,0
20130103,14.5,14.51,14.41,14.45,237,0
20130104,13.785,14.5,13.785,14.49,201,0
20130114,14.61,14.625,14.61,14.61,80,0
20130115,14.495,14.51,14.495,14.51,148,0
20130129,14.525,14.525,14.51,14.51,146,0
20130328,14.645,14.65,14.645,14.65,100,0
20130405,14.65,14.79,14.65,14.65,50,0
20130412,14.635,14.79,14.635,14.79,150,0
20130417,14.665,14.8,14.66,14.8,260,0
20130422,14.66,14.8,14.66,14.8,50,0
20130506,14.555,14.8,14.55,14.79,125,0
20130507,14.555,14.8,14.55,14.8,100,0
20130514,14.6,14.61,14.599,14.599,582,0
20130516,14.55,14.8,14.545,14.8,310,0
20130522,14.6,14.6,14.59,14.6,137,0
20130524,14.52,14.53,14.52,14.52,77,0
20130527,14.53,14.7,14.52,14.7,1,0
20130528,14.52,14.6,14.52,14.6,180,0
20130531,14.52,14.59,14.52,14.59,10,0
20130603,14.52,14.6,14.495,14.6,90,0
20130606,14.12,14.59,14.11,14.59,30,0
20130607,14.234,14.945,14.234,14.6,160,0
20130610,14.25,14.25,14.2,14.2,77,0
20130701,14.15,14.15,14.12,14.12,191,0
20130702,14.11,14.15,14.11,14.12,151,0
20130710,13.98,14.33,13.98,14.329,140,0
20130731,13.98,14,13.98,13.98,3,0
20130806,13.98,13.98,13.9,13.9,3,0
20130809,13.99,14,13.8,13.8,300,0
20130819,13.795,13.8,13.71,13.71,7,0
20131007,13.77,13.9,13.77,13.9,50,0
20131017,13.89,14.595,13.89,14.595,160,0
20131021,14.24,14.24,14.239,14.239,200,0
20131022,13.9,14.1,13.895,14.1,40,0
20131028,14.03,14.03,14.02,14.02,170,0
20131105,13.905,14.1,13.9,14.1,20,0
20131107,13.515,14.19,13.51,14.19,120,0
20131108,13.82,13.86,13.82,13.86,100,0
20131113,13.84,14.18,13.84,14.18,100,0
20131204,13.905,14.595,13.9,14.4,70,0
20131206,14.06,14.06,14.049,14.049,200,0
20131230,13.9,13.9,13.9,13.9,110,0
20140110,13.925,14.595,13.9,13.925,9,0
20140115,13.92,14.25,13.9,14.19,10,0
20140116,13.91,13.91,13.9,13.9,100,0
20140124,13.91,14,13.9,14,200,0
20140128,14.11,14.12,14.11,14.12,100,0
20140131,13.895,13.9,13.895,13.9,90,0
20140220,13.91,13.96,13.91,13.96,290,0
20140225,13.905,14.12,13.905,14.12,1,0
20140305,14.01,14.01,14,14.01,143,0
20140314,13.635,13.95,13.61,13.9,50,0
20140402,13.575,13.575,13.56,13.56,3,0
20140403,13.235,13.89,13.229,13.89,100,0
20140411,13.495,13.85,13.495,13.85,10,0
20140512,13.705,13.705,13.69,13.7,80,0
20140514,13.695,13.7,13.69,13.7,10,0
20140515,13.68,13.69,13.68,13.69,100,0
20140527,13.35,13.6,13.35,13.6,10,0
20140530,13.265,13.27,13.265,13.27,10,0
20140611,13,13.4,13,13.4,114,0
20140708,13.1,14.065,13.1,14.065,120,0
20140709,13.43,14.091,13.42,14.091,11,0
20140818,13.747,13.815,13.747,13.747,70,0
20140822,14.05,14.05,13.7,13.71,10,0
20140826,13.69,13.71,13.69,13.707,100,0
20141002,12.98,13.3,12.98,13.3,10,0
20141104,13.105,13.12,13.105,13.12,153,0
20141114,13,13.01,13,13.01,10,0
20141117,12.965,13,12.965,13,166,0
20141201,12.97,13,12.97,13,134,0
20141205,13.025,13.025,12.685,12.685,166,0
20141209,12.683,12.685,12.66,12.683,66,0
20141211,12.374,13,12.355,13,40,0
20141212,12.675,12.675,12.635,12.675,100,0
20141230,12.35,12.7,12.35,12.7,20,0
20150107,12.5,12.99,12.39,12.99,50,0
20150121,12.78,13,12.77,13,400,0
20150122,12.81,12.81,12.8,12.8,126,0
20150130,12.825,13,12.8,13,600,0
20150211,12.69,12.69,12.6,12.6,89,0
20150220,13.545,13.65,13.545,13.65,3,0
20150227,13.54,14.2,13.54,14.2,520,0
20150306,13.82,14.25,13.811,14.25,40,0
20150318,13.35,13.35,13.334,13.334,200,0
20150324,13.02,13.5,13.015,13.5,20,0
20150331,13.145,13.175,13.145,13.171,160,0
20150401,12.98,13.02,12.98,13.02,170,0
20150407,12.702,13.75,12.702,13.75,320,0
20150408,13.5,13.5,13.5,13.5,700,0
20150409,13.51,13.51,13.51,13.51,1000,0
20150415,13.3,13.3,13.3,13.3,250,0
20150504,13.2,13.21,13.2,13.21,48,0
20150507,13.2,13.2,12.573,12.573,202,0
20150508,12.5,12.5,11.7,11.7,750,0
20150518,12.2,12.2,11.715,11.715,10,0
20150519,11.715,12.3,11.715,12,200,0
20150521,12,12,12,12,30,0
20150526,11.707,12.292,11.707,12.292,170,0
20150527,12,12,12,12,482,0
20150609,11.93,11.93,11.93,11.93,150,0
20150622,11.639,11.65,11.639,11.65,10,0
20150713,11.95,12.55,11.95,12.244,670,0
20150714,11.945,11.945,11.945,11.945,20,0
20150715,11.945,11.95,11.945,11.95,6,0
20150716,11.659,11.9,11.659,11.9,20,0
20150807,11.38,11.657,11.38,11.657,236,0
20150820,11.373,11.55,11.373,11.55,331,0
20150917,11.55,11.55,11.55,11.55,100,0
20150918,11.268,11.875,11.268,11.875,169,0
20151120,11.6,11.6,10,10.755,4200,0
20151123,10.501,11.026,10.501,11.026,50,0
20151125,10.749,11.25,10.749,11.25,200,0
20151201,10.744,11.27,10.744,11.27,200,0
20151204,10.715,10.715,10.715,10.715,190,0
20151210,10.454,10.59,10.454,10.59,400,0
20151215,10.325,10.576,10.325,10.576,110,0
20151228,10.318,10.83,10.318,10.83,200,0
20151230,10.306,10.81,10.286,10.286,50,0
20160104,10.41,11.4,10.41,11.3,400,0
20160105,11.286,11.95,11.2,11.2,1527,0
20160106,11.3,11.3,11.05,11.05,300,0
20160113,11.06,11.95,11.06,11.95,600,0
20160120,11.382,11.382,11.382,11.382,100,0
20160127,11.104,11.659,11.104,11.659,100,0
20160129,11.51,11.95,11.51,11.95,97,0
20160209,11.65,11.65,11.366,11.366,197,0
20160210,11.089,11.643,11.089,11.643,152,0
