Date,Open,High,Low,Close,Volume,OpenInt
20000103,11.298,12.379,11.298,12.182,5854,0
20000104,12.497,12.497,11.986,12.182,9416,0
20000105,12.182,12.477,11.829,11.829,2036,0
20000106,12.379,12.576,12.182,12.182,3307,0
20000107,12.304,12.304,12.103,12.222,6107,0
20000110,12.379,12.968,12.182,12.576,3562,0
20000111,12.576,13.401,12.576,13.322,40971,0
20000112,13.755,15.482,13.755,15.071,117308,0
20000113,15.326,15.326,14.775,14.839,31808,0
20000114,14.658,14.775,13.441,13.755,72777,0
20000117,13.558,13.755,13.401,13.735,33843,0
20000118,13.755,13.755,13.401,13.459,7635,0
20000119,13.715,14.188,13.715,14.188,7126,0
20000120,14.934,14.934,13.361,14.148,5599,0
20000121,14.265,14.265,14.148,14.265,3819,0
20000124,13.755,14.344,12.968,13.283,22393,0
20000125,13.008,13.008,12.576,12.968,7126,0
20000126,13.008,13.008,12.182,12.929,24683,0
20000127,13.164,13.164,12.576,12.965,6869,0
20000128,12.614,12.773,12.222,12.576,8650,0
20000131,12.379,12.576,11.435,11.435,21121,0
20000201,11.4,11.888,11.4,11.592,19341,0
20000202,11.396,11.79,11.396,11.711,17559,0
20000203,11.671,11.671,11.121,11.396,37661,0
20000204,11.79,11.79,10.808,11,26466,0
20000207,11.2,11.2,10.808,11.004,18574,0
20000208,11.671,11.986,11.592,11.73,84991,0
20000209,11.79,12.179,11.475,11.557,72012,0
20000210,11.475,11.751,10.925,11.18,54455,0
20000211,11.2,11.2,10.808,11.161,21375,0
20000214,11.161,11.161,10.893,10.983,6107,0
20000215,10.983,11.004,10.866,10.945,4835,0
20000216,11.004,11.004,10.808,11.004,17049,0
20000217,11.004,11.121,10.827,10.827,30029,0
20000218,11.004,11.004,10.808,10.925,11960,0
20000221,10.925,10.925,10.61,10.804,18068,0
20000222,10.689,10.92,10.689,10.808,7887,0
20000223,10.846,11.475,10.846,11.319,43766,0
20000224,11.494,12.143,10.925,10.929,32826,0
20000225,10.925,11.79,10.925,11.121,13232,0
20000228,10.945,11.396,10.925,11.004,4579,0
20000229,11.2,11.711,11.2,11.396,11705,0
20000301,11.79,12.084,11.396,11.79,20866,0
20000302,11.808,13.046,11.808,12.537,48095,0
20000303,12.576,13.675,12.458,13.365,134867,0
20000306,13.558,14.344,13.164,13.164,92117,0
20000307,13.361,13.361,11.79,12.005,37408,0
20000308,12.3,12.3,11.4,11.785,9670,0
20000309,11.592,11.868,11.494,11.79,9670,0
20000310,12.339,12.339,11.73,11.986,10688,0
20000313,11.986,11.986,11.279,11.592,6107,0
20000314,11.396,11.79,11.015,11.79,15012,0
20000315,11.79,11.79,11.592,11.79,13232,0
20000316,11.751,11.79,11.2,11.77,15012,0
20000317,11.79,11.986,11.298,11.298,34098,0
20000320,11.907,11.907,11.751,11.79,4071,0
20000321,11.319,11.785,11.298,11.475,4325,0
20000322,11.79,11.79,11.592,11.592,3562,0
20000323,11.592,11.671,11.435,11.592,3055,0
20000324,11.592,11.907,11.239,11.907,15779,0
20000327,11.2,11.785,11.2,11.592,17049,0
20000328,11.692,11.692,11.121,11.279,27229,0
20000329,11.79,11.79,11.004,11.219,36387,0
20000330,11.392,11.79,11.2,11.219,34862,0
20000331,11.396,11.396,10.925,11.161,13232,0
20000403,11.083,11.239,10.965,11.086,14249,0
20000404,11.196,11.196,10.925,11.004,6107,0
20000405,11.043,11.043,10.61,10.747,11960,0
20000406,10.61,10.983,10.61,10.728,26719,0
20000407,10.728,10.808,10.218,10.41,24174,0
20000410,10.572,10.808,10.532,10.787,10178,0
20000411,10.925,10.925,10.532,10.532,2800,0
20000412,10.61,10.67,10.61,10.61,41733,0
20000413,10.492,10.607,10.218,10.336,11960,0
20000414,10.454,10.454,10.198,10.218,10942,0
20000417,10.61,10.61,10.017,10.572,23411,0
20000418,10.564,10.61,10.258,10.258,4325,0
20000419,10.23,10.67,10.226,10.67,18068,0
20000420,10.418,10.649,10.418,10.532,5344,0
20000425,10.649,11.157,10.649,11.004,31046,0
20000426,11.023,11.79,11.023,11.79,39697,0
20000427,11.597,11.864,11.592,11.592,3055,0
20000428,11.36,11.888,11.129,11.435,4071,0
20000502,11.79,11.79,11.011,11.396,7126,0
20000503,11.396,11.396,11.004,11.007,8650,0
20000504,11.121,11.161,11.004,11.161,2036,0
20000505,11.004,11.2,11.004,11.2,5089,0
20000508,10.61,11.004,10.61,10.925,6869,0
20000510,11.083,11.2,10.808,10.905,13741,0
20000511,10.414,10.634,10.414,10.634,508,0
20000512,10.649,10.649,10.649,10.649,255,0
20000515,10.846,10.846,10.61,10.61,1018,0
20000516,10.434,10.747,10.414,10.61,1782,0
20000517,10.61,10.649,10.457,10.492,4071,0
20000518,10.71,10.71,10.61,10.61,1782,0
20000519,10.808,10.808,10.434,10.492,1273,0
20000522,10.808,10.956,10.614,10.614,5599,0
20000523,10.614,10.728,10.414,10.631,2290,0
20000524,10.808,10.808,10.438,10.572,1018,0
20000525,10.438,10.61,10.438,10.61,1526,0
20000526,10.438,10.438,9.864,10.022,24174,0
20000529,10.026,10.218,9.825,10.218,6363,0
20000530,10.414,10.414,10.022,10.022,3819,0
20000531,9.903,9.982,9.903,9.903,1018,0
20000601,9.923,10.022,9.923,10.022,255,0
20000602,10.022,10.1,10.022,10.1,763,0
20000605,10.218,10.218,10.198,10.218,2800,0
20000606,10.218,10.414,10.218,10.414,7635,0
20000607,10.414,10.689,10.414,10.689,10942,0
20000608,10.996,11.004,9.927,10.414,55726,0
20000609,10.414,10.414,10.061,10.414,19848,0
20000612,10.258,10.258,10.258,10.258,255,0
20000613,10.218,10.218,9.844,9.923,30281,0
20000614,10.022,10.1,9.785,9.903,16794,0
20000615,10.022,10.022,9.631,10.017,8398,0
20000616,9.825,9.825,9.631,9.707,8650,0
20000619,10.022,10.022,9.1562,9.627,23666,0
20000620,9.627,9.627,9.2351,9.2351,763,0
20000621,9.2749,9.2749,8.7636,9.1166,9670,0
20000622,9.0431,9.0431,8.6456,8.7244,4071,0
20000623,8.6456,8.8813,8.2525,8.8421,19341,0
20000626,8.8421,8.8813,8.685,8.8421,5599,0
20000627,8.8421,8.8421,8.5041,8.5041,4579,0
20000628,8.4529,8.4529,8.0562,8.0759,22903,0
20000629,7.9068,8.0759,7.8989,8.0562,7887,0
20000630,8.0562,8.1347,7.9461,8.1347,33843,0
20000703,8.8421,8.8813,8.3704,8.4491,1782,0
20000704,8.6456,8.8695,8.6456,8.6456,4579,0
20000705,8.7636,8.7636,8.6456,8.6495,1782,0
20000706,8.7043,8.7043,8.6456,8.6456,4579,0
20000710,9.0383,9.0383,8.3744,8.6456,5854,0
20000712,8.7435,8.7435,8.1741,8.3312,3562,0
20000714,8.1741,8.1741,8.0759,8.1741,1782,0
20000717,8.4491,8.4491,7.9107,8.2525,4325,0
20000718,8.2133,8.2525,8.0955,8.2525,1782,0
20000719,8.1741,8.2525,8.0955,8.2133,14249,0
20000720,8.0955,8.1741,8.0955,8.0955,9670,0
20000721,8.1741,8.2525,8.0955,8.1741,10688,0
20000724,8.1741,8.1741,8.1741,8.1741,508,0
20000725,8.1741,8.2525,8.0562,8.2525,14249,0
20000726,8.1741,8.2329,8.0955,8.1741,2544,0
20000727,8.06,8.6259,8.06,8.2919,4071,0
20000728,8.0994,8.1741,8.0562,8.1741,7887,0
20000731,7.9421,8.0562,7.9384,8.0089,6363,0
20000801,8.2919,8.2919,7.9579,8.0168,5599,0
20000802,7.9579,8.1347,7.9384,8.0955,7380,0
20000803,7.9814,7.9814,7.9814,7.9814,508,0
20000804,8.1347,8.1347,7.9972,8.0562,508,0
20000807,8.0562,8.0562,7.9384,7.9384,3562,0
20000808,7.9384,7.9384,7.903,7.903,2544,0
20000809,8.0562,8.0562,7.8596,7.8596,508,0
20000810,7.9384,7.9421,7.9384,7.9421,1526,0
20000811,8.0562,8.1347,8.0562,8.1347,6616,0
20000814,8.0955,8.3704,8.0955,8.3704,8907,0
20000815,8.4491,9.0383,8.4295,8.6416,32826,0
20000816,9.0195,9.589,8.9798,9.526,31808,0
20000817,9.4313,9.4313,9.0431,9.2351,18829,0
20000818,9.2827,9.4119,8.6456,8.9601,8398,0
20000822,9.0383,9.0779,8.8421,9.0779,3562,0
20000823,8.7636,9.0383,8.7636,9.0383,10688,0
20000824,9.0195,9.3138,8.9601,9.3138,19848,0
20000825,9.3332,9.4313,9.3138,9.3924,13741,0
20000828,9.4313,9.4711,9.3536,9.4313,31046,0
20000829,9.4264,9.522,9.4264,9.4546,31553,0
20000830,9.4711,9.781,9.4711,9.745,11705,0
20000831,9.825,10.649,9.627,10.532,102805,0
20000901,10.61,10.61,10.1,10.178,18574,0
20000904,9.825,9.825,9.1166,9.2351,38171,0
20000905,9.4264,9.4264,9.1562,9.2351,26719,0
20000906,9.4313,9.745,9.4313,9.55,26973,0
20000907,9.4711,9.627,9.4313,9.4711,10688,0
20000908,9.627,9.745,9.627,9.745,5344,0
20000911,9.745,9.745,9.4313,9.4313,3307,0
20000912,9.4313,9.4711,9.4313,9.4313,2290,0
20000914,9.4313,9.627,9.4313,9.627,2544,0
20000915,9.4313,9.589,9.4313,9.4313,2544,0
20000918,9.625,9.625,9.0779,9.0779,9670,0
20000919,9.0383,9.0383,8.7636,8.9206,10432,0
20000920,8.7244,9.0383,8.7244,8.8421,7126,0
20000921,8.7043,8.9407,8.4098,8.9407,4071,0
20000922,8.5237,8.9988,8.2919,8.6456,12979,0
20000925,8.4491,8.5277,8.4177,8.4177,2290,0
20000926,8.7636,8.7636,8.3509,8.4491,14249,0
20000927,8.4884,8.8421,8.4884,8.685,8142,0
20000928,8.685,8.685,8.3509,8.6456,3055,0
20000929,8.4491,8.6456,8.3312,8.4098,1526,0
20001002,8.6456,9.4711,8.567,9.4313,7126,0
20001004,9.2351,9.4313,9.0779,9.239,17811,0
20001005,9.3924,9.3924,9.0383,9.0383,5344,0
20001006,8.9988,9.0779,8.9988,9.0779,4325,0
20001009,8.6456,8.7043,8.3902,8.7043,1526,0
20001010,8.9407,8.9407,8.9407,8.9407,255,0
20001011,8.4923,8.8028,8.4923,8.8028,763,0
20001023,7.8636,8.2919,7.8636,8.0168,2544,0
20001025,7.9814,8.0363,7.8596,7.9384,5599,0
