Date,Open,High,Low,Close,Volume,OpenInt
20061201,26.0763,26.7675,25.9417,26.57,135244,0
20061204,26.6775,26.9378,25.8517,26.48,24398,0
20061205,26.5246,26.5246,26.39,26.39,12255,0
20061206,26.2998,26.569,26.0305,26.21,27629,0
20061207,26.03,26.1198,25.671,26.03,25179,0
20061208,26.0618,26.34,26.0259,26.34,4569,0
20061211,26.3007,26.57,25.8698,26.57,14148,0
20061212,26.5677,26.5677,26.0292,26.46,28410,0
20061213,26.4257,26.4257,26.2551,26.3,2228,0
20061214,26.2098,26.2995,26.0302,26.12,8021,0
20061215,26.0241,26.1138,26.0241,26.06,11255,0
20061218,26.0433,26.2049,26.0433,26.16,3009,0
20061219,26.07,26.3303,25.6303,26.07,76664,0
20061220,26.2728,26.2908,26.21,26.21,557,0
20061221,26.0751,26.2905,26.0751,26.12,12366,0
20061222,26.12,26.1739,26.12,26.12,1114,0
20061227,26.21,26.2908,26.21,26.21,6016,0
20061228,26.2908,26.2908,26.0305,26.21,2228,0
20061229,26.0256,26.2949,26.0256,26.25,6351,0
20070102,26.2993,26.2993,26.03,26.03,4568,0
20070103,26.0302,26.12,25.8507,26.12,31083,0
20070104,26.0751,26.12,26.0302,26.12,36988,0
20070105,26.0316,26.2829,25.7623,25.87,39660,0
20070108,26.4724,27.3697,26.2121,27.28,141079,0
20070109,27.3728,29.0779,26.9779,29.06,112093,0
20070110,29.0815,29.7546,28.4621,29.62,42225,0
20070111,29.6147,31.4095,29.5249,31.23,79228,0
20070112,32.2998,33.1793,31.4113,31.86,67635,0
20070115,33.1088,33.2075,31.951,32.31,26295,0
20070116,33.1207,33.1207,31.1639,32.25,25402,0
20070117,32.3058,32.3058,31.1392,31.22,24181,0
20070118,31.4591,32.2489,30.7051,30.75,35318,0
20070119,30.5118,31.1849,29.7221,31.14,14486,0
20070122,31.59,32.2631,31.5092,31.59,15488,0
20070123,31.992,32.0817,30.96,30.96,15824,0
20070124,32.0349,32.0349,31.8195,31.99,4681,0
20070125,32.0435,32.0435,31.11,31.11,8244,0
20070126,31.3203,31.3203,30.4228,30.71,8023,0
20070129,30.9587,30.9587,30.0613,30.51,11590,0
20070130,30.9654,31.4141,30.5076,31.1,14930,0
20070131,31.2292,31.4087,30.5113,30.96,3566,0
20070201,30.959,31.4525,30.95,30.95,16493,0
20070202,31.1387,31.1387,30.69,30.69,4123,0
20070205,30.9587,30.9587,30.1511,30.51,15156,0
20070206,29.7921,30.9138,29.7921,30.51,13930,0
20070207,30.2109,30.92,30.2109,30.92,1783,0
20070208,30.9587,31.9458,30.51,30.51,15936,0
20070209,30.96,31.4895,30.6908,30.96,17829,0
20070212,31.4593,31.4593,31.0554,31.19,4791,0
20070213,31.142,31.9318,31.142,31.86,7577,0
20070214,31.8642,34.548,31.8642,34.53,21168,0
20070215,34.9525,34.9525,33.4718,34.1,11032,0
20070216,34.1897,34.45,33.6513,34.1,1672,0
20070219,34.7777,34.7777,33.6649,33.97,1894,0
20070220,34.1,34.1,33.75,33.75,3455,0
20070221,33.9688,33.9688,31.0072,32.12,15822,0
20070222,31.7266,32.31,30.9638,32.31,9805,0
20070223,31.8566,34.1,31.0938,34.1,52598,0
20070226,34.3687,34.3687,33.92,33.92,4569,0
20070227,33.9231,33.9231,31.2756,31.5,32871,0
20070228,30.4293,30.9679,26.031,30.16,15708,0
20070301,30.066,30.0839,27.8223,28.63,37103,0
20070302,28.9806,30.3358,27.8228,28.46,30975,0
20070305,28.0607,28.0607,27.0646,27.28,16270,0
20070306,27.7322,29.6259,27.3733,28.89,51700,0
20070307,29.3498,29.3498,28.7215,29.26,12256,0
20070308,29.3434,31.2279,29.3434,30.51,30757,0
20070309,30.7699,30.7699,29.98,29.98,6350,0
20070312,30.3333,30.6026,29.75,29.75,7911,0
20070313,29.6567,30.5092,29.6119,30.24,20840,0
20070314,29.7751,29.82,29.2546,29.82,7355,0
20070315,30.0656,30.4156,29.7964,30.29,1783,0
20070316,30.2882,30.3331,29.9741,30.01,2006,0
20070319,30.3587,30.96,30.3587,30.96,3343,0
20070320,30.9603,31.05,30.8526,31.05,7912,0
20070321,30.8718,31.5,30.8718,31.5,1114,0
20070322,31.8123,32.4853,30.7803,30.87,51372,0
20070323,30.6519,31.6393,30.5981,31.37,15486,0
20070326,31.1005,31.8544,30.7056,31.28,4234,0
20070327,31.0013,31.4052,30.1576,31.1,8802,0
20070328,30.2443,31.07,30.0648,31.07,4011,0
20070329,30.5271,31.6757,30.24,30.24,9918,0
20070330,30.8723,31.68,30.4236,31.68,15600,0
20070402,31.414,32.3116,31.1896,32.15,3900,0
20070403,32.1472,32.1472,31.3215,31.86,9694,0
20070404,31.7254,31.86,31.4113,31.86,2563,0
20070405,31.3197,31.8582,31.23,31.23,557,0
20070410,31.1838,31.4082,30.6903,30.78,1114,0
20070411,30.6976,30.6976,29.8,29.8,2674,0
20070412,29.887,29.887,28.6305,29.16,6685,0
20070413,29.6213,29.8457,29.2622,29.72,9581,0
20070416,29.7359,30.1937,29.5025,29.7,7019,0
20070417,29.6172,29.7429,28.7646,28.98,10585,0
20070418,28.7159,29.2992,28.1237,29.03,15378,0
20070419,29.2451,29.4515,28.8054,28.94,3900,0
20070420,29.4556,29.6621,29.2582,29.33,6797,0
20070423,29.7019,30.33,29.4327,30.33,7355,0
20070424,30.0157,30.3208,30.0157,30.24,2340,0
20070425,30.0252,30.4828,30.0252,30.42,6909,0
20070426,30.6502,30.8298,30.3092,30.74,6574,0
20070427,30.9592,30.9592,30.69,30.69,1226,0
20070430,30.6895,30.6895,30.1959,30.51,3789,0
20070502,30.2228,30.9138,30.2228,30.51,2563,0
20070503,30.3251,30.5136,29.9392,30.37,13705,0
20070504,30.4697,30.5146,30.021,30.38,3343,0
20070507,30.51,30.51,30.0613,30.51,1894,0
20070508,30.2849,30.5092,30.0605,30.24,5015,0
20070509,30.1593,30.1593,29.8451,29.89,5459,0
20070510,29.7289,30.07,29.3788,30.07,8690,0
20070511,30.2877,30.53,30.0633,30.53,11255,0
20070514,30.9146,31.1838,30.6992,30.78,13595,0
20070515,31.1881,33.3869,31.0983,33.01,63510,0
20070516,32.7549,32.8356,32.3062,32.71,6463,0
20070517,32.7598,32.7867,32.5354,32.67,1671,0
20070518,32.76,32.9395,32.5805,32.76,19164,0
20070521,32.8512,33.4975,32.3306,33.3,9024,0
20070522,33.5197,33.5646,32.7659,33.43,5906,0
20070523,32.9356,33.519,32.8459,33.51,3454,0
20070524,33.57,33.6149,32.9596,33.57,7242,0
20070525,33.61,33.61,33.2061,33.61,3120,0
20070529,33.2241,33.6549,33.2241,33.61,3788,0
20070530,33.3969,33.738,32.0506,33.37,47687,0
20070531,33.209,33.2987,32.9487,33.2,4457,0
20070601,33.2046,33.429,32.9803,33.42,5237,0
20070604,33.2102,33.3,33.0756,33.3,6685,0
20070605,33.2023,33.3817,32.61,32.61,3677,0
20070606,32.6015,33.0771,31.5426,31.74,23067,0
20070607,31.7692,32.3705,30.6923,31.5,14486,0
20070608,31.4113,32.5331,30.792,31.86,8691,0
20070611,32.0403,32.2646,31.9954,32.13,7800,0
20070612,31.6433,32.3972,31.6433,32.11,14374,0
20070613,31.8605,32.1746,31.5913,32.04,30419,0
20070614,32.3051,32.35,32.0359,32.35,25631,0
20070615,32.04,32.399,31.9502,32.39,18162,0
20070618,32.31,32.8036,32.31,32.31,29861,0
20070619,32.5805,32.9844,32.2933,32.76,48578,0
20070620,32.8861,33.0298,32.3386,32.94,18383,0
20070621,32.8946,32.9395,32.3112,32.76,6239,0
20070622,32.31,32.7588,32.31,32.31,4903,0
20070625,32.3112,32.76,32.3112,32.76,5794,0
20070626,32.5815,33.7483,32.5815,33.12,58158,0
20070627,33.0264,33.3854,32.3084,33.17,9248,0
20070628,32.5733,33.3631,32.5733,33.04,5793,0
20070629,32.9742,32.9742,31.8613,32.31,41003,0
20070702,32.2479,33.2083,32.2479,32.58,18941,0
20070703,33.0948,33.2025,32,32,25742,0
20070704,32.0397,32.309,31.232,31.95,13928,0
20070705,31.6797,33.2054,30.872,31.59,52705,0
20070706,32.3097,32.3097,31.861,32.22,891,0
20070709,32.2113,32.319,31.8613,32.31,15265,0
20070710,32.3908,32.3908,31.6818,32.31,4457,0
20070711,32.1305,32.31,31.5023,32.31,12145,0
20070712,33.9961,35.45,33.6551,35.45,94154,0
20070713,35.7233,37.698,35.7233,37.68,72641,0
20070716,38.1902,38.1902,35.8117,36.79,101612,0
20070717,36.3475,36.3564,35.2346,35.45,114099,0
20070718,35.359,35.4487,34.8115,35.35,24403,0
20070719,35.4461,35.6883,34.0103,34.1,169496,0
20070720,34.1038,35.7641,33.7987,34.75,290929,0
20070723,35.0451,35.8528,34.3272,35.44,215167,0
20070724,35.3579,35.4477,34.64,34.99,58167,0
20070725,34.4597,34.729,33.8316,34.37,42791,0
20070726,34.3721,34.3721,32.8464,33.34,127250,0
20070727,33.0284,34.0785,31.9066,33.19,102060,0
20070730,33.2016,33.9374,32.8516,33.39,117347,0
20070731,33.6628,35,33.6628,35,70646,0
20070801,33.6133,33.9095,33.0748,33.73,65846,0
20070802,34.0908,34.4768,33.4895,33.66,41667,0
20070803,33.8391,34.0096,33.13,33.13,25847,0
20070806,33.1201,33.1201,32.42,32.42,11030,0
20070807,32.7588,32.8485,31.1433,32.31,30752,0
20070808,32.3957,33.7418,32.3957,33.32,23624,0
20070809,33.3413,33.5567,32.1477,32.74,36435,0
20070810,31.859,32.3077,29.7051,30.8,87471,0
20070813,30.8715,31.8587,30.6113,31.41,39780,0
20070814,31.8188,32.0522,30.6789,31.37,49467,0
20070815,30.2408,30.851,30.0703,30.51,16716,0
20070816,29.6165,30.0113,27.5702,28.36,29639,0
20070817,27.3746,28.9811,27.0155,27.94,64845,0
20070820,28.3525,28.9898,28.0923,28.55,30863,0
20070821,28.6277,28.9687,27.5508,27.82,44127,0
20070822,27.8208,29.3374,27.7938,29.14,59948,0
20070823,29.9801,30.0789,28.6696,29.28,18939,0
20070824,29.4395,29.978,28.9907,29.26,8468,0
20070827,29.4917,30.5956,29.4828,30.47,37549,0
20070828,30.8775,31.5059,30.33,30.33,25735,0
20070829,29.7383,30.6895,28.9845,30.51,38669,0
20070830,30.7843,31.0177,30.5151,30.91,7131,0
