Date,Open,High,Low,Close,Volume,OpenInt
20000104,16.6623,16.6623,15.77,15.77,206,0
20000107,16.296,16.49,16.296,16.49,722,0
20000111,17.0961,17.0961,16.97,16.97,1237,0
20000114,16.62,16.62,16.62,16.62,618,0
20000117,16.6888,17.29,16.6888,17.29,722,0
20000118,17.0072,17.0072,16.59,16.59,309,0
20000119,16.296,16.49,16.296,16.49,1237,0
20000120,16.3,16.3,16.3,16.3,618,0
20000124,16.106,16.397,16.106,16.3,1855,0
20000125,16.2,16.2,16.2,16.2,103,0
20000127,16.0021,16.39,16.0021,16.39,412,0
20000128,16.8014,16.8014,16.0157,16.2,309,0
20000201,16.5393,18.46,16.5393,18.46,206,0
20000202,16.83,16.8785,16.83,16.83,1443,0
20000204,16.9227,17.65,16.6317,17.65,1341,0
20000207,17.5584,17.9076,17.5584,17.83,2680,0
20000208,17.8259,17.8259,17.05,17.05,1856,0
20000209,17.2704,17.61,17.2704,17.61,1443,0
20000211,16.2475,16.49,16.2475,16.49,722,0
20000214,16.19,16.19,16.19,16.19,412,0
20000215,15.899,16.19,15.899,16.19,825,0
20000216,15.811,15.811,15.52,15.52,722,0
20000217,15.7876,15.7876,15.71,15.71,825,0
20000218,16,16,16,16,619,0
20000222,15.33,15.33,15.33,15.33,1031,0
20000225,15.03,15.03,15.03,15.03,722,0
20000228,15.0888,15.37,15.0888,15.37,206,0
20000301,15.31,15.31,15.31,15.31,618,0
20000302,16.47,16.47,16.47,16.47,619,0
20000303,16.77,16.77,16.77,16.77,619,0
20000309,17.2803,17.2803,16.97,16.97,412,0
20000313,17.29,17.29,17.29,17.29,206,0
20000317,16.8596,17.17,16.8596,17.17,103,0
20000320,16.974,17.75,16.974,17.75,7835,0
20000321,17.9403,18.27,17.9403,18.27,103,0
20000323,18.6704,18.6704,18.04,18.04,1031,0
20000328,18.7695,18.7695,18.43,18.43,412,0
20000329,18.33,18.33,18.33,18.33,103,0
20000403,16.96,16.96,16.96,16.96,103,0
20000410,18.27,18.27,18.27,18.27,103,0
20000411,18.7073,18.7073,18.3679,18.62,1444,0
20000412,18.28,18.28,18.28,18.28,206,0
20000413,18.1216,18.1216,17.85,17.85,515,0
20000417,17.99,17.99,17.99,17.99,412,0
20000420,17.71,17.71,17.71,17.71,619,0
20000426,17.0696,17.38,17.0696,17.38,516,0
20000428,17.56,17.56,17.56,17.56,206,0
20000502,18.3131,18.4295,17.9833,18.09,1443,0
20000505,18.37,18.37,18.37,18.37,206,0
20000511,18.43,18.43,18.43,18.43,515,0
20000512,18.5706,18.91,18.5706,18.91,928,0
20000515,18.9124,20.92,18.9124,20.92,5258,0
20000516,21.2438,21.69,20.9237,21.69,1856,0
20000517,21.4258,21.4258,19.9127,20,3918,0
20000518,20.075,21.2,20.075,21.2,1753,0
20000519,21.2876,21.2876,20.3566,21.21,4434,0
20000522,21.1997,25.2438,21.1997,23.76,5465,0
20000523,24.2515,24.7462,23.3784,24.3,4433,0
20000524,24.539,25.218,24.539,24.83,4330,0
20000525,25.0299,25.0299,22.1,22.1,6597,0
20000526,23.6721,24.2542,22.9445,23.09,3092,0
20000529,22.6995,23.7665,22.6995,23.33,1856,0
20000530,23.3857,24.54,23.3857,24.54,1340,0
20000531,25.2113,25.2113,24.3092,24.93,1856,0
20000601,24.73,24.73,24.73,24.73,309,0
20000602,24.5445,24.69,24.0982,24.69,1031,0
20000605,25.2185,25.2185,24.7626,25.17,825,0
20000606,24.7156,24.7156,24.25,24.25,825,0
20000607,23.8097,24.2461,23.3733,23.8,3506,0
20000609,23.28,23.28,23.28,23.28,928,0
20000615,21.81,21.81,21.81,21.81,309,0
20000616,22.2013,22.2013,21.92,21.92,516,0
20000619,21.634,21.634,21.1393,21.44,1237,0
20000620,21.049,21.049,20.37,20.37,928,0
20000622,20.3686,20.3686,20,20,412,0
20000626,19.811,20.5387,19.811,20.17,1134,0
20000627,19.7927,19.88,19.7927,19.88,825,0
20000628,20.2388,20.2388,19.88,19.88,928,0
20000629,20.241,20.241,19.5912,19.95,516,0
20000630,19.5935,19.5935,19.06,19.06,3608,0
20000703,19.401,19.401,18.431,19.11,2371,0
20000705,19.27,19.27,19.27,19.27,206,0
20000706,19.5745,21.1847,19.2738,20.69,825,0
20000711,19.5221,19.59,19.5221,19.59,206,0
20000717,20.05,20.05,20.05,20.05,619,0
20000718,20.42,20.42,20.42,20.42,309,0
20000719,20.7884,20.7884,20.09,20.09,206,0
20000721,19.481,19.84,19.481,19.84,1237,0
20000727,19.4111,19.77,19.0618,19.77,1237,0
20000728,20.37,20.37,20.37,20.37,619,0
20000731,19.7104,20.37,19.7104,20.37,2165,0
20000801,20.0751,20.56,20.0751,20.56,722,0
20000803,19.8189,19.8189,19.46,19.46,1237,0
20000804,19.4011,19.76,19.4011,19.76,928,0
20000810,19.95,19.95,19.95,19.95,206,0
20000814,19.885,20.37,19.885,20.37,722,0
20000816,20.37,20.661,20.37,20.37,1753,0
20000817,20.0576,20.368,19.6793,19.98,2990,0
20000818,20.35,20.35,20.35,20.35,206,0
20000821,19.98,19.98,19.98,19.98,206,0
20000823,19.9788,19.9788,19.62,19.62,619,0
20000824,19.4443,19.4443,19.26,19.26,516,0
20000828,19.88,19.88,19.5212,19.88,1237,0
20000829,19.5814,20.27,19.5814,20.27,722,0
20000830,20.372,20.76,20.372,20.76,1031,0
20000831,20.3814,20.75,20.3814,20.75,825,0
20000904,20.4807,22.13,20.112,22.13,6700,0
20000905,21.73,21.73,21.73,21.73,206,0
20000906,21.3417,21.72,21.332,21.72,1443,0
20000907,21.32,21.32,21.32,21.32,515,0
20000908,21.7077,21.7077,21.31,21.31,206,0
20000911,20.9237,21.69,20.9237,21.69,1031,0
20000912,21.2879,21.2879,20.5218,20.9,722,0
20000914,21.3397,21.7277,21.33,21.33,1650,0
20000918,21.15,21.15,21.15,21.15,206,0
20000919,20.8584,20.8584,20.48,20.48,1031,0
20000920,20.11,20.11,20.11,20.11,103,0
20000921,19.74,19.74,19.74,19.74,103,0
20000922,19.4,19.4,19.4,19.4,515,0
20001006,19.2794,19.58,19.2794,19.58,1031,0
20001009,19.281,19.281,18.99,18.99,516,0
20001025,18.9125,18.9125,18.67,18.67,516,0
20001026,19.35,19.35,19.35,19.35,516,0
20001027,19.39,19.39,19.39,19.39,206,0
20001108,19.1208,19.47,18.7812,19.47,2165,0
