Date,Open,High,Low,Close,Volume,OpenInt
20060628,5.639,5.639,5.5102,5.5129,11055,0
20060629,5.5073,5.5372,5.3757,5.4618,10511,0
20060630,5.4859,5.5909,5.4267,5.435,16907,0
20060703,5.435,5.4832,5.3892,5.4565,11251,0
20060704,5.4701,5.5909,5.451,5.5238,1661,0
20060705,5.5372,5.5372,5.2683,5.4295,20901,0
20060706,5.3623,5.5129,5.2712,5.4832,7071,0
20060707,5.4295,5.5639,5.4028,5.4537,7246,0
20060710,5.6047,5.6047,5.4457,5.567,8848,0
20060711,5.5264,5.5833,5.4323,5.5211,12567,0
20060712,5.5456,5.7935,5.54,5.7206,3305,0
20060713,5.7206,5.7474,5.6476,5.6831,15695,0
20060714,5.6476,5.7474,5.5293,5.5856,21980,0
20060717,5.6021,5.6021,5.3377,5.4672,48122,0
20060718,5.4994,5.7367,5.3918,5.7017,43942,0
20060719,5.6505,6.0928,5.5805,6.0442,10736,0
20060720,5.9847,6.0928,5.823,5.823,12026,0
20060721,5.823,6.063,5.7935,6.0145,9970,0
20060724,6.0117,6.0387,5.6612,5.7394,35602,0
20060725,5.6883,5.9686,5.6883,5.9175,17390,0
20060726,5.9632,6.0336,5.8662,5.9445,3891,0
20060727,5.9445,6.0928,5.85,6.0172,12886,0
20060728,6.0117,6.0928,5.85,5.9931,6851,0
20060731,5.958,6.0387,5.7963,5.966,14125,0
20060801,5.9712,5.9768,5.8932,5.8932,4725,0
20060802,5.958,5.966,5.877,5.8849,5314,0
20060803,5.9309,5.9445,5.8365,5.9445,3024,0
20060804,5.9253,5.958,5.823,5.8849,7383,0
20060807,5.9445,5.9498,5.8121,5.8849,5033,0
20060808,5.9253,5.958,5.8365,5.8635,2210,0
20060809,5.9253,5.9309,5.7693,5.8582,25028,0
20060810,5.9309,5.9309,5.7637,5.8526,10589,0
20060811,5.8177,5.8526,5.7585,5.8526,3128,0
20060814,5.904,5.904,5.6883,5.8095,7783,0
20060815,5.8043,5.8985,5.7287,5.8256,1727,0
