Date,Open,High,Low,Close,Volume,OpenInt
20000114,22.45,28,22.4,28,39500,0
20000117,27,28,24,25.5,63300,0
20000118,25.6,25.65,24,24,22100,0
20000119,24,25.7,24,25.3,34300,0
20000120,25,25.84,24.5,25,29700,0
20000121,24.25,25.68,23.85,25.5,35600,0
20000124,25.2,27.05,25,26.5,102600,0
20000125,25.6,28.8,25.35,28,80600,0
20000126,28.1,28.45,27.9,27.9,33400,0
20000127,27.5,28.25,27.4,28,11900,0
20000128,28.1,28.2,25,26,20700,0
20000131,25.79,25.79,23.05,24.4,34400,0
20000201,24.9,27.4,24.9,27,65700,0
20000202,27.85,28.35,26.7,27,52500,0
20000203,27.4,27.6,26.9,27.05,21400,0
20000204,27.75,27.95,26.7,26.7,29900,0
20000207,26.5,26.5,25,26,29700,0
20000208,25.2,29.64,25,29,154700,0
20000209,30.4,33.69,30.4,33.6,243900,0
20000210,32.9,37.7,31.5,37.2,292300,0
20000211,37.4,46.5,37.4,42.2,270700,0
20000214,41.5,44.15,39,43,79500,0
20000215,43.55,45.3,42.5,43.8,137300,0
20000216,44,44,38,39,88500,0
20000217,39.75,40.8,37.35,37.5,29100,0
20000218,38.25,41.48,38.25,41,67300,0
20000221,40.5,40.75,38.6,39,19100,0
20000222,39.3,39.3,37.1,38.99,45500,0
20000223,38.85,39.15,38.05,39,25700,0
20000224,39.93,42,39.8,42,83400,0
20000225,42.3,45.89,42,45.89,66000,0
20000228,44.5,44.5,40.01,42.22,35600,0
20000229,42.5,42.7,40.1,41.5,18100,0
20000301,42.1,44.1,41.2,43.55,45100,0
20000302,45.5,47,43.8,47,70400,0
20000303,46.9,58,46.7,58,217700,0
20000306,58,62,57.5,59.9,39700,0
20000307,59.65,59.65,50,50,40200,0
20000308,48,48,43,45.25,136000,0
20000309,46,53.04,46,51.6,61300,0
20000310,54.1,58.4,50,55,74400,0
20000314,50.2,50.2,47.6,49,27200,0
20000315,49,49,44.72,47.32,30600,0
20000316,45.6,47.5,45.1,47.5,18500,0
20000317,49.39,49.71,44,45.8,20600,0
20000320,47,48.8,47,47,3700,0
20000321,47,47.5,44,44.5,9600,0
20000322,44.51,46,44.5,45,20200,0
20000323,45,45.1,38,42,63300,0
20000324,42.64,42.64,40.01,41.1,6900,0
20000327,40.9,40.9,34.23,35,64300,0
20000328,36.5,41.3,36.5,38,32400,0
20000329,39,41,38.1,40,20700,0
20000330,39.5,40,38,38.5,33300,0
20000331,37.5,39.8,37,39,22500,0
20000403,39.7,41.5,39.2,39.95,22700,0
20000404,39.1,42.5,39.1,39.75,32700,0
20000405,39.5,39.5,35.05,35.6,23500,0
20000406,36.55,40.5,36.55,38.95,24700,0
20000407,39.52,42.5,39.52,42.5,26600,0
20000410,42.64,42.85,39.6,40.5,15500,0
20000411,38.84,38.84,35.8,36.6,53900,0
20000412,37.44,39.65,37.44,38.8,31100,0
20000413,37.8,37.8,36.2,37.15,15600,0
20000414,36.7,36.7,34.5,35,16600,0
20000417,33.49,35.36,29.5,34.25,38000,0
20000418,35,36,33.8,33.9,12200,0
20000419,34.6,35.5,33.81,35.5,17400,0
20000420,35.25,36.1,35,35.5,6000,0
20000425,35,35.57,34.5,35.57,3100,0
20000426,36.29,37.3,36,37,8700,0
20000427,36.5,39,36.5,39,21000,0
20000428,39.5,43.5,39.5,43.4,23500,0
20000502,43.01,48,43.01,47.6,30800,0
20000503,48,48,44.5,45.9,19300,0
20000504,45.8,48.88,45.4,48.88,54800,0
20000505,49,54.5,49,54.5,49700,0
20000508,55,55,53.5,54.01,69100,0
20000510,54.4,54.4,46.7,47.99,14100,0
20000511,46.6,46.6,42.8,45,29700,0
20000512,46,46.35,45.6,45.7,4100,0
20000515,46.48,46.5,45,46,8200,0
20000516,46,46.5,45.5,45.99,5400,0
20000517,45.13,46.2,44.5,44.8,8400,0
20000518,44.8,44.8,41.5,44.25,14200,0
20000519,43,43,39.43,39.43,17100,0
20000522,39.11,39.11,34.91,35.49,30100,0
20000523,36.5,39,36.5,39,18200,0
20000524,37.55,38.4,34.58,36.5,34300,0
20000525,37.5,38.39,36.5,37.82,26600,0
20000526,34.7,36.5,34.7,36,11900,0
20000529,35.5,37.35,35.4,35.4,5500,0
20000530,35.5,37.01,35.3,37,6500,0
20000531,38.9,41.2,38.5,38.5,18300,0
20000601,39.2,48,39.2,48,21900,0
20000602,46.5,46.5,42,45,26200,0
20000605,45.3,45.3,41.93,44,16000,0
20000606,43.2,43.2,41.11,42,15700,0
20000607,42,42.64,41.5,41.5,13900,0
20000608,42.6,44,42.5,43.5,9500,0
20000609,43.6,43.8,42.7,43.26,1500,0
20000612,43.26,43.26,42.5,43,1300,0
20000613,43,43,39.5,41,15400,0
20000614,42.1,42.73,41,42,5000,0
20000615,41.9,41.9,40.5,40.99,2900,0
20000616,41,41.61,39.75,39.75,10000,0
20000619,39.4,40.3,39.4,39.5,1900,0
20000620,40.1,41.81,40,40.09,10500,0
20000621,40.6,41,40.2,40.3,2900,0
20000622,40.1,41,40,40,2800,0
20000623,40.5,40.5,39.4,39.4,3800,0
20000626,39.8,40.06,39.05,39.5,4200,0
20000627,39.2,40.17,39.1,39.5,5400,0
20000628,40,40,39.4,40,6500,0
20000629,39.5,39.6,39.15,39.6,7400,0
20000630,39.6,42.64,39,41.2,17500,0
20000703,42.2,43.7,40.1,42.8,33000,0
20000704,42.78,43,42,42,3500,0
20000705,42.3,42.3,41,41.1,8000,0
20000706,40.9,40.9,39.8,40.5,21300,0
20000710,45.1,45.1,42.5,43.3,12400,0
20000711,45.2,45.55,41.8,42.5,12500,0
20000712,43.4,44,42.5,43.5,13600,0
20000714,44.2,45.32,43.65,45,21400,0
20000717,44.8,45.19,44,45,1600,0
20000718,45,45,43.5,44.3,7200,0
20000719,43.5,45,43.3,44,6900,0
20000720,44,44.2,43.5,43.5,3000,0
20000721,44.5,44.5,43.3,44.2,7700,0
20000724,43.5,43.5,43.1,43.3,3600,0
20000725,43,44.4,43,44.4,4600,0
20000726,43.93,44.7,43.5,44.7,8300,0
20000727,44.8,47.89,44.4,46.3,34600,0
20000728,44.4,45,44.2,45,9800,0
20000731,45.5,45.5,44.5,44.7,11800,0
20000801,45,45.3,44.55,45.3,3700,0
20000802,44.8,45.73,44.4,45,10300,0
20000803,45.8,45.8,41,41.5,34400,0
20000804,42,42.02,41.1,42.01,10600,0
20000807,42,42,35,37.9,29400,0
20000808,38.38,40,36.5,38,29900,0
20000809,38.9,40,38.2,40,30700,0
20000810,40.1,40.3,39.95,40,11400,0
20000811,40.25,42,40.1,41.51,10600,0
20000814,41.5,42.3,41.5,41.85,4900,0
20000815,42,42.4,42,42.02,10800,0
20000816,42.4,42.4,41.55,42.1,11700,0
20000817,41.75,43.2,41.2,42,14000,0
20000818,43.5,43.7,41.8,42.71,13400,0
20000821,42.95,44,42,42.7,8900,0
20000822,41.8,42.4,41.2,42.2,4000,0
20000823,41.2,41.3,38.5,40.35,9900,0
20000824,40.75,41,40.2,40.2,6500,0
20000825,40,40,37.6,38.22,24100,0
20000828,38.5,38.6,36.8,37.4,14000,0
20000829,37.99,38.4,37.1,38.2,11100,0
20000830,37.99,38.49,37.76,38.49,9000,0
20000831,39,40.57,38.67,40.57,8000,0
20000901,41.05,42.6,41,41.5,19500,0
20000904,41.8,41.9,40.25,41.2,5900,0
20000905,40.5,40.88,39.5,40,6600,0
20000906,38.3,39,37.8,38.95,9900,0
20000907,38.46,38.46,36.18,37.82,59700,0
20000908,37.8,38.62,37.8,38.47,3000,0
20000911,38.5,38.5,37.8,38.27,3200,0
20000912,38,38.47,38,38,4700,0
20000914,38.5,40,38.25,40,7900,0
20000915,39.24,40,38.2,40,9500,0
20000918,39.5,40,38.5,38.5,9400,0
20000919,37.2,38.2,37.2,38,2600,0
20000920,38.5,41,36.3,40.76,54500,0
20000921,39.83,39.83,36.5,37,7000,0
20000922,36.9,36.9,31,34.9,38300,0
20000925,35,38,35,38,31900,0
20000926,37.7,38.35,37.4,38,16500,0
20000927,37.95,38.4,36.8,38,10700,0
20000928,38,38.1,34.7,36.94,24500,0
20000929,36.48,36.8,35.75,36.14,3500,0
20001002,36.1,36.19,35.35,36.19,3700,0
20001004,35.2,37.5,35.2,37,20200,0
20001005,37.93,38.36,37.13,38.2,17100,0
20001006,38,38,36.34,36.4,3700,0
20001009,36.86,36.86,31,32,14100,0
20001010,32.59,33.82,32.39,33,5000,0
20001011,33,33,29.02,31.12,13000,0
20001012,30.5,30.5,27,28,71400,0
20001013,28.9,29.49,25.5,26.95,64100,0
