Date,Open,High,Low,Close,Volume,OpenInt
20160321,5.2711,5.3822,5.2316,5.3266,2799731,0
20160322,5.2787,5.2974,5.1815,5.2664,2947897,0
20160323,5.287,5.3653,5.1863,5.2174,1604610,0
20160324,5.1703,5.2193,5.1147,5.1656,2106359,0
20160329,5.2098,5.2174,5.1439,5.2014,662275,0
20160330,5.2523,5.3616,5.2523,5.3417,4440361,0
20160331,5.3389,5.4472,5.3266,5.4312,3859309,0
20160401,5.4134,5.4134,5.1976,5.3389,3222458,0
20160404,5.3107,5.4981,5.2682,5.4642,1432089,0
20160405,5.4077,5.4077,5.1853,5.2145,1508950,0
20160406,5.2042,5.3004,5.1156,5.2757,2362339,0
20160407,5.2757,5.3078,5.1326,5.1873,2382660,0
20160408,5.1863,5.289,5.1863,5.2616,732355,0
20160411,5.2427,5.3314,5.2334,5.2664,1187911,0
20160412,5.289,5.3183,5.1825,5.2523,993455,0
20160413,5.3087,5.352,5.2654,5.32,1396985,0
20160414,5.1598,5.2286,5.1062,5.1335,11421694,0
20160415,5.1533,5.1938,5.0403,5.0544,4932545,0
20160418,5.0035,5.1636,4.9733,5.1091,3283126,0
20160419,5.1307,5.2437,5.1307,5.1938,1319902,0
20160420,5.1911,5.2089,5.028,5.1288,1249658,0
20160421,5.1203,5.1911,5.0713,5.1175,2541772,0
20160422,5.0874,5.1335,4.9187,4.9272,1891659,0
20160425,4.9282,4.9856,4.9083,4.9451,1366962,0
20160426,4.9837,5.0421,4.9592,5.0393,1529273,0
20160427,5.0874,5.1062,5.0534,5.0874,1012058,0
20160428,5.0855,5.1863,5.0496,5.1815,1493114,0
20160429,5.1768,5.2098,5.1128,5.1439,1450352,0
20160502,5.1656,5.2382,5.1411,5.2014,823581,0
20160503,5.1598,5.1598,4.9178,4.9602,2482035,0
20160504,4.9602,4.9602,4.8151,4.8612,2247988,0
20160505,4.8791,4.9178,4.8208,4.9018,1205261,0
20160506,4.9141,4.9159,4.8029,4.8753,1225325,0
20160509,4.9131,4.9799,4.8396,4.8707,1594236,0
20160510,4.9018,4.9018,4.8038,4.898,2168445,0
20160511,4.882,4.9046,4.7558,4.9046,2201234,0
20160512,4.8603,4.9385,4.8113,4.8481,1442891,0
20160513,4.7953,4.8057,4.7105,4.7266,3005174,0
20160517,4.7321,4.7642,4.5513,4.6069,1659246,0
20160518,4.5748,4.6295,4.5466,4.5899,1707326,0
20160519,4.5569,4.6286,4.5485,4.5805,661559,0
20160520,4.6116,4.7162,4.6116,4.7011,1243872,0
20160523,4.72,4.8132,4.7029,4.8095,2453197,0
20160524,4.7765,4.9461,4.7482,4.9207,1652486,0
20160525,4.962,5.0166,4.9272,4.9479,1906479,0
20160526,4.9451,5.0403,4.9451,4.9829,1192504,0
20160527,4.9866,5.0733,4.9762,5.0695,1615969,0
20160530,5.078,5.0874,4.9988,5.0563,1166605,0
20160531,5.0657,5.0657,4.9554,4.9743,1738985,0
20160601,4.9819,5.0487,4.9461,4.965,2378519,0
20160602,4.9829,5.0412,4.9829,5.0025,1007728,0
20160603,5.0271,5.0403,4.9856,5.0091,1754262,0
20160606,5.045,5.1948,5.0355,5.1948,1905586,0
20160607,5.2089,5.2862,5.1815,5.2578,2515290,0
20160608,5.2221,5.2409,5.1552,5.2107,1715076,0
20160609,5.1844,5.2127,5.143,5.1722,2005742,0
20160610,5.1694,5.1911,4.9461,4.9554,2309564,0
20160613,4.9083,4.9819,4.8481,4.8481,2188198,0
20160614,4.8519,4.8519,4.6295,4.6446,3153926,0
20160615,4.6926,4.7558,4.6795,4.7097,4460393,0
