Date,Open,High,Low,Close,Volume,OpenInt
20030701,3.6021,3.8893,3.6021,3.6083,145978,0
20030702,3.6693,3.9413,3.6693,3.8985,126011,0
20030703,3.865,4.0117,3.865,3.923,154158,0
20030704,3.8955,3.9565,3.8955,3.9505,64806,0
20030707,3.9413,4.3691,3.9413,4.2163,582924,0
20030708,4.1857,4.6899,4.1704,4.4637,1086971,0
20030709,4.4332,4.7784,4.4301,4.5248,631039,0
20030710,4.4912,4.5341,4.4026,4.4332,333520,0
20030711,4.4272,4.4454,4.3018,4.372,121101,0
20030714,4.372,4.3996,4.2927,4.3079,78553,0
20030715,4.2775,4.5065,4.2775,4.3537,248422,0
20030716,4.3568,4.5218,4.3568,4.3874,318138,0
20030717,4.3446,4.3813,4.1826,4.2467,230420,0
20030718,4.2467,4.2927,4.0666,4.2467,468043,0
20030721,4.2743,4.4179,4.2285,4.2285,206528,0
20030722,4.2866,4.2866,4.1613,4.1918,162669,0
20030723,4.2622,4.3323,4.146,4.2163,151541,0
20030724,4.2467,4.2775,4.1551,4.2775,273624,0
20030725,4.2467,4.2775,4.1033,4.1033,172815,0
20030728,4.146,4.2467,4.1033,4.2042,181654,0
20030729,4.2652,4.3996,4.2163,4.2254,298499,0
20030730,4.1551,4.7815,4.1309,4.6288,987798,0
20030731,4.6959,5.0809,4.6959,4.7998,575724,0
20030801,4.7724,5.2061,4.7448,4.919,200310,0
20030804,4.8915,4.8915,4.6593,4.7357,328285,0
20030805,4.6776,4.7571,4.6623,4.7357,186234,0
20030806,4.6593,4.7326,4.6441,4.6899,150232,0
20030807,4.7052,4.9496,4.6746,4.9038,662132,0
20030808,4.8915,5.0107,4.8395,4.9099,167579,0
20030811,4.8885,4.919,4.8091,4.858,63824,0
20030812,4.8609,4.9038,4.8426,4.9038,191144,0
20030813,4.8885,5.0717,4.8518,4.8792,261842,0
20030814,4.8733,4.9649,4.858,4.9649,72988,0
20030815,4.9649,4.9649,4.7968,4.8487,72988,0
20030818,4.8885,4.9924,4.8733,4.9649,25201,0
20030819,5.0503,5.1023,4.919,5.0107,140740,0
20030820,4.9679,5.0535,4.9525,5.0107,69387,0
20030821,4.9649,5.1175,4.9649,5.0687,165942,0
20030822,4.9954,5.304,4.9954,5.1298,331885,0
20030825,5.2184,5.2215,5.0564,5.1451,54659,0
20030826,5.2092,5.2092,4.9709,5.1023,49750,0
20030827,5.0657,5.0657,4.9221,4.9221,191472,0
20030828,4.8457,5.0076,4.8457,4.9283,165287,0
20030829,4.858,4.9649,4.7357,4.8671,138450,0
