Date,Open,High,Low,Close,Volume,OpenInt
20000114,29.06,29.144,28.478,28.478,721,0
20000117,29.98,29.98,29.148,29.148,4682,0
20000118,29.149,29.149,28.732,28.732,1321,0
20000119,28.984,29.143,28.109,28.109,3361,0
20000120,29.023,29.114,28.398,28.44,721,0
20000121,28.439,29.73,28.356,29.148,2642,0
20000124,29.148,29.93,27.94,27.94,3242,0
20000125,27.727,27.727,26.686,27.685,8526,0
20000127,27.854,27.987,26.821,27.487,2642,0
20000128,27.483,27.483,25.401,25.817,12728,0
20000131,25.233,26.025,25.192,26.025,1682,0
20000201,27.572,27.572,26.481,26.648,1321,0
20000202,27.062,27.52,25.938,27.27,5644,0
20000203,27.484,27.817,26.901,27.817,2401,0
20000204,28.213,29.062,27.98,28.638,8886,0
20000207,30.812,32.052,29.979,30.062,17172,0
20000208,30.396,31.628,29.771,31.628,13329,0
20000209,32.063,35.811,31.522,34.562,47069,0
20000210,33.6,34.392,32.935,34.392,8166,0
20000211,34.897,34.897,33.557,34.515,18255,0
20000214,34.138,34.138,32.015,33.223,9008,0
20000215,33.308,34.308,32.059,32.892,23418,0
20000216,34.306,34.722,33.722,34.722,8526,0
20000217,34.144,34.976,32.478,34.976,12248,0
20000218,36.225,41.222,36.225,39.306,44791,0
20000221,38.887,45.383,38.887,42.051,21857,0
20000222,42.058,42.058,38.31,38.976,24014,0
20000223,37.641,38.248,36.058,36.958,22817,0
20000224,37.309,37.309,34.144,34.976,13568,0
20000225,36.061,41.224,36.061,37.476,14649,0
20000228,36.386,39.966,34.138,35.137,17174,0
20000229,38.763,38.763,35.391,35.807,7085,0
20000301,35.806,37.463,35.806,36.721,4443,0
20000302,35.804,35.804,33.306,34.222,13571,0
20000303,35.244,35.335,33.977,35.335,3603,0
20000306,35.394,37.059,35.06,35.76,2282,0
20000307,34.976,35.31,34.477,34.477,2042,0
20000308,34.142,34.733,30.902,33.892,12969,0
20000309,33.475,36.448,33.475,35.807,23778,0
20000310,35.561,37.06,33.479,34.562,48150,0
20000314,34.136,35.81,33.727,34.976,7324,0
20000315,34.478,34.895,33.729,34.562,2522,0
20000316,34.556,36.638,34.556,36.221,15612,0
20000317,37.309,40.806,37.309,40.806,20653,0
20000320,42.807,46.637,40.391,40.891,14288,0
20000321,40.967,44.547,39.468,43.882,14412,0
20000322,43.471,44.137,39.14,40.806,9967,0
20000323,40.808,40.808,37.477,37.976,2642,0
20000324,38.142,39.891,36.726,39.891,5884,0
20000327,40.803,46.631,39.562,44.966,30143,0
20000328,44.131,46.629,43.714,45.796,11048,0
20000329,45.8,47.132,45.383,46.466,3482,0
20000330,45.796,45.796,39.967,42.533,6966,0
20000331,39.971,41.637,39.055,40.646,13930,0
20000403,39.638,43.385,39.638,41.637,9487,0
20000404,42.454,42.454,39.306,39.306,10447,0
20000405,39.226,40.992,34.229,36.562,6724,0
20000406,36.637,38.302,35.638,36.637,26542,0
20000407,37.891,39.365,36.641,38.307,27739,0
20000410,39.21,40.899,39.21,40.466,9848,0
20000411,39.971,39.971,38.306,39.221,10447,0
20000412,39.555,39.721,39.221,39.721,600,0
20000413,39.019,39.019,37.729,38.137,1321,0
20000414,37.891,37.891,36.392,36.392,3003,0
20000417,33.312,36.618,33.312,36.618,2761,0
20000418,41.238,41.637,30.812,32.477,43231,0
20000419,33.964,34.646,30.149,30.732,17891,0
20000420,29.558,30.807,28.559,30.307,23180,0
20000425,29.567,29.567,29.259,29.317,120,0
20000426,30.399,30.707,30.149,30.232,1682,0
20000427,30.611,30.611,29.146,29.562,8406,0
20000428,30.141,30.949,29.642,30.949,5404,0
20000502,31.647,32.388,31.23,32.354,3003,0
20000503,31.228,31.645,30.562,31.062,960,0
20000504,30.396,30.396,29.563,30.062,3603,0
20000505,30.144,30.477,29.895,30.477,840,0
20000508,29.976,30.185,29.31,30.185,1682,0
20000510,28.564,29.148,28.564,29.148,240,0
20000511,28.733,29.317,27.568,28.317,9005,0
20000512,28.317,28.483,27.659,28.317,4443,0
20000515,28.562,29.977,28.562,29.977,3482,0
20000516,29.93,29.93,29.064,29.93,3482,0
20000517,29.561,29.977,29.145,29.977,6485,0
20000518,29.026,29.567,28.734,29.317,2161,0
