Date,Open,High,Low,Close,Volume,OpenInt
20061207,33.534,33.601,33.06,33.467,244664,0
20061208,33.737,34.387,33.06,34.279,277508,0
20061211,34.279,34.414,33.373,34.09,39117,0
20061212,33.737,34.387,33.054,34.279,115875,0
20061213,34.279,34.348,33.872,34.212,4060,0
20061214,34.348,34.822,34.282,34.686,7012,0
20061215,34.143,34.958,34.143,34.958,76758,0
20061218,34.958,35.22,34.561,35.174,19558,0
20061219,34.686,35.174,34.686,35.174,21773,0
20061220,35.229,35.77,35.229,35.77,26940,0
20061221,35.77,35.905,34.958,35.824,13654,0
20061222,35.229,36.583,35.229,36.583,87460,0
20061227,36.217,36.672,36.217,36.583,4797,0
20061228,36.583,36.583,36.479,36.479,1108,0
20061229,35.815,36.799,35.815,36.447,9964,0
20070102,36.583,37.639,36.583,36.99,16238,0
20070103,36.99,36.99,36.583,36.854,12917,0
20070104,36.583,36.718,36.583,36.583,14023,0
20070105,36.583,36.583,35.265,36.312,7012,0
20070108,36.041,36.555,35.77,36.555,15130,0
20070109,36.854,36.854,36.176,36.583,11440,0
20070110,36.854,36.854,35.265,35.77,9225,0
20070111,35.229,36.038,35.229,36.038,7750,0
20070112,36.041,36.583,36.041,36.583,58307,0
20070115,36.583,36.583,35.92,36.583,2952,0
20070116,36.58,36.636,36.041,36.041,40224,0
20070117,36.583,36.583,36.583,36.583,3690,0
20070119,37.249,38.073,36.854,36.854,65319,0
20070122,37.396,38.073,36.854,37.83,8487,0
20070123,37.937,37.993,37.883,37.937,49081,0
20070124,37.396,37.396,37.125,37.125,5535,0
20070125,37.392,37.392,35.946,36.312,10702,0
20070126,36.969,37.312,36.041,37.312,7750,0
20070129,36.633,37.301,36.041,37.301,2952,0
20070131,36.318,36.663,36.041,36.663,1845,0
20070201,36.636,36.718,36.044,36.718,2952,0
20070202,36.718,37.385,36.718,37.385,2952,0
20070205,36.705,36.718,36.705,36.718,2584,0
20070206,36.718,36.907,36.447,36.854,10702,0
20070207,36.852,36.852,36.69,36.718,2214,0
20070208,36.618,37.123,36.618,37.016,18821,0
20070209,37.016,37.613,36.854,37.613,8856,0
20070212,37.396,37.883,37.396,37.883,20666,0
20070213,37.883,37.993,37.532,37.937,21034,0
20070214,37.666,38.317,37.396,38.317,74174,0
20070215,38.317,39.011,37.125,39.011,10702,0
20070216,38.615,38.805,37.666,38.615,3690,0
20070220,38.222,38.29,37.937,38.208,12547,0
20070221,38.751,40.918,38.615,38.615,19189,0
20070222,39.314,39.547,38.479,38.585,8118,0
20070223,39.076,39.425,38.669,39.292,3690,0
20070226,39.563,39.563,39.156,39.156,15499,0
20070227,39.035,39.035,37.396,38.208,6273,0
20070228,38.208,38.751,37.41,37.666,54247,0
20070301,37.681,37.934,37.274,37.274,4429,0
20070302,37.339,37.528,36.812,36.964,9594,0
20070305,37.39,37.39,33.601,35.905,40593,0
20070306,36.555,36.555,35.268,35.77,30259,0
20070307,35.959,36.496,35.43,35.905,22142,0
20070308,35.905,37.532,35.905,37.532,13286,0
20070309,37.666,37.666,37.396,37.613,2214,0
20070312,37.616,37.616,37.528,37.532,1108,0
20070313,36.99,37.666,36.716,37.666,9594,0
20070314,37.184,37.184,36.312,36.68,10702,0
20070315,36.583,37.125,36.583,36.859,12178,0
20070316,36.854,37.666,36.312,37.125,20666,0
20070319,36.45,36.854,35.656,36.854,14023,0
20070320,36.589,36.849,36.374,36.583,1477,0
20070321,36.583,36.943,36.265,36.852,9594,0
20070322,36.854,37.125,36.759,36.99,22511,0
20070323,37.125,37.125,36.854,37.098,3690,0
20070326,37.095,37.095,36.325,36.447,27307,0
20070327,36.447,36.718,35.661,36.312,14392,0
20070328,35.77,36.716,35.565,35.701,14392,0
20070329,35.701,35.77,35.366,35.77,10333,0
20070330,35.77,35.773,35.363,35.559,14392,0
20070402,35.571,35.824,35.529,35.824,9964,0
20070403,36.447,36.447,34.524,35.229,63103,0
20070404,35.515,36.583,35.515,35.851,30259,0
20070405,36.176,36.176,34.984,35.859,64211,0
20070410,36.447,36.447,34.414,35.093,59044,0
20070411,35.093,35.824,34.958,35.77,18082,0
20070412,36.176,36.583,34.994,36.583,43176,0
20070413,36.059,37.1,35.973,37.1,5904,0
20070416,36.583,36.854,36.176,36.176,19189,0
20070417,36.098,36.58,35.518,35.77,11809,0
20070418,36.278,36.583,36.038,36.583,93364,0
20070419,36.447,36.583,35.927,36.583,15869,0
20070420,35.921,37.653,35.58,37.653,16606,0
20070423,37.125,37.371,36.583,37.256,6642,0
20070424,37.125,37.125,36.445,36.786,21034,0
20070426,37.379,37.379,36.854,37.373,2214,0
20070427,37.157,37.169,35.499,37.169,17713,0
20070430,36.718,37.586,36.583,37.586,15499,0
20070502,37.642,37.642,37.125,37.528,6642,0
20070503,37.125,37.385,37.125,37.261,19189,0
20070504,37.631,37.631,36.997,37.532,21034,0
20070507,37.642,37.642,36.583,36.852,2952,0
20070508,37.376,37.463,35.497,36.555,28415,0
20070509,36.583,37.123,36.315,36.475,9964,0
20070510,36.488,36.799,36.447,36.799,10702,0
20070511,36.99,36.99,36.312,36.447,5165,0
20070514,36.041,36.583,35.499,36.583,44284,0
20070515,35.499,36.494,35.499,35.905,33213,0
20070516,35.396,36.041,34.892,36.041,25094,0
20070517,35.905,36.038,35.77,35.905,68270,0
20070518,36.416,36.416,35.767,35.905,44284,0
20070521,35.905,36.299,35.905,36.136,2952,0
20070522,36.583,36.583,35.838,35.905,5535,0
20070523,35.905,36.106,35.499,35.905,9225,0
20070524,35.499,35.77,34.688,35.697,16606,0
20070525,36.206,36.206,35.093,35.229,12547,0
20070529,35.497,35.497,34.399,34.958,11809,0
20070530,34.958,35.229,34.822,35.201,23250,0
20070531,34.897,35.767,34.897,35.366,4429,0
20070601,35.866,35.866,34.889,35.309,21403,0
20070604,35.093,35.229,34.958,35.024,2584,0
20070605,35.214,35.214,33.789,34.087,9594,0
20070606,34.534,34.534,34.131,34.266,26201,0
