Date,Open,High,Low,Close,Volume,OpenInt
20000104,1.4779,1.4779,1.4344,1.4344,1844,0
20000105,1.4146,1.4146,1.4146,1.4146,4592,0
20000106,1.4146,1.4146,1.4146,1.4146,2296,0
20000107,1.4146,1.4146,1.4146,1.4146,4140,0
20000110,1.3922,1.3922,1.3922,1.3922,6436,0
20000111,1.3822,1.3822,1.3822,1.3822,6432,0
20000114,1.38,1.4018,1.3474,1.3474,33128,0
20000117,1.3276,1.3276,1.3276,1.3276,6432,0
20000121,1.3822,1.3822,1.3822,1.3822,2296,0
20000124,1.3922,1.3922,1.3922,1.3922,3680,0
20000128,1.3263,1.3698,1.3263,1.3698,8736,0
20000202,1.3592,1.4354,1.3267,1.4245,95636,0
20000203,1.4146,1.4146,1.4146,1.4146,44112,0
20000204,1.3822,1.3822,1.3822,1.3822,6432,0
20000207,1.3605,1.3822,1.3605,1.3822,1840,0
20000208,1.3698,1.3698,1.3481,1.3698,2300,0
20000210,1.3714,1.3931,1.3714,1.3822,13780,0
20000211,1.3916,1.3916,1.3698,1.3698,14716,0
20000214,1.3375,1.3375,1.3375,1.3375,9196,0
20000215,1.3596,1.3596,1.3052,1.3052,15632,0
20000216,1.3931,1.5237,1.3931,1.4692,71212,0
20000217,1.4998,1.6955,1.4998,1.6955,62568,0
20000218,1.6315,1.762,1.6315,1.7402,47812,0
20000221,1.7402,2.1753,1.7402,2.1753,152624,0
20000222,2.1753,2.1753,1.9143,1.9143,41372,0
20000223,1.8484,1.8919,1.8484,1.8919,22076,0
20000224,1.8481,1.9242,1.8481,1.9242,1844,0
20000225,1.967,1.967,1.9018,1.9018,460,0
20000228,1.8714,1.904,1.8496,1.8496,11952,0
20000301,1.9565,1.9565,1.9565,1.9565,9200,0
20000302,2.0016,2.0886,1.9907,2.056,31256,0
20000303,2.1204,2.3923,2.1204,2.327,102544,0
20000306,2.3918,2.957,2.3918,2.9138,59324,0
20000307,2.9128,2.9128,2.6105,2.6105,24820,0
20000308,2.5668,2.5668,2.393,2.4365,39076,0
20000309,2.5997,2.9152,2.5997,2.7868,81360,0
20000310,2.9138,3.153,2.9138,3.0875,63468,0
20000313,3.0872,3.2612,3.0328,3.0328,13340,0
20000314,3.0048,3.0785,2.9808,2.9808,37232,0
20000315,3.0013,3.023,2.8928,3.023,32644,0
20000316,3.0238,3.0238,2.9582,2.9582,29424,0
20000317,3.0135,3.0135,2.7198,2.7198,18844,0
20000320,2.7402,2.7402,2.675,2.675,7816,0
20000321,2.611,2.611,2.4588,2.4588,7812,0
20000322,2.3918,2.3918,2.3264,2.3918,2760,0
20000323,2.3262,2.3262,2.1306,2.1306,12420,0
20000324,2.1896,2.2614,2.1852,2.1852,27592,0
20000327,2.2079,2.2188,2.1753,2.1753,15632,0
20000328,2.1753,2.1753,2.1753,2.1753,1380,0
20000329,2.1632,2.1958,2.1306,2.1306,5520,0
20000330,2.1644,2.393,2.1644,2.2623,29880,0
20000331,2.294,2.294,2.2179,2.2722,2300,0
20000403,2.2946,2.2946,2.2946,2.2946,4140,0
20000404,2.262,2.2946,2.262,2.2946,3220,0
20000405,2.3272,2.3272,2.2946,2.2946,9196,0
20000406,2.2623,2.2623,2.2623,2.2623,920,0
20000407,2.2194,2.2194,2.1977,2.1977,4592,0
20000410,2.2101,2.2101,2.1536,2.1753,12412,0
20000411,2.1306,2.1306,2.1306,2.1306,920,0
20000412,2.0883,2.0883,2.0883,2.0883,4592,0
20000413,2.087,2.1306,2.087,2.1306,5520,0
20000414,2.2101,2.2101,2.2101,2.2101,4140,0
20000417,2.175,2.2076,2.175,2.2076,460,0
20000418,2.1739,2.1739,1.9565,1.9565,15640,0
20000419,1.9584,1.9584,1.8278,1.9366,721972,0
20000420,1.9584,2.1106,1.9584,2.1106,16544,0
20000425,2.1949,2.2101,2.1949,2.2101,9652,0
20000426,2.2088,2.2176,2.2088,2.2176,8276,0
20000427,2.2188,2.2188,2.1753,2.1753,10116,0
20000428,2.2176,2.2176,2.1741,2.2176,22540,0
20000502,2.7175,2.7175,2.3918,2.3918,28516,0
20000503,2.3276,2.4145,2.3276,2.3493,39536,0
20000504,2.393,2.393,2.3493,2.3493,29424,0
20000505,2.3935,2.3935,2.3718,2.3718,9192,0
20000508,2.3263,2.3263,2.3046,2.3046,1380,0
20000510,2.316,2.3703,2.316,2.3444,3680,0
20000511,2.1738,2.3478,2.1738,2.3369,12420,0
20000512,2.35,2.35,2.2194,2.2847,31248,0
20000515,2.2829,2.3918,2.2829,2.3918,9200,0
20000517,2.3042,2.326,2.2499,2.2499,17940,0
20000518,2.1958,2.1958,2.1306,2.1306,14260,0
20000519,2.0454,2.1324,2.0454,2.1106,20684,0
20000522,2.087,2.1718,2.087,2.1306,6900,0
20000523,2.1753,2.1753,2.1753,2.1753,9196,0
20000524,2.1324,2.1433,2.1106,2.1106,9648,0
20000525,2.0883,2.0883,2.0883,2.0883,460,0
20000531,2.1312,2.1747,2.1312,2.1529,29432,0
20000601,2.1753,2.1753,2.1753,2.1753,2760,0
20000602,2.1536,2.1753,2.1536,2.1753,15632,0
20000605,2.1753,2.1753,2.1753,2.1753,2300,0
20000606,2.1529,2.1638,2.1529,2.1529,11496,0
20000607,2.1644,2.1753,2.1644,2.1753,8736,0
20000608,2.1644,2.1753,2.1644,2.1753,5056,0
20000612,2.1753,2.1753,2.1753,2.1753,7352,0
20000613,2.1644,2.1753,2.1536,2.1753,3680,0
20000614,2.1529,2.1529,2.1529,2.1529,460,0
20000615,2.1554,2.1554,2.1554,2.1554,460,0
20000616,2.1536,2.197,2.1536,2.1753,25744,0
20000620,2.1977,2.1977,2.1977,2.1977,4140,0
20000621,2.1964,2.2508,2.1747,2.2399,8736,0
20000622,2.2829,2.5765,2.2829,2.4787,25296,0
20000623,2.4915,2.5892,2.448,2.4588,21140,0
20000626,2.502,2.598,2.4805,2.598,41824,0
20000627,2.5982,2.705,2.5982,2.705,28976,0
20000628,2.7522,2.7522,2.6758,2.7,5516,0
20000629,2.7402,2.7402,2.6228,2.6228,5976,0
20000630,2.5765,2.6525,2.5765,2.6525,11960,0
20000703,2.6315,2.7622,2.6315,2.7622,16552,0
20000704,2.7832,2.8265,2.7832,2.8265,8276,0
20000705,2.8702,3.0005,2.7832,3.0005,88760,0
20000706,3.0122,3.1862,3.0122,3.11,82304,0
20000710,3.1072,3.1745,2.8592,2.9138,86000,0
20000711,3.0013,3.1535,3.0013,3.11,20232,0
20000712,3.153,3.164,3.0442,3.0875,51968,0
20000714,2.98,2.98,2.721,2.8165,14252,0
20000718,2.98,2.9905,2.9145,2.9905,16552,0
20000719,3.0005,3.044,2.9138,2.9138,11960,0
20000720,3.0025,3.0025,2.8938,2.8938,1840,0
20000721,2.9355,2.957,2.8265,2.8265,17476,0
