Date,Open,High,Low,Close,Volume,OpenInt
20060628,6.2635,6.3188,6.1385,6.161,34660,0
20060629,6.165,6.206,6.0582,6.1035,15864,0
20060630,6.1135,6.3642,6.1092,6.2345,40880,0
20060703,6.3292,6.469,6.1448,6.321,51484,0
20060704,6.321,6.4172,6.2635,6.3742,22688,0
20060705,6.2635,6.3642,6.1258,6.2185,17928,0
20060706,6.2018,6.243,6.161,6.2122,4016,0
20060707,6.2018,6.2328,6.161,6.2122,4672,0
20060710,6.2982,6.2982,6.161,6.2102,5680,0
20060711,6.1115,6.2102,6.0582,6.0582,15664,0
20060712,6.0232,6.0685,6.0232,6.0625,3424,0
20060713,6.0625,6.0685,5.8118,5.8528,23488,0
20060714,5.8528,6.0582,5.8528,5.9102,14284,0
20060717,5.9512,6.0372,5.6472,5.7172,35872,0
20060718,5.7707,5.8528,5.7542,5.7728,14616,0
20060719,5.75,5.9558,5.75,5.9558,36572,0
20060720,6.0318,6.161,5.9348,6.0172,21672,0
20060721,6.0808,6.204,5.9802,6.0255,35284,0
20060724,5.984,6.1115,5.9245,6.0708,32888,0
20060725,6.056,6.0708,5.9698,6.0625,68516,0
20060726,6.0685,6.0785,5.9575,6.0232,12092,0
20060727,6.0582,6.1178,5.9882,6.1178,18488,0
20060728,5.9967,6.2165,5.9348,6.1198,41664,0
20060731,6.161,6.161,5.974,6.1015,16928,0
20060801,6.0582,6.161,6.0065,6.0785,27872,0
20060802,6.1198,6.1363,5.9762,6.0415,13224,0
20060803,6.0582,6.0992,5.9762,6.0232,16672,0
20060804,5.9967,6.0582,5.9762,6.0172,8576,0
20060807,6.0765,6.085,5.8957,5.9678,28784,0
20060808,5.9558,6.056,5.9085,5.9678,57964,0
20060809,6.0232,6.0232,5.9348,5.9678,23972,0
20060810,5.9558,6.0212,5.8528,5.933,50688,0
20060811,5.9655,5.9655,5.8325,5.8712,52420,0
20060814,5.8918,5.9348,5.8118,5.8918,19740,0
20060815,5.867,5.9042,5.8118,5.857,39880,0
20060816,5.8735,5.9512,5.8712,5.9065,25948,0
20060817,5.9348,5.9348,5.8485,5.8818,21040,0
20060818,5.8118,5.884,5.66,5.8305,80924,0
20060821,5.8135,5.937,5.6948,5.7338,35652,0
20060822,5.75,5.8485,5.75,5.781,18976,0
20060823,5.8528,5.933,5.75,5.857,52352,0
20060824,5.8978,5.8978,5.752,5.808,18056,0
20060825,5.75,5.8218,5.75,5.8158,25376,0
20060828,5.8528,5.8528,5.75,5.8348,19056,0
20060829,5.902,5.902,5.75,5.8018,34288,0
20060830,5.8325,6.0088,5.75,5.9575,18836,0
20060831,5.9558,6.0172,5.7605,5.8325,25232,0
20060901,5.884,5.9558,5.75,5.8855,13052,0
20060904,5.8425,6.0582,5.8425,6.0108,34656,0
20060905,6.0255,6.1178,5.9967,6.087,14120,0
20060906,6.0372,6.0992,5.808,6.0542,12064,0
20060907,5.9638,6.0582,5.9638,6.0542,18716,0
20060908,6.1198,6.1712,6.0108,6.1178,69904,0
20060911,6.161,6.3452,6.0602,6.2165,43976,0
20060912,6.2307,6.3665,6.1812,6.325,29924,0
20060913,6.325,6.325,6.1752,6.315,55036,0
20060914,6.243,6.3972,6.1712,6.3868,137896,0
20060915,6.3868,6.469,6.3602,6.3602,42532,0
20060918,6.4382,6.4608,6.3665,6.3972,50480,0
20060919,6.473,6.473,6.3665,6.4442,27364,0
20060920,6.5222,6.5222,6.2635,6.3335,19328,0
20060921,6.3868,6.4075,6.2635,6.3435,46752,0
20060922,6.3435,6.3642,6.2122,6.2735,4216,0
20060925,6.161,6.2698,6.1015,6.2165,24704,0
20060926,6.2307,6.2635,6.161,6.2185,44768,0
20060927,6.2288,6.2715,6.1628,6.2715,18860,0
20060928,6.3355,6.3665,6.1628,6.3108,49972,0
20060929,6.3108,6.44,6.2492,6.315,25176,0
20061002,6.3665,6.3868,6.1875,6.3623,160128,0
20061003,6.3665,6.4215,6.3048,6.4092,21628,0
20061004,6.4215,6.5305,6.3068,6.469,52880,0
20061005,6.5715,6.7565,6.469,6.5447,23748,0
20061006,6.5715,6.7382,6.5715,6.6742,24428,0
20061009,6.6742,6.7975,6.6128,6.7668,72548,0
20061010,6.773,6.847,6.6145,6.6145,84680,0
20061011,6.654,6.748,6.3623,6.4998,100296,0
20061012,6.5328,6.7152,6.4382,6.44,41264,0
20061013,6.5447,6.6128,6.4545,6.6045,33476,0
20061016,6.6455,6.6742,6.5102,6.6412,39196,0
20061017,6.654,6.6742,6.5715,6.6478,45384,0
20061018,6.623,6.7152,6.541,6.6045,88724,0
20061019,6.5555,6.672,6.4955,6.6128,35936,0
20061020,6.6128,6.6392,6.469,6.5902,1716,0
20061023,6.5102,6.5922,6.469,6.5675,14140,0
20061024,6.6498,6.6498,6.469,6.5592,11528,0
20061025,6.5592,6.5715,6.3762,6.551,11676,0
20061026,6.5447,6.5447,6.2922,6.432,29404,0
20061027,6.3742,6.4912,6.3665,6.4382,10288,0
20061030,6.5202,6.5202,6.356,6.4648,25040,0
20061031,6.4795,6.5102,6.4075,6.4932,24356,0
20061101,6.436,6.4998,6.3665,6.4442,29112,0
20061102,6.4012,6.4998,6.3682,6.4442,10044,0
20061103,6.4442,6.4998,6.389,6.4932,40908,0
20061106,6.4998,6.551,6.3972,6.4382,15576,0
20061107,6.428,6.489,6.3518,6.434,41700,0
20061108,6.4012,6.4835,6.395,6.4545,32312,0
20061109,6.3355,6.4998,6.28,6.4998,24680,0
20061110,6.469,6.512,6.3665,6.4482,45516,0
20061113,6.469,6.508,6.4152,6.4525,44900,0
20061114,6.3868,6.4998,6.3665,6.4525,16812,0
20061115,6.489,6.7768,6.3762,6.699,77316,0
20061116,6.6742,6.7975,6.516,6.6765,79132,0
