Date,Open,High,Low,Close,Volume,OpenInt
20151106,3.499,3.53,3.421,3.53,22950,0
20151109,3.5,3.5,3.422,3.497,11190,0
20151110,3.494,3.494,3.494,3.494,148,0
20151111,3.48,3.499,3.47,3.499,11560,0
20151112,3.492,3.492,3.492,3.492,2127,0
20151113,3.499,3.579,3.499,3.52,4250,0
20151116,3.52,3.534,3.5,3.534,4357,0
20151117,3.52,3.52,3.52,3.52,60,0
20151118,3.524,3.524,3.524,3.524,100,0
20151119,3.534,3.599,3.5,3.598,20122,0
20151120,3.598,3.598,3.598,3.598,100,0
20151123,3.512,3.512,3.5,3.5,4839,0
20151124,3.544,3.544,3.48,3.48,3158,0
20151125,3.525,3.525,3.475,3.475,865,0
20151126,3.51,3.558,3.505,3.558,1060,0
20151127,3.476,3.519,3.476,3.519,2150,0
20151130,3.514,3.515,3.476,3.515,3124,0
20151203,3.49,3.49,3.489,3.489,2202,0
20151204,3.5,3.5,3.5,3.5,750,0
20151208,3.43,3.468,3.385,3.468,3150,0
20151209,3.4,3.43,3.4,3.43,340,0
20151214,3.304,3.432,3.281,3.432,2050,0
20151215,3.259,3.37,3.259,3.37,1880,0
20151216,2.871,2.939,2.56,2.87,53026,0
20151217,2.92,3.1,2.89,3.075,15843,0
20151218,3.001,3.075,3,3.075,1289,0
20151221,3,3.05,3,3.05,680,0
20151222,3.18,3.18,3.18,3.18,100,0
20151223,3.149,3.149,3.149,3.149,100,0
20151229,3.129,3.15,3.129,3.15,334,0
20151230,3.1,3.1,3.1,3.1,640,0
20160106,3.001,3.008,2.951,3.008,4906,0
20160111,2.857,2.995,2.856,2.995,2650,0
20160112,2.995,2.995,2.995,2.995,100,0
20160115,2.851,2.851,2.851,2.851,2000,0
20160118,2.798,2.8,2.599,2.657,18446,0
20160119,2.65,2.65,2.5,2.5,5600,0
20160120,2.301,2.664,2.301,2.664,3366,0
20160121,2.754,2.754,2.59,2.754,2422,0
20160125,2.866,2.866,2.866,2.866,100,0
20160127,2.813,2.949,2.813,2.813,1100,0
20160201,2.684,2.819,2.684,2.819,550,0
20160202,2.903,2.99,2.903,2.99,4799,0
20160203,2.98,3.02,2.806,2.95,6200,0
20160204,2.851,2.95,2.851,2.92,2372,0
20160205,2.822,2.923,2.822,2.923,2372,0
20160208,2.826,2.9,2.825,2.9,2200,0
20160209,2.77,2.817,2.767,2.815,1375,0
20160210,2.72,2.72,2.72,2.72,2200,0
20160211,2.647,2.647,2.569,2.569,166,0
20160215,2.79,2.79,2.734,2.734,80,0
20160217,2.688,2.688,2.688,2.688,25,0
20160219,2.665,2.665,2.665,2.665,25,0
20160223,2.698,2.698,2.698,2.698,25,0
20160224,2.55,2.689,2.505,2.615,4785,0
20160225,2.527,2.609,2.527,2.609,2100,0
20160226,2.521,2.687,2.521,2.626,2125,0
20160229,2.538,2.538,2.528,2.528,2100,0
20160301,2.542,2.542,2.542,2.542,100,0
