Date,Open,High,Low,Close,Volume,OpenInt
20140523,22.546,23.577,22.219,23.177,934991,0
20140526,23.091,23.587,22.893,23.229,176467,0
20140527,22.987,23.686,22.718,23.437,226332,0
20140528,23.077,24.082,23.077,23.785,64027,0
20140529,23.79,25.083,23.716,25.078,39478,0
20140530,24.776,25.346,23.835,23.985,69838,0
20140602,23.949,24.776,23.949,24.677,18953,0
20140603,24.474,24.981,24.471,24.831,43385,0
20140604,24.281,24.884,24.196,24.566,16347,0
20140605,24.216,24.479,24.119,24.119,7069,0
20140606,23.969,24.429,23.924,24.127,35394,0
20140609,24.38,24.38,23.894,24.281,3126,0
20140610,24.023,24.38,23.587,23.884,4237,0
20140611,23.736,24.38,23.713,24.281,27727,0
20140612,23.949,25.321,23.889,25.173,11017,0
20140613,24.87,25.668,24.771,25.668,10832,0
20140616,25.47,25.965,25.074,25.45,10283,0
20140617,25.123,25.47,24.578,25.336,4398,0
20140618,24.746,25.47,24.746,24.875,4517,0
20140619,24.846,25.351,24.761,25.212,25,0
20140620,24.514,25.747,24.514,25.024,3172,0
20140623,24.841,25.361,24.821,25.004,1650,0
20140624,24.593,25.287,24.528,24.727,4358,0
20140625,24.043,24.974,24.043,24.515,11891,0
20140626,24.058,24.712,23.988,24.38,6013,0
20140627,24.216,24.712,24.033,24.182,6171,0
20140630,23.84,24.677,23.389,24.568,27049,0
20140701,24.043,25.212,23.785,24.281,2899,0
20140702,24.003,24.652,23.949,24.182,3848,0
20140703,24.033,25.42,24.023,25.176,10671,0
20140704,25.222,25.762,24.905,25.41,10314,0
20140707,25.47,25.965,25.272,25.47,28216,0
20140708,25.47,25.865,25.371,25.663,17430,0
20140709,25.524,26.263,25.46,26.164,28961,0
20140710,26.164,26.179,25.47,25.767,12989,0
20140711,25.44,26.164,25.386,25.767,3134,0
20140714,25.539,26.184,25.534,26.184,4862,0
20140715,25.876,26.179,25.569,25.569,3805,0
20140716,25.388,26.164,25.351,25.371,1462,0
20140717,25.078,25.564,25.044,25.074,3683,0
20140718,24.633,26.015,24.618,25.371,2376,0
20140721,25.47,26.109,25.123,25.173,12659,0
20140722,25.074,25.564,24.776,25.074,24785,0
20140723,24.682,25.267,24.677,24.766,824,0
20140724,25.024,25.188,23.722,25.064,8510,0
20140725,24.583,25.465,24.524,25.074,11860,0
20140728,24.831,25.272,24.38,24.38,6267,0
