Date,Open,High,Low,Close,Volume,OpenInt
20090406,27.204,29.934,27.204,28.625,7120,0
20090407,28.266,28.345,27.555,27.946,505,0
20090408,27.594,28.066,26.74,27.052,3062,0
20090409,27.044,29.152,27.044,28.154,4859,0
20090414,27.803,29.551,27.803,28.705,16009,0
20090415,28.345,30.222,28.345,29.871,4423,0
20090416,29.496,30.262,28.728,29.463,10616,0
20090417,29.096,30.342,28.825,28.944,9016,0
20090420,28.585,30.381,28.585,28.792,3164,0
20090421,28.433,29.791,28.433,28.992,818,0
20090422,28.633,29.344,26.438,28.545,8137,0
20090423,28.186,29.551,28.106,29.199,43063,0
20090424,28.833,29.503,28.833,29.248,17697,0
20090427,28.944,29.846,28.944,29.846,5391,0
20090428,29.623,31.06,29.623,30.749,8771,0
20090429,30.366,30.78,29.727,30.095,2493,0
20090430,29.719,30.98,29.719,30.773,4648,0
20090504,30.421,31.938,30.181,31.212,6458,0
20090505,30.821,32.059,30.821,32.019,16957,0
20090506,31.619,32.362,31.1,31.379,33659,0
20090507,30.989,32.601,30.989,31.859,6274,0
20090508,31.46,33.455,31.46,32.721,15057,0
20090511,32.314,33.168,32.266,32.977,2565,0
20090512,32.561,33.935,32.338,33.503,8888,0
20090513,33.12,33.935,32.29,32.466,3791,0
20090514,32.059,32.466,31.627,32.098,7075,0
20090515,31.699,32.098,31.699,32.098,6562,0
20090518,31.699,34.334,30.749,33.64,9320,0
20090519,33.224,35.117,33.136,33.791,23798,0
20090520,33.367,34.565,33.184,33.935,22625,0
20090521,33.512,35.053,33.512,34.03,6082,0
20090522,33.607,34.71,33.607,34.03,6406,0
20090525,33.607,34.629,33.536,33.935,1714,0
20090526,33.512,34.821,33.408,33.975,14255,0
20090527,33.671,34.582,33.671,34.175,2537,0
20090528,33.863,34.637,33.775,33.871,6587,0
20090529,33.567,34.334,33.136,33.136,6177,0
20090601,32.977,34.653,32.977,33.583,2000,0
20090602,33.28,35.771,33.28,34.589,17653,0
20090603,34.278,35.308,33.759,33.759,8148,0
20090604,33.455,35.188,33.455,35.013,538,0
20090605,34.701,35.683,34.326,35.013,6371,0
20090608,34.701,35.324,34.094,34.175,2162,0
20090609,33.863,34.573,33.863,34.51,2773,0
20090610,34.078,34.334,33.536,33.999,5067,0
20090611,33.576,34.214,33.552,34.038,955,0
20090612,33.615,34.414,33.176,33.823,4304,0
20090615,33.4,34.837,21.311,32.737,6806,0
20090616,32.378,33.512,32.378,32.777,3691,0
20090617,30.373,31.938,30.373,31.667,6810,0
20090618,31.42,32.026,31.156,31.827,5127,0
20090619,31.427,32.737,31.427,32.33,2609,0
20090622,31.923,32.338,31.659,32.258,9522,0
20090623,31.859,32.625,31.14,31.867,5478,0
20090624,31.467,32.258,30.342,31.3,9135,0
20090625,31.084,32.378,31.084,32.098,39833,0
20090626,31.531,33.12,31.531,32.066,18265,0
20090629,32.066,33.136,31.859,31.931,30332,0
20090630,31.931,33.919,31.931,33.536,26294,0
20090701,33.129,33.855,32.817,33.448,13957,0
20090702,33.448,34.094,32.338,32.737,17729,0
20090703,32.418,33.176,32.338,32.466,7467,0
20090706,32.083,32.92,31.619,31.867,5836,0
20090707,31.491,32.321,31.092,31.548,6148,0
20090708,31.14,31.938,31.14,31.539,9544,0
20090709,31.172,31.563,31.14,31.22,1000,0
20090710,30.853,31.938,30.853,30.861,7741,0
