Date,Open,High,Low,Close,Volume,OpenInt
20000103,21.559,21.559,21.559,21.559,250,0
20000104,21.957,22.356,21.559,21.559,877,0
20000105,21.798,21.957,21.159,21.559,1378,0
20000106,20.364,20.364,20.364,20.364,626,0
20000110,19.963,19.963,19.963,19.963,627,0
20000113,20.766,20.766,20.766,20.766,501,0
20000117,21.164,21.164,20.364,20.364,626,0
20000120,19.963,19.963,19.963,19.963,376,0
20000121,19.963,19.963,19.963,19.963,501,0
20000124,19.963,19.963,19.963,19.963,126,0
20000125,19.966,19.966,19.726,19.726,1127,0
20000127,19.162,19.162,19.162,19.162,751,0
20000131,18.369,18.369,18.369,18.369,877,0
20000203,19.563,19.563,19.563,19.563,501,0
20000207,19.164,19.563,19.164,19.563,1127,0
20000210,19.162,19.162,19.162,19.162,1002,0
20000211,18.768,18.768,18.369,18.369,626,0
20000214,18.366,18.366,17.568,17.568,2754,0
20000215,17.966,17.966,17.568,17.568,627,0
20000216,17.97,18.369,17.97,18.369,751,0
20000218,18.369,18.369,18.369,18.369,626,0
20000221,17.568,17.966,17.312,17.568,2754,0
20000222,17.166,17.166,17.166,17.166,627,0
20000223,17.572,17.932,17.572,17.932,501,0
20000224,17.968,17.968,17.968,17.968,626,0
20000225,18.528,19.326,18.528,19.326,1878,0
20000228,19.567,20.766,19.567,20.766,3004,0
20000302,20.766,20.766,20.766,20.766,626,0
20000303,20.767,20.767,20.128,20.128,501,0
20000307,20.366,20.766,20.366,20.766,1002,0
20000315,21.158,21.158,21.158,21.158,502,0
20000317,20.766,20.766,20.766,20.766,751,0
20000321,20.766,20.766,20.766,20.766,1503,0
20000322,20.758,21.158,20.758,21.158,502,0
20000323,20.766,20.766,20.766,20.766,1252,0
20000327,20.766,20.766,20.766,20.766,501,0
20000329,21.158,21.158,21.158,21.158,502,0
20000331,20.766,20.766,20.766,20.766,376,0
20000403,20.758,21.158,20.758,21.158,877,0
20000410,21.158,21.158,21.158,21.158,502,0
20000411,20.92,20.92,20.92,20.92,126,0
20000420,20.758,21.158,20.758,21.158,502,0
20000517,21.158,21.158,21.158,21.158,126,0
20000519,20.766,20.766,20.766,20.766,501,0
20000523,21.158,21.158,21.158,21.158,502,0
20000524,21.55,21.559,21.55,21.559,627,0
20000525,21.956,22.196,21.956,22.196,1127,0
20000526,22.28,22.36,22.28,22.36,376,0
20000529,22.36,22.36,22.36,22.36,1002,0
20000530,22.762,22.762,22.762,22.762,501,0
20000531,23.554,23.952,23.554,23.554,1002,0
20000605,23.954,23.954,23.954,23.954,877,0
20000606,23.952,23.952,23.554,23.554,501,0
20000608,23.954,23.954,23.954,23.954,126,0
20000613,23.947,23.954,23.947,23.954,250,0
20000614,23.554,23.554,23.554,23.554,126,0
20000619,23.954,23.954,23.954,23.954,126,0
20000621,23.554,23.554,23.554,23.554,1252,0
20000622,23.954,23.954,23.954,23.954,126,0
20000626,23.161,23.161,23.161,23.161,501,0
20000627,23.561,23.961,23.161,23.161,2504,0
20000628,23.561,23.961,23.161,23.161,376,0
20000629,23.561,23.561,23.161,23.161,501,0
20000705,23.161,23.161,23.161,23.161,126,0
20000712,21.959,21.959,21.959,21.959,126,0
20000714,21.56,21.959,21.56,21.959,250,0
20000717,21.959,21.959,21.959,21.959,376,0
20000719,21.959,21.959,21.959,21.959,1002,0
20000720,21.559,21.559,21.559,21.559,126,0
20000721,21.56,21.959,21.56,21.959,1002,0
20000724,21.959,21.959,21.959,21.959,501,0
20000725,21.559,21.559,21.559,21.559,126,0
20000728,21.559,21.559,21.559,21.559,501,0
20000801,21.158,21.158,21.158,21.158,126,0
20000803,21.159,21.559,21.159,21.559,627,0
20000809,21.158,21.158,21.158,21.158,250,0
20000822,20.758,21.158,20.758,21.158,2004,0
20000823,20.766,20.766,20.766,20.766,250,0
20000825,20.766,20.766,20.766,20.766,126,0
20000829,20.604,20.604,20.364,20.364,1127,0
20000830,20.128,20.128,20.128,20.128,1002,0
20000831,19.963,19.963,19.963,19.963,376,0
20000901,19.963,19.963,19.963,19.963,250,0
20000914,20.367,21.485,20.367,21.485,7512,0
20000915,21.165,21.485,20.766,20.766,2504,0
20000918,20.844,21.404,20.765,21.404,501,0
20000919,20.759,21.358,20.759,21.358,2004,0
20000920,20.766,20.766,20.766,20.766,1002,0
20000921,20.766,20.766,20.766,20.766,1252,0
20000922,20.364,20.364,20.364,20.364,376,0
20000925,20.364,20.364,20.364,20.364,126,0
20000926,20.282,20.282,20.282,20.282,376,0
20000927,20.128,20.128,20.128,20.128,501,0
20000929,19.963,19.963,19.963,19.963,376,0
20001006,19.963,19.963,19.963,19.963,126,0
20001009,19.963,19.963,19.963,19.963,627,0
20001012,19.647,19.726,19.247,19.726,1378,0
20001026,18.123,18.123,18.123,18.123,126,0
20001030,17.968,17.968,17.968,17.968,126,0
20001101,18.369,18.369,18.369,18.369,126,0
20001106,18.369,18.369,18.369,18.369,126,0
20001108,18.284,19.162,18.284,19.162,1879,0
20001109,18.61,18.77,18.61,18.77,750,0
20001110,19.001,19.162,19.001,19.162,751,0
20001113,18.762,19.162,18.762,19.162,751,0
20001115,19.162,19.162,19.162,19.162,627,0
20001117,19.162,19.162,19.162,19.162,627,0
20001124,19.001,19.162,19.001,19.162,501,0
20001129,18.924,18.924,18.924,18.924,501,0
20001130,18.77,18.77,18.77,18.77,126,0
20001204,18.77,18.77,18.77,18.77,250,0
20001205,18.377,18.689,18.369,18.369,3380,0
20001206,18.206,18.206,18.206,18.206,627,0
20001211,18.369,18.369,18.369,18.369,376,0
20001213,18.369,18.369,18.369,18.369,126,0
20001219,17.966,17.966,17.568,17.568,1503,0
20001220,17.572,17.572,17.412,17.412,1378,0
20001222,17.166,17.166,17.166,17.166,627,0
20001227,17.085,17.085,16.766,16.766,627,0
20001229,17.569,17.569,16.61,16.61,626,0
20010102,16.766,16.766,16.766,16.766,250,0
20010103,16.774,16.774,16.774,16.774,250,0
20010108,16.774,16.774,16.446,16.446,250,0
20010109,17.007,17.166,17.007,17.166,1378,0
20010110,17.65,18.369,17.65,18.369,1002,0
20010115,18.364,18.524,18.364,18.524,1252,0
20010116,18.606,18.606,18.606,18.606,376,0
20010117,18.123,18.123,18.123,18.123,627,0
20010119,18.206,18.206,18.206,18.206,126,0
20010122,18.206,18.206,18.206,18.206,250,0
20010123,18.369,18.369,18.369,18.369,501,0
20010124,18.123,18.123,18.123,18.123,126,0
20010126,18.606,18.606,18.606,18.606,250,0
20010129,18.53,19.09,18.53,18.77,1127,0
20010130,19.007,19.007,19.007,19.007,626,0
20010201,19.563,19.563,19.563,19.563,627,0
20010205,20.363,21.321,20.363,21.321,1752,0
20010206,21.002,21.002,21.002,21.002,376,0
20010213,20.206,20.766,20.206,20.766,877,0
20010214,21.158,21.158,21.158,21.158,126,0
20010226,21.158,21.158,21.158,21.158,502,0
20010228,20.527,20.527,20.128,20.128,626,0
20010301,19.724,19.963,19.565,19.963,126,0
20010308,19.804,20.282,19.804,20.282,1002,0
20010309,20.601,20.601,20.601,20.601,501,0
20010312,20.926,21.485,20.926,21.485,750,0
20010313,21.56,21.64,21.56,21.64,877,0
20010319,21.485,21.565,21.485,21.485,250,0
20010321,21.002,21.002,21.002,21.002,250,0
20010322,20.765,20.765,20.756,20.756,1127,0
20010330,21.166,21.485,21.166,21.485,1252,0
20010402,21.002,21.002,21.002,21.002,501,0
