Date,Open,High,Low,Close,Volume,OpenInt
20110707,24.41,24.597,24.137,24.269,232467,0
20110708,24.41,24.41,23.964,24.316,58530,0
20110711,24.058,24.222,24.044,24.147,28170,0
20110712,23.94,24.241,23.856,24.053,11580,0
20110713,24.035,24.316,24.015,24.137,10168,0
20110714,24.222,24.316,23.922,23.922,12474,0
20110715,23.922,24.128,23.922,24.062,7721,0
20110718,24.222,24.222,23.95,24.053,6207,0
20110719,23.94,24.035,23.837,23.837,3523,0
20110720,23.94,24.128,23.922,23.969,9201,0
20110721,23.875,24.119,23.875,23.912,6042,0
20110722,23.847,23.95,23.837,23.912,606,0
20110725,23.837,24.082,23.837,23.837,3654,0
20110726,23.96,24.035,23.903,23.96,713,0
20110727,23.828,23.94,23.828,23.828,483,0
20110728,23.847,23.94,23.762,23.828,16688,0
20110729,23.706,23.847,23.65,23.65,140,0
20110801,23.753,23.969,23.734,23.734,981,0
20110802,23.753,23.772,23.171,23.734,51231,0
20110803,23.358,23.471,22.871,23.358,10845,0
20110804,23.378,23.612,23.002,23.358,1316,0
20110805,23.565,23.969,23.236,23.499,18462,0
20110808,23.658,23.658,23.016,23.546,1074,0
20110809,22.814,23.546,21.124,23.546,12675,0
20110810,21.593,21.696,21.124,21.49,1872,0
20110811,21.021,21.593,20.936,21.021,2570,0
20110812,20.842,21.03,20.706,20.833,7521,0
20110815,20.936,21.03,20.636,20.927,2751,0
20110816,20.936,21.03,20.659,20.927,1558,0
20110817,21.03,21.03,20.288,20.833,995,0
20110818,20.842,20.842,20.27,20.27,15120,0
20110819,20.27,20.373,19.504,19.95,6003,0
20110822,19.696,20.734,19.696,20.045,3878,0
20110823,20.279,20.711,20.279,20.279,2307,0
20110824,20.495,20.655,20.477,20.579,317,0
20110825,20.495,21.232,20.495,20.495,4628,0
20110826,20.936,20.936,20.56,20.655,13609,0
20110829,20.627,21.124,20.627,20.912,1129,0
20110830,21.124,21.194,21.124,21.124,5034,0
20110831,21.194,21.406,20.936,21.406,236,0
20110901,21.256,21.256,21.129,21.129,4,0
20110902,21.256,21.476,21.077,21.359,567,0
20110905,21.106,21.236,20.992,21.171,1287,0
20110906,21.311,21.875,21.147,21.875,324,0
20110907,21.847,22.157,21.593,21.969,493,0
20110908,21.688,22.063,21.603,22.063,11,0
20110909,21.678,21.739,21.311,21.593,12,0
20110912,21.311,21.593,21.288,21.288,53,0
20110913,21.311,21.593,21.227,21.279,27,0
20110914,21.284,21.593,21.274,21.593,133,0
20110915,21.406,21.856,21.227,21.856,611,0
20110916,21.499,21.875,21.42,21.499,8,0
20110919,21.499,21.781,21.274,21.387,5,0
20110920,21.387,21.593,21.124,21.124,63,0
20110921,21.26,21.462,21.03,21.03,2249,0
20110922,21.03,21.471,20.757,21.471,373,0
20110923,21.03,21.593,21.03,21.593,281,0
20110926,21.143,21.406,20.655,21.406,303,0
20110927,20.997,21.593,20.49,21.209,561,0
20110928,21.209,21.593,20.946,21.593,64,0
20110929,21.143,21.735,20.912,21.626,460,0
20110930,21.518,21.735,20.992,21.026,2543,0
20111003,21.03,21.311,20.655,21.311,2177,0
20111004,20.842,21.03,20.655,21.03,1158,0
20111005,20.749,21.03,20.749,21.03,6,0
20111006,20.749,21.124,20.429,21.124,601,0
20111007,20.749,20.842,20.523,20.565,8,0
20111010,20.565,21.134,20.565,21.134,170,0
20111011,20.622,21.124,20.622,21.124,574,0
20111012,20.655,21.311,20.655,21.311,147,0
20111013,21.03,21.311,20.847,21.311,20,0
20111014,21.124,21.359,20.757,21.359,117,0
20111017,21.03,21.251,21.03,21.124,56,0
20111018,21.256,21.264,20.532,20.655,1529,0
20111019,20.655,20.974,20.57,20.974,218,0
20111020,20.692,20.955,19.95,20.1,813,0
20111021,19.95,20.439,19.95,20.425,124,0
20111024,20.467,20.467,20.195,20.373,15,0
20111025,20.242,20.56,20.208,20.354,179,0
20111026,20.485,20.514,20.195,20.275,43,0
20111027,20.279,20.749,20.185,20.749,5774,0
20111028,20.402,21.077,20.382,20.706,213,0
20111031,20.749,21.03,20.749,21.03,324,0
20111101,20.777,21.03,20.664,20.725,25,0
20111102,20.749,21.143,20.664,21.143,127,0
20111104,20.749,21.03,20.64,20.64,32,0
20111107,20.655,21.143,20.514,20.514,176,0
20111108,20.757,20.795,20.42,20.565,256,0
20111109,20.467,20.485,19.669,20.091,1591,0
20111110,19.716,20.655,19.491,20.542,1200,0
20111111,20.439,20.754,20.195,20.636,675,0
20111114,20.65,21.593,20.279,20.842,4116,0
20111115,20.739,20.997,20.565,20.842,918,0
20111116,20.749,20.749,20.425,20.655,12153,0
20111117,20.655,20.655,20.091,20.091,1119,0
20111118,20.392,20.392,19.152,20.096,4123,0
20111121,19.716,19.716,19.359,19.716,191,0
20111122,19.716,19.814,19.341,19.434,5841,0
20111123,19.528,19.575,18.495,19.246,13733,0
20111124,18.359,19.012,18.359,18.964,1268,0
20111125,18.758,18.964,18.599,18.767,3205,0
20111128,18.599,18.777,18.448,18.495,3677,0
20111129,18.523,18.589,17.698,18.195,13051,0
20111130,17.838,17.866,17.571,17.838,247,0
20111201,17.838,17.838,17.181,17.462,2236,0
20111202,17.556,17.589,16.979,17.556,1566,0
