Date,Open,High,Low,Close,Volume,OpenInt
20061211,15.273,16.504,15.273,16.381,26987626,0
20061212,16.398,16.602,16.027,16.557,2474624,0
20061213,16.575,16.912,16.381,16.514,1982772,0
20061214,16.69,16.769,16.381,16.69,584463,0
20061215,16.735,16.797,16.469,16.602,377895,0
20061218,16.602,16.823,16.381,16.602,1240531,0
20061219,16.779,16.779,16.425,16.682,490723,0
20061220,16.647,16.717,16.602,16.647,370442,0
20061221,16.647,17.089,16.487,16.912,1015781,0
20061222,16.939,16.939,16.699,16.735,107067,0
20061227,16.92,17.692,16.877,17.452,593272,0
20061228,17.532,17.656,17.248,17.266,160148,0
20061229,17.486,17.486,17.266,17.266,103114,0
20070102,17.266,17.266,17.098,17.266,163311,0
20070103,17.266,17.389,17.001,17.266,727670,0
20070104,17.266,17.319,17.133,17.266,369539,0
20070105,17.256,17.514,17.248,17.425,397887,0
20070108,17.364,17.93,17.364,17.532,248129,0
20070109,17.682,18.107,17.62,17.708,416522,0
20070110,17.708,18.001,17.665,17.965,496934,0
20070111,18.001,18.497,17.532,17.859,447015,0
20070112,17.886,18.019,17.382,17.708,427478,0
20070115,17.85,17.85,17.266,17.266,158342,0
20070116,17.185,17.399,16.381,17.24,879688,0
20070117,16.929,17.311,16.514,17.177,247000,0
20070118,16.957,17.708,16.957,17.699,186239,0
20070119,18.372,18.505,17.665,17.886,697064,0
20070122,18.231,18.372,18.001,18.152,960216,0
20070123,18.107,18.152,17.868,17.895,397321,0
20070124,18.196,18.196,17.974,18.142,326168,0
20070125,18.134,18.134,17.895,17.974,632576,0
20070126,17.806,17.93,17.354,17.354,242933,0
20070129,17.486,17.789,17.407,17.567,281784,0
20070130,17.62,17.708,17.266,17.524,501114,0
20070131,17.399,17.939,17.389,17.93,780414,0
20070201,17.974,18.311,17.886,18.196,449839,0
20070202,18.328,18.372,17.717,17.717,159923,0
20070205,17.602,17.859,17.434,17.558,474008,0
20070206,17.656,17.948,17.576,17.708,601178,0
20070207,17.895,18.328,17.62,18.027,362084,0
20070208,17.939,18.027,17.434,17.452,218425,0
20070209,17.548,17.886,17.443,17.443,382301,0
20070212,17.62,17.806,17.443,17.708,161955,0
20070213,17.708,17.895,17.266,17.266,317700,0
20070214,17.576,17.576,16.912,16.991,582544,0
20070215,17.089,17.222,16.425,16.779,335319,0
20070216,17.08,17.08,16.735,16.867,602081,0
20070220,17.194,17.292,16.867,17.133,382866,0
20070221,17.177,17.177,16.602,16.814,311827,0
20070222,16.973,17.602,16.929,17.524,256373,0
20070223,17.708,17.708,17.443,17.524,258631,0
20070226,17.532,17.798,17.532,17.708,330011,0
20070227,17.62,17.62,16.867,17.407,338367,0
20070228,16.735,16.991,16.514,16.823,1326590,0
20070301,16.823,17.266,16.425,16.735,396982,0
20070302,16.823,17.044,16.69,16.823,252421,0
20070305,17.185,17.185,16.159,16.531,439674,0
20070306,16.92,17.01,16.575,16.69,201483,0
