Date,Open,High,Low,Close,Volume,OpenInt
20030113,2.1106,2.1106,2.0641,2.1106,3766,0
20030115,2.146,2.1592,2.146,2.1592,3914,0
20030116,2.1592,2.1592,2.1592,2.1592,1504,0
20030117,2.1397,2.1397,2.1397,2.1397,753,0
20030120,2.0588,2.1854,2.0588,2.1786,10356,0
20030121,2.1238,2.1238,2.1106,2.1106,6629,0
20030122,2.1044,2.1044,2.0911,2.0911,7533,0
20030123,2.1076,2.1208,2.1008,2.1008,10679,0
20030124,2.0942,2.1008,2.0742,2.1008,1956,0
20030127,2.0685,2.0685,2.062,2.062,8118,0
20030128,2.0716,2.0716,2.0716,2.0716,1051,0
20030129,2.0747,2.0814,2.0747,2.0814,1503,0
20030130,2.13,2.13,2.13,2.13,3005,0
20030131,2.0819,2.0819,2.042,2.062,16537,0
20030203,2.194,2.2937,2.1077,2.2273,9927,0
20030204,2.1981,2.1981,2.1981,2.1981,1501,0
20030205,2.282,2.2954,2.1956,2.2954,451,0
20030206,2.2048,2.2048,2.1981,2.1981,1201,0
20030207,2.2781,2.3513,2.1981,2.1981,4503,0
20030210,2.1897,2.1897,2.13,2.13,6329,0
20030211,2.1897,2.1897,2.13,2.13,754,0
20030212,2.1981,2.1981,2.1981,2.1981,3153,0
20030213,2.1981,2.1981,2.1981,2.1981,451,0
20030214,2.2597,2.4258,2.2597,2.3926,33252,0
20030217,2.4115,2.5248,2.3516,2.4315,32874,0
20030218,2.4024,2.4623,2.4024,2.4024,2404,0
20030219,2.4607,2.4607,2.3676,2.4607,1805,0
20030221,2.361,2.4607,2.361,2.4607,3458,0
20030224,2.3395,2.4525,2.3262,2.3926,1957,0
20030225,2.3297,2.3963,2.3297,2.3829,2555,0
20030226,2.3803,2.3937,2.2938,2.3537,8121,0
20030227,2.3262,2.3926,2.3262,2.3926,2859,0
20030228,2.3466,2.3732,2.3001,2.3732,6469,0
20030303,2.3303,2.3635,2.2968,2.3635,1952,0
20030304,2.4024,2.5954,2.3823,2.5288,73782,0
20030305,2.5098,2.5098,2.3704,2.4899,24398,0
20030306,2.4407,2.4607,2.4275,2.4607,23908,0
20030307,2.4638,2.5304,2.4638,2.4704,3154,0
20030310,2.4648,2.6441,2.4249,2.4315,44404,0
20030311,2.5355,2.5355,2.5288,2.5288,1803,0
20030312,2.5304,2.5304,2.4704,2.4704,7359,0
20030314,2.5779,2.5846,2.4916,2.558,8579,0
20030317,2.5268,2.6067,2.5268,2.6067,20152,0
20030318,2.6368,2.6968,2.5636,2.5969,14868,0
20030319,2.6062,2.6261,2.6062,2.6261,4512,0
20030320,2.6043,2.7171,2.5976,2.7039,33869,0
20030321,2.6941,2.7474,2.6808,2.6941,7968,0
20030324,2.7435,2.8032,2.4777,2.5775,30107,0
20030325,2.6485,2.6951,2.5288,2.6553,12172,0
20030326,2.5174,2.5904,2.451,2.451,4818,0
20030327,2.4566,2.6163,2.43,2.6163,4807,0
20030328,2.5912,2.5912,2.558,2.558,3161,0
20030331,2.5702,2.6568,2.5702,2.5969,3604,0
20030402,2.5298,2.6828,2.5298,2.6163,7511,0
20030403,2.6184,2.665,2.6184,2.665,1351,0
20030404,2.6153,2.6153,2.5288,2.5288,4057,0
20030407,2.5769,2.6502,2.5303,2.5969,4205,0
20030408,2.5769,2.7233,2.5769,2.7233,6909,0
20030409,2.6941,2.6941,2.6941,2.6941,301,0
20030410,2.6703,2.7765,2.6703,2.7233,5872,0
20030411,2.8022,2.8554,2.7356,2.7623,12019,0
20030414,2.7607,2.794,2.6941,2.6941,4960,0
20030415,3.095,3.2614,3.0084,3.0152,212894,0
20030416,3.0597,3.1196,3.0064,3.0929,35632,0
20030417,3.0557,3.1221,3.0225,3.1221,5119,0
20030422,3.1283,3.1283,2.8354,3.0152,25841,0
20030423,3.0279,3.0612,3.0013,3.0346,15477,0
20030424,3.0971,3.1304,3.0638,3.0638,9458,0
20030425,3.1021,3.1288,3.0622,3.1221,9464,0
20030428,3.121,3.161,3.121,3.161,8415,0
20030429,3.2557,3.2957,3.1026,3.2291,41304,0
20030430,3.246,3.246,3.1396,3.2193,27362,0
20030502,3.2412,3.2811,3.1415,3.1415,23187,0
20030505,3.2649,3.2915,3.1918,3.2583,9324,0
20030506,3.255,3.255,3.1022,3.1221,6022,0
20030507,3.2061,3.2061,3.0597,3.0929,5714,0
20030508,3.1636,3.1969,3.057,3.0638,2403,0
20030509,3.1237,3.1902,2.9908,3.1902,5567,0
20030513,3.1793,3.1793,3.0264,3.0929,3458,0
20030514,3.1589,3.1589,3.1124,3.1124,1955,0
20030515,3.1237,3.1902,3.1237,3.1902,2558,0
20030516,3.2586,3.2586,3.1124,3.1124,902,0
20030519,3.1938,3.1938,3.054,3.054,3757,0
20030520,3.1272,3.187,3.1272,3.1805,2104,0
