Date,Open,High,Low,Close,Volume,OpenInt
20000103,9.3019,9.3019,8.3908,8.3908,1772,0
20000104,8.7745,9.398,8.4388,9.2156,22108,0
20000105,9.1101,9.3019,9.1101,9.1101,2711,0
20000106,9.3019,9.4455,9.2538,9.4455,8342,0
20000107,9.4455,9.542,9.398,9.398,16476,0
20000110,9.3596,9.878,9.3596,9.734,43171,0
20000111,9.878,9.878,9.542,9.83,9594,0
20000112,9.878,9.878,9.878,9.878,1668,0
20000113,9.83,9.878,9.734,9.878,20231,0
20000114,9.878,9.974,9.685,9.878,7300,0
20000117,9.494,9.59,9.3498,9.4455,8655,0
20000118,9.3498,9.3498,9.158,9.158,5423,0
20000119,9.1101,9.158,8.9182,9.158,7612,0
20000120,9.1101,9.1101,8.9661,9.062,2606,0
20000124,9.1101,9.1101,8.9661,9.0813,9280,0
20000126,9.0141,9.0141,8.8703,9.0141,3754,0
20000127,8.8703,9.0141,8.7745,8.8703,12827,0
20000128,8.8224,9.0141,8.7266,9.0141,12201,0
20000131,8.9661,8.9661,8.8224,8.8224,2399,0
20000201,9.062,9.2059,9.0141,9.2059,22629,0
20000202,9.0141,9.1101,9.0141,9.1101,833,0
20000203,9.1101,9.2059,8.8224,9.0141,13662,0
20000204,9.0046,9.2059,8.9661,9.158,1668,0
20000207,8.9661,8.9661,8.8224,8.8224,3442,0
20000209,8.8703,9.2538,8.8703,8.9661,93852,0
20000210,9.0141,9.0141,8.8224,8.8224,10011,0
20000211,9.0141,9.0141,8.8224,8.8703,3754,0
20000214,8.8703,8.9182,8.8224,8.8224,4796,0
20000215,8.9182,9.2059,8.9182,9.062,16372,0
20000216,9.062,9.1484,9.062,9.1484,627,0
20000217,9.1101,9.2059,9.1101,9.2059,6987,0
20000218,9.1101,9.2059,9.1101,9.1101,34100,0
20000221,9.1389,9.2059,9.1101,9.158,15954,0
20000222,9.1101,9.2059,9.062,9.1101,47866,0
20000223,9.0141,9.0141,9.0141,9.0141,2606,0
20000224,9.158,9.158,8.9182,9.062,38063,0
20000225,9.062,9.158,9.062,9.158,4379,0
20000228,8.9661,9.1101,8.9661,9.062,14182,0
20000229,9.062,9.158,8.8703,8.8703,5423,0
20000301,8.9182,8.9182,8.6306,8.6306,11053,0
20000302,8.9661,8.9661,8.9661,8.9661,209,0
20000303,8.8415,8.8415,8.8224,8.8224,7926,0
20000306,8.8224,9.0141,8.8224,8.8415,1668,0
20000307,8.9182,9.0141,8.8703,9.0141,10324,0
20000308,8.8703,8.9661,8.7745,8.9661,627,0
20000309,8.8319,8.8319,8.8224,8.8224,2502,0
20000310,8.8319,8.8703,8.8224,8.8224,8968,0
20000313,8.7266,8.736,8.7266,8.7266,3128,0
20000314,8.8224,9.062,8.8224,8.9951,5735,0
20000315,9.062,9.062,8.8224,9.062,29303,0
20000316,8.8415,8.8415,8.6306,8.6785,4483,0
20000317,8.8224,8.8224,8.7266,8.7266,12514,0
20000320,8.6785,8.7266,8.4867,8.7266,6153,0
20000321,8.4867,8.5825,8.3908,8.4867,3963,0
20000322,8.4388,8.5346,8.3429,8.3429,10950,0
20000323,8.4388,8.5346,8.3429,8.3429,1668,0
20000324,8.1991,8.247,8.1991,8.247,833,0
20000327,8.4388,8.5251,8.3429,8.3429,731,0
20000328,8.3429,8.3429,8.3429,8.3429,1772,0
20000329,8.5346,8.5346,8.295,8.295,313,0
20000330,8.295,8.4388,8.247,8.4388,1668,0
20000331,8.4388,8.5825,8.4388,8.5825,13243,0
20000403,8.5059,8.5635,8.3429,8.3429,938,0
20000404,8.4388,8.4388,8.4388,8.4388,2191,0
20000405,8.3429,8.4867,8.247,8.247,1460,0
20000406,8.1991,8.1991,8.1511,8.1511,4901,0
20000407,8.1991,8.247,8.1991,8.247,731,0
20000410,8.247,8.5346,8.247,8.3429,8134,0
20000411,8.295,8.3429,8.247,8.3429,1981,0
20000412,8.5346,8.5825,8.4388,8.4388,1460,0
20000413,8.295,8.6209,8.247,8.6209,3232,0
20000414,8.4388,8.4388,8.3908,8.3908,3650,0
20000417,8.1991,8.4388,8.1032,8.247,4171,0
20000418,8.3429,8.5346,8.247,8.247,4589,0
20000419,8.295,8.295,8.1991,8.1991,1356,0
20000420,8.1991,8.4388,8.1991,8.4388,2295,0
20000425,8.295,8.3908,8.295,8.3908,2191,0
20000426,8.3908,8.3908,8.295,8.3429,4379,0
20000427,8.247,8.4388,8.1991,8.4388,3128,0
20000428,8.247,8.3429,8.247,8.3429,3546,0
20000502,8.3429,8.3429,8.3429,8.3429,2085,0
20000503,8.3908,8.3908,8.1511,8.1511,2816,0
20000505,8.1991,8.1991,8.1511,8.1511,6882,0
20000508,8.1032,8.1511,8.1032,8.1511,833,0
20000510,8.3908,8.4388,8.1991,8.3429,3650,0
20000511,8.247,8.4388,8.247,8.4388,4275,0
20000512,8.4388,8.5346,8.295,8.5346,4589,0
20000515,8.5346,8.5346,8.3429,8.4388,3337,0
20000516,8.3429,8.4867,8.247,8.4867,3128,0
20000517,8.5156,8.5825,8.3908,8.5346,5528,0
20000518,8.5825,8.5825,8.3044,8.5346,15017,0
20000519,8.4675,8.5346,8.4388,8.5346,3025,0
20000522,8.3621,8.3621,8.2183,8.247,2816,0
20000523,8.4867,8.4867,8.0552,8.1511,3442,0
20000524,8.0552,8.0552,7.6238,7.8154,6674,0
20000525,7.7867,7.7867,7.6716,7.6716,30867,0
20000526,7.6716,7.6907,7.6716,7.6716,4067,0
20000529,7.8634,7.8634,7.6238,7.6716,16372,0
20000530,7.6716,7.9592,7.6716,7.7675,5631,0
20000531,7.8634,7.9114,7.5757,7.6716,29408,0
20000601,7.6716,7.6716,7.6716,7.6716,209,0
20000602,7.5757,7.6716,7.5278,7.6716,3963,0
20000605,7.6716,7.6716,7.3838,7.4798,8134,0
20000606,7.5757,7.5757,7.3359,7.4318,6048,0
20000607,7.4318,7.4318,7.288,7.288,5215,0
20000608,7.288,7.4798,7.2401,7.288,30241,0
20000609,7.2401,7.5757,7.2401,7.5278,627,0
20000612,7.4798,7.5757,7.288,7.288,4067,0
20000613,7.288,7.5757,7.288,7.3743,36395,0
20000614,7.288,7.3359,7.288,7.288,5840,0
20000615,7.288,7.3359,7.288,7.3359,3650,0
20000616,7.288,7.3359,7.2401,7.2784,5840,0
20000619,7.288,7.3838,7.2401,7.3743,8342,0
20000620,7.288,7.3838,7.288,7.3838,11680,0
20000621,7.288,7.3838,7.288,7.3838,27218,0
20000622,7.288,7.5757,7.288,7.3359,1460,0
20000623,7.2593,7.3359,7.2593,7.288,3754,0
20000626,7.288,7.3838,7.288,7.3838,3859,0
20000627,7.288,7.288,7.1922,7.1922,7716,0
20000628,7.288,7.288,7.2401,7.2401,627,0
20000629,7.0962,7.0962,7.077,7.0962,2295,0
20000630,7.0483,7.0962,6.8565,6.8565,6674,0
20000703,7.2401,7.2401,6.9332,6.9332,417,0
20000704,6.9716,7.0962,6.9716,7.0483,833,0
20000705,7.288,7.288,7.1922,7.1922,7821,0
20000706,7.288,7.3359,7.1922,7.3359,5006,0
20000710,7.2401,7.2401,7.2401,7.2401,1147,0
20000711,7.2401,7.3265,7.2401,7.3265,5840,0
20000712,7.288,7.288,7.1922,7.1922,9073,0
20000714,7.288,7.288,7.1922,7.1922,2191,0
20000717,7.1442,7.3359,7.0962,7.3359,3546,0
20000718,7.288,7.3359,7.288,7.3359,17728,0
20000719,7.2784,7.2784,7.2401,7.2401,1564,0
20000720,7.288,7.288,7.1633,7.288,5423,0
20000721,7.3359,7.3359,7.288,7.3168,313,0
20000724,7.288,7.288,7.1922,7.1922,1147,0
20000725,7.288,7.288,7.1442,7.2112,3442,0
20000726,7.2497,7.288,7.1922,7.288,7926,0
20000727,7.1922,7.2017,7.1922,7.2017,1668,0
20000728,7.2593,7.2593,7.1154,7.1154,1043,0
20000731,7.2401,7.288,7.1922,7.288,7300,0
20000801,7.1922,7.1922,6.7127,7.0003,5423,0
20000802,7.1922,7.1922,7.0962,7.0962,1043,0
20000803,7.2401,7.2401,7.0003,7.1922,10117,0
20000804,7.1922,7.2401,7.1922,7.2401,209,0
20000807,7.1922,7.1922,7.1922,7.1922,2191,0
20000808,7.0579,7.0579,6.9523,6.9523,1564,0
20000809,7.0962,7.0962,7.0483,7.0483,417,0
20000810,7.0483,7.0962,7.0195,7.0962,1981,0
20000811,7.0962,7.0962,7.0962,7.0962,3025,0
20000814,7.0962,7.0962,7.0962,7.0962,1147,0
20000815,7.0867,7.2401,7.077,7.2401,6257,0
20000816,7.0962,7.1922,7.0962,7.0962,9073,0
20000817,7.1442,7.1442,7.0483,7.1442,4796,0
20000818,7.1346,7.2401,7.0962,7.2401,845716,0
20000821,7.2401,7.4318,7.1922,7.4223,7092,0
20000822,7.3838,7.5278,7.3838,7.5278,1981,0
20000823,7.5757,7.7963,7.5757,7.7963,5317,0
20000824,7.7196,7.9114,7.6716,7.8634,9907,0
20000825,7.6812,7.8634,7.6812,7.6907,627,0
20000828,7.8634,8.0072,7.7675,7.7675,10950,0
20000829,7.9592,8.0072,7.7771,7.7963,2606,0
20000830,7.8539,7.8634,7.7771,7.8634,5528,0
20000831,7.7196,7.9018,7.7196,7.7196,5735,0
20000901,7.8634,7.9497,7.8634,7.9497,417,0
20000904,7.9497,7.9592,7.7675,7.9592,1043,0
20000906,7.7675,7.7675,7.7675,7.7675,105,0
20000907,7.7675,7.9114,7.7483,7.8634,731,0
20000908,7.7483,7.7483,7.6716,7.7196,1564,0
20000911,7.5757,7.5757,7.5757,7.5757,521,0
20000912,7.5757,7.6716,7.5278,7.6716,3650,0
20000914,7.4798,7.4798,7.4318,7.4798,2295,0
20000915,7.4798,7.4798,7.3838,7.3838,3963,0
20000918,7.4318,7.7675,7.4318,7.5757,7612,0
20000919,7.7675,7.7675,7.7675,7.7675,417,0
20000920,7.5757,7.5757,7.5278,7.5278,627,0
20000921,7.5278,7.5278,7.5278,7.5278,313,0
20000922,7.5278,7.6238,7.3838,7.3838,7612,0
20000925,7.4798,7.5278,7.3743,7.3743,6570,0
20000926,7.5757,7.5757,7.3838,7.4318,13662,0
20000927,7.4318,7.4318,7.3359,7.4318,1878,0
20000928,7.5757,7.7675,7.5757,7.7196,6465,0
20000929,7.7675,7.7675,7.6716,7.7675,833,0
20001002,7.7675,7.7675,7.6238,7.6238,1668,0
20001004,7.7675,7.7675,7.7196,7.7196,627,0
20001005,7.5757,7.5948,7.5757,7.5948,2606,0
