Date,Open,High,Low,Close,Volume,OpenInt
20000106,12.06,12.06,12.016,12.016,2272,0
20000107,12.06,12.06,12.06,12.06,1136,0
20000110,11.972,11.972,11.796,11.796,1023,0
20000111,11.796,11.796,11.531,11.637,4544,0
20000112,11.663,11.752,11.663,11.752,4431,0
20000113,11.62,11.62,11.355,11.355,8066,0
20000114,11.443,11.443,11.312,11.312,2272,0
20000117,11.443,11.443,11.003,11.003,14656,0
20000118,11.092,11.233,11.003,11.233,13292,0
20000119,10.959,11.258,10.959,11.258,3862,0
20000120,11.18,11.18,11.17,11.17,3408,0
20000121,11.312,11.312,11.312,11.312,1704,0
20000124,11.399,11.399,11.135,11.347,4544,0
20000125,11.443,11.443,11.443,11.443,115,0
20000126,11.312,11.312,11.003,11.003,10223,0
20000127,11.18,11.18,11.18,11.18,115,0
20000128,10.959,10.959,10.739,10.783,6590,0
20000131,10.695,10.695,9.991,10.035,7271,0
20000201,10.167,10.167,9.771,9.903,3862,0
20000202,10.105,10.105,9.859,9.947,1477,0
20000203,9.859,9.859,9.594,9.594,7271,0
20000204,9.594,9.814,9.1988,9.1988,11361,0
20000207,9.4278,9.4278,8.6707,8.8908,17836,0
20000208,8.8908,9.1108,8.8908,9.0668,4544,0
20000209,9.1727,9.3313,8.9786,8.9786,17609,0
20000211,9.1988,9.4199,9.1988,9.4199,13746,0
20000214,9.638,9.638,9.4199,9.551,5566,0
20000215,9.683,10.915,9.683,10.562,14542,0
20000216,10.915,10.915,10.872,10.872,6362,0
20000217,11.003,11.003,10.915,10.915,1704,0
20000218,10.827,10.827,9.947,9.947,3976,0
20000221,10.035,10.123,10.035,10.123,796,0
20000222,9.947,9.991,9.594,9.594,6930,0
20000223,9.507,9.594,9.1548,9.1548,2158,0
20000224,8.9786,9.3313,8.9786,9.1465,3181,0
20000225,9.1465,9.1988,9.1465,9.1465,6134,0
20000301,9.2429,9.2429,9.1548,9.1548,3408,0
20000303,9.0668,9.2429,9.0227,9.1548,3067,0
20000306,9.2429,9.2429,8.8467,8.8908,9315,0
20000307,9.0668,9.0668,8.8908,8.8908,3067,0
20000309,9.2429,9.4199,9.2429,9.4199,2839,0
20000310,9.2429,9.4199,9.1632,9.1632,1023,0
20000313,9.2429,9.2429,9.1988,9.1988,3976,0
20000314,9.2429,9.2429,9.2429,9.2429,341,0
20000315,9.2429,9.2429,9.2429,9.2429,796,0
20000316,9.2429,9.2429,9.1988,9.2429,2727,0
20000317,9.2429,9.2429,9.2429,9.2429,1704,0
20000320,9.2429,9.2429,9.0227,9.1988,796,0
20000321,9.2429,9.2429,9.1548,9.1548,3748,0
20000324,9.1108,9.2429,9.1108,9.2429,1364,0
20000327,9.1988,9.1988,9.1988,9.1988,227,0
20000328,9.3313,9.3313,9.3313,9.3313,227,0
20000329,9.507,9.507,9.3391,9.3391,909,0
20000330,9.3313,9.3313,9.3128,9.3313,3408,0
20000403,9.49,9.49,9.3313,9.49,4090,0
20000404,9.49,9.507,9.49,9.507,2839,0
20000405,9.4199,9.507,9.4199,9.507,1364,0
20000406,9.3653,9.3653,9.3653,9.3653,454,0
20000407,9.507,9.507,9.507,9.507,115,0
20000411,9.1988,9.1988,9.1988,9.1988,2158,0
20000412,9.2168,9.3746,9.1548,9.1548,8405,0
20000417,9.2429,9.2429,9.2429,9.2429,1250,0
20000418,9.3575,9.3575,9.3575,9.3575,2158,0
20000419,9.3575,9.4012,9.2429,9.2429,6476,0
20000420,9.1548,9.1548,9.1548,9.1548,1136,0
20000425,9.0227,9.507,9.0227,9.507,13746,0
20000427,9.719,9.719,9.638,9.674,11361,0
20000428,9.771,9.771,9.683,9.683,15223,0
20000503,10.053,10.131,9.683,9.683,13292,0
20000504,10.061,10.061,9.877,9.877,2272,0
20000508,10.141,10.158,10.141,10.158,1023,0
20000510,10.123,10.123,10.123,10.123,3294,0
20000511,10.211,10.211,10.131,10.131,1136,0
20000512,10.3,10.3,10.167,10.167,9315,0
20000516,10.562,11.796,10.562,11.796,19993,0
20000517,11.796,11.946,11.443,11.443,5452,0
20000518,11.752,11.796,11.531,11.62,3181,0
20000519,11.663,11.663,11.408,11.443,6476,0
20000522,11.233,11.355,11.18,11.355,4887,0
20000523,11.355,11.355,10.959,10.959,11473,0
20000524,11.003,11.18,11.003,11.18,796,0
20000525,11.092,11.18,10.827,10.827,3181,0
20000526,10.95,10.95,10.95,10.95,115,0
20000529,11.17,11.18,10.775,10.775,341,0
20000601,11.312,11.312,10.995,10.995,115,0
20000602,10.995,10.995,10.995,10.995,454,0
20000607,11.417,11.505,11.355,11.355,5452,0
20000608,11.355,11.355,11.109,11.109,8974,0
20000609,11.092,11.092,11.092,11.092,341,0
20000612,10.934,10.934,10.934,10.934,227,0
20000613,11.092,11.338,10.854,11.012,5793,0
20000614,11.135,11.135,10.562,10.562,4772,0
20000615,10.414,10.713,10.263,10.713,8294,0
20000620,10.562,10.562,10.562,10.562,454,0
20000621,10.581,10.581,10.316,10.316,2839,0
20000622,10.3,10.404,10.3,10.404,2272,0
20000623,10.255,10.344,10.255,10.344,1023,0
20000626,10.158,10.344,10.158,10.344,1817,0
20000627,10.255,10.457,10.255,10.457,2612,0
20000628,10.308,10.308,10.308,10.308,1136,0
20000629,10.3,10.3,10.158,10.158,1136,0
20000630,10.308,10.308,9.752,9.752,5225,0
20000703,9.894,9.894,9.71,9.71,3748,0
20000704,9.771,9.771,9.691,9.691,796,0
