Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.36,0.435,0.35,0.427,19093,0
20090407,0.43,0.435,0.37,0.404,25094,0
20090408,0.404,0.404,0.36,0.4,3000,0
20090409,0.4,0.4,0.35,0.37,10594,0
20090414,0.37,0.51,0.32,0.32,30182,0
20090415,0.37,0.403,0.33,0.36,7000,0
20090416,0.37,0.4,0.34,0.36,10506,0
20090417,0.36,0.394,0.35,0.35,3100,0
20090420,0.37,0.394,0.35,0.37,2000,0
20090422,0.45,0.45,0.333,0.351,3106,0
20090424,0.35,0.38,0.33,0.36,1700,0
20090427,0.36,0.38,0.34,0.355,2400,0
20090428,0.35,0.4,0.34,0.38,14994,0
20090504,0.39,0.42,0.36,0.385,5700,0
20090505,0.39,0.41,0.35,0.4,3850,0
20090506,0.4,0.4,0.36,0.39,4006,0
20090507,0.39,0.439,0.36,0.439,3994,0
20090508,0.39,0.45,0.34,0.38,2500,0
20090511,0.38,0.41,0.38,0.4,2000,0
20090512,0.4,0.42,0.37,0.4,1000,0
20090514,0.41,0.44,0.364,0.4,1150,0
20090515,0.4,0.44,0.39,0.41,7500,0
20090519,0.4,0.4,0.36,0.4,3237,0
20090520,0.4,0.415,0.4,0.415,3492,0
20090525,0.36,0.42,0.36,0.38,600,0
20090526,0.36,0.43,0.36,0.4,3000,0
20090529,0.43,0.44,0.39,0.425,842,0
20090601,0.42,0.425,0.4,0.42,3000,0
20090604,0.42,0.435,0.38,0.435,1800,0
20090608,0.43,0.435,0.41,0.435,8800,0
20090609,0.44,0.44,0.41,0.43,1300,0
20090610,0.43,0.44,0.38,0.435,5867,0
20090611,0.44,0.44,0.4,0.435,2726,0
20090615,0.44,0.44,0.4,0.425,8386,0
20090617,0.42,0.425,0.38,0.423,5000,0
20090618,0.42,0.423,0.37,0.415,3000,0
20090619,0.41,0.415,0.36,0.415,1363,0
20090622,0.415,0.43,0.36,0.423,2500,0
20090625,0.42,0.422,0.37,0.401,667,0
20090626,0.42,0.422,0.34,0.4,1500,0
20090630,0.4,0.405,0.36,0.405,5000,0
20090706,0.35,0.41,0.35,0.41,8500,0
20090707,0.35,0.4,0.35,0.4,1500,0
20090709,0.36,0.36,0.352,0.352,30,0
20090710,0.36,0.41,0.36,0.41,6000,0
20090714,0.36,0.382,0.36,0.37,4100,0
20090717,0.36,0.37,0.36,0.36,1001,0
20090720,0.36,0.56,0.36,0.56,38899,0
20090721,0.36,0.64,0.36,0.62,62490,0
20090722,0.49,0.65,0.49,0.57,37932,0
20090723,0.57,0.61,0.49,0.528,30801,0
20090724,0.54,0.54,0.35,0.37,40202,0
20090727,0.5,0.5,0.343,0.41,32800,0
20090728,0.34,0.4,0.33,0.36,30870,0
20090729,0.35,0.36,0.31,0.31,54620,0
20090730,0.35,0.35,0.283,0.33,42000,0
20090731,0.28,0.33,0.28,0.296,5480,0
20090803,0.29,0.29,0.183,0.215,134656,0
20090804,0.23,0.25,0.215,0.22,25215,0
20090805,0.23,0.3,0.22,0.26,100649,0
20090806,0.23,0.3,0.23,0.25,12300,0
20090807,0.25,0.25,0.25,0.25,9000,0
20090810,0.25,0.27,0.22,0.27,13300,0
20090811,0.25,0.26,0.226,0.226,6600,0
20090812,0.25,0.27,0.126,0.23,20100,0
20090813,0.25,0.25,0.225,0.25,9030,0
20090814,0.25,0.25,0.23,0.23,4600,0
20090817,0.24,0.25,0.215,0.23,11501,0
20090818,0.22,0.226,0.14,0.192,48726,0
20090819,0.22,0.225,0.168,0.225,7700,0
20090820,0.22,0.22,0.18,0.18,150,0
20090824,0.18,0.22,0.172,0.2,11000,0
20090828,0.21,0.21,0.172,0.173,10030,0
20090831,0.21,0.21,0.172,0.173,20,0
20090901,0.21,0.21,0.101,0.154,51600,0
20090902,0.21,0.21,0.12,0.162,4134,0
20090903,0.15,0.162,0.122,0.122,7120,0
20090904,0.15,0.179,0.12,0.159,28820,0
20090907,0.15,0.179,0.122,0.15,4553,0
20090908,0.15,0.15,0.14,0.14,50,0
20090909,0.15,0.15,0.13,0.13,12217,0
20090910,0.15,0.152,0.141,0.15,3359,0
20090911,0.15,0.155,0.13,0.13,9551,0
20090914,0.13,0.177,0.13,0.13,3021,0
20090915,0.13,0.145,0.13,0.13,31920,0
20090916,0.13,0.174,0.116,0.13,39150,0
20090922,0.13,0.131,0.12,0.131,1500,0
20090923,0.119,0.13,0.119,0.13,1500,0
20090925,0.121,0.14,0.1,0.1,56950,0
20090928,0.102,0.14,0.1,0.101,40,0
20090929,0.102,0.12,0.1,0.12,500,0
20090930,0.102,0.13,0.1,0.13,1000,0
20091001,0.131,0.135,0.105,0.11,5000,0
20091005,0.121,0.138,0.105,0.138,40000,0
20091006,0.121,0.121,0.105,0.105,14200,0
20091007,0.106,0.112,0.101,0.105,6980,0
20091008,0.102,0.11,0.101,0.101,9000,0
20091009,0.102,0.13,0.101,0.13,21123,0
20091012,0.104,0.11,0.102,0.102,2013,0
20091013,0.1,0.13,0.1,0.13,8940,0
20091015,0.111,0.115,0.105,0.115,1124,0
20091016,0.116,0.13,0.105,0.13,2000,0
20091019,0.116,0.116,0.1,0.103,100,0
20091020,0.104,0.11,0.103,0.11,108,0
20091021,0.11,0.144,0.104,0.144,5400,0
20091022,0.146,0.146,0.107,0.12,1200,0
20091023,0.121,0.143,0.107,0.143,23143,0
20091026,0.141,0.144,0.107,0.144,10000,0
20091027,0.142,0.142,0.102,0.111,790,0
20091029,0.103,0.111,0.102,0.11,10100,0
20091102,0.103,0.111,0.1,0.105,100,0
20091104,0.099,0.111,0.099,0.105,2020,0
20091105,0.102,0.125,0.1,0.1,5000,0
20091106,0.102,0.111,0.1,0.11,300,0
20091109,0.1,0.125,0.1,0.125,3706,0
20091111,0.102,0.125,0.1,0.105,60,0
20091116,0.125,0.125,0.1,0.105,2000,0
20091117,0.099,0.125,0.099,0.105,110,0
20091118,0.099,0.125,0.099,0.105,110,0
20091120,0.099,0.125,0.099,0.125,1000,0
20091123,0.099,0.123,0.099,0.122,1000,0
20091127,0.105,0.123,0.105,0.105,6585,0
20091202,0.103,0.105,0.099,0.105,20,0
20091203,0.103,0.133,0.099,0.133,580,0
20091207,0.11,0.133,0.105,0.105,13600,0
20091208,0.118,0.133,0.105,0.133,2000,0
20091209,0.118,0.133,0.105,0.105,3,0
20091210,0.118,0.133,0.105,0.105,1120,0
20091217,0.114,0.122,0.105,0.105,440,0
20091218,0.102,0.127,0.102,0.12,15600,0
20091221,0.121,0.125,0.105,0.11,2990,0
20091222,0.119,0.125,0.105,0.108,4200,0
20091223,0.103,0.133,0.103,0.133,4483,0
20091228,0.111,0.111,0.105,0.107,8140,0
20091229,0.102,0.107,0.102,0.105,15135,0
20091230,0.1,0.105,0.1,0.105,13,0
20100111,0.1,0.105,0.1,0.103,2000,0
20100112,0.1,0.105,0.1,0.105,3300,0
20100119,0.1,0.105,0.1,0.105,80,0
20100120,0.1,0.105,0.1,0.105,3060,0
20100122,0.1,0.105,0.1,0.105,120,0
20100125,0.1,0.105,0.1,0.105,710,0
20100126,0.1,0.105,0.096,0.096,3040,0
20100127,0.091,0.105,0.09,0.096,10,0
20100128,0.091,0.105,0.09,0.09,150,0
20100129,0.09,0.105,0.09,0.096,110,0
20100201,0.091,0.095,0.09,0.091,4250,0
20100204,0.086,0.091,0.086,0.091,100,0
20100208,0.086,0.091,0.086,0.09,660,0
20100209,0.086,0.091,0.086,0.091,114,0
20100210,0.086,0.091,0.086,0.09,200,0
20100219,0.086,0.091,0.075,0.091,11000,0
20100222,0.086,0.091,0.086,0.091,2400,0
20100223,0.086,0.091,0.086,0.091,1050,0
20100308,0.09,0.092,0.076,0.076,265,0
20100311,0.086,0.091,0.076,0.076,260,0
20100317,0.087,0.092,0.06,0.092,5000,0
20100318,0.087,0.091,0.06,0.061,12000,0
20100325,0.06,0.12,0.06,0.12,18520,0
20100326,0.114,0.12,0.063,0.065,10800,0
20100329,0.065,0.067,0.065,0.067,1000,0
20100401,0.063,0.066,0.05,0.064,68400,0
20100413,0.061,0.064,0.033,0.061,10000,0
20100414,0.058,0.06,0.031,0.05,20060,0
20100415,0.048,0.05,0.048,0.049,86080,0
20100416,0.047,0.05,0.04,0.04,7050,0
20100419,0.038,0.066,0.02,0.066,10000,0
20100421,0.057,0.06,0.05,0.05,30200,0
20100422,0.048,0.049,0.025,0.049,26000,0
20100423,0.047,0.055,0.02,0.02,22035,0
20100426,0.03,0.031,0.028,0.031,10000,0
20100429,0.029,0.03,0.02,0.02,57654,0
20100430,0.023,0.029,0.014,0.029,67229,0
20100503,0.028,0.03,0.015,0.03,53500,0
20100505,0.02,0.03,0.02,0.022,38100,0
20100506,0.022,0.028,0.022,0.028,3000,0
20100507,0.022,0.024,0.022,0.024,2100,0
20100511,0.022,0.04,0.022,0.04,300,0
20100514,0.022,0.024,0.022,0.024,50,0
20100517,0.023,0.03,0.022,0.03,20565,0
20100518,0.029,0.03,0.023,0.026,5000,0
20100519,0.025,0.026,0.015,0.015,90,0
20100520,0.025,0.025,0.025,0.025,31500,0
20100521,0.024,0.025,0.023,0.023,1800,0
20100526,0.025,0.026,0.023,0.023,1830,0
20100528,0.024,0.024,0.023,0.023,1501,0
20100531,0.023,0.025,0.023,0.025,7700,0
20100601,0.024,0.035,0.023,0.026,14000,0
20100602,0.025,0.027,0.024,0.027,1000,0
20100604,0.025,0.026,0.02,0.024,1020,0
20100607,0.025,0.027,0.024,0.027,300,0
20100608,0.026,0.027,0.024,0.027,520,0
20100611,0.025,0.026,0.024,0.025,21000,0
20100618,0.024,0.024,0.024,0.024,32000,0
20100621,0.025,0.03,0.024,0.03,35500,0
20100628,0.024,0.027,0.024,0.025,90,0
20100629,0.026,0.027,0.026,0.027,300,0
20100630,0.026,0.028,0.026,0.028,390,0
20100701,0.027,0.03,0.027,0.03,4595,0
20100706,0.027,0.028,0.027,0.028,35500,0
20100708,0.025,0.026,0.025,0.026,5000,0
20100709,0.025,0.028,0.025,0.028,10025,0
20100712,0.027,0.027,0.025,0.027,10000,0
20100716,0.025,0.031,0.025,0.031,94000,0
20100720,0.033,0.037,0.025,0.037,220,0
