Date,Open,High,Low,Close,Volume,OpenInt
20141024,10.308,10.469,10.147,10.184,2661415,0
20141027,10.252,10.355,10.173,10.173,450292,0
20141028,10.265,10.336,10.21,10.247,97542,0
20141029,10.279,10.293,10.21,10.261,104908,0
20141030,10.285,10.374,10.236,10.327,1256918,0
20141031,10.54,10.54,10.184,10.308,199418,0
20141103,10.194,10.421,10.194,10.31,117751,0
20141104,10.288,10.374,10.288,10.353,67959,0
20141105,10.464,10.47,10.241,10.33,20756,0
20141106,10.317,10.374,10.279,10.303,78684,0
20141107,10.436,10.436,10.303,10.326,130624,0
20141110,10.407,10.421,10.331,10.359,22851,0
20141111,10.35,10.374,10.184,10.262,171654,0
20141112,10.165,10.284,10.165,10.227,10118,0
20141113,10.308,10.308,10.18,10.205,241164,0
20141114,10.194,10.412,10.184,10.199,16942,0
20141117,10.099,10.421,10.099,10.209,40468,0
20141118,10.232,10.279,10.204,10.268,1279,0
20141119,10.209,10.303,10.209,10.268,2773,0
20141120,10.241,10.326,10.232,10.255,25379,0
20141121,10.227,10.251,10.135,10.192,53628,0
20141124,10.18,10.374,10.18,10.253,15391,0
20141125,10.298,10.421,10.199,10.404,9012,0
20141126,10.365,10.365,10.279,10.314,6091,0
20141127,10.298,10.35,10.244,10.244,9257,0
20141128,10.284,10.374,10.241,10.323,18361,0
20141201,10.269,10.847,10.265,10.744,41096,0
20141202,10.649,11.018,10.649,10.815,21332,0
20141203,10.862,10.862,10.611,10.789,60007,0
20141204,10.826,10.951,10.615,10.891,26465,0
20141205,10.592,11.131,10.592,11,21330,0
20141208,10.644,10.99,10.644,10.868,73155,0
20141209,10.819,11.023,10.757,10.8,55343,0
20141210,10.933,11.18,10.839,11.002,98815,0
20141211,10.971,11.26,10.819,11.053,107383,0
20141212,11.126,11.151,10.839,11.071,24368,0
20141215,10.98,11.175,10.839,11.1,85890,0
20141216,11.089,11.274,10.895,10.961,57805,0
20141217,10.899,11.108,10.839,11.025,57694,0
20141218,11.108,11.534,11.075,11.288,101747,0
20141219,11.26,12.714,11.203,11.986,294904,0
20141222,12.06,12.161,11.368,11.671,110740,0
20141223,11.558,11.771,11.388,11.462,41856,0
20141229,11.444,11.795,11.407,11.726,26063,0
20141230,11.672,12.231,11.649,11.813,27649,0
20150102,11.857,12.127,11.813,11.922,10887,0
20150105,11.894,12.169,11.761,11.791,42921,0
20150106,11.852,12.032,11.67,11.701,5072,0
20150107,11.833,12.221,11.724,12.169,177846,0
20150108,12.022,12.323,11.951,12.215,63094,0
20150109,12.032,12.406,11.99,12.162,127442,0
20150112,12.027,12.416,12.027,12.223,40119,0
20150113,12.198,12.321,11.96,12.169,13844,0
20150114,12.084,12.326,12.079,12.305,157500,0
20150115,12.435,12.435,12.201,12.297,16883,0
20150116,12.198,12.505,12.136,12.437,67867,0
20150119,12.406,12.482,12.245,12.355,56217,0
20150120,12.401,12.401,12.258,12.309,40665,0
20150121,12.297,12.789,12.278,12.654,73372,0
20150122,12.548,13.046,12.278,12.839,126805,0
20150123,12.813,13.169,12.789,12.984,120595,0
20150126,12.899,13.5,12.899,12.966,65541,0
20150127,12.96,13.263,12.875,13.097,93179,0
20150128,13.192,13.377,13.098,13.227,14484,0
20150129,13.159,13.263,12.979,13.102,240627,0
20150130,13.078,13.263,12.846,13.096,94573,0
20150202,12.813,14.106,12.813,13.917,73132,0
20150203,13.832,14.041,13.789,13.849,61529,0
20150204,13.874,14.021,13.775,13.833,19534,0
20150205,13.846,14.154,13.846,14.094,23027,0
20150206,14.045,14.13,13.656,13.803,44842,0
20150209,13.747,13.861,13.567,13.666,21800,0
20150210,13.619,13.825,13.543,13.783,25856,0
20150211,13.614,13.784,13.488,13.574,11612,0
20150212,13.666,13.841,13.562,13.793,40193,0
20150213,13.765,13.974,13.713,13.802,54681,0
20150216,13.752,13.974,13.732,13.928,11535,0
20150217,13.893,14.059,13.169,13.732,36772,0
20150218,13.567,13.839,13.552,13.783,37635,0
20150219,13.718,14.306,13.562,14.253,50473,0
20150220,14.121,14.585,13.874,14.145,74422,0
20150223,14.054,14.4,14.021,14.327,129640,0
20150224,14.306,14.684,14.106,14.368,167666,0
20150225,14.177,14.362,13.558,14.118,65018,0
20150226,14.244,14.343,14.069,14.116,46000,0
20150227,14.13,14.33,13.647,13.794,73862,0
20150302,13.865,14.728,13.865,14.639,268241,0
20150303,14.547,15.044,14.547,15.016,69640,0
20150304,14.874,15.187,14.755,15.052,54281,0
20150305,15.139,15.453,14.902,15.018,42759,0
20150306,15.049,15.158,14.913,14.931,32808,0
20150309,14.936,15.064,14.353,14.353,41834,0
20150310,14.382,14.575,14.117,14.125,52812,0
20150311,14.13,14.234,13.619,14.071,125600,0
20150312,14.064,14.751,13.993,14.308,77515,0
20150313,14.182,14.552,14.173,14.353,28648,0
20150316,14.338,14.988,14.099,14.163,103762,0
20150317,13.997,14.424,13.604,13.806,3044013,0
20150318,13.656,14.017,13.656,13.69,601395,0
20150319,13.595,13.908,13.595,13.739,161134,0
20150320,13.747,13.879,13.698,13.776,196883,0
20150323,13.953,13.955,13.728,13.832,354633,0
20150324,13.789,14.095,13.77,13.945,595626,0
20150325,14.102,14.102,13.599,13.829,323565,0
20150326,13.837,13.837,13.396,13.693,295460,0
20150327,13.822,13.87,13.643,13.643,116768,0
20150330,13.732,13.917,13.651,13.744,173159,0
20150331,13.685,13.846,13.685,13.756,305563,0
20150401,13.695,13.94,13.68,13.704,155226,0
20150402,13.708,14.047,13.7,13.917,223905,0
20150407,14.012,14.021,13.974,14.002,73670,0
20150408,13.974,14.098,13.865,14.098,249315,0
20150409,14.021,14.15,13.997,14.098,174784,0
20150410,14.116,14.211,14.007,14.154,112455,0
20150413,14.211,14.268,14.116,14.168,157584,0
20150414,14.315,14.353,14.069,14.121,87268,0
20150415,14.206,14.258,14.088,14.116,144078,0
