Date,Open,High,Low,Close,Volume,OpenInt
20121002,17.324,17.396,16.895,16.895,6770681,0
20121003,16.922,17.141,16.767,17.095,616886,0
20121004,17.244,17.861,17.082,17.797,1705979,0
20121005,17.958,18.007,17.455,17.606,1023650,0
20121008,17.779,17.811,17.536,17.725,347459,0
20121009,17.835,17.976,17.597,17.72,248671,0
20121010,17.519,17.779,17.519,17.734,335015,0
20121011,17.727,18.336,17.597,18.336,751716,0
20121012,18.208,18.418,17.984,18.231,710674,0
20121015,18.372,18.568,18.181,18.431,549674,0
20121016,18.6,18.646,18.464,18.587,364976,0
20121017,18.559,18.6,17.898,18.29,815965,0
20121018,18.211,18.363,16.867,18.222,214762,0
20121019,18.281,18.305,17.959,18.053,85675,0
20121022,18.126,18.126,17.843,17.989,307264,0
20121023,17.958,18.129,17.373,17.766,345472,0
20121024,17.734,17.916,17.67,17.734,192393,0
20121025,17.789,18.035,16.867,17.861,94061,0
20121026,17.634,17.857,17.414,17.802,232722,0
20121029,17.537,17.675,17.373,17.62,252599,0
20121030,17.369,17.889,17.369,17.706,159554,0
20121031,17.784,18.099,17.432,17.811,245077,0
20121101,17.77,17.889,17.597,17.834,95196,0
20121102,17.724,17.807,17.483,17.533,214890,0
20121105,17.391,17.684,17.391,17.547,205541,0
20121106,17.624,18.144,17.595,18.071,529649,0
20121107,17.971,18.418,17.961,18.276,619162,0
20121108,18.242,18.404,17.369,18.094,171151,0
20121109,18.215,18.326,17.738,18.017,157126,0
20121112,18.122,18.677,17.369,18.677,214207,0
20121113,18.559,18.737,18.344,18.737,236010,0
20121114,18.669,18.737,17.369,18.354,428677,0
20121115,18.101,18.408,17.506,18.099,86424,0
20121116,18.077,18.199,17.665,17.797,196331,0
20121119,17.891,18.007,17.414,17.802,162160,0
20121120,17.729,17.953,17.606,17.697,253111,0
20121121,17.57,17.871,17.414,17.761,69462,0
20121122,17.761,18.053,17.506,17.789,123597,0
20121123,17.848,17.984,17.652,17.902,151662,0
20121126,17.693,18.19,17.552,17.938,143938,0
20121127,18.04,18.203,17.552,18.203,155437,0
20121128,17.953,18.13,17.552,18.066,179228,0
20121129,18.122,18.358,17.552,18.176,274295,0
20121130,18.144,18.276,18.144,18.253,84660,0
20121203,18.217,18.49,18.19,18.281,237614,0
20121204,18.185,18.441,16.867,18.441,237510,0
20121205,18.385,18.873,17.779,18.873,353271,0
20121206,18.682,18.855,18.682,18.773,212669,0
20121207,18.741,19.74,18.235,19.224,617280,0
20121210,19.785,19.967,19.147,19.407,520966,0
20121211,19.475,19.534,19.147,19.412,795242,0
20121212,19.332,19.466,18.755,18.988,390109,0
20121213,18.955,19.047,18.71,18.86,397980,0
20121214,18.769,19.42,18.691,19.27,484754,0
20121217,19.252,19.457,18.755,19.361,360326,0
20121218,19.466,19.58,18.755,19.42,341553,0
20121219,19.52,19.576,18.755,19.494,215296,0
20121220,19.42,19.64,18.755,19.558,168254,0
20121221,19.361,19.539,19.238,19.484,199534,0
20121227,19.37,20.023,18.755,19.835,270528,0
20121228,19.936,20.105,18.755,19.584,175045,0
20130102,20.026,20.195,19.831,20.031,213021,0
20130103,19.84,20.074,19.84,19.959,153225,0
20130104,19.854,20.578,19.854,20.496,189545,0
20130107,20.839,20.852,18.755,20.524,287610,0
20130108,20.341,20.683,18.755,20.332,291148,0
20130109,20.241,21.08,20.169,20.907,186227,0
20130110,21.335,21.335,20.378,20.629,263595,0
20130111,20.592,21.016,20.18,20.487,181834,0
20130114,20.553,20.716,20.101,20.341,173564,0
20130115,20.177,20.443,19.753,20.008,362670,0
20130116,19.826,20.36,19.826,20.264,233909,0
20130117,20.36,20.56,20.136,20.36,170530,0
20130118,20.514,20.688,20.351,20.455,123216,0
20130121,20.455,21.107,20.455,20.929,178702,0
20130122,21.015,21.117,20.446,20.829,180642,0
20130123,20.619,20.847,20.519,20.693,290426,0
20130124,20.634,20.95,20.514,20.665,126410,0
20130125,20.667,20.925,20.606,20.82,183061,0
20130128,20.865,20.898,20.656,20.656,180698,0
20130129,20.653,21.022,20.642,20.971,165093,0
20130130,20.784,20.971,20.469,20.619,118446,0
20130131,20.575,20.742,20.355,20.355,156953,0
20130201,20.788,21.148,18.755,20.779,462277,0
20130204,21.098,21.107,20.615,20.615,167804,0
20130205,20.942,20.943,20.549,20.592,160520,0
20130206,20.46,20.834,18.755,20.478,165908,0
20130207,20.667,20.667,19.94,20.542,193554,0
20130208,20.616,20.788,20.059,20.634,90403,0
20130211,20.634,20.971,20.059,20.834,97078,0
20130212,21.062,21.189,20.652,20.948,164588,0
