Date,Open,High,Low,Close,Volume,OpenInt
20000114,14.7029,16.0128,14.391,15.79,124119,0
20000117,19.6075,21.39,18.4934,21.39,145189,0
20000118,20.8439,20.8439,18.4467,19.32,85733,0
20000119,19.16,19.3828,18.1797,19.16,31307,0
20000120,19.3386,20.408,19.1069,19.9,24238,0
20000121,22.2853,24.2018,20.6808,21.59,106012,0
20000124,22.3246,23.3494,21.8344,22.28,43088,0
20000125,20.4054,20.94,19.6925,20.94,26710,0
20000126,20.3647,21.4788,19.6072,19.83,23114,0
20000127,19.6978,21.3913,18.9848,20.5,58902,0
20000128,21.3854,22.5531,19.3886,21.84,71234,0
20000131,22.2813,22.2813,20.7661,21.39,82917,0
20000201,21.75,22.0352,21.126,21.75,28158,0
20000202,22.0186,22.0186,20.9934,21.35,15929,0
20000203,20.9935,21.3321,20.539,20.94,14365,0
20000204,21.0361,21.0361,19.6099,20.84,16828,0
20000207,19.6825,20.8859,18.4523,20.77,43414,0
20000208,20.9444,22.2813,20.9444,21.39,32763,0
20000209,21.3929,22.73,20.9918,22.73,29505,0
20000210,21.3048,21.394,20.77,20.77,11555,0
20000211,20.9392,21.0283,20.36,20.36,15488,0
20000214,20.3159,22.0267,20.0486,22,22221,0
20000215,22.272,28.9651,22.1917,27.86,90324,0
20000216,27.8432,30.1249,24.5099,27.05,31304,0
20000217,26.25,26.8026,24.2445,26.25,29618,0
20000218,26.2544,26.29,25.1315,26.29,16831,0
20000221,24.8182,25.3529,23.7489,24.64,5386,0
20000222,23.8842,23.8842,21.5225,22.28,13128,0
20000223,22.066,23.4919,22.066,23.18,11333,0
20000224,24.0561,24.6443,23.04,23.04,9873,0
20000225,22.0102,22.8122,21.93,21.93,6509,0
20000228,22.2857,22.7314,20.1998,21.84,19183,0
20000229,22.7198,24.0657,22.6395,23.62,19409,0
20000301,24.0669,24.9672,24.0669,24.78,14023,0
20000302,24.2007,24.8781,23.3984,23.96,7629,0
20000303,23.9774,23.9774,23.2643,23.71,6170,0
20000306,23.5293,33.868,23.1728,32.13,108947,0
20000307,31.1914,31.1914,28.0277,28.5,33439,0
20000308,27.6313,27.6313,25.8487,26.74,15146,0
20000309,27.2691,28.49,27.2691,28.49,8865,0
20000310,28.5181,29.24,27.1813,29.24,12231,0
20000314,26.7458,28.9649,26.7458,27.94,13689,0
20000315,27.6309,27.6309,25.4026,25.67,12453,0
20000316,25.8754,26.8737,25.7595,26.74,6507,0
20000317,27.6322,28.2205,26.83,26.83,10321,0
20000320,27.6342,28.962,27.6253,28.16,9538,0
20000321,27.5365,27.9018,26.7344,27.18,3928,0
20000322,27.0988,27.0988,25.4051,26.35,12003,0
20000323,26.5271,26.5271,23.4429,24.78,5722,0
20000324,25.2445,27.99,24.4333,27.99,8975,0
20000327,27.6323,27.6323,23.8363,23.97,13018,0
20000328,23.6144,24.1313,22.857,24.06,11559,0
20000329,23.846,23.846,22.7763,22.91,3814,0
20000330,22.5043,22.5043,19.7859,20.9,16718,0
20000331,21.0165,21.9702,17.7812,21.48,23898,0
20000403,22.2766,22.6687,20.94,20.94,6958,0
20000404,20.1911,21.4837,20.1019,20.2,5833,0
20000405,20.5624,20.7674,17.3359,18.45,24571,0
20000406,19.2743,20.0941,17.5099,18.9,29851,0
20000407,19.6063,20.0519,19.1607,19.74,13241,0
20000410,20.5,21.2487,20.3663,20.5,9985,0
20000411,19.6991,20.2785,19.2089,19.61,2917,0
20000412,19.9202,19.9202,19.2517,19.43,4376,0
20000413,19.0998,19.2959,18.7165,19.18,11781,0
20000414,18.6748,22.5523,18.6748,20.93,28046,0
20000417,18.2721,21.57,18.2721,21.57,6844,0
20000418,22.5461,24.5067,21.9669,24.07,20647,0
20000419,24.824,24.824,22.15,22.15,7292,0
20000420,23.071,23.071,22.0106,22.67,2581,0
20000425,22.7211,22.73,21.8386,22.73,2244,0
20000426,23.7073,23.7073,21.39,21.39,4600,0
20000427,22.1011,22.5913,20.8,20.8,6396,0
20000428,22.1882,22.2773,21.8318,22.01,2357,0
20000502,22.2771,23.2128,22.2771,22.99,6397,0
20000503,22.5006,26.3769,22.5006,24.06,30636,0
20000504,24.9511,24.9511,23.7927,24.06,5611,0
20000505,24.4188,24.9,24.0623,24.9,6620,0
20000508,25.0881,25.8456,24.8653,25.4,6957,0
20000510,24.9511,25.1472,24.06,24.06,2020,0
20000511,24.0179,24.5526,23.1712,24.41,3030,0
20000512,24.9098,25.4,24.6425,25.4,2581,0
20000516,25.5209,25.61,24.9593,25.61,2019,0
20000517,25.7531,25.7531,24.06,24.06,898,0
20000518,24.3273,24.3273,23.8372,24.06,337,0
20000519,23.8832,23.9723,21.8335,22.19,8304,0
20000522,22.1523,22.286,21.35,21.35,2917,0
20000523,21.8928,22.08,21.5273,22.08,337,0
20000524,21.3913,21.3913,20.0098,20.5,5385,0
20000525,20.9844,22.2764,20.9398,21.92,11896,0
20000526,21.702,21.8,21.3455,21.8,1459,0
20000529,21.8365,21.8365,21.1235,21.48,1459,0
20000530,21.1672,21.6128,21.1226,21.39,1571,0
20000531,22.3655,22.3655,21.4745,21.92,3255,0
20000601,21.0308,21.61,21.0308,21.61,2357,0
20000602,22.2119,23.1746,22.1941,23.13,1795,0
20000605,22.3704,22.3704,21.0335,21.39,6844,0
20000606,21.742,21.742,20.94,20.94,1347,0
20000607,20.9457,21.2576,20.5,20.5,898,0
20000608,21.1102,21.2082,20.629,21.03,2020,0
20000609,21.0787,21.0787,20.232,20.74,1010,0
20000612,20.7173,20.7173,20.45,20.45,224,0
20000613,20.4965,20.7638,20.14,20.14,1122,0
20000614,20.0526,20.6587,20.0526,20.32,2244,0
20000615,20.3193,20.3193,19.6954,19.74,2693,0
20000616,19.7906,19.7906,18.81,18.81,6843,0
20000619,18.9437,19.1488,18.7209,18.81,2019,0
20000620,19.274,19.5948,18.7126,19.47,11671,0
20000621,18.9105,19.4095,18.9105,19.16,2244,0
20000623,18.9791,19.1573,18.89,18.89,1683,0
20000626,19.5185,20.8554,19.5185,20.49,7854,0
20000627,20.6328,20.6328,20.3209,20.41,2244,0
20000628,20.2337,20.5011,20.0554,20.1,1010,0
20000629,20.0938,20.3165,19.47,19.47,1796,0
20000630,19.6114,19.7006,18.5417,18.72,2917,0
20000703,18.7191,18.7191,18.0952,18.63,1122,0
20000704,18.6265,18.6265,18.27,18.27,224,0
20000705,18.2726,18.9411,18.2726,18.54,6731,0
20000706,18.6246,18.7137,18.5354,18.58,2693,0
20000710,21.3046,21.4383,20.948,21.26,5946,0
