Date,Open,High,Low,Close,Volume,OpenInt
20100326,13.3,13.4,12.45,12.93,2641660,0
20100329,12.805,12.945,12.63,12.75,213555,0
20100330,12.83,12.95,12.67,12.785,76667,0
20100331,12.98,12.98,12.7,12.75,80112,0
20100401,12.7,13.09,12.7,13,47915,0
20100406,13.195,13.385,12.96,13.095,138869,0
20100407,13.18,13.23,12.735,13.1,103576,0
20100408,13.1,13.165,12.95,13.07,20994,0
20100409,13,13.07,12.72,13.045,23957,0
20100412,13.2,13.21,13,13.1,40342,0
20100413,13.03,13.26,13.01,13.06,1634,0
20100414,13.06,13.2,13.04,13.105,4468,0
20100415,13.16,13.16,13,13,29996,0
20100416,12.91,13.19,12.91,13.03,8972,0
20100419,13.005,13.07,12.96,13.01,37532,0
20100420,12.89,13.1,12.89,13,20193,0
20100421,13.01,13.05,12.95,12.955,70503,0
20100422,12.91,13.2,12.9,13,42566,0
20100423,13.05,13.19,12.955,12.955,16732,0
20100426,13,13.11,12.4,13,105157,0
20100427,13,13.25,12.985,12.985,21224,0
20100428,13.08,13.195,12.75,13.15,68136,0
20100429,13.01,13.18,12.9,12.97,31872,0
20100430,12.96,13.08,12.9,12.94,16238,0
20100503,13.19,13.19,12.91,13.12,7222,0
20100504,13.16,13.2,13,13.02,31344,0
20100505,12.96,13.125,12.94,12.94,38569,0
20100506,12.88,13.34,12.88,13.2,19227,0
20100507,12.95,13.15,12.935,12.935,18794,0
20100510,13,13.055,12.62,12.85,38490,0
20100511,12.73,13.34,12.695,13.215,19258,0
20100512,13,13.73,12.99,13.41,14858,0
20100513,13.4,13.73,13.4,13.6,7568,0
20100514,13.44,13.945,13.44,13.865,6817,0
20100517,13.5,13.905,13.25,13.9,13249,0
20100518,13.65,13.905,13.62,13.715,2934,0
20100519,13.82,13.82,13.47,13.7,2935,0
20100520,13.6,13.75,13.005,13.4,3282,0
20100521,13.17,13.495,13.145,13.45,22722,0
20100524,13.39,13.6,13.08,13.36,2359,0
20100525,13.36,13.495,13.1,13.31,2707,0
20100526,13.145,13.6,12.935,13.3,10787,0
20100527,13.15,13.6,13.125,13.6,4570,0
20100528,13.58,13.58,13.325,13.45,17309,0
20100531,13.6,13.6,13.15,13.3,5182,0
20100601,13.155,13.45,13.09,13.1,4286,0
20100602,13.155,13.25,12.975,13.15,2412,0
20100603,13.1,13.3,13.05,13.1,9420,0
20100604,13.25,13.25,12.94,13.1,10885,0
20100607,12.95,13.25,12.91,13.1,19312,0
20100608,12.81,13.315,12.81,13.05,11120,0
20100609,12.885,13.25,12.885,13.25,5007,0
20100610,12.72,13.2,12.72,13.05,8945,0
20100611,13.03,13.21,12.875,13,3409,0
20100614,13.04,13.16,13,13.05,19838,0
20100615,12.76,13.035,12.76,13,7571,0
20100616,12.72,13.1,12.7,13,5555,0
20100617,12.9,13.16,12.9,13.105,9349,0
20100618,12.85,13.2,12.85,13.11,27377,0
20100621,12.78,13.035,12.655,13,15226,0
20100622,12.77,13.1,12.725,13.03,2471,0
20100623,12.92,13.05,12.89,13.05,775,0
20100624,12.78,13.03,12.6,13,21604,0
20100625,12.77,13.05,12.7,12.89,2542,0
20100629,12.67,13.05,12.27,12.5,2672,0
20100630,12.67,12.84,12.14,12.49,2706,0
20100701,12.17,12.19,11.68,12.05,6430,0
20100702,11.64,12.135,11.245,11.45,13195,0
20100705,11.41,11.75,11.3,11.41,5874,0
20100706,11.31,11.41,10.96,10.96,14829,0
20100707,11.01,11.085,10.33,10.82,57319,0
20100708,10.72,11.1,10.72,11.1,17843,0
20100709,11.205,11.37,10.635,11.37,53887,0
20100712,11.26,11.26,11.01,11.2,13495,0
20100713,10.99,11.2,10.99,11.16,19059,0
20100714,10.9,11.24,10.9,11.18,21204,0
20100715,11.07,11.145,10.83,10.83,3520,0
20100716,10.99,11.15,10.825,11.15,1604,0
20100719,10.99,11.15,10.85,10.85,7152,0
20100720,10.94,10.985,10.75,10.985,1620,0
20100721,10.65,11.15,10.65,11.015,1693,0
20100722,10.965,11.15,10.75,11.15,9764,0
20100723,10.94,11.26,10.94,11.26,188,0
20100726,11.25,11.41,10.96,11.16,17005,0
20100727,11.23,11.23,10.96,11,8871,0
20100728,11.1,11.1,10.96,10.96,3023,0
20100729,11,11.495,10.93,11.45,5523,0
20100730,10.95,11.16,10.825,10.93,5268,0
20100802,10.82,10.93,10.69,10.69,12400,0
20100803,10.58,11,10.38,11,28078,0
20100804,10.7,10.97,10.5,10.97,12633,0
20100805,11,11,10.665,11,11441,0
20100806,10.8,11.39,10.73,11.25,12598,0
20100809,11.15,13,11.15,12.505,32382,0
20100810,12.255,13,12,12.44,21565,0
20100811,12.34,12.56,12.3,12.32,7024,0
20100812,12.21,12.7,12.21,12.4,10657,0
20100813,12.32,12.7,12.28,12.45,10120,0
20100816,12.4,12.5,12.08,12.4,11712,0
20100817,12.21,12.49,12,12.135,10914,0
20100818,11.89,12.28,11.89,12.28,2843,0
20100819,12.28,12.44,12.12,12.41,3479,0
20100820,12.01,12.5,11.795,12,7776,0
20100823,11.99,12.37,11.99,12,4139,0
20100824,12.03,12.1,11.88,11.96,2182,0
20100825,11.98,12.18,11.85,11.99,4336,0
20100826,11.735,12.09,11.735,12.02,534,0
20100827,11.91,12,11.535,11.905,3115,0
20100830,11.78,12.3,11.72,12.04,7453,0
20100831,11.93,11.995,11.72,11.815,1555,0
20100901,11.82,12.105,11.785,12,12522,0
20100902,11.83,11.99,11.62,11.62,3632,0
20100903,11.59,11.85,11.5,11.5,3110,0
20100906,11.5,12.175,11.5,12.175,1444,0
20100907,11.755,12.1,11.59,11.93,3461,0
20100908,11.83,11.955,11.72,11.72,1439,0
20100909,11.66,11.99,11.65,11.99,4794,0
20100910,11.61,11.925,11.55,11.55,6570,0
20100913,11.59,11.85,11.555,11.8,3585,0
20100914,11.84,11.85,11.7,11.8,5072,0
20100915,11.61,11.8,11.61,11.75,724,0
20100916,11.6,11.8,11.51,11.51,3186,0
20100917,11.6,11.745,11.51,11.6,3358,0
20100920,11.5,12.01,11.5,11.865,25781,0
20100921,11.75,11.75,11.555,11.735,2089,0
20100922,11.6,11.75,11.51,11.6,2171,0
20100923,11.5,11.745,11.5,11.54,1752,0
20100924,11.5,11.75,11.5,11.64,1650,0
20100927,11.6,11.75,11.6,11.7,11685,0
20100928,11.58,11.68,11.5,11.51,7110,0
20100929,11.655,11.68,11.5,11.525,3381,0
20100930,11.53,11.865,11.53,11.865,15958,0
20101001,11.75,11.8,11.6,11.6,16818,0
20101004,11.53,11.8,11.5,11.8,14303,0
20101005,11.69,11.805,11.65,11.805,17452,0
20101006,11.69,12.86,11.61,12.375,25460,0
20101007,12.26,13.24,12.26,13.195,176730,0
20101008,13.065,14.3,13,14.16,117623,0
20101011,13.88,14.05,13.695,13.965,10763,0
20101012,13.82,14.68,13.69,14.39,24483,0
20101013,14.25,14.73,13.87,14.73,14170,0
20101014,14.41,14.785,14.22,14.74,22668,0
20101015,14.42,14.78,14.21,14.78,12330,0
20101018,14.635,14.75,14.31,14.6,48259,0
20101019,14.46,14.75,14.4,14.4,3447,0
20101020,14.26,14.65,13.68,14.47,78467,0
