Date,Open,High,Low,Close,Volume,OpenInt
20000103,5.5412,5.5412,5.2892,5.2892,53956,0
20000104,5.2473,5.2473,5.2054,5.2054,13221,0
20000105,5.0795,5.0795,5.0375,5.0375,16437,0
20000106,5.0375,5.0375,4.9535,4.9703,13458,0
20000107,4.9535,5.1215,4.9535,5.1215,6075,0
20000110,5.1215,5.2473,5.0375,5.0375,1905,0
20000111,5.1215,6.003,5.1215,6.003,30729,0
20000112,5.8772,5.9022,5.5412,5.5412,34660,0
20000113,5.4573,5.6673,5.4573,5.6252,10482,0
20000114,5.5412,5.5664,5.4826,5.5664,3097,0
20000117,5.5412,5.7678,5.5244,5.7678,74084,0
20000118,5.7091,6.4732,5.7091,6.0449,49548,0
20000119,6.1289,6.3136,5.8351,5.8351,48834,0
20000120,5.8772,6.7587,5.8772,6.7587,53598,0
20000121,6.8426,8.3538,6.8426,8.3119,119704,0
20000124,7.9928,8.7988,7.9928,8.7988,80755,0
20000125,8.6476,8.7988,8.3957,8.7905,17390,0
20000126,8.5637,8.6476,8.5637,8.6476,9291,0
20000127,8.656,8.656,8.2699,8.2699,15245,0
20000128,7.7241,7.8921,7.6401,7.6401,9529,0
20000131,7.3966,7.6401,7.3127,7.5562,68249,0
20000201,7.6401,8.0599,6.8846,7.2372,61460,0
20000202,7.3464,7.9004,7.2456,7.8082,14173,0
20000203,7.8921,8.2279,7.8921,7.934,6313,0
20000204,7.976,7.976,7.8082,7.8082,11792,0
20000207,7.7241,8.3119,7.7241,8.0684,14293,0
20000208,8.1439,8.3957,8.1439,8.2361,11672,0
20000209,8.3119,8.4125,8.2361,8.3538,24774,0
20000210,8.1692,8.1692,8.0599,8.0599,6194,0
20000211,8.3119,8.3119,8.0599,8.0599,16556,0
20000214,7.976,7.976,7.3294,7.4722,20606,0
20000215,7.4722,7.4722,7.1448,7.2203,39186,0
20000216,7.976,8.1104,7.8082,7.8921,56813,0
20000217,8.0599,8.5637,8.0599,8.3119,171276,0
20000218,8.1188,8.1188,7.976,7.976,5122,0
20000221,7.8921,7.976,7.2203,7.3127,13936,0
20000222,7.3464,7.3464,6.9265,6.9265,35493,0
20000223,6.7587,7.4722,6.7587,7.4722,18939,0
20000224,7.4722,7.8082,7.2959,7.7241,33230,0
20000225,7.5395,7.5562,6.8006,7.2203,21082,0
20000228,7.1364,7.4302,7.1364,7.2203,16675,0
20000229,7.1364,7.4302,7.0357,7.2203,16437,0
20000301,7.2203,7.2203,7.0525,7.1364,15722,0
20000302,7.1364,7.2203,7.0525,7.1784,13578,0
20000303,7.3043,9.3197,7.2623,9.1934,110412,0
20000306,8.8156,10.243,8.8156,10.243,75157,0
20000307,10.393,10.562,10.076,10.076,44428,0
20000308,10.243,10.243,9.949,9.99,24536,0
20000309,9.907,10.301,9.907,10.301,13578,0
20000310,10.151,10.151,9.99,10.076,25608,0
20000314,10.159,10.159,9.1428,9.4871,17271,0
20000315,9.3197,9.344,9.3197,9.344,11672,0
20000316,9.4034,9.4034,9.2355,9.3615,40972,0
20000317,9.3197,9.547,9.3197,9.547,2859,0
20000320,9.571,9.571,8.5301,8.6476,30372,0
20000321,8.7317,9.1094,8.7317,9.1094,8575,0
20000322,8.9831,8.9831,8.7317,8.7317,9052,0
20000323,8.5385,8.5469,8.5301,8.5469,5122,0
20000324,8.4966,8.4966,8.2279,8.2279,6789,0
20000327,8.0599,8.3957,8.0599,8.3957,6075,0
20000328,8.5637,8.9001,8.5637,8.6057,8218,0
20000329,8.6476,8.9831,8.6476,8.9001,1905,0
20000330,8.9411,8.9411,8.6476,8.8156,4408,0
20000331,8.8915,8.9001,8.1439,8.3957,15245,0
20000403,8.2699,8.2699,8.1019,8.1019,2859,0
20000404,7.976,8.0599,7.657,8.0096,13578,0
20000405,8.1859,8.2279,7.6654,7.6654,29658,0
20000406,7.7746,7.9676,7.7241,7.85,25966,0
20000407,7.8921,8.0599,7.85,8.0599,6789,0
20000410,7.9088,8.6142,7.9088,8.6057,12387,0
20000411,8.6057,8.8156,8.6057,8.8156,6313,0
20000412,8.6476,8.6476,7.8921,7.9423,15007,0
20000413,8.0599,8.3286,8.0599,8.3286,9647,0
20000414,8.211,8.211,7.976,7.976,2026,0
20000417,7.976,8.018,7.8585,7.8585,715,0
20000418,8.1019,8.3034,7.7241,8.1439,8934,0
20000419,8.3119,8.3119,8.0599,8.2699,4765,0
20000420,8.3119,8.3119,8.2699,8.2699,2741,0
20000425,8.3119,8.3119,8.3034,8.3034,3097,0
20000426,8.3957,8.6057,8.2951,8.4125,13696,0
20000427,8.3957,8.3957,8.3957,8.3957,1786,0
20000428,8.3957,8.4798,8.3957,8.3957,4288,0
20000502,8.5805,8.7736,8.5805,8.7736,1548,0
20000503,8.7736,8.7736,8.3957,8.3957,24774,0
20000504,8.4798,8.5637,8.3538,8.3538,14769,0
20000505,8.3874,8.3874,7.9845,7.9845,4527,0
20000510,7.9256,8.0599,7.766,7.976,96954,0
20000511,7.8585,8.2279,7.7494,8.0599,120537,0
20000512,7.976,8.1439,7.8837,7.8837,2741,0
20000515,8.0599,8.1019,7.7241,7.934,19772,0
20000516,7.976,7.976,7.4722,7.5562,40496,0
20000517,7.766,7.8921,7.6401,7.6401,19891,0
20000518,7.6822,7.6822,7.2372,7.3043,61339,0
20000519,7.3464,7.3464,6.683,6.9853,33470,0
20000522,7.1281,7.1281,6.8846,6.9685,8337,0
20000523,7.1364,7.1364,7.0525,7.0945,3812,0
20000524,7.1364,7.1364,7.0103,7.0103,4527,0
20000525,7.1364,7.3043,7.0525,7.3043,11672,0
20000526,7.2288,7.3464,7.2203,7.3464,28467,0
20000531,7.8082,8.018,7.7241,7.976,25013,0
20000601,7.976,7.976,7.976,7.976,4765,0
20000602,7.976,8.018,7.976,8.018,32397,0
20000605,7.976,7.976,7.976,7.976,3574,0
20000606,7.8249,8.018,7.766,7.766,5240,0
20000607,7.8751,7.8751,7.8082,7.8082,5598,0
20000608,7.9594,7.9594,7.8082,7.8082,3215,0
20000609,7.8165,8.3202,7.6401,7.6401,16318,0
20000612,7.7325,7.8333,7.7241,7.8333,7980,0
20000613,7.9676,7.976,7.8082,7.976,2979,0
20000614,7.9676,7.9676,7.8249,7.8249,595,0
20000615,7.934,8.3538,7.934,8.1943,14890,0
20000616,8.0599,8.3789,8.0599,8.2279,10005,0
20000619,8.3789,8.3789,7.8751,7.976,11672,0
20000621,8.1692,8.1692,7.9928,8.0599,11792,0
20000622,8.1439,8.2279,7.976,8.211,2144,0
20000623,8.2279,8.3538,8.2195,8.3538,1310,0
20000626,8.2699,8.6476,8.1859,8.6476,8218,0
20000627,8.463,8.463,8.1439,8.1859,37638,0
20000628,8.3119,8.5217,8.1439,8.1439,20845,0
20000629,8.2699,8.3119,8.1019,8.2361,17152,0
20000630,8.1439,8.2361,8.018,8.1439,7742,0
20000703,8.0599,8.1271,7.976,7.976,16079,0
20000704,8.018,8.018,7.9594,7.9594,9410,0
20000705,7.976,7.976,7.7241,7.976,5002,0
20000706,7.934,7.934,7.6401,7.7241,42521,0
20000710,8.018,8.3957,8.018,8.3957,7265,0
20000711,8.2699,8.3957,8.2699,8.3957,7624,0
20000712,8.3957,8.5637,8.3538,8.4042,16675,0
20000714,8.3119,8.3119,8.1607,8.1607,118,0
20000717,8.1439,8.1859,8.0599,8.1859,3812,0
20000718,8.1439,8.2279,8.0767,8.1019,5240,0
20000719,8.2279,8.4798,8.2279,8.3119,10482,0
20000720,8.3957,8.4378,8.3789,8.4378,4527,0
20000721,8.2867,8.5637,8.2279,8.3538,15365,0
20000724,8.3119,8.3119,8.1439,8.1439,9766,0
20000725,8.2867,8.3119,8.1439,8.2279,2979,0
20000726,8.1439,8.2699,8.1439,8.2699,9886,0
20000727,8.2699,8.2699,8.2279,8.2279,4408,0
20000728,8.1439,8.3119,8.0599,8.2279,32039,0
20000731,8.2279,8.3957,8.1439,8.2699,98621,0
20000801,8.2699,8.3957,8.2699,8.3538,5479,0
20000802,8.2699,8.3538,8.2699,8.3119,31922,0
20000803,8.3119,8.3957,8.3119,8.3957,44069,0
20000804,8.3119,8.3119,8.2279,8.2279,3215,0
20000807,8.3789,8.3789,8.0599,8.0599,6431,0
20000808,8.211,8.2279,8.1439,8.2279,2144,0
20000809,8.1019,8.1019,8.0599,8.0599,595,0
20000810,8.0599,8.211,8.0599,8.0599,9647,0
20000811,8.211,8.211,8.018,8.018,6789,0
20000814,8.018,8.0599,8.018,8.0599,7862,0
20000815,7.9172,7.9172,7.8921,7.9172,2144,0
20000816,7.9423,7.9423,7.766,7.766,3335,0
20000817,7.766,7.85,7.766,7.85,2620,0
20000818,7.8082,7.9676,7.6822,7.8249,3812,0
20000821,7.6822,7.8921,7.6822,7.8921,6908,0
20000822,7.766,7.766,7.7241,7.7241,1667,0
20000823,7.766,7.976,7.766,7.976,23346,0
20000824,7.976,8.7736,7.8082,8.018,89330,0
20000825,8.1439,8.1439,7.976,8.0935,115533,0
20000828,8.0599,8.2699,7.976,7.976,48715,0
20000829,7.976,8.018,7.976,8.018,4288,0
20000830,8.0599,8.0599,7.976,7.976,15841,0
20000831,7.976,8.1188,7.976,8.1188,8814,0
20000901,7.976,8.0599,7.934,7.9594,68487,0
20000904,8.0767,8.0767,7.8082,7.9256,14173,0
20000905,7.8165,7.976,7.8165,7.976,12269,0
20000906,7.8082,7.8082,7.766,7.766,34898,0
20000907,7.8082,7.8082,7.6401,7.6401,2859,0
20000908,7.5562,7.5562,7.4302,7.5562,9410,0
20000911,7.4219,7.5562,7.4219,7.5562,6075,0
20000912,7.3966,7.5562,7.3966,7.3966,3335,0
20000914,7.2623,7.5562,7.0945,7.5562,13221,0
20000915,7.3966,7.7241,7.3966,7.4722,9171,0
20000918,7.5562,7.7241,7.4722,7.5562,16318,0
20000919,7.5562,7.6401,7.4722,7.4722,17032,0
20000920,7.5562,7.5562,7.3043,7.3043,12029,0
20000921,7.1448,7.2203,7.0189,7.2203,3930,0
20000922,7.0945,7.1364,7.0525,7.0525,5956,0
20000925,7.2037,7.5562,7.2037,7.5562,4645,0
20000926,7.5983,7.5983,7.3884,7.3884,4288,0
20000927,7.5478,7.5478,6.9937,7.0103,12029,0
20000928,7.0103,7.0103,6.9685,6.9685,35137,0
20000929,7.1196,7.1196,6.6327,6.8006,26800,0
20001002,7.0103,7.0103,6.5486,6.5908,29539,0
20001004,6.5991,6.6914,6.5908,6.6914,12626,0
20001005,6.6075,6.6327,6.5486,6.6327,33946,0
20001006,6.5908,6.5908,6.5908,6.5908,11077,0
20001009,6.5908,6.7166,6.5908,6.6327,12150,0
20001010,6.5486,6.7166,6.5486,6.7166,40377,0
20001011,6.7166,6.7166,6.6327,6.6327,105173,0
20001012,6.6327,6.683,6.6327,6.6327,5122,0
20001023,8.3119,8.3119,8.0684,8.2361,21558,0
20001025,8.1692,8.3538,8.1692,8.3538,42640,0
20001026,8.3538,8.4378,8.2699,8.2784,81232,0
20001027,8.3119,8.4798,8.3119,8.3119,32874,0
20001030,8.2279,8.3957,8.1439,8.2447,21082,0
20001101,8.1859,8.2279,8.0599,8.0599,16318,0
20001102,8.018,8.0599,7.934,7.934,8218,0
20001103,8.0599,8.6057,8.0599,8.4798,41332,0
20001106,8.3538,8.4798,8.3538,8.3957,25846,0
20001107,8.3789,8.4378,8.3789,8.3957,5716,0
20001108,8.5553,8.5553,8.4378,8.4378,2620,0
20001109,8.4798,8.8156,8.4798,8.6896,25490,0
20001110,8.5637,8.5637,8.3538,8.5133,9291,0
20001113,8.4378,8.6057,8.4378,8.4798,30255,0
20001115,8.4125,8.6057,8.3957,8.4966,12506,0
20001116,8.6057,9.1514,8.6057,9.1094,36089,0
20001117,8.9831,9.2268,8.9001,9.0672,18581,0
20001120,9.1094,9.99,9.0672,9.823,86234,0
20001121,9.638,9.823,9.244,9.571,47881,0
20001122,9.4871,9.4871,9.0253,9.2355,14531,0
20001123,9.3197,9.596,9.3197,9.4034,28109,0
20001124,9.3197,9.3197,8.9831,8.9831,15722,0
20001127,9.0672,9.0672,8.9001,8.9831,4765,0
20001128,8.8156,8.9001,8.8156,8.8156,2859,0
20001129,8.8156,8.8156,8.6394,8.6394,10124,0
20001130,8.6057,8.6476,8.4042,8.6057,9171,0
20001201,8.3957,8.5469,8.3957,8.5469,1786,0
20001204,8.3957,8.3957,8.1019,8.1019,5598,0
20001205,8.1019,8.1439,8.1019,8.1439,3930,0
20001206,7.9928,8.3957,7.9928,8.3957,8457,0
20001207,8.3538,8.3957,8.3119,8.3957,65033,0
20001208,8.4798,8.8156,8.4798,8.5217,38114,0
20001211,8.5217,8.5301,8.3705,8.5301,42760,0
20001212,8.8071,9.0672,8.8071,9.0672,5598,0
20001213,8.8156,8.8156,8.6057,8.7652,13340,0
20001214,8.7736,8.7736,8.7317,8.7317,953,0
20001215,8.6896,8.8492,8.6896,8.7317,477,0
20001218,8.6476,8.6476,8.4881,8.4881,1786,0
20001219,8.6394,8.8156,8.4798,8.8156,6431,0
20001220,8.656,8.8071,8.3538,8.3538,44069,0
20001221,8.3538,8.3957,8.1439,8.3957,5956,0
20001222,8.3957,8.3957,7.6905,7.6905,10363,0
20001227,7.8082,8.018,7.7241,7.976,5122,0
20001228,7.976,8.1271,7.976,7.976,4049,0
20001229,7.934,7.934,7.7074,7.7074,2859,0
20010102,7.85,8.018,7.5897,7.976,9291,0
20010103,8.0264,8.1859,8.018,8.1439,16199,0
20010104,8.0599,8.0599,7.8921,7.8921,3930,0
20010108,7.8921,8.1859,7.8921,8.1439,18581,0
20010109,8.1019,8.2951,8.1019,8.1859,5836,0
20010110,8.3119,8.8156,8.3119,8.8156,13458,0
20010111,8.656,8.656,8.2699,8.2699,7147,0
20010112,8.3119,8.3119,8.1439,8.1439,6313,0
20010115,8.2279,8.4798,8.1439,8.4798,7624,0
20010116,8.3286,8.3286,8.1019,8.2279,12626,0
20010117,8.3119,8.5637,8.3119,8.3119,5716,0
20010118,8.3119,8.5469,8.2279,8.5217,10838,0
20010119,8.3119,8.3119,7.976,8.0599,23702,0
20010122,7.976,8.2279,7.976,8.0599,2741,0
20010123,8.0599,8.1439,7.9928,8.1439,1548,0
20010124,8.0599,8.2279,8.0599,8.2279,2741,0
20010125,8.1019,8.2531,8.1019,8.1104,2144,0
20010126,8.1019,8.1019,8.0684,8.0684,953,0
20010129,8.1775,8.2279,8.1775,8.2027,1905,0
20010130,8.2699,8.6394,8.2699,8.4798,17032,0
