Date,Open,High,Low,Close,Volume,OpenInt
20150420,0.092,0.1,0.092,0.1,500,0
20150423,0.092,0.096,0.092,0.096,75,0
20150430,0.092,0.095,0.092,0.095,150,0
20150506,0.09,0.095,0.09,0.095,500,0
20150512,0.085,0.091,0.085,0.091,500,0
20150514,0.087,0.134,0.087,0.133,14473,0
20150515,0.139,0.139,0.135,0.135,1665,0
20150518,0.11,0.16,0.11,0.119,78173,0
20150519,0.11,0.139,0.11,0.116,64665,0
20150520,0.116,0.12,0.116,0.12,11453,0
20150603,0.116,0.116,0.11,0.11,15400,0
20150605,0.104,0.141,0.104,0.131,321967,0
20150608,0.106,0.133,0.106,0.133,6900,0
20150609,0.102,0.15,0.102,0.132,62515,0
20150612,0.111,0.128,0.111,0.126,35863,0
20150615,0.115,0.135,0.115,0.135,32589,0
20150616,0.115,0.122,0.115,0.122,26739,0
20150617,0.11,0.121,0.11,0.121,29666,0
20150618,0.112,0.119,0.112,0.116,50029,0
20150623,0.12,0.12,0.111,0.111,20,0
20150624,0.111,0.115,0.111,0.115,400,0
20150625,0.111,0.111,0.11,0.11,16600,0
20150629,0.104,0.112,0.104,0.112,15100,0
20150706,0.103,0.112,0.103,0.112,12000,0
20150708,0.103,0.11,0.103,0.11,35,0
20150722,0.106,0.107,0.106,0.107,5000,0
20150724,0.106,0.107,0.106,0.107,50,0
20150727,0.106,0.117,0.106,0.117,15000,0
20150728,0.107,0.11,0.107,0.11,100,0
20150730,0.107,0.108,0.107,0.108,100,0
20150810,0.106,0.107,0.106,0.107,700,0
20150818,0.106,0.115,0.106,0.115,520,0
20150819,0.106,0.115,0.1,0.113,72473,0
20150821,0.098,0.114,0.098,0.113,28629,0
20150824,0.1,0.101,0.1,0.101,100,0
20150831,0.098,0.101,0.098,0.101,45,0
20150910,0.1,0.12,0.1,0.12,57673,0
20150911,0.1,0.13,0.1,0.128,48626,0
20150914,0.103,0.154,0.103,0.154,13576,0
20150915,0.15,0.173,0.15,0.173,8781,0
20150921,0.151,0.151,0.14,0.14,55,0
20150925,0.15,0.16,0.15,0.16,800,0
20151013,0.14,0.168,0.14,0.168,5000,0
20151014,0.14,0.19,0.14,0.188,37483,0
20151016,0.14,0.184,0.14,0.184,16044,0
20151019,0.154,0.225,0.154,0.225,455,0
20151021,0.195,0.199,0.195,0.199,800,0
20151023,0.199,0.2,0.199,0.2,13200,0
20151103,0.197,0.197,0.167,0.167,350,0
20151104,0.199,0.2,0.199,0.2,7692,0
20151105,0.199,0.199,0.186,0.187,5026,0
20151110,0.199,0.206,0.199,0.206,12000,0
20151113,0.222,0.222,0.199,0.2,5000,0
20151126,0.199,0.265,0.199,0.265,5857,0
20151130,0.235,0.25,0.205,0.25,520,0
20151217,0.22,0.22,0.22,0.22,100,0
20151221,0.2,0.21,0.2,0.21,50,0
20151228,0.2,0.201,0.2,0.201,2287,0
20151230,0.2,0.22,0.2,0.2,700,0
20160104,0.23,0.23,0.193,0.201,15300,0
20160106,0.2,0.2,0.2,0.2,10000,0
20160107,0.2,0.2,0.2,0.2,10000,0
20160113,0.182,0.183,0.182,0.183,100,0
20160126,0.185,0.19,0.185,0.19,70,0
20160201,0.185,0.19,0.185,0.19,100,0
20160209,0.19,0.195,0.19,0.195,305,0
20160210,0.182,0.185,0.182,0.185,100,0
20160217,0.182,0.183,0.182,0.183,800,0
20160302,0.182,0.182,0.182,0.182,60,0
20160303,0.181,0.182,0.181,0.182,150,0
20160309,0.181,0.181,0.181,0.181,4142,0
20160311,0.181,0.181,0.151,0.151,5000,0
20160330,0.143,0.158,0.143,0.156,23530,0
20160331,0.144,0.145,0.144,0.145,130,0
20160401,0.144,0.144,0.144,0.144,7000,0
20160404,0.144,0.144,0.144,0.144,3000,0
20160407,0.132,0.133,0.132,0.133,33,0
20160427,0.132,0.14,0.132,0.14,800,0
20160503,0.132,0.133,0.132,0.133,100,0
20160525,0.132,0.18,0.132,0.18,2000,0
20160531,0.132,0.146,0.132,0.146,20,0
20160601,0.132,0.159,0.132,0.159,10000,0
20160602,0.132,0.165,0.132,0.165,2000,0
20160609,0.132,0.19,0.132,0.19,10387,0
20160610,0.19,0.19,0.19,0.19,6375,0
20160614,0.18,0.195,0.18,0.195,35875,0
20160615,0.165,0.19,0.165,0.19,25384,0
20160616,0.19,0.19,0.19,0.19,20191,0
20160620,0.19,0.195,0.19,0.195,18200,0
