Date,Open,High,Low,Close,Volume,OpenInt
20000114,40.94,52.058,40.587,52.058,26521,0
20000117,52.043,52.935,49.405,51.17,15189,0
20000118,51.122,51.122,45.741,47.99,14510,0
20000119,47.555,48.623,47.202,47.688,4760,0
20000120,47.885,55.577,47.152,53.814,20518,0
20000121,54.702,55.408,52.496,52.496,8273,0
20000124,54.7,56.244,53.642,54.789,6233,0
20000125,53.811,53.82,50.291,51.756,9747,0
20000126,51.881,52.94,51.617,52.799,5213,0
20000127,52.849,52.849,51.791,52.496,340,0
20000128,52.498,52.94,52.058,52.058,1813,0
20000131,51.171,52.389,50.818,52.389,1927,0
20000201,52.494,56.447,52.494,56.447,3967,0
20000202,54.704,55.525,52.058,52.058,3173,0
20000203,52.934,60.875,52.493,59.11,10089,0
20000204,61.316,62.64,60.876,60.876,7821,0
20000207,61.762,61.929,59.645,59.998,4194,0
20000208,60.342,62.194,60.342,61.753,2721,0
20000209,61.753,63.077,61.753,61.753,2721,0
20000210,62.636,64.401,61.049,63.519,5894,0
20000211,61.843,66.165,61.49,63.519,5101,0
20000214,64.393,66.334,61.755,65.284,6007,0
20000215,65.282,67.752,63.694,63.694,7367,0
20000216,66.171,66.171,63.965,64.407,2040,0
20000217,65.397,66.165,64.004,65.548,3740,0
20000218,66.173,67.937,66.173,67.937,7707,0
20000221,67.888,67.888,65.285,67.05,1700,0
20000222,65.951,67.054,65.731,66.172,3514,0
20000223,65.287,71.022,65.287,70.581,17909,0
20000224,71.288,73.141,64.407,64.407,15188,0
20000225,64.407,67.848,64.407,66.172,9067,0
20000228,65.733,65.733,53.116,56.027,7480,0
20000229,57,65.292,57,63.519,6687,0
20000301,63.962,63.962,61.536,62.622,793,0
20000302,63.084,67.011,61.673,67.011,5440,0
20000303,67.049,68.989,66.166,68.24,10428,0
20000306,69.254,70.577,67.931,69.254,7481,0
20000307,69.172,70.584,67.682,70.064,3286,0
20000308,68.819,68.819,68.122,68.122,1360,0
20000309,67.935,69.699,67.935,68.376,2040,0
20000310,68.376,69.699,67.935,68.376,4647,0
20000314,67.056,69.703,67.056,69.703,1587,0
20000315,67.049,69.255,66.661,69.079,2608,0
20000316,67.932,69.255,67.05,67.05,2267,0
20000317,67.491,68.815,67.404,68.815,1247,0
20000320,69.428,71.607,67.936,69.966,9180,0
20000321,70.05,73.226,70.05,72.785,5441,0
20000322,72.782,74.987,70.576,71.459,6462,0
20000323,71.465,74.112,71.465,74.112,1133,0
20000324,73.666,74.108,73.225,73.887,1814,0
20000327,73.23,75.877,73.23,75.877,4194,0
20000328,74.99,74.99,74.107,74.99,1814,0
20000329,74.107,75.334,74.107,74.99,6801,0
20000330,74.106,74.106,66.608,69.254,8388,0
20000331,69.696,70.746,68.814,70.746,1814,0
20000403,69.695,70.877,66.793,67.225,4987,0
20000404,66.17,70.582,63.524,70.317,6007,0
20000405,69.256,70.137,66.168,67.517,3627,0
20000406,67.492,70.581,67.492,70.581,6234,0
20000407,71.467,71.467,69.703,69.703,3060,0
20000410,68.816,68.816,66.61,66.61,2154,0
20000411,66.168,66.168,63.963,64.845,227,0
20000412,67.055,67.937,67.055,67.937,340,0
20000413,65.725,65.725,65.284,65.284,227,0
20000417,61.759,62.157,57.349,60.436,2494,0
20000418,62.109,63.08,61.607,63.08,3967,0
20000419,64.843,64.843,61.314,61.314,5101,0
20000420,60.437,62.643,60.349,62.202,3174,0
20000425,61.759,64.407,61.759,64.407,907,0
20000426,64.407,66.172,64.407,66.172,1587,0
20000427,66.608,67.05,65.726,67.05,453,0
20000428,68.811,68.811,67.488,67.488,793,0
20000502,69.97,71.02,68.814,70.844,2267,0
20000503,70.977,71.022,70.051,70.581,2947,0
20000504,70.967,72.166,70.578,71.019,2267,0
20000505,73.319,74.996,72.349,73.672,6574,0
20000508,75.241,75.241,71.907,71.995,2267,0
20000510,73.693,73.693,70.932,70.932,1133,0
20000511,71.466,71.466,69.878,69.878,2040,0
20000512,72.304,72.304,71.465,71.907,453,0
20000515,72.344,73.667,72.344,72.785,1473,0
20000516,73.229,73.229,72.356,72.356,113,0
20000517,73.667,74.02,72.785,72.785,340,0
20000518,72.52,72.785,70.58,72.785,1927,0
20000519,73.604,73.604,64.05,66.952,4647,0
20000522,66.172,67.151,65.378,66.172,1133,0
20000523,67.054,67.796,65.731,66.172,453,0
20000526,65.733,66.174,64.851,65.733,1247,0
20000530,66.168,67.889,66.168,67.889,1700,0
20000531,68.815,70.58,68.815,68.815,2154,0
20000602,66.521,68.815,66.521,68.815,1247,0
20000605,69.254,69.254,67.578,68.425,793,0
20000606,68.195,73.224,67.931,73.224,5441,0
20000607,70.497,71.467,69.703,69.703,907,0
20000608,69.43,71.017,69.253,69.43,907,0
20000609,70.58,72.785,70.58,72.785,4194,0
20000612,73.228,73.228,72.346,72.346,453,0
20000613,71.459,77.987,70.136,75.428,10656,0
20000614,75.875,78.522,75.875,76.316,9634,0
20000615,76.754,80.944,76.754,79.145,17002,0
20000616,79.317,80.287,74.993,78.081,11901,0
20000619,77.992,79.36,76.316,78.345,4194,0
20000620,79.406,80.288,78.965,79.847,5440,0
20000621,80.285,83.814,80.285,82.49,6461,0
20000622,81.434,128.81,81.434,128.81,453,0
20000623,82.047,82.929,82.047,82.929,907,0
20000626,82.931,84.599,80.02,82.49,5894,0
20000627,81.705,84.158,76.756,84.158,9408,0
20000628,84.253,84.959,82.753,82.753,6801,0
20000629,82.487,82.928,79.399,81.164,2267,0
20000630,79.401,82.049,79.401,80.724,2947,0
20000703,82.053,85.582,81.171,85.582,7481,0
20000704,89.108,96.165,86.505,89.055,11561,0
20000705,87.344,89.038,86.593,88.138,1927,0
20000706,88.141,88.141,84.7,85.582,4646,0
20000710,85.317,85.317,82.494,83.817,453,0
20000711,82.933,84.698,82.933,83.992,1700,0
20000712,82.227,83.816,82.051,82.051,340,0
20000714,83.378,84.26,82.937,83.378,680,0
20000717,82.93,84.695,82.048,84.695,2380,0
20000718,84.7,84.7,83.818,83.827,1020,0
20000719,84.687,86.46,83.813,86.46,1700,0
20000720,85.583,87.436,85.583,87.348,1473,0
20000721,88.224,95.193,88.224,92.635,11675,0
20000724,94.763,96.607,92.637,96.165,3740,0
20000725,94.223,94.4,92.724,94.4,1020,0
20000726,93.519,98.724,93.519,97.927,4874,0
20000727,97.937,97.937,92.637,96.165,4761,0
20000728,97.042,97.042,90.428,90.869,2608,0
20000731,91.051,92.639,91.051,91.757,2040,0
20000801,91.669,94.404,91.669,93.522,1133,0
20000802,93.519,96.158,93.519,95.99,1247,0
