Date,Open,High,Low,Close,Volume,OpenInt
20090407,2.9,2.91,2.89,2.91,2340,0
20090408,2.89,2.96,2.89,2.92,1800,0
20090409,2.91,2.93,2.89,2.93,1100,0
20090414,2.9,2.97,2.88,2.92,300,0
20090415,2.9,2.95,2.88,2.93,2650,0
20090416,2.95,3.04,2.89,3.04,8911,0
20090417,2.98,3.12,2.98,3.1,5035,0
20090420,3.12,3.59,3.12,3.38,33148,0
20090421,3.28,3.9,3.28,3.55,10545,0
20090422,3.4,3.65,3.4,3.57,11750,0
20090423,3.63,3.64,3.25,3.33,3600,0
20090424,3.2,3.4,3.2,3.31,4500,0
20090427,3.4,3.4,3.19,3.3,5600,0
20090428,3.2,3.3,3.2,3.23,198,0
20090429,3.3,3.48,3.1,3.41,12842,0
20090504,3.33,3.33,3.2,3.27,300,0
20090505,3.21,3.36,3.2,3.35,1197,0
20090507,3.35,3.61,3.27,3.52,1687,0
20090508,3.6,3.69,3.43,3.52,2788,0
20090511,3.59,3.59,3.2,3.32,4700,0
20090512,3.32,3.32,3.2,3.29,4750,0
20090513,3.21,3.3,3.07,3.18,7900,0
20090515,3.1,3.18,3,3.18,10000,0
20090518,3.1,3.1,3,3.1,4248,0
20090519,3.1,3.13,3.05,3.13,3940,0
20090520,3.15,3.18,3.05,3.15,15140,0
20090521,3.1,3.15,3.06,3.14,2290,0
20090522,3.1,3.14,3.07,3.13,22100,0
20090525,3.08,3.2,2.99,3.1,12251,0
20090526,3.05,3.17,3.02,3.12,930,0
20090527,3.1,3.12,3.06,3.11,80,0
20090528,3.1,3.11,3.05,3.11,1,0
20090529,3.1,3.16,3.06,3.15,2480,0
20090601,3.16,3.32,3.09,3.22,1200,0
20090602,3.22,3.28,3.06,3.28,11000,0
20090603,3.25,3.3,3.2,3.23,300,0
20090604,3.25,3.29,3.02,3.23,9300,0
20090605,3.09,3.33,3.09,3.26,2300,0
20090608,3.33,3.35,3.22,3.3,700,0
20090609,3.3,3.37,3.22,3.3,3100,0
