Date,Open,High,Low,Close,Volume,OpenInt
20090407,0.015,0.016,0.015,0.016,330,0
20090414,0.015,0.015,0.01,0.01,1775,0
20090415,0.015,0.015,0.015,0.015,1865,0
20090416,0.016,0.016,0.015,0.015,7033,0
20090417,0.016,0.02,0.015,0.015,60412,0
20090420,0.016,0.016,0.013,0.013,141320,0
20090421,0.013,0.015,0.013,0.015,1,0
20090423,0.012,0.02,0.011,0.015,10150,0
20090424,0.015,0.035,0.011,0.035,62000,0
20090427,0.015,0.03,0.015,0.03,300,0
20090429,0.015,0.017,0.015,0.016,10000,0
20090430,0.016,0.017,0.01,0.01,1100,0
20090504,0.017,0.017,0.011,0.011,6000,0
20090506,0.017,0.017,0.011,0.011,1000,0
20090507,0.013,0.027,0.011,0.027,18000,0
20090508,0.027,0.027,0.023,0.023,2000,0
20090512,0.023,0.023,0.015,0.021,4600,0
20090513,0.021,0.021,0.016,0.019,1115,0
20090514,0.019,0.019,0.016,0.017,900,0
20090515,0.017,0.017,0.016,0.016,25000,0
20090518,0.026,0.026,0.016,0.016,15000,0
20090519,0.029,0.029,0.016,0.029,38000,0
20090520,0.03,0.03,0.02,0.022,80000,0
20090521,0.022,0.022,0.02,0.021,500,0
20090522,0.021,0.029,0.02,0.029,35000,0
20090525,0.029,0.029,0.017,0.019,830,0
20090527,0.018,0.021,0.017,0.021,7640,0
20090528,0.018,0.019,0.017,0.019,330,0
20090529,0.019,0.027,0.017,0.027,13039,0
20090601,0.027,0.027,0.018,0.027,1000,0
20090602,0.027,0.036,0.018,0.036,77080,0
20090603,0.036,0.036,0.02,0.034,10000,0
20090604,0.034,0.034,0.02,0.02,1000,0
20090605,0.022,0.03,0.02,0.03,1000,0
20090608,0.022,0.025,0.02,0.025,486,0
20090609,0.02,0.022,0.02,0.022,1150,0
20090610,0.022,0.03,0.02,0.022,5000,0
20090611,0.022,0.022,0.02,0.022,1051,0
20090615,0.021,0.032,0.02,0.032,689,0
20090616,0.032,0.034,0.022,0.023,55411,0
20090617,0.022,0.023,0.022,0.023,160,0
20090618,0.023,0.023,0.02,0.023,2700,0
20090619,0.023,0.024,0.023,0.023,160,0
20090622,0.023,0.023,0.02,0.02,4000,0
20090623,0.02,0.022,0.02,0.02,3000,0
20090624,0.022,0.023,0.022,0.023,360,0
20090626,0.023,0.024,0.023,0.024,25000,0
20090629,0.023,0.033,0.023,0.03,12000,0
20090630,0.03,0.03,0.023,0.023,5000,0
20090702,0.023,0.034,0.023,0.034,130000,0
20090703,0.034,0.034,0.023,0.034,44000,0
20090706,0.034,0.034,0.02,0.02,20,0
20090708,0.023,0.024,0.02,0.024,160,0
20090709,0.024,0.025,0.023,0.025,135,0
20090710,0.025,0.03,0.023,0.03,17500,0
20090713,0.026,0.03,0.023,0.025,35,0
20090714,0.024,0.03,0.023,0.025,150,0
20090715,0.025,0.03,0.023,0.025,100,0
20090717,0.024,0.033,0.023,0.033,12000,0
20090720,0.033,0.033,0.013,0.013,40,0
20090722,0.023,0.024,0.013,0.024,300,0
20090723,0.024,0.024,0.013,0.023,4400,0
20090724,0.024,0.024,0.013,0.024,11000,0
20090727,0.024,0.025,0.013,0.025,10413,0
20090728,0.025,0.025,0.013,0.024,155,0
20090729,0.024,0.025,0.013,0.025,75,0
20090803,0.024,0.024,0.013,0.019,310,0
20090804,0.019,0.035,0.015,0.035,1700,0
20090805,0.028,0.029,0.018,0.021,1260,0
20090806,0.019,0.028,0.019,0.028,5750,0
20090811,0.023,0.033,0.023,0.025,27640,0
20090813,0.024,0.025,0.023,0.025,100,0
20090817,0.025,0.025,0.023,0.023,25,0
20090818,0.025,0.025,0.015,0.015,100,0
20090819,0.024,0.033,0.013,0.033,40220,0
20090820,0.033,0.039,0.026,0.026,2470,0
20090821,0.024,0.026,0.024,0.026,5675,0
20090826,0.025,0.026,0.025,0.026,30060,0
20090828,0.025,0.034,0.025,0.026,28000,0
20090831,0.026,0.026,0.025,0.026,15,0
20090902,0.025,0.026,0.015,0.026,877,0
20090909,0.025,0.027,0.015,0.026,1270,0
20090910,0.027,0.027,0.016,0.027,10291,0
20090911,0.027,0.027,0.016,0.026,30,0
20090914,0.027,0.027,0.016,0.027,16005,0
20090915,0.026,0.026,0.016,0.016,60,0
20090916,0.026,0.027,0.016,0.027,7170,0
20090917,0.027,0.027,0.016,0.026,1200,0
20090918,0.027,0.03,0.016,0.03,14349,0
20090921,0.026,0.029,0.016,0.026,966,0
20090924,0.025,0.027,0.016,0.027,2054,0
20090925,0.025,0.027,0.016,0.026,20100,0
20090928,0.025,0.026,0.016,0.016,50,0
20090929,0.025,0.027,0.016,0.027,100,0
20091001,0.027,0.027,0.015,0.027,20006,0
20091002,0.027,0.027,0.016,0.026,70000,0
20091005,0.027,0.027,0.015,0.026,656,0
20091006,0.026,0.026,0.015,0.026,27275,0
20091007,0.027,0.027,0.015,0.025,70,0
20091008,0.026,0.026,0.015,0.015,85,0
20091009,0.027,0.027,0.015,0.026,70,0
20091012,0.027,0.027,0.015,0.026,198,0
20091013,0.026,0.026,0.015,0.025,100,0
20091014,0.025,0.025,0.015,0.025,500,0
20091015,0.026,0.026,0.015,0.026,600,0
20091016,0.027,0.027,0.015,0.026,200,0
20091020,0.026,0.026,0.015,0.015,60,0
20091021,0.027,0.027,0.015,0.015,33,0
20091022,0.026,0.026,0.015,0.026,500,0
20091023,0.037,0.037,0.015,0.025,134,0
20091026,0.025,0.025,0.015,0.015,60,0
20091027,0.026,0.026,0.015,0.026,18317,0
20091028,0.027,0.027,0.015,0.025,9116,0
20091029,0.027,0.03,0.015,0.03,80,0
20091030,0.025,0.029,0.015,0.026,10346,0
20091102,0.027,0.032,0.015,0.026,6500,0
20091103,0.028,0.03,0.016,0.026,50000,0
20091104,0.026,0.028,0.016,0.027,16930,0
20091106,0.039,0.039,0.015,0.026,20,0
20091109,0.026,0.026,0.015,0.015,50,0
20091112,0.025,0.026,0.015,0.026,60,0
20091113,0.026,0.026,0.015,0.015,2350,0
20091117,0.025,0.026,0.015,0.026,11425,0
20091118,0.026,0.026,0.015,0.026,100,0
20091119,0.026,0.026,0.015,0.026,25,0
20091120,0.026,0.035,0.015,0.018,101405,0
20091123,0.018,0.022,0.018,0.021,140,0
20091124,0.022,0.026,0.021,0.022,100,0
20091125,0.022,0.026,0.021,0.023,260,0
20091126,0.023,0.026,0.022,0.023,1000,0
20091127,0.022,0.028,0.022,0.023,39675,0
20091130,0.023,0.023,0.007,0.007,270,0
20091203,0.023,0.023,0.008,0.02,70,0
20091204,0.023,0.023,0.018,0.018,2830,0
20091207,0.022,0.022,0.018,0.018,55,0
20091208,0.017,0.022,0.017,0.018,20100,0
20091209,0.017,0.018,0.012,0.012,15160,0
20091210,0.018,0.02,0.007,0.02,100,0
20091211,0.018,0.023,0.017,0.017,3170,0
20091214,0.018,0.018,0.01,0.01,10,0
20091215,0.017,0.018,0.01,0.018,3150,0
20091216,0.017,0.02,0.017,0.02,3100,0
20091218,0.019,0.019,0.018,0.018,2500,0
20091221,0.019,0.021,0.007,0.007,80,0
20091222,0.019,0.027,0.007,0.027,60740,0
20091223,0.019,0.029,0.019,0.029,83325,0
20091228,0.015,0.029,0.015,0.021,20187,0
20091230,0.02,0.021,0.012,0.012,30499,0
20100104,0.018,0.026,0.011,0.026,50150,0
20100105,0.023,0.029,0.015,0.015,40200,0
20100106,0.026,0.026,0.015,0.025,41500,0
20100107,0.023,0.03,0.018,0.018,40013,0
20100108,0.027,0.031,0.015,0.031,75,0
20100111,0.028,0.03,0.02,0.02,81840,0
20100112,0.027,0.027,0.015,0.02,2900,0
20100113,0.023,0.029,0.015,0.029,11320,0
20100114,0.026,0.029,0.015,0.015,3575,0
20100115,0.026,0.026,0.015,0.026,2075,0
20100118,0.023,0.026,0.015,0.026,1690,0
20100119,0.023,0.026,0.015,0.025,210,0
20100120,0.023,0.03,0.015,0.027,40760,0
20100121,0.024,0.027,0.016,0.027,205,0
20100122,0.024,0.03,0.016,0.03,11945,0
20100125,0.027,0.031,0.016,0.03,2632,0
20100126,0.027,0.031,0.016,0.03,159,0
20100127,0.027,0.028,0.016,0.028,40,0
20100128,0.025,0.027,0.016,0.027,2290,0
20100129,0.024,0.04,0.016,0.027,3263,0
20100201,0.024,0.03,0.015,0.02,11395,0
20100202,0.019,0.03,0.019,0.022,10500,0
20100203,0.023,0.03,0.021,0.021,30,0
20100204,0.024,0.03,0.022,0.024,215,0
20100205,0.022,0.03,0.022,0.022,7574,0
20100208,0.022,0.025,0.021,0.021,100,0
20100209,0.022,0.023,0.022,0.023,40,0
20100210,0.024,0.024,0.022,0.022,60,0
20100211,0.022,0.023,0.022,0.023,81560,0
20100212,0.022,0.022,0.012,0.021,100,0
20100215,0.025,0.03,0.012,0.021,105327,0
20100218,0.023,0.027,0.016,0.027,250,0
20100222,0.026,0.027,0.016,0.027,100,0
20100223,0.022,0.027,0.016,0.027,1557,0
20100224,0.031,0.031,0.017,0.027,4495,0
20100226,0.027,0.027,0.018,0.027,4120,0
20100301,0.024,0.03,0.015,0.03,142360,0
20100302,0.027,0.031,0.02,0.03,162983,0
20100303,0.027,0.035,0.02,0.031,1230,0
20100309,0.027,0.03,0.02,0.03,500,0
20100310,0.027,0.03,0.02,0.03,51200,0
20100315,0.03,0.03,0.027,0.03,200,0
20100316,0.03,0.03,0.027,0.03,4000,0
20100317,0.027,0.03,0.027,0.03,10,0
20100318,0.027,0.03,0.027,0.03,150,0
20100319,0.027,0.03,0.027,0.03,165320,0
20100324,0.03,0.031,0.027,0.03,195022,0
20100325,0.033,0.037,0.03,0.032,92660,0
20100326,0.029,0.032,0.029,0.032,92510,0
20100329,0.032,0.032,0.031,0.031,5000,0
20100330,0.032,0.032,0.031,0.031,50,0
20100331,0.031,0.032,0.031,0.031,30000,0
20100406,0.023,0.038,0.023,0.035,18747,0
20100407,0.032,0.036,0.026,0.027,100,0
20100408,0.024,0.031,0.024,0.031,200,0
20100409,0.028,0.03,0.025,0.025,20,0
20100412,0.027,0.03,0.025,0.025,100,0
20100413,0.027,0.031,0.027,0.031,80400,0
20100414,0.028,0.031,0.026,0.029,430,0
20100415,0.026,0.05,0.026,0.05,1000,0
20100416,0.023,0.035,0.023,0.035,10000,0
20100419,0.032,0.036,0.026,0.028,1240,0
20100420,0.02,0.037,0.02,0.037,61510,0
20100421,0.032,0.038,0.025,0.038,147353,0
20100422,0.034,0.038,0.025,0.037,49118,0
20100423,0.032,0.038,0.025,0.038,39600,0
20100426,0.031,0.049,0.025,0.04,178979,0
20100427,0.036,0.039,0.025,0.033,117000,0
20100428,0.03,0.032,0.026,0.031,10125,0
20100429,0.03,0.03,0.023,0.023,60210,0
20100430,0.026,0.026,0.026,0.026,10030,0
20100503,0.034,0.036,0.023,0.036,10045,0
20100504,0.032,0.038,0.024,0.024,3925,0
20100505,0.03,0.03,0.024,0.025,72521,0
20100506,0.023,0.033,0.023,0.027,10065,0
20100507,0.026,0.035,0.025,0.028,239600,0
20100510,0.025,0.029,0.025,0.025,1150,0
20100511,0.026,0.03,0.026,0.027,80,0
20100512,0.027,0.029,0.027,0.028,5000,0
20100514,0.026,0.029,0.026,0.028,50,0
20100518,0.024,0.028,0.024,0.028,12520,0
20100519,0.025,0.028,0.025,0.028,10000,0
20100520,0.025,0.03,0.025,0.028,30,0
20100521,0.025,0.03,0.025,0.028,110,0
20100525,0.024,0.03,0.024,0.03,17600,0
20100526,0.025,0.031,0.025,0.027,4700,0
20100528,0.024,0.035,0.024,0.031,15650,0
20100531,0.027,0.034,0.027,0.034,75000,0
20100601,0.031,0.031,0.025,0.028,70,0
20100602,0.025,0.039,0.025,0.035,41000,0
20100603,0.032,0.035,0.032,0.035,30000,0
20100604,0.032,0.038,0.027,0.036,35900,0
20100607,0.032,0.038,0.027,0.028,57220,0
20100608,0.025,0.029,0.025,0.027,81066,0
20100609,0.02,0.037,0.019,0.019,16200,0
20100610,0.024,0.028,0.024,0.028,53100,0
20100611,0.025,0.028,0.025,0.027,119000,0
20100614,0.024,0.026,0.02,0.02,5000,0
20100615,0.03,0.033,0.026,0.033,1265,0
20100616,0.023,0.03,0.023,0.03,15265,0
20100617,0.027,0.027,0.025,0.026,15,0
20100618,0.023,0.027,0.02,0.027,935,0
20100621,0.024,0.027,0.024,0.026,3150,0
20100622,0.024,0.026,0.024,0.026,160,0
20100624,0.023,0.025,0.023,0.025,60,0
20100625,0.023,0.026,0.023,0.026,370,0
20100629,0.023,0.026,0.023,0.026,16000,0
20100630,0.023,0.03,0.023,0.029,54150,0
20100706,0.024,0.027,0.024,0.027,10050,0
20100707,0.024,0.026,0.024,0.025,3316,0
20100708,0.023,0.026,0.023,0.025,10000,0
20100709,0.023,0.026,0.023,0.026,3336,0
20100712,0.023,0.025,0.02,0.02,60,0
20100713,0.023,0.026,0.02,0.025,74855,0
20100715,0.023,0.026,0.02,0.026,2000,0
20100716,0.023,0.026,0.02,0.025,1000,0
20100719,0.023,0.026,0.02,0.026,60,0
20100720,0.023,0.026,0.02,0.025,75181,0
20100721,0.023,0.035,0.014,0.035,1050,0
20100722,0.023,0.026,0.023,0.026,500,0
20100723,0.023,0.05,0.014,0.05,16,0
20100726,0.023,0.036,0.023,0.027,2850,0
20100727,0.024,0.026,0.014,0.014,235,0
20100728,0.023,0.023,0.014,0.02,4000,0
20100729,0.023,0.025,0.014,0.025,20000,0
20100730,0.023,0.023,0.014,0.021,10000,0
20100802,0.019,0.024,0.013,0.016,50,0
20100804,0.014,0.023,0.014,0.023,21568,0
20100805,0.021,0.021,0.01,0.01,1260,0
20100806,0.01,0.015,0.01,0.01,1650,0
20100809,0.014,0.021,0.01,0.021,70,0
20100810,0.019,0.022,0.014,0.02,27420,0
20100811,0.018,0.024,0.015,0.024,2985,0
20100813,0.014,0.02,0.01,0.01,150,0
20100816,0.015,0.017,0.01,0.017,30,0
20100817,0.015,0.025,0.01,0.025,10000,0
20100818,0.023,0.029,0.023,0.028,10500,0
20100819,0.025,0.027,0.019,0.019,3760,0
20100820,0.017,0.018,0.01,0.014,3500,0
20100824,0.017,0.02,0.01,0.01,60,0
20100825,0.018,0.018,0.01,0.016,12530,0
20100826,0.018,0.02,0.01,0.02,11092,0
20100827,0.01,0.019,0.007,0.007,485,0
20100831,0.016,0.016,0.008,0.008,4120,0
20100903,0.014,0.018,0.006,0.018,1000,0
20100907,0.015,0.018,0.015,0.018,60,0
20100908,0.016,0.025,0.016,0.024,22000,0
20100909,0.022,0.025,0.022,0.025,104023,0
20100910,0.022,0.022,0.016,0.016,1621,0
20100913,0.019,0.024,0.016,0.016,70,0
20100914,0.022,0.025,0.022,0.025,3000,0
20100916,0.023,0.026,0.023,0.026,100,0
20100917,0.023,0.033,0.023,0.033,69250,0
20100920,0.03,0.03,0.018,0.02,31300,0
20100922,0.027,0.027,0.018,0.02,1278634,0
20100923,0.02,0.02,0.02,0.02,2009121,0
20100924,0.02,0.102,0.02,0.102,1022129,0
20100927,0.092,0.22,0.082,0.22,1334553,0
20100928,0.198,0.279,0.164,0.18,879446,0
20100929,0.162,0.2,0.11,0.116,472751,0
20100930,0.105,0.136,0.105,0.127,319609,0
20101001,0.115,0.128,0.086,0.105,271393,0
20101004,0.096,0.11,0.083,0.086,81806,0
20101005,0.078,0.105,0.078,0.091,53840,0
20101006,0.087,0.099,0.071,0.08,115802,0
20101007,0.073,0.098,0.073,0.084,33260,0
20101008,0.077,0.085,0.073,0.085,51819,0
20101011,0.078,0.126,0.072,0.111,597603,0
20101012,0.1,0.112,0.072,0.081,195895,0
