Date,Open,High,Low,Close,Volume,OpenInt
20000510,55.4822,55.6117,48.9739,50.86,109576,0
20000511,50.5514,51.0937,48.0258,49.92,134656,0
20000512,50.7648,51.7928,49.3562,50.87,52253,0
20000516,49.2914,49.7205,46.8305,48.66,17418,0
20000517,47.7082,47.7082,43.0296,43.92,34098,0
20000518,43.0956,43.6055,38.5464,41.42,42374,0
20000519,41.5764,41.5764,37.5296,37.91,32495,0
20000522,37.3644,39.6314,36.15,36.15,17292,0
20000523,37.7528,38.8617,35.3892,36.83,18902,0
20000524,34.819,37.2882,34.819,35.58,19640,0
20000525,38.3875,38.8569,37.6267,37.91,15568,0
20000526,37.9117,38.5431,36.9,36.9,5683,0
20000530,36.97,37.2857,35.3915,36.46,9141,0
20000531,37.1518,38.8516,36.0187,36.65,6795,0
20000601,36.9005,37.03,36.2692,37.03,1235,0
20000602,37.2862,40.1195,36.4605,39.82,13341,0
20000605,41.0156,41.0156,38.231,39.34,9760,0
20000606,39.8114,39.8114,37.9819,39.18,2965,0
20000607,38.5485,38.5485,36.0229,36.97,5312,0
20000608,37.9157,37.9157,37.0981,37.6,2718,0
20000609,37.0311,39.1761,36.7155,38.48,7042,0
20000612,37.6015,39.8114,37.6015,39.18,3212,0
20000613,38.8628,40.2228,37.2844,38.62,13095,0
20000614,37.9877,38.36,36.9677,38.36,6548,0
20000615,37.9157,39.8099,37.6,37.6,7289,0
20000616,37.2813,37.9774,36.2372,36.65,2965,0
20000619,36.5301,36.5301,34.7652,35.34,2100,0
20000620,35.39,35.8919,34.4996,35.39,2965,0
20000621,34.6871,34.7519,31.5875,32.85,7167,0
20000622,32.5478,32.5478,30.6532,31.22,3705,0
20000623,30.3315,31.91,29.4492,31.91,12353,0
20000626,30.9648,31.2481,28.1233,28.69,18159,0
20000627,29.6124,31.0938,28.7543,29.07,35824,0
20000628,29.0738,29.2924,26.5477,29.26,11857,0
20000629,29.5428,29.6966,25.9087,26.54,20015,0
20000630,26.609,26.8762,25.5971,26.35,13835,0
20000703,28.7482,29.6952,26.8624,27.17,31383,0
20000704,27.6718,27.6718,26.0288,27.17,3583,0
20000705,27.1687,28.496,27.1687,27.8,12850,0
20000706,27.5525,28.7019,27.4877,28.37,5560,0
20000710,28.7538,29.1342,26.5438,26.73,11118,0
