Date,Open,High,Low,Close,Volume,OpenInt
20160913,10.54,10.8,10.445,10.7,9339478,0
20160914,10.65,10.805,10.41,10.41,6428804,0
20160915,10.4,10.625,10.045,10.15,4465903,0
20160916,10.1,10.21,10,10.08,4173101,0
20160919,10.145,10.445,10.06,10.24,2977040,0
20160920,10.2,10.375,10.1,10.285,2281221,0
20160921,10.31,10.55,10.31,10.36,1754694,0
20160922,10.38,10.445,10.22,10.31,1940920,0
20160923,10.28,10.35,10.15,10.185,2028050,0
20160926,10.05,10.06,9.8,9.921,2345186,0
20160927,9.953,10.095,9.945,9.974,1639464,0
20160928,9.975,10.4,9.851,10.375,2724771,0
20160929,10.52,10.855,10.52,10.735,2499987,0
20160930,10.6,10.98,10.475,10.905,2774991,0
20161004,10.8,11.14,10.72,10.94,2242365,0
20161005,10.85,10.89,10.69,10.745,1178671,0
20161006,10.7,11.115,10.56,11.005,1601774,0
20161007,11.01,11.13,10.7,10.815,1677323,0
20161010,10.755,10.79,10.645,10.75,1089964,0
20161011,10.74,10.97,10.675,10.905,1306034,0
20161012,10.86,11.05,10.83,11.02,1702535,0
20161013,11.035,11.215,10.95,11.15,1977785,0
20161014,11.105,11.5,11.09,11.44,2109559,0
20161017,11.5,11.575,11.35,11.47,1079335,0
20161018,11.55,12.2,11.55,12.025,1720454,0
20161019,12.2,12.25,11.985,12.07,1065512,0
20161020,12.115,12.31,11.935,12.25,987121,0
20161021,12.3,12.46,12.215,12.3,560079,0
20161024,12.35,12.44,12.21,12.25,624513,0
20161025,12.345,12.57,12.1,12.225,943484,0
20161026,12,12.275,11.9,12.18,718967,0
20161027,12.11,12.2,11.865,11.92,958308,0
20161028,11.84,12.34,11.69,12.23,970973,0
20161031,12.205,12.355,12.03,12.125,860982,0
20161101,12.19,12.65,12.19,12.56,966493,0
20161102,12.5,12.63,12.32,12.42,1064573,0
20161103,12.42,12.87,12.42,12.78,1032625,0
20161104,12.755,12.835,12.635,12.75,686402,0
20161107,12.81,12.92,12.765,12.85,600960,0
20161108,12.83,12.88,12.495,12.655,798480,0
20161109,12.35,12.71,12.35,12.52,808585,0
20161110,12.495,12.575,12.12,12.135,1457709,0
20161111,12.115,12.395,12.05,12.125,1250405,0
20161114,12.25,12.4,12.01,12.14,1009050,0
20161115,12.135,12.34,12.04,12.08,1028355,0
20161116,12.13,12.25,12.08,12.1,758026,0
20161117,12.08,12.11,11.81,11.925,1302324,0
20161118,11.89,11.895,11.255,11.53,1501188,0
20161121,11.525,11.525,11.25,11.37,1228371,0
20161122,11.5,12.005,11.415,11.655,1351995,0
20161123,11.52,11.83,11.4,11.61,1566545,0
20161124,11.62,11.645,11.33,11.555,869405,0
20161125,11.555,12.155,11.55,11.875,1239617,0
20161128,11.82,12.115,11.78,12.08,851590,0
