Date,Open,High,Low,Close,Volume,OpenInt
20090518,0.05,0.085,0.02,0.085,6000,0
20090519,0.085,0.085,0.036,0.036,85,0
20090610,0.04,0.05,0.02,0.05,2,0
20090618,0.05,0.05,0.04,0.04,2700,0
20090715,0.035,0.035,0.035,0.035,20000,0
20090716,0.035,0.035,0.035,0.035,600,0
20090720,0.035,0.035,0.035,0.035,600,0
20090810,0.034,0.035,0.034,0.035,250,0
20090818,0.035,0.05,0.035,0.05,250,0
20090819,0.05,0.05,0.045,0.045,125,0
20090917,0.034,0.04,0.024,0.036,12966,0
20090921,0.036,0.037,0.026,0.026,8000,0
20090922,0.036,0.084,0.021,0.084,12000,0
20090923,0.083,0.084,0.08,0.084,12000,0
20090924,0.085,0.097,0.075,0.097,55995,0
20090928,0.098,0.139,0.085,0.139,250,0
20091006,0.137,0.139,0.085,0.139,14400,0
20091012,0.141,0.141,0.13,0.139,3000,0
20091019,0.095,0.139,0.094,0.112,12483,0
20091022,0.095,0.095,0.09,0.094,10750,0
20091104,0.071,0.08,0.071,0.072,500,0
20091228,0.079,0.079,0.072,0.072,36000,0
20091230,0.065,0.075,0.05,0.05,1500,0
20100120,0.041,0.07,0.035,0.035,2517,0
20100201,0.064,0.064,0.04,0.04,25000,0
20100203,0.064,0.064,0.04,0.04,192750,0
20100204,0.064,0.064,0.04,0.04,64166,0
20100211,0.032,0.045,0.025,0.025,15000,0
20100212,0.037,0.041,0.037,0.041,7500,0
20100215,0.037,0.05,0.037,0.04,20000,0
20100303,0.041,0.05,0.04,0.05,20000,0
20100305,0.075,0.075,0.045,0.05,5000,0
20100308,0.06,0.066,0.05,0.058,5000,0
20100309,0.059,0.066,0.055,0.055,30000,0
20100311,0.054,0.075,0.054,0.074,11250,0
20100319,0.055,0.075,0.055,0.075,10000,0
20100323,0.068,0.075,0.06,0.074,13500,0
20100329,0.06,0.075,0.06,0.075,20,0
20100330,0.075,0.077,0.06,0.077,1000,0
20100331,0.07,0.078,0.06,0.078,14000,0
20100408,0.055,0.08,0.055,0.08,6000,0
20100409,0.067,0.076,0.061,0.062,5600,0
20100413,0.055,0.088,0.055,0.088,3250,0
20100414,0.079,0.084,0.061,0.084,15000,0
20100429,0.059,0.075,0.059,0.061,500,0
20100517,0.059,0.084,0.059,0.065,500,0
20100519,0.068,0.08,0.061,0.08,20000,0
20100520,0.072,0.084,0.04,0.084,40430,0
20100525,0.075,0.082,0.061,0.082,30125,0
20100526,0.074,0.082,0.06,0.06,125,0
20100531,0.082,0.082,0.036,0.082,130125,0
20100601,0.074,0.08,0.045,0.077,10001,0
20100604,0.072,0.08,0.061,0.079,5000,0
20100607,0.071,0.1,0.051,0.1,122125,0
20100608,0.09,0.109,0.065,0.099,4820,0
20100609,0.089,0.105,0.065,0.099,113240,0
20100610,0.089,0.109,0.065,0.103,41725,0
20100611,0.093,0.1,0.065,0.1,5000,0
20100614,0.09,0.106,0.065,0.105,4400,0
20100615,0.095,0.11,0.09,0.109,100460,0
20100616,0.098,0.139,0.098,0.113,152946,0
20100617,0.102,0.113,0.1,0.1,78857,0
20100618,0.09,0.1,0.061,0.1,6869,0
20100621,0.081,0.115,0.07,0.115,25125,0
20100622,0.104,0.139,0.102,0.139,43350,0
20100623,0.114,0.14,0.1,0.115,31600,0
20100629,0.108,0.12,0.061,0.07,5500,0
20100630,0.063,0.07,0.061,0.07,15000,0
20100701,0.063,0.1,0.061,0.1,125,0
20100707,0.063,0.07,0.055,0.055,20400,0
20100708,0.063,0.063,0.061,0.062,4200,0
20100723,0.055,0.079,0.055,0.079,5625,0
20100726,0.071,0.071,0.061,0.062,5000,0
20100728,0.055,0.08,0.055,0.08,10000,0
20100802,0.055,0.079,0.055,0.079,16125,0
20100805,0.055,0.062,0.055,0.062,8000,0
20100813,0.055,0.061,0.055,0.056,40000,0
20100903,0.034,0.05,0.034,0.05,125,0
20100921,0.033,0.075,0.033,0.075,38000,0
20100922,0.068,0.084,0.04,0.084,17000,0
20100923,0.076,0.084,0.04,0.04,27210,0
20100927,0.077,0.128,0.06,0.128,230750,0
20100928,0.077,0.188,0.077,0.141,656533,0
20100929,0.127,0.138,0.119,0.138,683442,0
