Date,Open,High,Low,Close,Volume,OpenInt
20111209,7.959,8.048,7.252,7.597,232239,0
20111212,7.075,7.782,6.81,7.782,66650,0
20111213,8.136,8.136,7.075,7.738,1855,0
20111214,7.641,8.003,7.075,7.871,4720,0
20111215,7.765,8.092,7.521,8.092,49528,0
20111216,7.862,8.092,7.694,8.048,49792,0
20111219,7.862,8.092,7.694,7.959,8764,0
20111220,7.827,8.047,7.827,8.003,20537,0
20111221,7.906,8.03,7.906,8.03,1940,0
20111222,7.941,8.056,7.902,7.902,9848,0
20111223,7.871,8.056,7.871,8.056,100,0
20111227,7.897,8.154,7.871,7.959,918,0
20111228,7.941,8.224,7.941,8.092,2478,0
20111229,7.959,8.189,7.871,8.18,807,0
20111230,8.092,8.401,7.959,8.401,2169,0
20120102,7.95,8.18,7.95,8.18,4284,0
20120103,7.959,8.357,7.959,8.313,9292,0
20120104,8.198,8.401,7.959,8.384,1198,0
20120105,8.295,8.401,7.959,8.195,1483,0
20120106,7.959,8.26,7.959,8.26,571,0
20120109,8.534,8.534,7.959,8.224,4223,0
20120110,8.224,8.224,7.959,7.977,3047,0
20120111,7.986,8.18,7.959,8.18,431,0
20120112,8.092,8.092,7.447,7.844,15490,0
20120113,7.703,7.703,7.383,7.694,11686,0
20120116,7.605,7.689,7.384,7.689,192,0
20120117,7.286,7.689,7.286,7.685,2054,0
20120118,7.518,7.959,7.075,7.959,18843,0
20120119,7.812,8.224,7.783,8.073,3385,0
20120120,8.048,8.224,7.782,8.136,1813,0
20120123,7.957,8.214,7.915,8.214,1483,0
20120124,7.959,8.224,7.871,8.003,9674,0
20120125,7.809,8.224,7.694,8.18,76,0
20120126,7.807,8.048,7.782,8.048,66,0
20120127,7.641,8.048,7.641,8.048,2195,0
20120130,7.897,7.959,7.782,7.959,936,0
20120131,7.747,8.048,7.747,8.048,184,0
20120201,7.65,7.977,7.648,7.968,360,0
20120202,7.623,7.981,7.623,7.834,1232,0
20120203,7.835,8.313,7.782,8.313,1786,0
20120206,7.782,8.269,7.782,8.124,253,0
20120207,7.977,8.224,7.959,8.171,3270,0
20120208,7.862,8.198,7.862,8.198,142,0
20120209,7.959,8.365,7.959,8.313,191,0
20120210,8.039,8.136,7.95,7.959,6112,0
20120213,7.871,8.003,7.738,8.003,320,0
20120214,7.726,8.065,7.726,8.065,428,0
20120215,7.674,8.136,7.674,8.126,5943,0
20120216,7.888,8.188,7.65,7.959,5994,0
20120217,7.809,8.127,7.782,8.127,3507,0
20120220,7.782,8.012,7.729,8.012,235,0
20120221,7.8,8.163,7.799,8.163,651,0
20120222,7.915,8.136,7.835,8.136,340,0
20120223,7.735,8.355,7.735,8.224,5816,0
20120224,8.039,8.176,7.959,8.048,667,0
20120227,7.844,7.959,7.704,7.892,2363,0
20120228,7.704,7.891,7.704,7.871,1130,0
20120229,7.827,8.021,7.749,7.873,1983,0
20120301,7.694,7.959,7.694,7.959,908,0
20120302,7.827,8.003,7.749,8.003,621,0
20120305,7.738,7.915,7.738,7.915,32,0
20120306,7.827,7.95,7.738,7.95,22,0
20120307,7.827,7.959,7.661,7.959,988,0
