Date,Open,High,Low,Close,Volume,OpenInt
20000114,6.4436,6.9723,6.4436,6.9723,1594021,0
20000117,6.9723,6.9723,6.2066,6.4071,1162928,0
20000118,6.4071,6.4071,5.8603,6.0517,1072518,0
20000119,6.0517,6.3798,5.8512,6.3798,645814,0
20000120,6.3798,7.2914,6.3798,7.2914,2329476,0
20000121,7.2914,7.2914,7.1181,7.2914,1583159,0
20000124,7.2914,7.2914,7.0907,7.1999,437016,0
20000125,7.1999,7.1999,6.5347,6.8629,593369,0
20000126,6.8629,7.1273,6.8629,7.1273,892577,0
20000127,7.1273,7.8655,7.1273,7.8655,1304358,0
20000128,7.8655,7.8655,7.6741,7.8016,1599178,0
20000131,7.8016,7.8016,7.6375,7.7561,2084141,0
20000201,7.7561,7.7561,7.6832,7.7288,741601,0
20000202,7.7288,7.7288,7.2914,7.7195,425496,0
20000203,7.7195,8.9773,7.7195,8.9773,990777,0
20000204,8.9773,9.1136,8.9773,9.1136,4068438,0
20000207,9.1136,9.797,9.1136,9.797,1504378,0
20000208,9.797,9.924,9.4695,9.924,911339,0
20000209,9.924,10.672,9.924,10.672,1514032,0
20000210,10.672,10.718,10.263,10.718,425936,0
20000211,10.718,11.384,10.718,11.384,530280,0
20000214,11.384,11.384,10.937,10.937,738419,0
20000215,10.937,10.937,9.4695,9.4695,934820,0
20000216,9.4695,10.026,9.4695,10.026,1050903,0
20000217,10.026,10.026,9.652,10.026,439213,0
20000218,10.026,10.718,10.026,10.718,1007893,0
20000221,10.718,10.718,10.153,10.253,333879,0
20000222,10.253,10.49,10.026,10.49,281323,0
20000223,10.49,10.49,10.153,10.153,583165,0
20000224,10.153,10.153,9.851,10.026,482113,0
20000225,10.026,10.026,8.9136,9.4695,725910,0
20000228,9.4695,9.4695,8.23,8.8679,781431,0
20000229,8.8679,9.625,8.7586,9.625,469603,0
20000301,9.625,9.698,8.9592,9.698,665346,0
20000302,9.698,9.698,9.0959,9.4419,269802,0
20000303,9.4419,9.4419,9.0777,9.1136,251151,0
20000306,9.1136,9.1136,8.7586,8.7768,220648,0
20000307,8.7768,8.7768,8.549,8.7586,151634,0
20000308,8.7586,8.7678,8.0296,8.7678,338927,0
20000309,8.7678,8.7678,8.5854,8.5854,70111,0
20000310,8.5854,8.9045,8.5854,8.9045,617946,0
20000314,8.9045,8.9045,7.1999,7.6375,948315,0
20000315,7.6375,7.6375,6.6168,6.8902,837495,0
20000316,6.8902,7.5465,6.8446,7.5465,378973,0
20000317,7.5465,8.2027,7.5465,8.2027,430324,0
20000320,8.2027,8.549,8.2027,8.549,286261,0
20000321,8.549,8.549,7.8928,7.8928,178845,0
20000322,7.8928,7.8928,6.9539,7.2547,578337,0
20000323,7.2547,7.3004,7.1181,7.3004,256526,0
20000324,7.3004,7.3914,7.0725,7.3914,503837,0
20000327,7.3914,7.3914,7.0634,7.0816,370086,0
20000328,7.0816,7.0816,6.7991,6.9086,290541,0
20000329,6.9086,6.9086,6.4984,6.8902,175552,0
20000330,6.8902,6.8902,6.3617,6.4984,525123,0
20000331,6.4984,6.7079,5.7054,6.7079,720426,0
20000403,6.7079,6.7079,6.1157,6.1609,390825,0
20000404,6.1609,6.1609,4.6756,4.9763,1383136,0
20000405,4.9763,4.9763,3.9463,4.4658,3533879,0
20000406,4.4658,5.4684,4.4384,5.4684,1271004,0
20000407,5.4684,6.2703,5.4684,6.2703,705174,0
20000410,6.2703,6.5074,6.2703,6.5074,494182,0
20000411,6.5074,6.5074,5.4684,5.7054,597319,0
20000412,5.7054,5.7054,5.1768,5.3408,751476,0
20000413,5.3408,5.4684,5.0673,5.4684,256964,0
20000414,5.4684,5.4684,5.1313,5.3408,359116,0
20000417,5.3408,5.3408,4.5572,4.9853,949631,0
20000418,4.9853,5.0857,4.8122,5.0857,1209120,0
20000419,5.0857,5.2681,5.0857,5.2681,966419,0
20000420,5.2681,5.3864,5.2681,5.3864,346718,0
20000425,5.3864,5.9059,5.3591,5.9059,378097,0
20000426,5.9059,6.1609,5.9059,6.1609,724484,0
20000427,6.1609,6.1609,5.6142,5.7692,552663,0
20000428,5.7692,6.3798,5.7692,6.3798,550140,0
20000502,6.3798,6.9996,6.3798,6.9996,326637,0
20000503,6.9996,6.9996,6.6168,6.6168,194864,0
20000504,6.6168,6.7719,6.3798,6.7719,102808,0
20000505,6.7719,6.7719,6.6533,6.6533,104456,0
