Date,Open,High,Low,Close,Volume,OpenInt
20041118,10.379,10.379,10.379,10.379,517,0
20041201,10.379,10.379,10.379,10.379,130,0
20050103,9.4708,9.4708,9.4708,9.4708,260,0
20050125,9.777,9.777,9.777,9.777,260,0
20050209,9.777,9.777,9.777,9.777,260,0
20050218,9.777,9.777,9.777,9.777,130,0
20050222,9.777,9.777,9.777,9.777,130,0
20050228,9.3564,9.3564,9.3564,9.3564,1425,0
20050302,9.3182,9.3182,9.3182,9.3182,2591,0
20050303,9.3564,9.3564,9.3564,9.3564,260,0
20050304,9.2801,9.2801,9.2801,9.2801,260,0
20050308,9.3182,9.3182,9.3182,9.3182,777,0
20050309,9.3182,9.3182,9.3182,9.3182,130,0
20050311,9.3564,9.3564,9.3564,9.3564,260,0
20050413,9.844,9.844,9.844,9.844,1297,0
20050419,10.417,10.417,10.417,10.417,260,0
20050421,10.455,10.455,10.455,10.455,130,0
20050505,10.838,10.838,10.838,10.838,2072,0
20050506,11.14,11.364,11.14,11.364,1166,0
20050509,11.285,11.285,11.192,11.192,1166,0
20050510,11.287,11.287,11.287,11.287,517,0
20050511,10.605,10.605,10.351,10.351,1166,0
20050512,10.45,10.45,10.351,10.351,1166,0
20050518,9.844,9.844,9.581,9.844,1684,0
20050519,9.739,9.739,9.739,9.739,2072,0
20050523,9.959,9.959,9.959,9.959,390,0
20050530,9.777,9.777,9.777,9.777,260,0
20050531,9.548,9.548,9.548,9.548,517,0
20050601,9.548,9.548,9.548,9.548,130,0
20050607,9.677,9.701,9.677,9.701,1812,0
20050608,9.756,9.756,9.548,9.548,517,0
20050610,9.661,9.777,9.515,9.777,2460,0
20050613,9.672,9.672,9.672,9.672,130,0
20050614,9.835,9.936,9.835,9.882,2333,0
20050615,9.758,9.758,9.758,9.758,907,0
20050620,9.751,9.844,9.751,9.844,647,0
20050623,9.844,9.844,9.844,9.844,130,0
20050627,9.959,9.959,9.959,9.959,390,0
20050628,9.959,9.959,9.959,9.959,390,0
20050629,9.842,9.997,9.842,9.997,389,0
20050704,10.008,10.455,10.008,10.455,3108,0
20050705,10.309,10.61,10.309,10.455,2072,0
