Date,Open,High,Low,Close,Volume,OpenInt
20091001,10.5,10.87,9.82,10.14,1172608,0
20091002,10,10.14,9.4,9.87,216430,0
20091005,9.83,9.92,9.54,9.73,46572,0
20091006,9.8,10.43,9.59,10.3,78887,0
20091007,9.95,10.41,9.9,10.17,44220,0
20091008,10,10.22,9.95,10.05,19512,0
20091009,10,10.3,10,10.12,18071,0
20091012,10.2,10.3,9.99,10.12,22673,0
20091013,10,10.14,9.83,9.83,48348,0
20091014,9.84,10.1,9.8,9.92,22813,0
20091015,9.84,10.1,9.69,9.88,59433,0
20091016,9.77,9.9,9.56,9.86,35378,0
20091019,9.9,10.05,9.8,9.9,12456,0
20091020,9.8,10.1,9.8,9.9,15043,0
20091021,9.8,10.05,9.55,9.64,29362,0
20091022,9.57,9.75,9.52,9.55,15744,0
20091023,9.7,9.7,9.4,9.57,19283,0
20091026,9.63,10.27,9.4,9.97,93769,0
20091027,10.1,10.2,9.83,10.2,28307,0
20091028,10.1,10.1,9.13,9.4,90505,0
20091029,9.2,9.44,8.88,9.33,46269,0
20091030,9.4,9.47,8.95,9.1,18629,0
20091102,9.1,9.23,8.86,8.92,14922,0
20091103,8.99,9,8.66,8.7,24557,0
20091104,8.74,9,8.74,8.99,19293,0
20091105,9,10.49,8.85,10.47,125784,0
20091106,10,10.89,10,10.69,82513,0
20091109,11,11,10,10.5,32291,0
20091110,10.69,10.7,10.28,10.42,10956,0
20091111,10.4,10.41,10,10.1,19827,0
20091112,10,10.4,10,10.25,10312,0
20091113,10,10.61,10,10.61,9223,0
20091116,10,10.67,9.91,9.95,34904,0
20091117,9.99,10.5,9.91,10.12,11463,0
20091118,9.99,10.12,9.91,9.95,9972,0
20091119,9.95,10.05,9.71,9.96,14176,0
20091120,9.95,10.01,9.75,9.84,6674,0
20091123,9.95,9.95,9.7,9.91,18212,0
20091124,9.95,9.95,9.76,9.76,7101,0
20091125,9.95,9.95,9.35,9.46,31572,0
20091126,9.6,9.95,9.05,9.28,16215,0
20091127,9,9.32,8.66,9.14,39808,0
20091130,8.82,9.13,8.82,8.95,23360,0
20091201,8.82,9.1,8.82,9.1,18434,0
20091202,9,9.1,8.91,9.04,30055,0
20091203,8.95,9.15,8.95,9.09,6306,0
20091204,8.95,9.04,8.62,8.95,43033,0
20091207,8.95,9.02,8.81,9.01,42642,0
20091208,8.95,9.04,8.8,8.96,18902,0
20091209,8.95,9.2,8.9,9.13,5983,0
20091210,9.2,9.2,8.71,9,34929,0
20091211,8.8,9,8.8,8.95,8940,0
20091214,8.8,9,8.8,8.99,24030,0
20091215,8.8,8.98,8.1,8.6,55657,0
20091216,8.8,8.8,8.39,8.5,18452,0
20091217,8.8,8.8,8.2,8.32,30629,0
20091218,8.8,8.8,7.35,8.11,157856,0
20091221,8.8,8.8,8,8.15,16332,0
20091222,8.8,8.8,7.9,8.2,21861,0
20091223,8.8,8.8,7.91,8,39050,0
20091228,8.8,8.8,7.91,8.04,19165,0
20091229,8.8,8.8,7.91,8.1,9174,0
20091230,8.8,8.8,7.93,7.99,32881,0
20100104,8.1,8.8,8.02,8.587,59509,0
20100105,8.52,8.8,8.503,8.62,32597,0
20100106,8.57,8.88,8.57,8.77,26125,0
20100107,8.717,8.9,8.15,8.82,106738,0
20100108,9.1,9.1,8.63,8.97,119257,0
20100111,9.18,9.51,9.02,9.48,106212,0
20100112,9.423,9.736,8.865,8.962,63500,0
20100113,9.02,9.15,8.6,9.15,28210,0
20100114,9.1,9.35,9.026,9.152,30579,0
20100115,9.18,9.24,8.97,9.032,21200,0
20100118,9.05,9.14,8.82,9,21593,0
20100119,9.05,9.85,9,9.85,131146,0
20100120,9.9,10.05,9.461,9.79,154045,0
20100121,9.848,10.275,9.71,9.71,123299,0
20100122,9.771,9.888,9.425,9.606,58190,0
20100125,9.6,9.6,9.2,9.414,36708,0
20100126,9.47,9.5,9.25,9.319,9072,0
20100127,9.37,9.4,9.08,9.23,16379,0
20100128,9.285,9.358,8.639,8.81,45867,0
20100129,8.7,9.53,8.698,9.453,73602,0
20100201,9.409,9.6,9.262,9.35,21469,0
20100202,9.27,9.76,9.27,9.74,54604,0
20100203,9.682,9.89,9.6,9.699,24984,0
20100204,9.89,9.89,9.217,9.294,23956,0
