Date,Open,High,Low,Close,Volume,OpenInt
20070327,13.523,13.523,11.833,11.833,47387,0
20070328,11.874,11.874,10.823,11.265,10866,0
20070329,11.265,11.733,10.842,11.265,7563,0
20070330,11.267,11.736,11.267,11.727,3941,0
20070402,11.461,12.157,11.273,12.025,8196,0
20070403,12.161,12.161,11.738,11.833,17144,0
20070404,12.208,12.208,11.832,12.198,20020,0
20070405,12.211,12.445,12.211,12.304,10646,0
20070410,12.067,12.574,12.067,12.208,2024,0
20070411,12.211,12.304,12.211,12.304,5217,0
20070412,12.206,12.206,12.111,12.111,1278,0
20070413,11.833,12.208,11.833,12.208,213,0
20070416,11.88,12.209,11.842,11.842,319,0
20070417,11.839,11.839,11.736,11.736,1385,0
20070418,11.782,11.782,11.295,11.727,639,0
20070419,11.29,11.918,11.29,11.91,9476,0
20070420,11.85,12.01,11.653,11.784,2236,0
20070423,11.736,11.736,11.633,11.736,5006,0
20070424,11.358,11.64,11.292,11.64,958,0
20070425,11.377,11.649,11.273,11.64,6280,0
20070426,11.377,11.64,11.255,11.64,1065,0
20070427,11.36,11.671,11.36,11.36,1278,0
20070430,11.503,11.644,11.033,11.033,4366,0
20070502,11.225,11.225,10.332,10.802,4471,0
20070503,10.332,10.746,10.332,10.427,2981,0
20070504,10.329,10.516,10.093,10.234,4580,0
20070507,10.046,10.234,9.802,9.859,6390,0
20070508,9.802,9.802,9.3895,9.4831,5006,0
20070509,9.579,10.734,9.579,10.734,9689,0
20070510,10.8,11.645,10.8,11.082,17037,0
20070511,10.795,11.621,10.476,10.889,6179,0
20070514,10.419,10.419,10.138,10.138,4155,0
20070515,10.138,10.504,10.09,10.504,3515,0
20070516,10.372,10.504,10.119,10.504,5326,0
20070517,10.147,10.147,10.147,10.147,1598,0
20070518,10.149,10.205,10.046,10.205,4367,0
20070521,10.327,10.327,9.876,10.186,4047,0
20070522,10.185,10.185,9.856,10.138,7990,0
20070523,10.138,10.185,9.931,10.138,1918,0
20070524,9.91,10.098,9.91,10.051,852,0
20070525,10.089,10.098,9.845,10.032,6387,0
20070530,9.812,10,9.652,9.859,3835,0
20070531,9.809,9.809,9.668,9.763,2769,0
20070601,9.605,9.811,9.52,9.811,1918,0
20070604,9.535,9.817,9.4879,9.676,2874,0
20070605,9.734,9.734,9.4888,9.724,3194,0
20070606,9.751,9.864,9.676,9.676,13519,0
20070607,9.861,9.955,9.861,9.955,639,0
20070608,9.856,9.856,9.763,9.763,1598,0
20070611,9.956,9.993,9.956,9.993,426,0
20070612,9.671,10,9.671,9.859,2663,0
20070613,9.862,10.032,9.768,10.003,7559,0
20070614,10,10,9.859,9.859,426,0
20070615,10.003,10.641,9.993,10.35,11605,0
20070618,10.332,10.943,10.304,10.792,17566,0
20070619,10.31,10.658,10.31,10.658,7775,0
20070620,10.382,10.607,10.373,10.514,5113,0
20070621,10.615,10.99,10.427,10.427,10432,0
20070622,10.655,10.927,10.655,10.927,2237,0
20070625,10.796,10.956,10.796,10.937,2664,0
20070626,10.939,11.568,10.939,11.399,28541,0
20070627,11.42,11.458,11.016,11.082,14482,0
20070628,11.082,11.082,11.016,11.082,11287,0
20070629,11.083,11.13,10.557,11.13,9689,0
20070702,11.067,11.396,11.067,11.265,12571,0
20070703,11.46,11.667,10.802,10.802,9582,0
20070704,11.218,11.265,11.114,11.265,8841,0
20070705,11.504,11.504,11.129,11.466,6602,0
20070706,11.504,11.578,11.175,11.437,7774,0
20070709,11.743,11.743,11.17,11.63,18523,0
20070710,11.575,11.829,11.125,11.323,38132,0
20070711,11.322,11.547,11.266,11.313,2769,0
20070712,11.315,11.456,11.221,11.418,5857,0
20070713,11.516,11.639,11.46,11.582,10007,0
20070716,11.632,12.439,11.557,12.439,16191,0
20070717,12.35,13.787,12.35,13.787,24383,0
20070718,13.617,13.711,13.166,13.383,6496,0
