Date,Open,High,Low,Close,Volume,OpenInt
20060510,15.285,15.285,14.236,14.236,784498,0
20060511,14.098,14.346,13.82,13.963,209318,0
20060512,13.897,13.935,13.71,13.845,74347,0
20060515,13.786,13.936,13.599,13.936,52988,0
20060516,13.911,13.911,13.679,13.709,5606,0
20060517,13.85,13.925,13.746,13.917,25232,0
20060518,13.856,13.856,13.594,13.782,69961,0
20060519,13.556,13.782,13.182,13.782,37118,0
20060522,13.63,13.63,12.91,13.517,52745,0
20060523,13.331,13.481,12.882,13.481,15221,0
20060524,13.487,13.487,12.775,13.263,22288,0
20060525,12.884,13.409,12.884,13.409,2803,0
20060526,13.481,13.481,12.695,13.481,20828,0
20060529,13.781,13.855,13.63,13.817,30176,0
20060530,13.818,13.818,13.444,13.481,10147,0
20060531,13.474,13.481,13.062,13.481,10415,0
20060601,13.256,13.518,13.04,13.481,7878,0
20060602,13.646,13.84,13.48,13.817,4940,0
20060605,14.147,14.147,13.637,13.9,3603,0
20060606,13.556,13.841,13.362,13.782,10681,0
20060607,13.518,13.668,13.226,13.481,7878,0
20060608,13.37,13.408,12.733,13.317,25901,0
20060609,12.322,12.809,12.06,12.772,10947,0
20060612,12.735,12.907,12.435,12.435,5874,0
20060613,12.222,12.222,11.24,11.989,41637,0
20060614,11.988,12.026,11.764,12.026,29763,0
20060619,12.062,12.249,12.062,12.062,1601,0
20060620,11.987,12.174,11.987,12.062,534,0
20060621,11.839,11.989,11.839,11.989,534,0
20060622,12.137,12.587,11.763,11.98,28429,0
20060623,11.988,11.988,11.808,11.98,5873,0
20060626,11.988,11.988,11.875,11.98,934,0
20060627,11.977,11.977,11.625,11.835,2136,0
20060628,11.757,11.757,11.24,11.607,11618,0
20060629,11.615,11.989,11.615,11.989,17349,0
20060630,11.989,12.176,11.839,11.989,17349,0
20060703,11.877,11.982,11.547,11.734,25089,0
20060704,11.652,11.876,11.652,11.689,8008,0
20060705,11.652,11.652,11.54,11.607,26707,0
20060706,11.613,11.613,10.834,11.089,14148,0
20060707,10.828,10.85,10.333,10.543,30983,0
20060710,10.331,10.638,10.331,10.489,1869,0
20060711,10.346,10.638,10.189,10.489,10412,0
20060712,10.493,11.58,10.493,11.58,40185,0
20060713,11.465,11.465,11.225,11.225,27091,0
20060714,11.272,11.534,11.234,11.534,15889,0
20060717,11.652,11.652,11.353,11.353,13078,0
20060718,11.611,11.611,11.162,11.162,934,0
20060719,11.092,11.092,10.904,10.934,3339,0
20060720,10.939,11.089,10.863,11.089,5206,0
20060721,11.03,11.03,10.792,11.016,1201,0
20060724,11.201,11.689,10.917,11.389,4805,0
20060725,11.611,11.679,11.282,11.462,5874,0
20060726,11.385,11.609,11.197,11.534,4406,0
20060727,11.449,11.449,11.307,11.307,3605,0
20060728,11.193,11.237,11.125,11.125,1202,0
20060731,10.982,11.236,10.982,11.162,1068,0
20060801,11.047,11.234,11.047,11.234,7878,0
20060802,11.18,11.196,10.933,10.97,1736,0
20060803,11.124,11.162,10.907,11.162,3204,0
20060804,11.194,11.194,10.939,11.089,2002,0
20060807,11.013,11.253,11.013,11.253,1335,0
20060808,11.091,11.091,11.016,11.016,1335,0
20060809,11.158,11.239,11.052,11.052,1335,0
20060810,11.221,11.221,10.854,10.862,5074,0
20060811,10.863,10.863,10.563,10.789,2936,0
20060814,10.862,10.899,10.562,10.825,2536,0
20060815,10.564,10.79,10.483,10.497,4805,0
20060816,10.683,10.683,10.338,10.489,4538,0
20060817,10.34,10.483,10.116,10.116,2002,0
20060818,10.294,10.294,9.748,10.07,1068,0
20060821,10.038,10.263,9.814,9.933,9211,0
20060822,9.921,9.921,9.3971,9.3971,16829,0
20060823,9.4233,9.566,9.2515,9.2515,14685,0
20060824,9.0224,10.079,9.0224,10.079,16014,0
20060825,10.072,10.671,10.072,10.634,14288,0
20060828,10.791,10.895,10.326,10.716,14946,0
20060829,10.618,10.708,10.483,10.67,1336,0
20060830,10.788,10.788,10.489,10.489,4405,0
20060831,10.75,10.802,10.712,10.779,2536,0
20060901,10.709,10.709,10.559,10.634,11618,0
