Date,Open,High,Low,Close,Volume,OpenInt
20061016,14.537,14.964,14.44,14.567,1961734,0
20061017,14.682,15.361,14.585,15.215,599912,0
20061018,15.458,15.593,15.021,15.167,262397,0
20061019,15.071,15.303,14.838,15.021,181191,0
20061020,15.021,15.312,15.021,15.312,80174,0
20061023,15.361,15.4,15.119,15.37,110407,0
20061024,15.709,15.787,15.312,15.477,335142,0
20061025,15.506,15.749,15.41,15.477,180881,0
20061026,15.603,16,15.177,15.642,183461,0
20061027,15.603,15.739,15.138,15.41,121551,0
20061030,15.264,15.264,14.828,15.196,101945,0
20061031,15.303,15.603,15.021,15.021,81516,0
20061101,15.361,15.41,14.934,15.021,88119,0
20061102,15.303,15.312,14.537,14.731,184080,0
20061103,14.731,14.731,14.537,14.615,109272,0
20061106,14.605,14.78,14.527,14.537,163649,0
20061107,14.547,14.828,13.723,14.101,206575,0
20061108,13.82,14.459,13.723,14.276,117630,0
20061109,14.295,14.392,13.839,14.072,109684,0
20061110,13.955,14.101,13.674,14.053,113503,0
20061113,13.849,14.053,13.452,13.887,139814,0
20061114,13.762,13.849,12.017,12.211,493426,0
20061115,12.308,12.599,12.017,12.386,299956,0
20061116,12.405,12.986,12.405,12.822,107208,0
20061117,12.841,12.89,12.163,12.628,139814,0
20061120,12.405,12.745,12.356,12.695,21978,0
20061121,12.502,12.502,12.085,12.492,106279,0
20061122,12.356,12.628,11.892,12.502,272199,0
20061123,12.599,13.355,12.599,13.355,205542,0
20061124,13.423,13.52,12.986,13.355,160967,0
20061127,13.325,13.714,13.229,13.548,111851,0
20061128,13.52,13.684,13.044,13.393,61291,0
20061129,13.471,13.937,13.307,13.665,73054,0
20061130,13.606,13.762,13.229,13.606,104319,0
20061201,13.568,13.568,13.423,13.568,6398,0
20061204,13.597,13.597,13.297,13.558,64490,0
20061205,13.52,13.616,13.19,13.568,40138,0
20061206,13.578,13.616,13.277,13.471,24145,0
20061207,13.229,13.665,13.229,13.539,69133,0
20061208,13.762,13.762,13.568,13.742,42512,0
20061211,13.762,13.859,13.684,13.714,112677,0
20061212,13.529,13.762,13.084,13.52,108343,0
20061213,13.568,13.568,13.229,13.568,98024,0
20061214,13.568,13.665,13.335,13.461,64697,0
20061215,13.287,13.646,13.287,13.568,260127,0
20061218,13.568,13.616,13.413,13.558,155705,0
20061219,13.568,13.568,13.375,13.558,76356,0
20061220,13.568,13.568,13.413,13.471,65109,0
20061221,13.471,13.52,13.19,13.365,50766,0
20061222,13.384,13.413,13.084,13.325,314195,0
20061227,13.568,13.704,13.355,13.558,42409,0
20061228,13.568,13.568,13.093,13.471,12382,0
20061229,13.558,13.568,13.277,13.277,236085,0
20070102,13.568,13.616,13.432,13.52,112781,0
20070103,13.558,13.568,13.239,13.471,129805,0
20070104,13.239,13.375,13.132,13.375,146728,0
20070105,13.375,13.375,13.258,13.316,45401,0
20070108,13.325,13.375,13.248,13.355,62117,0
20070109,13.355,14.033,13.355,13.82,370327,0
20070110,13.907,14.401,13.471,14.053,250015,0
20070111,14.246,14.276,13.917,14.208,134243,0
20070112,14.15,14.324,14.053,14.188,79245,0
20070115,14.334,14.731,14.053,14.721,94723,0
20070116,14.925,14.925,14.644,14.818,75944,0
20070117,14.818,14.828,14.585,14.634,80277,0
20070118,14.615,14.75,14.44,14.663,74396,0
20070119,14.653,14.721,14.527,14.624,142187,0
20070122,14.624,14.634,14.527,14.634,21669,0
20070123,14.624,14.663,14.45,14.624,64903,0
20070124,14.634,15.215,14.634,14.79,249705,0
20070125,14.828,14.828,13.907,14.236,465360,0
20070126,14.236,14.285,13.878,14.15,133932,0
20070129,14.324,14.44,14.178,14.334,44679,0
20070130,14.295,14.77,14.198,14.44,338856,0
20070131,14.44,14.44,14.343,14.392,333800,0
20070201,14.537,14.828,14.479,14.78,554717,0
20070202,14.915,15.021,14.634,14.848,350929,0
20070205,14.906,15.215,14.663,14.964,275398,0
20070206,15.002,15.002,14.44,14.663,396227,0
20070207,14.682,15.002,14.499,14.78,128154,0
20070208,14.828,14.828,14.585,14.77,69855,0
20070209,14.682,14.77,14.585,14.77,119177,0
20070212,14.818,14.818,14.527,14.537,107724,0
