Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.025,0.025,0.014,0.016,12800,0
20090409,0.016,0.016,0.014,0.014,30000,0
20090414,0.015,0.017,0.014,0.014,50,0
20090416,0.015,0.016,0.014,0.016,50,0
20090417,0.015,0.016,0.014,0.016,2500,0
20090421,0.01,0.016,0.01,0.015,1383,0
20090422,0.015,0.016,0.014,0.015,483,0
20090423,0.015,0.016,0.01,0.01,166,0
20090424,0.015,0.017,0.014,0.017,166,0
20090427,0.018,0.018,0.01,0.01,5000,0
20090428,0.02,0.02,0.016,0.016,55166,0
20090429,0.016,0.017,0.014,0.017,17000,0
20090504,0.015,0.016,0.011,0.016,5300,0
20090505,0.016,0.017,0.015,0.016,100,0
20090506,0.016,0.016,0.015,0.016,251,0
20090507,0.016,0.016,0.015,0.015,80400,0
20090511,0.015,0.016,0.011,0.013,29507,0
20090512,0.015,0.016,0.011,0.015,10000,0
20090514,0.013,0.016,0.011,0.013,266,0
20090518,0.013,0.016,0.011,0.013,1000,0
20090520,0.014,0.016,0.011,0.014,15000,0
20090522,0.014,0.015,0.011,0.015,20263,0
20090525,0.014,0.02,0.011,0.017,136250,0
20090526,0.02,0.02,0.014,0.014,24267,0
20090527,0.019,0.02,0.012,0.02,50750,0
20090528,0.03,0.03,0.012,0.022,137000,0
20090529,0.022,0.023,0.014,0.02,60000,0
20090604,0.02,0.03,0.011,0.027,488249,0
20090605,0.027,0.03,0.017,0.03,9900,0
20090608,0.027,0.027,0.017,0.017,166,0
20090609,0.02,0.025,0.017,0.025,4333,0
20090610,0.025,0.025,0.017,0.025,1118,0
20090611,0.025,0.035,0.017,0.035,4000,0
20090612,0.035,0.04,0.032,0.032,1097,0
20090615,0.032,0.033,0.016,0.033,146527,0
20090616,0.033,0.049,0.02,0.049,80000,0
20090617,0.049,0.054,0.049,0.054,41825,0
20090618,0.054,0.054,0.054,0.054,475520,0
20090619,0.013,0.021,0.013,0.021,193097,0
20090622,0.022,0.022,0.012,0.02,74062,0
20090623,0.02,0.02,0.012,0.013,50867,0
20090625,0.02,0.02,0.015,0.017,1042,0
20090629,0.016,0.026,0.015,0.026,3000,0
20090702,0.016,0.026,0.016,0.026,53366,0
20090707,0.026,0.026,0.021,0.026,1666,0
20090708,0.026,0.026,0.021,0.026,104,0
20090709,0.026,0.026,0.011,0.011,2666,0
20090713,0.017,0.017,0.012,0.012,7666,0
20090714,0.017,0.017,0.012,0.012,7666,0
20090727,0.016,0.016,0.016,0.016,46800,0
20090729,0.016,0.016,0.014,0.014,100,0
20090803,0.016,0.016,0.016,0.016,7440,0
20090805,0.016,0.016,0.011,0.016,233,0
20090813,0.014,0.016,0.013,0.015,500,0
20090820,0.014,0.016,0.008,0.013,500,0
20090824,0.013,0.015,0.009,0.015,966,0
20090825,0.013,0.017,0.009,0.017,1000,0
20090826,0.016,0.016,0.009,0.016,200,0
20090827,0.016,0.016,0.008,0.008,1250,0
20090828,0.016,0.016,0.01,0.013,1000,0
20090831,0.016,0.016,0.008,0.013,1150,0
20090902,0.015,0.037,0.008,0.037,8000,0
20090903,0.037,0.05,0.032,0.032,1529711,0
20090904,0.032,0.04,0.024,0.026,225000,0
20090907,0.026,0.034,0.025,0.034,14776,0
20090908,0.034,0.04,0.014,0.014,63196,0
20090909,0.03,0.03,0.02,0.02,1800,0
20090910,0.02,0.033,0.01,0.033,107598,0
20090911,0.033,0.036,0.02,0.032,18351,0
20090914,0.032,0.034,0.016,0.018,50510,0
20090915,0.018,0.021,0.017,0.021,1000,0
20090916,0.018,0.022,0.018,0.022,10,0
20090917,0.022,0.022,0.02,0.021,9900,0
20090918,0.02,0.023,0.017,0.023,2000,0
20090921,0.02,0.023,0.017,0.02,500,0
20090922,0.02,0.034,0.016,0.034,43500,0
20090923,0.033,0.033,0.021,0.021,91166,0
20090925,0.021,0.021,0.016,0.02,200000,0
20090928,0.017,0.017,0.017,0.017,100000,0
20090929,0.018,0.03,0.014,0.03,92350,0
20091001,0.021,0.025,0.015,0.025,300,0
20091005,0.026,0.026,0.02,0.026,83,0
20091006,0.027,0.027,0.02,0.02,13750,0
20091007,0.026,0.026,0.015,0.025,33,0
20091008,0.026,0.026,0.015,0.021,83,0
20091009,0.022,0.022,0.015,0.021,16,0
