Date,Open,High,Low,Close,Volume,OpenInt
20090406,3.9,3.9,3.63,3.78,253,0
20090407,3.75,3.93,3.66,3.93,328,0
20090417,3.93,3.93,3.54,3.78,2,0
20090421,3.75,3.75,3.51,3.66,25,0
20090424,3.72,3.87,3.6,3.87,363,0
20090505,3.84,3.87,3.6,3.78,16,0
20090512,3.84,3.87,3.72,3.81,9,0
20090514,3.81,3.87,3.75,3.84,3,0
20090518,3.84,3.9,3.72,3.9,9,0
20090519,3.75,3.9,3.75,3.78,9,0
20090526,3.84,3.87,3.72,3.72,6,0
20090527,3.87,3.9,3.69,3.75,1,0
20090528,3.75,4.2,3.66,4.2,15,0
20090529,3.78,3.81,3.54,3.81,41,0
20090602,3.84,3.87,3.63,3.66,101,0
20090608,3.72,3.99,3.63,3.99,3,0
20090611,4.02,4.26,4.02,4.26,83,0
20090612,4.26,4.38,4.11,4.38,275,0
20090616,4.38,4.77,4.26,4.77,602,0
20090617,4.77,4.92,4.65,4.65,268,0
20090619,4.65,4.71,4.53,4.56,147,0
20090624,4.59,4.59,4.41,4.59,3,0
20090626,4.59,4.59,4.35,4.44,3,0
20090629,4.44,4.5,4.35,4.35,227,0
20090630,4.5,4.53,4.38,4.38,41,0
20090701,4.38,4.65,4.35,4.65,33,0
20090702,4.65,4.68,4.5,4.5,267,0
20090707,4.56,4.59,4.44,4.44,3,0
20090709,4.5,4.53,4.38,4.38,66,0
20090713,4.47,4.5,4.35,4.38,4,0
20090715,4.47,4.5,4.35,4.35,25,0
20090717,4.59,5.16,4.47,5.16,216,0
20090720,5.16,5.19,4.83,4.95,85,0
20090722,4.5,4.53,4.38,4.38,5,0
20090723,4.38,4.41,4.23,4.23,192,0
20090724,4.41,4.44,4.29,4.29,192,0
20090731,4.41,4.47,4.14,4.47,124,0
20090806,4.56,4.59,4.29,4.29,34,0
20090807,4.29,4.5,4.17,4.5,222,0
20090810,4.32,4.53,4.32,4.38,3,0
20090811,4.53,4.53,4.5,4.53,133,0
20090812,4.53,4.53,4.5,4.53,3,0
20090813,4.53,4.53,4.5,4.5,3,0
20090814,4.53,5.07,4.5,5.07,800,0
20090817,5.07,5.07,4.77,4.77,10,0
20090818,4.95,4.95,4.77,4.95,3,0
20090825,4.77,4.77,4.5,4.5,730,0
20090826,4.5,4.53,3.93,4.08,1500,0
20090901,4.08,4.08,3.93,3.93,6,0
20090902,3.93,3.93,3.78,3.78,32,0
20090907,3.93,3.93,3.75,3.75,18,0
20090908,3.93,3.93,3.78,3.93,173,0
20090909,3.93,4.29,3.15,4.29,365,0
20090911,4.32,4.35,4.2,4.2,7,0
20090915,4.2,4.2,4.05,4.2,17,0
20090916,4.2,4.2,4.02,4.02,37,0
20090917,4.2,4.2,4.05,4.05,37,0
20090921,3.9,4.05,3.9,3.93,266,0
20090923,4.02,4.05,3.9,3.9,6,0
20090928,3.93,3.93,3.75,3.9,500,0
20090929,3.93,3.93,3.63,3.84,469,0
20090930,3.81,3.87,3.81,3.84,6,0
20091005,3.96,3.96,3.78,3.78,6,0
20091006,3.96,3.96,3.66,3.81,273,0
20091007,3.84,3.84,3.69,3.81,98,0
20091008,3.75,3.75,3.6,3.6,382,0
20091009,3.78,3.93,3.63,3.93,166,0
20091016,3.96,3.96,3.78,3.78,133,0
20091019,3.81,3.81,3.15,3.15,3,0
20091020,3.84,3.84,3.57,3.57,28,0
