Date,Open,High,Low,Close,Volume,OpenInt
20090406,3.1305,3.2851,3.1305,3.2754,22797,0
20090407,3.2078,3.3721,3.1885,3.3721,15178,0
20090408,3.2368,3.2561,3.0919,3.2561,24486,0
20090409,3.1981,3.2078,3.1498,3.2078,26927,0
20090414,3.1112,3.2658,3.1112,3.1402,34690,0
20090415,3.1112,3.1981,3.0822,3.1208,28466,0
20090416,3.1112,3.5267,3.0919,3.3721,44723,0
20090417,3.4204,3.5363,3.2465,3.4494,50822,0
20090420,3.3527,3.8552,3.3527,3.6619,67488,0
20090421,3.5846,3.7682,3.4783,3.575,14904,0
20090422,3.459,3.6812,3.459,3.6812,22947,0
20090423,3.5653,3.6523,3.4977,3.5556,10867,0
20090424,3.4783,3.6619,3.4783,3.575,18139,0
20090427,3.5556,3.6716,3.3914,3.5556,58350,0
20090428,3.459,3.575,3.3914,3.43,23593,0
20090429,3.401,3.575,3.3817,3.488,159966,0
20090430,3.459,3.5267,3.43,3.43,74587,0
20090504,3.575,3.6523,3.4397,3.5943,62808,0
20090505,3.5363,3.6716,3.3914,3.4687,66704,0
20090506,3.3721,3.6812,3.3721,3.6812,82955,0
20090507,3.5943,3.7682,3.5363,3.6136,183419,0
20090508,3.6329,3.7392,3.5363,3.7006,64736,0
20090511,3.6329,3.8358,3.575,3.6716,179774,0
20090512,3.604,3.7199,3.575,3.6619,61903,0
20090513,3.8358,3.8358,3.575,3.6619,64535,0
20090514,3.5846,3.7102,3.575,3.7102,55938,0
20090515,3.6716,3.7296,3.575,3.6329,69007,0
20090518,3.5556,3.5556,3.0339,3.2368,110571,0
20090519,3.2175,3.3334,3.1885,3.3238,49178,0
20090520,3.2271,3.43,3.2271,3.401,36339,0
20090521,3.2851,3.43,3.2851,3.3527,21058,0
20090522,3.2948,3.4204,3.2948,3.3624,16062,0
20090525,3.2948,3.5267,3.2948,3.488,37723,0
20090526,3.43,3.488,3.3624,3.4397,15724,0
20090527,3.3527,3.488,3.3527,3.401,13966,0
20090528,3.3044,3.4783,3.3044,3.4687,15980,0
20090529,3.401,3.4783,3.401,3.4494,24055,0
20090601,3.3721,3.4977,3.3721,3.4687,6704,0
20090602,3.4107,3.5267,3.4107,3.459,27201,0
20090603,3.3817,3.5653,3.3817,3.517,10383,0
20090604,3.4977,3.575,3.3914,3.4783,17220,0
20090605,3.401,3.575,3.401,3.5363,17160,0
20090608,3.4687,3.575,3.4494,3.5363,17768,0
20090609,3.6909,3.6909,3.43,3.5363,8979,0
20090610,3.5073,3.5943,3.4397,3.5267,16133,0
20090611,3.517,3.7006,3.4783,3.5653,38782,0
