Date,Open,High,Low,Close,Volume,OpenInt
20000103,14.051,14.312,13.939,13.986,9652,0
20000104,13.8,13.986,12.867,13.053,10512,0
20000105,12.96,13.333,12.96,13.053,10404,0
20000106,13.053,13.24,13.053,13.24,1608,0
20000107,13.24,13.333,13.146,13.146,6220,0
20000110,13.24,13.333,13.146,13.146,965,0
20000111,13.072,13.072,13.053,13.053,7078,0
20000112,12.867,13.053,12.867,13.053,7294,0
20000113,13.146,13.753,13.146,13.753,45582,0
20000114,13.939,13.986,13.52,13.52,11904,0
20000117,13.715,13.715,13.193,13.193,5469,0
20000118,13.193,13.193,12.494,12.494,12012,0
20000119,12.867,12.867,12.587,12.681,16409,0
20000120,12.681,13.044,12.681,12.774,1395,0
20000121,12.857,13.053,12.857,13.053,2145,0
20000124,13.053,13.053,12.867,13.053,23703,0
20000125,13.053,13.053,12.354,12.354,7507,0
20000126,12.494,12.587,12.354,12.382,4612,0
20000127,12.224,12.224,12.131,12.131,2038,0
20000128,12.131,12.261,12.131,12.261,321,0
20000131,12.121,12.214,12.121,12.186,4612,0
20000201,12.121,12.121,12.121,12.121,1930,0
20000202,12.027,12.121,12.027,12.121,3646,0
20000203,11.935,11.935,11.655,11.897,6006,0
20000204,12.046,12.121,12.027,12.121,6220,0
20000207,12.121,12.401,12.121,12.373,4719,0
20000208,12.373,12.373,12.214,12.364,4719,0
20000209,12.121,12.568,12.121,12.307,10404,0
20000210,12.167,12.494,12.121,12.214,11047,0
20000211,12.401,12.494,12.214,12.214,11261,0
20000214,12.121,12.121,12.074,12.121,2466,0
20000215,12.121,12.167,12.074,12.074,3753,0
20000216,12.121,12.121,11.842,11.935,3325,0
20000217,11.935,11.935,11.935,11.935,965,0
20000218,11.655,11.655,11.655,11.655,108,0
20000221,11.804,12.027,11.804,11.888,7186,0
20000222,11.982,11.982,11.982,11.982,3217,0
20000223,11.935,11.982,11.842,11.842,3110,0
20000224,11.842,11.842,11.468,11.655,3325,0
20000225,11.804,12.121,11.748,11.804,7722,0
20000228,11.897,12.027,11.655,11.953,13086,0
20000229,12.009,12.009,11.487,11.692,11368,0
20000301,11.655,11.664,11.655,11.655,5469,0
20000302,11.655,11.702,10.601,10.946,22845,0
20000303,10.731,11.897,10.731,11.319,39684,0
20000306,11.319,11.319,11.003,11.049,8687,0
20000307,11.077,11.562,11.077,11.515,4826,0
20000308,11.562,11.655,11.143,11.188,21237,0
20000309,11.188,11.226,11.049,11.179,8473,0
20000310,11.188,11.188,11.003,11.143,6113,0
20000313,11.188,11.188,11.096,11.188,3753,0
20000314,11.188,11.375,11.188,11.188,13513,0
20000315,11.188,11.562,11.188,11.188,16516,0
20000316,11.328,11.562,11.328,11.468,3861,0
20000317,11.804,12.904,11.804,12.681,15765,0
20000320,12.96,15.002,12.96,14.359,30567,0
20000321,14.676,14.965,13.939,13.986,8151,0
20000322,14.079,14.079,13.697,13.753,5791,0
20000323,13.706,13.846,13.146,13.286,9760,0
20000324,13.295,13.295,13.053,13.24,4719,0
20000327,13.295,13.295,12.774,12.774,13086,0
20000328,12.774,12.774,12.587,12.587,3325,0
20000329,12.494,12.494,12.494,12.494,751,0
20000330,12.857,13.006,12.774,13.006,5791,0
20000331,13.286,13.52,13.286,13.52,9652,0
20000403,13.771,13.864,13.566,13.613,8043,0
20000404,13.818,14.2,13.333,13.435,13407,0
20000405,13.66,13.678,13.473,13.473,6435,0
