Date,Open,High,Low,Close,Volume,OpenInt
20000103,44.589,45.181,42.474,42.813,1991674,0
20000104,42.732,42.826,40.791,41.216,2410993,0
20000105,40.49,41.232,40.285,40.838,1534988,0
20000106,41.108,41.194,40.445,41.037,834926,0
20000107,41.198,42.453,40.757,42.224,1865712,0
20000110,42.834,43.213,42.068,42.344,1840185,0
20000111,42.419,43.051,42.064,43.003,1930209,0
20000112,42.614,43.442,42.062,42.274,1230195,0
20000113,42.218,42.811,41.161,41.216,1227166,0
20000114,41.699,42.219,41.304,41.446,1444827,0
20000117,41.835,42.6,41.685,41.985,1439956,0
20000118,41.907,41.986,40.763,41.196,1327410,0
20000119,41.195,41.314,39.578,40.248,2137264,0
20000120,40.444,40.476,39.032,39.261,2175615,0
20000121,39.278,39.499,39.104,39.191,1899189,0
20000124,39.251,39.583,38.478,38.801,1290402,0
20000125,38.517,38.769,37.885,37.893,1103159,0
20000126,38.318,38.617,37.126,37.883,1673520,0
20000127,37.889,39.112,37.171,39.081,1336935,0
20000128,39.142,39.931,38.857,39.221,1745205,0
20000131,38.682,38.714,37.648,38.083,1222629,0
20000201,38.312,38.47,37.01,37.215,1628534,0
20000202,37.606,37.961,37.093,37.614,1151782,0
20000203,37.327,38.195,36.814,37.335,1392649,0
20000204,37.101,37.408,36.382,37.085,1563592,0
20000207,37.091,37.091,36.341,36.736,842664,0
20000208,36.459,36.814,36.301,36.696,816823,0
20000209,36.504,36.686,36.079,36.536,1033847,0
20000210,36.033,36.775,36.025,36.696,1384266,0
20000211,36.735,36.775,36.144,36.696,2046747,0
20000214,36.378,36.852,36,36.576,968415,0
20000215,36.068,36.533,35.91,35.918,776719,0
20000216,36.227,36.464,35.762,36.306,1273453,0
20000217,35.951,37.56,35.88,36.077,1714143,0
20000218,36.066,37.202,35.56,35.948,2186697,0
20000221,35.518,36.063,35.518,35.898,616886,0
20000222,35.842,36.583,35.321,35.518,1860151,0
20000223,35.276,35.671,32.656,33.383,4860855,0
20000224,32.985,33.261,31.257,31.257,2782369,0
20000225,31.727,33.029,31.656,32.863,1932901,0
20000228,32.726,33.611,32.53,33.303,1053905,0
20000229,33.78,33.78,32.517,32.713,1078641,0
20000301,33.467,33.822,31.778,32.165,1969412,0
